SOURCE,PROFID,POLID,SPCID,SPLITFAC,DIVISOR,MASSFRAC
Brake Lining Dust,92009.0,PM2_5,POC,0.107,1.0,0.107
Brake Lining Dust,92009.0,PM2_5,PEC,0.0261,1.0,0.0261
Brake Lining Dust,92009.0,PM2_5,PNH4,3e-05,1.0,3e-05
Brake Lining Dust,92009.0,PM2_5,PNO3,0.0016,1.0,0.0016
Brake Lining Dust,92009.0,PM2_5,PSO4,0.0334,1.0,0.0334
Brake Lining Dust,92009.0,PM2_5,PNCOM,0.0428,1.0,0.0428
Brake Lining Dust,92009.0,PM2_5,PH2O,0.00802,1.0,0.00802
Brake Lining Dust,92009.0,PM2_5,PNA,0.00016,1.0,0.00016
Brake Lining Dust,92009.0,PM2_5,PMG,0.111,1.0,0.111
Brake Lining Dust,92009.0,PM2_5,PAL,0.00124,1.0,0.00124
Brake Lining Dust,92009.0,PM2_5,PSI,0.088,1.0,0.088
Brake Lining Dust,92009.0,PM2_5,PCL,0.00148,1.0,0.00148
Brake Lining Dust,92009.0,PM2_5,PK,0.00019,1.0,0.00019
Brake Lining Dust,92009.0,PM2_5,PCA,0.01,1.0,0.01
Brake Lining Dust,92009.0,PM2_5,PTI,0.0036,1.0,0.0036
Brake Lining Dust,92009.0,PM2_5,PMN,0.00107,1.0,0.00107
Brake Lining Dust,92009.0,PM2_5,PFE,0.115,1.0,0.115
Brake Lining Dust,92009.0,PM2_5,PMOTHR,0.44931,1.0,0.44931
