FID_LINK,FID_Grilla,COL,ROW,LAT,LON,Type,POLNAME,Category,Hora 0,Hora 1,Hora 2,Hora 3,Hora 4,Hora 5,Hora 6,Hora 7,Hora 8,Hora 9,Hora 10,Hora 11,Hora 12,Hora 13,Hora 14,Hora 15,Hora 16,Hora 17,Hora 18,Hora 19,Hora 20,Hora 21,Hora 22,Hora 23
8963,3206,40,49,4.791351,-74.044975,NHabil,BEN,DSEL,0.00135589,0.00093661,0.00093977,0.00108902,0.00281636,0.00596274,0.00786486,0.00814259,0.00878145,0.00814339,0.00731134,0.00764033,0.00698003,0.00725132,0.00661419,0.00760358,0.00619325,0.00585302,0.00570321,0.00578433,0.00502278,0.00409538,0.00411691,0.00279154
8963,3206,40,49,4.791351,-74.044975,NHabil,BEN,GAS,0.03624323,0.02885969,0.02610988,0.0288944,0.03549433,0.07942347,0.13900909,0.14556201,0.13765225,0.1236439,0.13257999,0.13469176,0.14076727,0.15711295,0.14185851,0.16122468,0.15124682,0.14489874,0.13008081,0.12510497,0.1142196,0.09190805,0.08098957,0.05294046
8963,3206,40,49,4.791351,-74.044975,NHabil,BEN,GNV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10049,3206,40,49,4.791351,-74.044975,NHabil,BEN,DSEL,0.00035895,0.00024796,0.00024879,0.00028829,0.00074559,0.00157853,0.00208211,0.00215564,0.00232473,0.00215584,0.00193554,0.00202267,0.00184785,0.00191968,0.00175101,0.00201293,0.00163957,0.00154949,0.00150983,0.0015313,0.00132969,0.00108419,0.00108989,0.000739
10049,3206,40,49,4.791351,-74.044975,NHabil,BEN,GAS,0.00959482,0.00764013,0.00691217,0.00764932,0.00939655,0.02102609,0.03680039,0.03853518,0.0364412,0.03273272,0.03509841,0.03565746,0.03726587,0.04159311,0.03755472,0.04268164,0.04004017,0.0383596,0.03443679,0.03311952,0.03023781,0.02433115,0.02144068,0.01401513
10049,3206,40,49,4.791351,-74.044975,NHabil,BEN,GNV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7289,3206,40,49,4.791351,-74.044975,NHabil,BEN,DSEL,0.00083889,0.00057949,0.00058144,0.00067376,0.00174247,0.00368912,0.00486594,0.0050378,0.00543302,0.00503829,0.00452348,0.00472702,0.00431851,0.00448637,0.00409216,0.0047043,0.00383173,0.00362125,0.00352854,0.00357873,0.00310757,0.0025338,0.00254711,0.00172708
7289,3206,40,49,4.791351,-74.044975,NHabil,BEN,GAS,0.0224235,0.01785537,0.01615405,0.01787684,0.02196017,0.0491389,0.08600429,0.09005853,0.08516481,0.07649791,0.08202662,0.08333318,0.08709207,0.09720505,0.0877672,0.09974898,0.09357571,0.0896482,0.0804804,0.07740185,0.07066714,0.05686308,0.05010787,0.03275403
7289,3206,40,49,4.791351,-74.044975,NHabil,BEN,GNV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5530,3209,42,49,4.791351,-74.026985,NHabil,BEN,DSEL,0.00578862,0.00399865,0.00401213,0.00464923,0.01202361,0.02545621,0.03357687,0.03476254,0.03748996,0.03476597,0.03121368,0.03261822,0.02979927,0.03095751,0.02823744,0.03246132,0.02644031,0.02498782,0.02434826,0.02469456,0.02144336,0.0174841,0.01757599,0.01191759
5530,3209,42,49,4.791351,-74.026985,NHabil,BEN,GAS,0.15473046,0.12320854,0.11146891,0.12335668,0.15153323,0.33907655,0.59346105,0.62143697,0.58766843,0.52786362,0.56601383,0.57502945,0.60096716,0.67075047,0.6056258,0.68830443,0.64570673,0.61860534,0.55534431,0.53410122,0.48762923,0.39237612,0.34576263,0.22601473
5530,3209,42,49,4.791351,-74.026985,NHabil,BEN,GNV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3756,3206,40,49,4.791351,-74.044975,NHabil,BEN,DSEL,0.00262136,0.0018108,0.00181689,0.00210542,0.00544486,0.01152777,0.01520521,0.01574214,0.01697723,0.01574367,0.01413504,0.01477108,0.01349453,0.01401903,0.01278727,0.01470002,0.01197342,0.01131567,0.01102605,0.01118288,0.00971057,0.00791762,0.00795924,0.00539685
3756,3206,40,49,4.791351,-74.044975,NHabil,BEN,GAS,0.07006927,0.05579467,0.0504784,0.05586174,0.06862144,0.15354991,0.26874725,0.28141606,0.26612409,0.23904163,0.25631786,0.26040056,0.27214637,0.30374755,0.27425603,0.31169683,0.29240657,0.28013378,0.25148618,0.24186633,0.22082159,0.17768647,0.1565777,0.10235015
3756,3206,40,49,4.791351,-74.044975,NHabil,BEN,GNV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
