FID_LINK,FID_Grilla,COL,ROW,LAT,LON,Type,POLNAME,Category,Hora 0,Hora 1,Hora 2,Hora 3,Hora 4,Hora 5,Hora 6,Hora 7,Hora 8,Hora 9,Hora 10,Hora 11,Hora 12,Hora 13,Hora 14,Hora 15,Hora 16,Hora 17,Hora 18,Hora 19,Hora 20,Hora 21,Hora 22,Hora 23
8963,3206,40,49,4.791351,-74.044975,NHabil,CH4,DSEL,0.01534968,0.00733971,0.00702318,0.00728681,0.0143273,0.03178407,0.04649634,0.05217736,0.05463456,0.05272749,0.05218495,0.0529408,0.04983596,0.05190386,0.05092983,0.05858261,0.0559106,0.05489697,0.05488382,0.05370253,0.04880978,0.04165891,0.04306707,0.02616813
8963,3206,40,49,4.791351,-74.044975,NHabil,CH4,GAS,0.25565486,0.20159406,0.18639085,0.20717059,0.27939271,0.5928126,0.94990725,0.96146727,0.90832227,0.81895015,0.86101063,0.88423667,0.90214629,1.0248769,0.91156551,1.05445959,0.96393069,0.91142647,0.8268566,0.80372625,0.73491593,0.5846928,0.5380319,0.35912925
8963,3206,40,49,4.791351,-74.044975,NHabil,CH4,GNV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10049,3206,40,49,4.791351,-74.044975,NHabil,CH4,DSEL,0.00406358,0.00194307,0.00185927,0.00192906,0.00379291,0.00841429,0.01230916,0.01381311,0.0144636,0.01395875,0.01381514,0.01401521,0.01319326,0.01374071,0.01348284,0.01550878,0.01480142,0.01453309,0.0145296,0.01421687,0.01292161,0.01102853,0.01140132,0.00692759
10049,3206,40,49,4.791351,-74.044975,NHabil,CH4,GAS,0.06768048,0.05336876,0.04934397,0.05484506,0.0739647,0.15693753,0.25147256,0.25453288,0.2404636,0.2168038,0.22793863,0.23408735,0.23882862,0.27131956,0.24132223,0.27915111,0.25518504,0.24128541,0.2188969,0.21277353,0.19455709,0.15478797,0.14243523,0.09507364
10049,3206,40,49,4.791351,-74.044975,NHabil,CH4,GNV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7289,3206,40,49,4.791351,-74.044975,NHabil,CH4,DSEL,0.00949676,0.00454105,0.0043452,0.00450832,0.00886424,0.01966467,0.02876708,0.0322819,0.03380215,0.03262225,0.03228659,0.03275424,0.03083327,0.03211268,0.03151007,0.03624479,0.03459163,0.03396449,0.03395638,0.03322549,0.0301984,0.02577417,0.02664541,0.01619008
7289,3206,40,49,4.791351,-74.044975,NHabil,CH4,GAS,0.15817248,0.12472531,0.11531917,0.12817549,0.17285896,0.3667704,0.5877032,0.59485533,0.56197479,0.50668066,0.53270329,0.54707314,0.55815373,0.63408659,0.56398136,0.65238927,0.59637944,0.56389534,0.51157235,0.49726171,0.45468907,0.36174674,0.33287785,0.22219159
7289,3206,40,49,4.791351,-74.044975,NHabil,CH4,GNV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5530,3209,42,49,4.791351,-74.026985,NHabil,CH4,DSEL,0.06553112,0.03133486,0.02998351,0.03110903,0.06116645,0.13569335,0.19850339,0.22275688,0.23324719,0.22510552,0.22278926,0.22601611,0.21276083,0.22158922,0.21743085,0.25010228,0.23869489,0.23436757,0.23431136,0.22926805,0.20837994,0.17785126,0.18386307,0.11171759
5530,3209,42,49,4.791351,-74.026985,NHabil,CH4,GAS,1.09144807,0.86065031,0.79574446,0.88445783,1.19279019,2.53085026,4.05536762,4.10471988,3.877832,3.49628229,3.67584795,3.77500512,3.85146531,4.37542989,3.89167816,4.50172506,4.11523676,3.89108456,3.53003673,3.43128805,3.1375213,2.49618502,2.29697911,1.53320347
5530,3209,42,49,4.791351,-74.026985,NHabil,CH4,GNV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3756,3206,40,49,4.791351,-74.044975,NHabil,CH4,DSEL,0.02967559,0.01418992,0.01357797,0.01408762,0.02769906,0.06144833,0.08989173,0.10087484,0.10562536,0.10193843,0.1008895,0.10235079,0.09634818,0.10034611,0.09846296,0.11325814,0.10809235,0.10613273,0.10610725,0.10382343,0.0943643,0.08053946,0.08326192,0.05059101
3756,3206,40,49,4.791351,-74.044975,NHabil,CH4,GAS,0.49425936,0.3897432,0.36035076,0.40052437,0.54015187,1.1460888,1.83646243,1.85881145,1.75606588,1.58328212,1.66459796,1.70950102,1.74412582,1.98140178,1.76233609,2.03859421,1.86357402,1.76206728,1.59856772,1.55384966,1.42081816,1.13039073,1.04018088,0.69430712
3756,3206,40,49,4.791351,-74.044975,NHabil,CH4,GNV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
