FID_LINK,FID_Grilla,COL,ROW,LAT,LON,Type,POLNAME,Category,Hora 0,Hora 1,Hora 2,Hora 3,Hora 4,Hora 5,Hora 6,Hora 7,Hora 8,Hora 9,Hora 10,Hora 11,Hora 12,Hora 13,Hora 14,Hora 15,Hora 16,Hora 17,Hora 18,Hora 19,Hora 20,Hora 21,Hora 22,Hora 23
8963,3206,40,49,4.791351,-74.044975,NHabil,CO,DSEL,68.00548256,49.28471275,48.12738754,53.71250866,124.3347007,265.289488,366.23732436,378.68080401,413.18707881,388.88627675,349.48019669,367.86693742,326.12072749,337.61937002,301.59491442,352.53064378,286.84256255,273.83830949,263.03351813,264.92160621,224.74998237,183.1867746,187.93103344,132.27482466
8963,3206,40,49,4.791351,-74.044975,NHabil,CO,GAS,1260.97462458,982.40658474,917.09895399,987.62228822,1243.30411057,2562.67705571,4325.76155161,4501.02320316,4380.82875416,4039.33735709,4293.61179463,4376.65998302,4278.38962588,4864.49018091,4376.7077576,5141.46129687,4818.47867441,4583.74757927,4297.44047978,4187.3235839,3798.52807827,3025.91122694,2657.12255322,1775.79718576
8963,3206,40,49,4.791351,-74.044975,NHabil,CO,GNV,298.28164274,230.2519494,222.35905203,229.84368496,248.53202704,434.97704444,803.82550526,944.50673226,1026.3957864,1020.48169711,1108.13249377,1083.69984258,961.89298446,1076.29938855,1025.82746375,1245.02738621,1236.97086588,1199.61650763,1185.94632984,1157.47284796,1023.86739248,806.29166481,637.12434092,428.69197883
10049,3206,40,49,4.791351,-74.044975,NHabil,CO,DSEL,18.00335033,13.04732966,12.74094654,14.21951693,32.91559873,70.23109625,96.95540135,100.24961108,109.38458861,102.95134474,92.51922313,97.38681502,86.33518193,89.37926132,79.84237005,93.32677961,75.93692376,72.49425835,69.63386477,70.13370552,59.49891859,48.49573234,49.75169806,35.01761797
10049,3206,40,49,4.791351,-74.044975,NHabil,CO,GAS,333.8226136,260.07623574,242.787098,261.45700879,329.14463113,678.4272545,1145.17532614,1191.57301048,1159.75347635,1069.34915857,1136.66419856,1158.64986169,1132.63437588,1287.79500742,1158.66250925,1361.11862554,1275.6142061,1213.47294955,1137.67778098,1108.52611584,1005.59880128,801.06100045,703.43017066,470.11355044
10049,3206,40,49,4.791351,-74.044975,NHabil,CO,GNV,78.96523501,60.95547527,58.86595849,60.84739386,65.79482981,115.15312916,212.79978662,250.04286348,271.72166458,270.15600522,293.36013436,286.8919856,254.64559223,284.93283521,271.57121038,329.60084047,327.46800717,317.57904569,313.96008745,306.42219419,271.05231325,213.45266242,168.66835264,113.48925982
7289,3206,40,49,4.791351,-74.044975,NHabil,CO,DSEL,42.07467702,30.49222346,29.77619171,33.23168029,76.92530334,164.13337726,226.58933597,234.28805918,255.63693155,240.60213789,216.22177869,227.59757001,201.76938334,208.88354018,186.59537639,218.10907618,177.46816462,169.4224935,162.73761916,163.90577049,139.05177292,113.33680882,116.27205982,81.83782125
7289,3206,40,49,4.791351,-74.044975,NHabil,CO,GAS,780.15915867,607.8104029,567.40487431,611.03733449,769.22649351,1585.51642259,2676.32863255,2784.76220445,2710.39845566,2499.1193103,2656.43772686,2707.81925628,2647.01984156,3009.6375398,2707.84881419,3180.99828614,2981.17043388,2835.94339274,2658.80651662,2590.67770325,2350.13172506,1872.11725834,1643.94941435,1098.67749232
7289,3206,40,49,4.791351,-74.044975,NHabil,CO,GNV,184.54547054,142.45581445,137.57251539,142.20322312,153.76561377,269.11828232,497.32311633,584.36193975,635.02631819,631.36729855,685.59644038,670.48007228,595.11873345,665.90144566,634.6746996,770.29267617,765.30814435,742.19717594,733.73950029,716.12308893,633.46201259,498.8489178,394.18587821,265.22974136
5530,3209,42,49,4.791351,-74.026985,NHabil,CO,DSEL,290.33069268,210.40751793,205.46663645,229.31077404,530.81278767,1132.58046128,1563.54946772,1616.67347957,1763.98852368,1660.24293691,1492.00952259,1570.50665219,1392.28269744,1441.37298719,1287.57648803,1505.03256704,1224.5953816,1169.07730196,1122.94921864,1131.00989116,959.50819836,782.06552108,802.31982862,564.71096177
5530,3209,42,49,4.791351,-74.026985,NHabil,CO,GAS,5383.38413876,4194.11455476,3915.30159804,4216.38156539,5307.94474209,10940.6444393,18467.6484926,19215.8798818,18702.7427593,17244.8392183,18330.3939529,18684.9453383,18265.4070925,20767.602117,18685.1492988,21950.054074,20571.1686524,19569.0488399,18346.7394706,17876.6256877,16216.7702732,12918.295251,11343.8534994,7581.2773843
5530,3209,42,49,4.791351,-74.026985,NHabil,CO,GNV,1273.43138638,982.99733247,949.30077937,981.25435984,1061.03909325,1857.01478523,3431.71178148,4032.31156457,4381.91434533,4356.66576871,4730.86672346,4626.55824312,4106.53738366,4594.96404127,4379.48804824,5315.30179327,5280.90669677,5121.43254422,5063.07148225,4941.51178718,4371.12006333,3442.24037102,2720.02703658,1830.18242737
3756,3206,40,49,4.791351,-74.044975,NHabil,CO,DSEL,131.4754813,95.2824844,93.04501936,103.8427736,240.37715786,512.88604694,708.04921428,732.10628163,798.81750721,751.8365944,675.65254055,711.19975675,630.49151327,652.72192032,583.07558507,681.54999158,554.55475868,529.41354412,508.52456437,512.17481846,434.51073342,354.15628935,363.3283986,255.7278558
