FID_LINK,FID_Grilla,COL,ROW,LAT,LON,Type,POLNAME,Category,Hora 0,Hora 1,Hora 2,Hora 3,Hora 4,Hora 5,Hora 6,Hora 7,Hora 8,Hora 9,Hora 10,Hora 11,Hora 12,Hora 13,Hora 14,Hora 15,Hora 16,Hora 17,Hora 18,Hora 19,Hora 20,Hora 21,Hora 22,Hora 23
8963,3206,40,49,4.791351,-74.044975,NHabil,ETH,DSEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8963,3206,40,49,4.791351,-74.044975,NHabil,ETH,GAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8963,3206,40,49,4.791351,-74.044975,NHabil,ETH,GNV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8963,3206,40,49,4.791351,-74.044975,Habil,ETH,DSEL,0.11733989,0.07410176,0.07814915,0.11066288,0.33850081,0.741958,0.78463995,0.82369924,0.9217424,0.84455326,0.94226803,0.8567678,0.85198409,0.84898833,0.86858425,0.90558233,0.94312341,0.8431049,0.70334812,0.66060852,0.60210206,0.52088592,0.36086196,0.23796541
8963,3206,40,49,4.791351,-74.044975,Habil,ETH,GAS,0.12337154,0.08703072,0.08203661,0.1044453,0.35942173,1.32979379,2.22614001,1.51241036,1.22232054,0.85432759,0.96334103,0.92933568,1.0064091,1.15832217,1.34696231,1.96242886,1.82444778,1.66374346,1.20144775,0.84221525,0.68064982,0.56583172,0.38512194,0.18759286
8963,3206,40,49,4.791351,-74.044975,Habil,ETH,GNV,0.03113231,0.01660608,0.01363753,0.01774591,0.03969308,0.20077228,0.35656524,0.26398685,0.29647285,0.31424115,0.32532647,0.31841292,0.31741231,0.33752656,0.3546329,0.31413358,0.3185697,0.35009636,0.34911751,0.36028313,0.33309344,0.25975572,0.13917316,0.06220332
10049,3206,40,49,4.791351,-74.044975,NHabil,ETH,DSEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10049,3206,40,49,4.791351,-74.044975,NHabil,ETH,GAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10049,3206,40,49,4.791351,-74.044975,NHabil,ETH,GNV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10049,3206,40,49,4.791351,-74.044975,Habil,ETH,DSEL,0.03106384,0.01961725,0.02068871,0.0292962,0.08961262,0.19642136,0.20772073,0.21806105,0.2440164,0.22358181,0.2494502,0.2268154,0.225549,0.22475592,0.22994361,0.23973825,0.24967665,0.22319838,0.18620002,0.17488541,0.15939677,0.13789611,0.09553236,0.06299746
10049,3206,40,49,4.791351,-74.044975,Habil,ETH,GAS,0.03266063,0.02303998,0.02171786,0.02765022,0.09515108,0.35204137,0.58933453,0.40038614,0.32358958,0.2261694,0.25502893,0.24602656,0.26643051,0.30664703,0.35658646,0.51952127,0.48299301,0.44044914,0.31806385,0.22296283,0.18019102,0.14979477,0.1019548,0.04966217
10049,3206,40,49,4.791351,-74.044975,Habil,ETH,GNV,0.00824177,0.00439619,0.00361032,0.00469795,0.01050811,0.0531512,0.09439489,0.06988624,0.07848637,0.08319026,0.08612491,0.08429465,0.08402978,0.08935468,0.09388332,0.08316179,0.08433618,0.09268235,0.09242321,0.09537914,0.08818109,0.06876612,0.03684386,0.01646731
7289,3206,40,49,4.791351,-74.044975,NHabil,ETH,DSEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7289,3206,40,49,4.791351,-74.044975,NHabil,ETH,GAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7289,3206,40,49,4.791351,-74.044975,NHabil,ETH,GNV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7289,3206,40,49,4.791351,-74.044975,Habil,ETH,DSEL,0.07259766,0.04584641,0.04835051,0.06846662,0.20942888,0.45904598,0.48545309,0.50961891,0.57027776,0.52252121,0.58297686,0.53007828,0.52711862,0.52526516,0.53738905,0.56027961,0.58350607,0.52162511,0.43515823,0.40871546,0.37251774,0.32226968,0.22326363,0.14722808
7289,3206,40,49,4.791351,-74.044975,Habil,ETH,GAS,0.0763294,0.05384551,0.05075567,0.06461984,0.22237255,0.82273727,1.37730253,0.93572129,0.75624405,0.52856851,0.59601462,0.57497568,0.62266064,0.71664857,0.83335934,1.21414563,1.12877739,1.02935038,0.74333016,0.52107465,0.42111488,0.35007746,0.23827316,0.11606282
7289,3206,40,49,4.791351,-74.044975,Habil,ETH,GNV,0.01926142,0.0102741,0.00843748,0.01097932,0.02455792,0.12421687,0.22060527,0.16332743,0.18342637,0.19441955,0.20127799,0.19700059,0.19638153,0.20882611,0.21940972,0.19435299,0.1970976,0.21660297,0.21599739,0.2229055,0.20608337,0.16070966,0.0861058,0.03848492
5530,3209,42,49,4.791351,-74.026985,NHabil,ETH,DSEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5530,3209,42,49,4.791351,-74.026985,NHabil,ETH,GAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5530,3209,42,49,4.791351,-74.026985,NHabil,ETH,GNV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5530,3209,42,49,4.791351,-74.026985,Habil,ETH,DSEL,0.50095038,0.31635703,0.33363627,0.47244473,1.44513603,3.16758552,3.34980425,3.51655723,3.93512553,3.6055878,4.02275409,3.65773439,3.63731161,3.62452204,3.70818139,3.8661346,4.02640583,3.59940444,3.0027513,2.82028641,2.57050902,2.22377902,1.54060089,1.01592776
5530,3209,42,49,4.791351,-74.026985,Habil,ETH,GAS,0.52670087,0.37155372,0.35023273,0.44590046,1.53445217,5.67718866,9.50389214,6.45681983,5.21836116,3.64731652,4.11271936,3.96754288,4.29658669,4.94513771,5.75048491,8.37804992,7.78897774,7.10289487,5.12925051,3.59560617,2.90584705,2.41566283,1.6441721,0.80087605
5530,3209,42,49,4.791351,-74.026985,Habil,ETH,GNV,0.13291088,0.07089502,0.05822165,0.07576124,0.16945863,0.85714191,1.52225726,1.12701914,1.2657092,1.34156611,1.38889191,1.3593763,1.35510454,1.44097675,1.51400754,1.34110686,1.36004562,1.49464004,1.49046115,1.53812966,1.42205077,1.10895558,0.59416154,0.26555992
3756,3206,40,49,4.791351,-74.044975,NHabil,ETH,DSEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3756,3206,40,49,4.791351,-74.044975,NHabil,ETH,GAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3756,3206,40,49,4.791351,-74.044975,NHabil,ETH,GNV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3756,3206,40,49,4.791351,-74.044975,Habil,ETH,DSEL,0.22685405,0.14326145,0.1510863,0.21394533,0.65442599,1.43443267,1.51694995,1.59246357,1.78201109,1.63278083,1.82169346,1.65639529,1.64714689,1.64135517,1.67924006,1.75076878,1.82334715,1.62998071,1.35978792,1.27715919,1.16404817,1.00703241,0.69765699,0.46006018
3756,3206,40,49,4.791351,-74.044975,Habil,ETH,GAS,0.2385151,0.16825711,0.15860196,0.20192483,0.69487259,2.57089979,4.30381226,2.92395366,2.36312095,1.65167759,1.86243402,1.79669123,1.94569785,2.23939246,2.60409177,3.79397759,3.52721786,3.21652703,2.32276746,1.62826066,1.31590511,1.09392648,0.74455896,0.3626746
3756,3206,40,49,4.791351,-74.044975,Habil,ETH,GNV,0.06018834,0.03210464,0.02636552,0.03430827,0.0767389,0.38815443,0.68935014,0.51036762,0.57317303,0.60752465,0.62895602,0.61558994,0.61365547,0.65254249,0.68561429,0.60731669,0.61589304,0.67684377,0.67495136,0.69653792,0.64397189,0.5021876,0.26906446,0.12025811
