FID_LINK,FID_Grilla,COL,ROW,LAT,LON,Type,POLNAME,Category,Hora 0,Hora 1,Hora 2,Hora 3,Hora 4,Hora 5,Hora 6,Hora 7,Hora 8,Hora 9,Hora 10,Hora 11,Hora 12,Hora 13,Hora 14,Hora 15,Hora 16,Hora 17,Hora 18,Hora 19,Hora 20,Hora 21,Hora 22,Hora 23
8963,3206,40,49,4.791351,-74.044975,NHabil,PAR,DSEL,0.38057239,0.26388045,0.26487478,0.30719788,0.79583851,1.68447939,2.22042625,2.29762085,2.4783876,2.29766591,2.06142823,2.15468271,1.96802858,2.04448097,1.86376049,2.14253597,1.74263971,1.64627633,1.6037265,1.62713606,1.41226053,1.15094169,1.15661375,0.78518523
8963,3206,40,49,4.791351,-74.044975,NHabil,PAR,GAS,2.43941922,1.93088194,1.76542717,1.94652002,2.44434074,5.31905286,9.08642114,9.4608307,9.00216327,8.13724318,8.68404529,8.8370463,9.08385242,10.1998255,9.18938085,10.54055173,9.84787096,9.40383031,8.52804901,8.23624643,7.51065674,6.01846672,5.33423018,3.51484215
8963,3206,40,49,4.791351,-74.044975,NHabil,PAR,GNV,1.48716752,1.12061213,1.07021352,1.0654267,0.92667223,1.60371109,3.71493611,4.60848619,5.02835486,4.97520372,5.55559575,5.43303839,4.80482917,5.36882398,5.18105678,6.27817894,6.44671422,6.2977158,6.33082313,6.14588205,5.47545155,4.38324754,3.29279079,2.17789239
10049,3206,40,49,4.791351,-74.044975,NHabil,PAR,DSEL,0.10075039,0.06985808,0.07012131,0.08132566,0.21068536,0.44593862,0.5878219,0.6082579,0.65611299,0.60826987,0.54572975,0.57041736,0.52100369,0.54124323,0.49340041,0.56720171,0.46133565,0.43582499,0.42456063,0.43075795,0.37387312,0.30469317,0.30619476,0.20786508
10049,3206,40,49,4.791351,-74.044975,NHabil,PAR,GAS,0.64579673,0.51116973,0.46736825,0.51530965,0.64709964,1.40813312,2.40548287,2.50460175,2.38317698,2.15420336,2.29896037,2.3394649,2.40480283,2.70023862,2.4327398,2.79044039,2.60706438,2.4895118,2.25766289,2.18041288,1.98832474,1.59329162,1.41215106,0.93049755
10049,3206,40,49,4.791351,-74.044975,NHabil,PAR,GNV,0.39370353,0.29666392,0.28332172,0.28205448,0.24532146,0.42455656,0.98346918,1.22002211,1.33117552,1.31710462,1.47075401,1.43830894,1.27200072,1.42130923,1.3716009,1.66204622,1.70666321,1.66721828,1.67598291,1.62702275,1.44953716,1.16039382,0.87171303,0.57656175
7289,3206,40,49,4.791351,-74.044975,NHabil,PAR,DSEL,0.23545837,0.16326161,0.1638768,0.1900619,0.49238157,1.04217958,1.37376741,1.42152739,1.53336695,1.42155526,1.27539611,1.3330922,1.21761017,1.26491091,1.15309997,1.32557706,1.0781631,1.01854353,0.99221817,1.00670156,0.87375907,0.71208229,0.71559158,0.48579048
7289,3206,40,49,4.791351,-74.044975,NHabil,PAR,GAS,1.50925738,1.19462772,1.0922616,1.20430291,1.51230229,3.29087336,5.62172669,5.85337215,5.56959672,5.03447464,5.37277859,5.46743959,5.62013742,6.31058478,5.68542737,6.52139052,6.09283213,5.81810625,5.27626443,5.09572748,4.64680853,3.7235975,3.3002635,2.17461656
7289,3206,40,49,4.791351,-74.044975,NHabil,PAR,GNV,0.92010367,0.69331752,0.66213616,0.65917455,0.57332781,0.99220863,2.29841377,2.85124906,3.11101986,3.07813549,3.43722136,3.36139567,2.97272554,3.32166654,3.20549582,3.88428021,3.98855222,3.89636761,3.91685093,3.80242877,3.3876365,2.71189496,2.0372344,1.34745195
5530,3209,42,49,4.791351,-74.026985,NHabil,PAR,DSEL,1.62474902,1.12656496,1.13081002,1.31149678,3.39761348,7.19142124,9.47949876,9.80905994,10.58079384,9.80925226,8.80070056,9.19882484,8.40195645,8.72834891,7.95681251,9.14696766,7.43972061,7.02832376,6.84666892,6.94660966,6.02925769,4.91362881,4.93784414,3.35213233
