FID_LINK,FID_Grilla,COL,ROW,LAT,LON,Type,POLNAME,Category,Hora 0,Hora 1,Hora 2,Hora 3,Hora 4,Hora 5,Hora 6,Hora 7,Hora 8,Hora 9,Hora 10,Hora 11,Hora 12,Hora 13,Hora 14,Hora 15,Hora 16,Hora 17,Hora 18,Hora 19,Hora 20,Hora 21,Hora 22,Hora 23
8963,3206,40,49,4.791351,-74.044975,NHabil,PCA,DSEL,0.03062341,0.02270733,0.0240792,0.02978479,0.07436957,0.14211934,0.16480624,0.16604458,0.17799027,0.1660775,0.15631086,0.16031327,0.14763132,0.1588543,0.14569434,0.16659909,0.13465078,0.12127241,0.11581289,0.12448837,0.11107914,0.08840819,0.08845223,0.05951173
8963,3206,40,49,4.791351,-74.044975,NHabil,PCA,GAS,0.01767486,0.0138386,0.01263343,0.01328636,0.01336898,0.02902485,0.05930761,0.06686174,0.06659307,0.06199555,0.06822616,0.06797098,0.06736479,0.07454181,0.06937957,0.08010642,0.07894188,0.07670531,0.07196819,0.06919592,0.06242021,0.05040464,0.04065626,0.02640449
8963,3206,40,49,4.791351,-74.044975,NHabil,PCA,GNV,0.00026292,0.00020139,0.00019413,0.00019461,0.0002185,0.00038877,0.0007577,0.00089533,0.00096599,0.00095597,0.00103969,0.00099996,0.00090763,0.00101525,0.00098709,0.00118012,0.00119199,0.00115628,0.00115195,0.00111796,0.00098765,0.00076924,0.00059012,0.00038556
10049,3206,40,49,4.791351,-74.044975,NHabil,PCA,DSEL,0.00810704,0.0060114,0.00637458,0.00788504,0.01968814,0.03762381,0.0436298,0.0439576,0.04712004,0.04396631,0.04138077,0.04244034,0.039083,0.0420541,0.03857021,0.0441044,0.03564661,0.0321049,0.03065961,0.03295628,0.02940641,0.02340463,0.0234163,0.01575477
10049,3206,40,49,4.791351,-74.044975,NHabil,PCA,GAS,0.00467913,0.00366353,0.00334451,0.00351736,0.00353922,0.00768386,0.01570072,0.01770058,0.01762945,0.01641233,0.01806177,0.01799422,0.01783373,0.01973373,0.01836712,0.02120689,0.02089859,0.02030649,0.01905243,0.01831851,0.01652475,0.0133438,0.0107631,0.00699014
10049,3206,40,49,4.791351,-74.044975,NHabil,PCA,GNV,6.961e-05,5.332e-05,5.139e-05,5.151e-05,5.784e-05,0.00010291,0.00020056,0.00023701,0.00025572,0.00025308,0.00027524,0.0002647,0.00024026,0.00026876,0.00026133,0.00031242,0.00031556,0.00030609,0.00030497,0.00029596,0.00026146,0.00020364,0.00015622,0.00010208
7289,3206,40,49,4.791351,-74.044975,NHabil,PCA,DSEL,0.01894657,0.01404892,0.01489771,0.01842772,0.04601211,0.0879286,0.10196485,0.10273102,0.11012175,0.10275138,0.09670881,0.09918507,0.09133883,0.09828241,0.09014041,0.10307408,0.08330781,0.07503067,0.07165292,0.07702037,0.06872415,0.05469775,0.05472498,0.03681965
7289,3206,40,49,4.791351,-74.044975,NHabil,PCA,GAS,0.01093536,0.00856188,0.00781626,0.00822021,0.00827134,0.01795756,0.03669335,0.04136706,0.04120084,0.03835637,0.0422112,0.04205333,0.04167828,0.04611868,0.04292484,0.04956147,0.04884098,0.04745722,0.0445264,0.0428112,0.03861909,0.03118511,0.02515382,0.01633635
7289,3206,40,49,4.791351,-74.044975,NHabil,PCA,GNV,0.00016267,0.00012461,0.0001201,0.0001204,0.00013519,0.00024053,0.00046879,0.00055395,0.00059765,0.00059145,0.00064325,0.00061867,0.00056153,0.00062812,0.00061071,0.00073012,0.00073749,0.00071539,0.00071271,0.00069168,0.00061105,0.00047593,0.00036509,0.00023853
5530,3209,42,49,4.791351,-74.026985,NHabil,PCA,DSEL,0.13073821,0.09694271,0.10279951,0.12715795,0.3175004,0.6067395,0.70359492,0.70888169,0.7598805,0.70902214,0.6673262,0.68441335,0.63027128,0.67818463,0.6220019,0.71124896,0.57485457,0.51773923,0.49443133,0.53146877,0.47422182,0.37743447,0.37762243,0.25406897
5530,3209,42,49,4.791351,-74.026985,NHabil,PCA,GAS,0.07545793,0.05908009,0.05393502,0.05672247,0.05707525,0.12391366,0.25319748,0.2854478,0.28430085,0.26467294,0.29127275,0.29018342,0.28759541,0.31823568,0.29619701,0.34199243,0.33702063,0.32747219,0.30724839,0.29541302,0.26648591,0.21518868,0.17357066,0.11272671
