FID_LINK,FID_Grilla,COL,ROW,LAT,LON,Type,POLNAME,Category,Hora 0,Hora 1,Hora 2,Hora 3,Hora 4,Hora 5,Hora 6,Hora 7,Hora 8,Hora 9,Hora 10,Hora 11,Hora 12,Hora 13,Hora 14,Hora 15,Hora 16,Hora 17,Hora 18,Hora 19,Hora 20,Hora 21,Hora 22,Hora 23
8963,3206,40,49,4.791351,-74.044975,NHabil,PK,DSEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8963,3206,40,49,4.791351,-74.044975,NHabil,PK,GAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8963,3206,40,49,4.791351,-74.044975,NHabil,PK,GNV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8963,3206,40,49,4.791351,-74.044975,Habil,PK,DSEL,0.00192606,0.00135083,0.00144488,0.00212718,0.00589306,0.01179108,0.01101615,0.01132594,0.01295153,0.01170726,0.01424727,0.01267219,0.01278911,0.01272496,0.01281912,0.01324562,0.01352071,0.01158039,0.0096981,0.00960575,0.00879634,0.0076403,0.00536532,0.00364167
8963,3206,40,49,4.791351,-74.044975,Habil,PK,GAS,0.00050317,0.00030725,0.00026899,0.00033674,0.00102731,0.00433711,0.00794831,0.0059705,0.00524735,0.00436626,0.00464727,0.0045486,0.00466782,0.0050828,0.0055909,0.00676012,0.00667635,0.00697483,0.00562181,0.00448055,0.00383682,0.00315872,0.00195579,0.00086716
8963,3206,40,49,4.791351,-74.044975,Habil,PK,GNV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10049,3206,40,49,4.791351,-74.044975,NHabil,PK,DSEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10049,3206,40,49,4.791351,-74.044975,NHabil,PK,GAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10049,3206,40,49,4.791351,-74.044975,NHabil,PK,GNV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10049,3206,40,49,4.791351,-74.044975,Habil,PK,DSEL,0.00050989,0.00035761,0.0003825,0.00056312,0.00156008,0.00312149,0.00291636,0.00299837,0.00342869,0.00309931,0.00377173,0.00335476,0.00338569,0.00336873,0.00339365,0.00350656,0.00357939,0.00306571,0.00256742,0.00254296,0.0023287,0.00202263,0.00142039,0.00096407
10049,3206,40,49,4.791351,-74.044975,Habil,PK,GAS,0.0001332,8.136e-05,7.121e-05,8.914e-05,0.00027196,0.00114819,0.00210419,0.00158058,0.00138915,0.00115591,0.00123029,0.00120417,0.00123573,0.00134559,0.00148011,0.00178964,0.00176744,0.00184648,0.00148829,0.00118615,0.00101574,0.00083623,0.00051776,0.00022958
10049,3206,40,49,4.791351,-74.044975,Habil,PK,GNV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7289,3206,40,49,4.791351,-74.044975,NHabil,PK,DSEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7289,3206,40,49,4.791351,-74.044975,NHabil,PK,GAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7289,3206,40,49,4.791351,-74.044975,NHabil,PK,GNV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7289,3206,40,49,4.791351,-74.044975,Habil,PK,DSEL,0.00119163,0.00083572,0.00089394,0.00131608,0.00364599,0.00729509,0.00681564,0.00700732,0.00801305,0.00724323,0.00881471,0.00784023,0.00791257,0.00787287,0.00793113,0.00819502,0.00836519,0.00716474,0.00600018,0.00594302,0.00544226,0.004727,0.0033195,0.00225307
7289,3206,40,49,4.791351,-74.044975,Habil,PK,GAS,0.0003113,0.00019011,0.00016641,0.00020834,0.00063561,0.00268334,0.00491757,0.00369389,0.00324651,0.00270138,0.00287525,0.00281418,0.00288797,0.0031447,0.00345907,0.00418245,0.00413063,0.00431529,0.00347819,0.0027721,0.00237384,0.00195428,0.00121002,0.00053652
7289,3206,40,49,4.791351,-74.044975,Habil,PK,GNV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5530,3209,42,49,4.791351,-74.026985,NHabil,PK,DSEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5530,3209,42,49,4.791351,-74.026985,NHabil,PK,GAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5530,3209,42,49,4.791351,-74.026985,NHabil,PK,GNV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5530,3209,42,49,4.791351,-74.026985,Habil,PK,DSEL,0.00822282,0.00576699,0.00616846,0.00908147,0.0251588,0.05033877,0.04703041,0.04835298,0.05529298,0.04998091,0.06082478,0.05410047,0.05459961,0.05432569,0.05472772,0.05654849,0.057723,0.04943934,0.04140343,0.04100911,0.03755351,0.0326181,0.02290568,0.01554708
5530,3209,42,49,4.791351,-74.026985,Habil,PK,GAS,0.00214815,0.0013118,0.00114837,0.00143757,0.00438591,0.01851614,0.03393311,0.02548934,0.02240212,0.01864056,0.01984027,0.01941898,0.01992805,0.02169964,0.02386877,0.02886046,0.02850279,0.02977715,0.02400076,0.01912853,0.01638025,0.01348537,0.00834965,0.00370216
5530,3209,42,49,4.791351,-74.026985,Habil,PK,GNV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3756,3206,40,49,4.791351,-74.044975,NHabil,PK,DSEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3756,3206,40,49,4.791351,-74.044975,NHabil,PK,GAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3756,3206,40,49,4.791351,-74.044975,NHabil,PK,GNV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3756,3206,40,49,4.791351,-74.044975,Habil,PK,DSEL,0.00372367,0.00261156,0.00279338,0.00411253,0.01139308,0.02279578,0.02129759,0.02189651,0.02503927,0.02263373,0.02754435,0.02449924,0.02472529,0.02460124,0.0247833,0.02560782,0.02613971,0.02238847,0.01874943,0.01857086,0.01700601,0.01477101,0.01037277,0.00704046
3756,3206,40,49,4.791351,-74.044975,Habil,PK,GAS,0.00097277,0.00059404,0.00052003,0.00065099,0.00198615,0.00838499,0.01536653,0.01154279,0.01014473,0.00844134,0.00898462,0.00879384,0.00902436,0.00982663,0.0108089,0.01306939,0.01290741,0.01348449,0.01086868,0.00866231,0.00741775,0.0061068,0.00378112,0.00167651
3756,3206,40,49,4.791351,-74.044975,Habil,PK,GNV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
