FID_LINK,FID_Grilla,COL,ROW,LAT,LON,Type,POLNAME,Category,Hora 0,Hora 1,Hora 2,Hora 3,Hora 4,Hora 5,Hora 6,Hora 7,Hora 8,Hora 9,Hora 10,Hora 11,Hora 12,Hora 13,Hora 14,Hora 15,Hora 16,Hora 17,Hora 18,Hora 19,Hora 20,Hora 21,Hora 22,Hora 23
8963,3206,40,49,4.791351,-74.044975,NHabil,PM10 TIRE,DSEL,0.13197739,0.07613643,0.07467712,0.0844886,0.21948454,0.48385221,0.66321463,0.71142711,0.76190372,0.70158157,0.63568516,0.66376063,0.61852401,0.636873,0.59820121,0.68356343,0.58269314,0.56108978,0.55910198,0.55384032,0.49044665,0.41109767,0.41195395,0.26811196
8963,3206,40,49,4.791351,-74.044975,NHabil,PM10 TIRE,GAS,0.9128819,0.6942143,0.65835325,0.66576488,0.6272695,1.15331734,2.47278615,2.95021624,3.13983312,3.06203648,3.39075281,3.33753355,3.02413886,3.3824854,3.2216132,3.86905028,3.91158973,3.80746029,3.77198257,3.66046528,3.26928603,2.6161093,2.01602081,1.33292608
8963,3206,40,49,4.791351,-74.044975,NHabil,PM10 TIRE,GNV,0.12353279,0.09436733,0.09087415,0.09254016,0.096233,0.16823459,0.33031903,0.39483114,0.42840675,0.4244771,0.46493985,0.4524735,0.40435383,0.45253539,0.43567012,0.52633888,0.53001481,0.51492834,0.51266552,0.49871612,0.44234611,0.34892008,0.26974033,0.17924408
10049,3206,40,49,4.791351,-74.044975,NHabil,PM10 TIRE,DSEL,0.03493886,0.02015589,0.01976955,0.02236699,0.05810497,0.12809205,0.17557533,0.18833879,0.20170167,0.18573235,0.16828733,0.17571988,0.16374423,0.1686018,0.15836407,0.18096233,0.15425857,0.14853944,0.14801319,0.14662026,0.12983781,0.10883146,0.10905814,0.0709783
10049,3206,40,49,4.791351,-74.044975,NHabil,PM10 TIRE,GAS,0.24167071,0.18378202,0.17428837,0.17625048,0.16605946,0.30532211,0.65463009,0.78102199,0.83121996,0.81062457,0.8976469,0.88355797,0.8005918,0.89545824,0.85286993,1.02426839,1.03553003,1.00796346,0.99857131,0.96904892,0.86549055,0.69257256,0.53370886,0.35287062
10049,3206,40,49,4.791351,-74.044975,NHabil,PM10 TIRE,GNV,0.03270331,0.02498222,0.02405746,0.02449854,0.02547612,0.0445374,0.08744662,0.10452516,0.11341375,0.11237344,0.12308528,0.11978504,0.10704613,0.11980143,0.1153366,0.13933972,0.14031282,0.13631895,0.13571989,0.13202703,0.11710397,0.09237094,0.07140938,0.04745196
7289,3206,40,49,4.791351,-74.044975,NHabil,PM10 TIRE,DSEL,0.0816538,0.04710525,0.04620241,0.0522727,0.13579409,0.29935711,0.41032782,0.44015666,0.47138632,0.43406526,0.39329547,0.41066562,0.38267794,0.39403036,0.37010431,0.42291751,0.36050953,0.34714365,0.34591383,0.34265844,0.30343705,0.25434421,0.25487399,0.16587964
7289,3206,40,49,4.791351,-74.044975,NHabil,PM10 TIRE,GAS,0.5647958,0.42950716,0.40732011,0.41190565,0.38808874,0.71355211,1.52990134,1.82528513,1.94260019,1.89446778,2.09784306,2.06491656,1.8710207,2.09272805,1.99319717,2.39376347,2.42008246,2.35565803,2.33370815,2.26471293,2.0226921,1.61857472,1.24730276,0.82467519
7289,3206,40,49,4.791351,-74.044975,NHabil,PM10 TIRE,GNV,0.07642917,0.05838464,0.05622341,0.05725418,0.05953892,0.10408596,0.20436684,0.2442802,0.26505328,0.26262202,0.28765613,0.27994326,0.25017183,0.27998154,0.26954709,0.32564342,0.3279177,0.31858378,0.31718378,0.30855335,0.2736775,0.21587523,0.1668871,0.11089749
5530,3209,42,49,4.791351,-74.026985,NHabil,PM10 TIRE,DSEL,0.56344117,0.32504352,0.31881349,0.36070087,0.93702885,2.06567387,2.83141235,3.03724225,3.25273823,2.99520938,2.71388287,2.83374334,2.64061806,2.71895395,2.55385541,2.91828586,2.48764791,2.39541845,2.38693208,2.36446883,2.09382694,1.75506836,1.75872405,1.14463028
5530,3209,42,49,4.791351,-74.026985,NHabil,PM10 TIRE,GAS,3.89729802,2.9637569,2.81065797,2.84229995,2.67795451,4.92377094,10.55687993,12.59513633,13.40465341,13.07252202,14.47588599,14.24868103,12.91072863,14.44059053,13.75379101,16.51784542,16.6994559,16.25490383,16.10344155,15.6273492,13.95731694,11.1687588,8.60684609,5.6905611
5530,3209,42,49,4.791351,-74.026985,NHabil,PM10 TIRE,GNV,0.52738924,0.40287532,0.38796224,0.3950748,0.41084034,0.71823131,1.41020617,1.68562285,1.82896473,1.81218813,1.98493266,1.9317111,1.72627739,1.93197531,1.8599737,2.24705896,2.26275231,2.19834488,2.1886843,2.12913119,1.88847503,1.48961824,1.15158212,0.7652333
3756,3206,40,49,4.791351,-74.044975,NHabil,PM10 TIRE,DSEL,0.25515286,0.1471951,0.14437384,0.16334242,0.42433102,0.93543492,1.28219753,1.37540706,1.47299386,1.35637261,1.22897464,1.28325311,1.19579684,1.23127105,1.15650663,1.32153799,1.12652472,1.08475885,1.08091584,1.07074342,0.94818396,0.79477804,0.79643352,0.51834277
3756,3206,40,49,4.791351,-74.044975,NHabil,PM10 TIRE,GAS,1.76488102,1.34212941,1.27279899,1.28712796,1.21270457,2.22971656,4.78065497,5.70367396,6.07026161,5.91985679,6.55536642,6.45247727,5.84658908,6.53938297,6.22836766,7.48006233,7.56230415,7.36098991,7.29240063,7.0768035,6.32053382,5.05774269,3.89758736,2.57695542
3756,3206,40,49,4.791351,-74.044975,NHabil,PM10 TIRE,GNV,0.2388268,0.18244103,0.17568766,0.17890858,0.18604795,0.32524913,0.63860812,0.76332982,0.82824181,0.82064457,0.89887147,0.87477023,0.78174011,0.87488989,0.84228415,1.01757467,1.02468136,0.99551462,0.99113988,0.96417139,0.8551909,0.67456963,0.5214909,0.34653385
