FID_LINK,FID_Grilla,COL,ROW,LAT,LON,Type,POLNAME,Category,Hora 0,Hora 1,Hora 2,Hora 3,Hora 4,Hora 5,Hora 6,Hora 7,Hora 8,Hora 9,Hora 10,Hora 11,Hora 12,Hora 13,Hora 14,Hora 15,Hora 16,Hora 17,Hora 18,Hora 19,Hora 20,Hora 21,Hora 22,Hora 23
8963,3206,40,49,4.791351,-74.044975,NHabil,PMG,DSEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8963,3206,40,49,4.791351,-74.044975,NHabil,PMG,GAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8963,3206,40,49,4.791351,-74.044975,NHabil,PMG,GNV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8963,3206,40,49,4.791351,-74.044975,Habil,PMG,DSEL,0.00114771,0.00079839,0.00085264,0.00125881,0.00349351,0.00703017,0.00663325,0.00680035,0.00776088,0.00702217,0.00850917,0.00758079,0.00764813,0.00761322,0.00767462,0.00791762,0.00809395,0.00696807,0.00585623,0.00580757,0.00532321,0.00461424,0.00323917,0.00217387
8963,3206,40,49,4.791351,-74.044975,Habil,PMG,GAS,0.00085427,0.00052167,0.00045669,0.00057171,0.00174422,0.00736353,0.01349475,0.01013694,0.00890907,0.00741305,0.00789018,0.00772262,0.00792506,0.00862956,0.00949214,0.01147737,0.01133519,0.01184212,0.00954478,0.00760698,0.00651398,0.00536282,0.00332052,0.00147229
8963,3206,40,49,4.791351,-74.044975,Habil,PMG,GNV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10049,3206,40,49,4.791351,-74.044975,NHabil,PMG,DSEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10049,3206,40,49,4.791351,-74.044975,NHabil,PMG,GAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10049,3206,40,49,4.791351,-74.044975,NHabil,PMG,GNV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10049,3206,40,49,4.791351,-74.044975,Habil,PMG,DSEL,0.00030385,0.00021136,0.00022571,0.00033324,0.00092484,0.00186114,0.00175603,0.00180027,0.00205455,0.00185898,0.00225267,0.00200691,0.00202474,0.00201546,0.00203174,0.00209605,0.00214274,0.00184471,0.00155034,0.00153746,0.00140923,0.00122155,0.00085752,0.00057551
10049,3206,40,49,4.791351,-74.044975,Habil,PMG,GAS,0.00022616,0.0001381,0.0001209,0.00015135,0.00046177,0.00194939,0.00357252,0.0026836,0.00235855,0.00196248,0.00208879,0.00204444,0.00209804,0.00228453,0.00251289,0.00303844,0.00300081,0.00313502,0.00252681,0.00201382,0.00172447,0.00141971,0.00087906,0.00038976
10049,3206,40,49,4.791351,-74.044975,Habil,PMG,GNV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7289,3206,40,49,4.791351,-74.044975,NHabil,PMG,DSEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7289,3206,40,49,4.791351,-74.044975,NHabil,PMG,GAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7289,3206,40,49,4.791351,-74.044975,NHabil,PMG,GNV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7289,3206,40,49,4.791351,-74.044975,Habil,PMG,DSEL,0.00071007,0.00049395,0.00052754,0.00077881,0.00216143,0.00434952,0.00410394,0.00420734,0.00480163,0.00434458,0.0052646,0.0046902,0.00473185,0.00471026,0.00474825,0.00489859,0.00500768,0.0043111,0.00362325,0.00359313,0.00329343,0.00285481,0.00200407,0.00134497
7289,3206,40,49,4.791351,-74.044975,Habil,PMG,GAS,0.00052854,0.00032277,0.00028254,0.0003537,0.00107915,0.0045558,0.00834914,0.00627169,0.00551201,0.00458643,0.0048816,0.00477795,0.0049032,0.00533907,0.00587276,0.00710098,0.00701303,0.00732668,0.00590533,0.00470639,0.00403018,0.00331796,0.00205437,0.0009109
7289,3206,40,49,4.791351,-74.044975,Habil,PMG,GNV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5530,3209,42,49,4.791351,-74.026985,NHabil,PMG,DSEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5530,3209,42,49,4.791351,-74.026985,NHabil,PMG,GAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5530,3209,42,49,4.791351,-74.026985,NHabil,PMG,GNV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5530,3209,42,49,4.791351,-74.026985,Habil,PMG,DSEL,0.00489979,0.00340848,0.00364009,0.0053741,0.01491452,0.03001334,0.02831875,0.02903226,0.03313288,0.02997913,0.03632763,0.03236418,0.03265161,0.03250256,0.03276467,0.03380211,0.0345549,0.0297482,0.02500161,0.02479385,0.02272596,0.0196993,0.01382881,0.00928075
5530,3209,42,49,4.791351,-74.026985,Habil,PMG,GAS,0.00364712,0.00222719,0.00194976,0.00244074,0.00744647,0.03143663,0.05761206,0.0432769,0.03803485,0.03164799,0.03368493,0.03296968,0.03383384,0.03684154,0.04052418,0.04899941,0.0483925,0.05055668,0.04074884,0.0324759,0.02780968,0.02289511,0.01417605,0.00628552
5530,3209,42,49,4.791351,-74.026985,Habil,PMG,GNV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3756,3206,40,49,4.791351,-74.044975,NHabil,PMG,DSEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3756,3206,40,49,4.791351,-74.044975,NHabil,PMG,GAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3756,3206,40,49,4.791351,-74.044975,NHabil,PMG,GNV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
