FID_LINK,FID_Grilla,COL,ROW,LAT,LON,Type,POLNAME,Category,Hora 0,Hora 1,Hora 2,Hora 3,Hora 4,Hora 5,Hora 6,Hora 7,Hora 8,Hora 9,Hora 10,Hora 11,Hora 12,Hora 13,Hora 14,Hora 15,Hora 16,Hora 17,Hora 18,Hora 19,Hora 20,Hora 21,Hora 22,Hora 23
8963,3206,40,49,4.791351,-74.044975,NHabil,PMN,DSEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8963,3206,40,49,4.791351,-74.044975,NHabil,PMN,GAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8963,3206,40,49,4.791351,-74.044975,NHabil,PMN,GNV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8963,3206,40,49,4.791351,-74.044975,Habil,PMN,DSEL,5.411e-05,3.392e-05,3.602e-05,4.98e-05,0.00014861,0.00033826,0.00036529,0.00037282,0.0004219,0.0003923,0.00043877,0.00040195,0.00039689,0.00039567,0.00040782,0.00042245,0.00043918,0.00039276,0.00032856,0.00030574,0.00027735,0.00023826,0.00016287,0.00010555
8963,3206,40,49,4.791351,-74.044975,Habil,PMN,GAS,3.988e-05,2.249e-05,1.903e-05,2.424e-05,6.223e-05,0.00028633,0.00052602,0.00040316,0.00039853,0.00037974,0.00039766,0.00038937,0.00039112,0.00041701,0.00044412,0.00045099,0.00045695,0.00050076,0.00045,0.0004127,0.00036987,0.000296,0.00016916,7.477e-05
8963,3206,40,49,4.791351,-74.044975,Habil,PMN,GNV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10049,3206,40,49,4.791351,-74.044975,NHabil,PMN,DSEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10049,3206,40,49,4.791351,-74.044975,NHabil,PMN,GAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10049,3206,40,49,4.791351,-74.044975,NHabil,PMN,GNV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10049,3206,40,49,4.791351,-74.044975,Habil,PMN,DSEL,1.432e-05,8.99e-06,9.53e-06,1.318e-05,3.935e-05,8.955e-05,9.671e-05,9.87e-05,0.00011171,0.00010385,0.00011616,0.00010641,0.00010505,0.00010478,0.00010796,0.00011185,0.00011626,0.00010399,8.698e-05,8.091e-05,7.343e-05,6.307e-05,4.313e-05,2.795e-05
10049,3206,40,49,4.791351,-74.044975,Habil,PMN,GAS,1.056e-05,5.96e-06,5.03e-06,6.42e-06,1.648e-05,7.578e-05,0.00013926,0.00010673,0.0001055,0.00010054,0.00010529,0.00010309,0.00010352,0.0001104,0.00011758,0.0001194,0.00012097,0.00013259,0.00011913,0.00010927,9.793e-05,7.838e-05,4.48e-05,1.979e-05
10049,3206,40,49,4.791351,-74.044975,Habil,PMN,GNV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7289,3206,40,49,4.791351,-74.044975,NHabil,PMN,DSEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7289,3206,40,49,4.791351,-74.044975,NHabil,PMN,GAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7289,3206,40,49,4.791351,-74.044975,NHabil,PMN,GNV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7289,3206,40,49,4.791351,-74.044975,Habil,PMN,DSEL,3.346e-05,2.099e-05,2.229e-05,3.081e-05,9.195e-05,0.00020926,0.00022598,0.00023065,0.00026104,0.0002427,0.00027146,0.00024868,0.00024556,0.00024479,0.00025232,0.00026134,0.00027171,0.00024299,0.00020328,0.00018914,0.00017159,0.00014743,0.00010077,6.532e-05
7289,3206,40,49,4.791351,-74.044975,Habil,PMN,GAS,2.468e-05,1.391e-05,1.176e-05,1.501e-05,3.85e-05,0.00017716,0.00032545,0.00024944,0.00024655,0.00023496,0.00024604,0.0002409,0.00024198,0.00025802,0.00027476,0.00027902,0.0002827,0.00030983,0.00027841,0.00025532,0.00022883,0.00018313,0.00010466,4.626e-05
7289,3206,40,49,4.791351,-74.044975,Habil,PMN,GNV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5530,3209,42,49,4.791351,-74.026985,NHabil,PMN,DSEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5530,3209,42,49,4.791351,-74.026985,NHabil,PMN,GAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5530,3209,42,49,4.791351,-74.026985,NHabil,PMN,GNV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5530,3209,42,49,4.791351,-74.026985,Habil,PMN,DSEL,0.00023101,0.00014485,0.00015378,0.00021256,0.00063443,0.00144407,0.0015594,0.00159163,0.00180126,0.0016748,0.00187315,0.00171602,0.00169432,0.00168921,0.00174104,0.00180351,0.00187499,0.00167674,0.00140267,0.00130522,0.00118413,0.0010172,0.00069533,0.00045062
5530,3209,42,49,4.791351,-74.026985,Habil,PMN,GAS,0.00017024,9.597e-05,8.119e-05,0.00010353,0.00026568,0.0012224,0.00224568,0.00172121,0.00170141,0.00162124,0.00169767,0.00166228,0.00166971,0.0017803,0.00189604,0.00192538,0.00195087,0.00213792,0.00192112,0.00176193,0.00157903,0.00126367,0.00072218,0.00031912
5530,3209,42,49,4.791351,-74.026985,Habil,PMN,GNV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
