FID_LINK,FID_Grilla,COL,ROW,LAT,LON,Type,POLNAME,Category,Hora 0,Hora 1,Hora 2,Hora 3,Hora 4,Hora 5,Hora 6,Hora 7,Hora 8,Hora 9,Hora 10,Hora 11,Hora 12,Hora 13,Hora 14,Hora 15,Hora 16,Hora 17,Hora 18,Hora 19,Hora 20,Hora 21,Hora 22,Hora 23
8963,3206,40,49,4.791351,-74.044975,NHabil,PMOTHR,DSEL,0.09577164,0.0710672,0.07537428,0.0932613,0.23298111,0.44518152,0.51606728,0.5198468,0.55726125,0.51992852,0.48927994,0.50182853,0.46212216,0.4972638,0.45601471,0.52142841,0.42127119,0.37934142,0.36222198,0.38944428,0.34748149,0.27652485,0.27668329,0.1861957
8963,3206,40,49,4.791351,-74.044975,NHabil,PMOTHR,GAS,0.05610117,0.04392467,0.0400994,0.04217183,0.04243429,0.09212748,0.18824701,0.21222409,0.21137106,0.19677801,0.21655424,0.21574443,0.21382062,0.23660098,0.22021555,0.25426324,0.25056657,0.24346748,0.22843131,0.21963201,0.19812548,0.15998732,0.12904559,0.08380959
8963,3206,40,49,4.791351,-74.044975,NHabil,PMOTHR,GNV,0.02374738,0.01818974,0.01753373,0.01757798,0.01973569,0.03511318,0.06843432,0.08086656,0.08724711,0.08634128,0.09390416,0.09031449,0.08197541,0.0916945,0.08915233,0.10658603,0.10765943,0.10443235,0.10404259,0.10097261,0.089204,0.06947771,0.05329894,0.03482315
10049,3206,40,49,4.791351,-74.044975,NHabil,PMOTHR,DSEL,0.02535399,0.01881389,0.01995413,0.02468941,0.06167798,0.11785459,0.13662047,0.13762101,0.14752591,0.13764266,0.12952894,0.13285099,0.12233938,0.13164254,0.1207225,0.13803975,0.11152474,0.1004245,0.0958924,0.10309908,0.09199009,0.07320549,0.07324743,0.0492923
10049,3206,40,49,4.791351,-74.044975,NHabil,PMOTHR,GAS,0.01485187,0.01162835,0.01061567,0.01116431,0.0112338,0.02438926,0.04983536,0.05618291,0.05595705,0.05209379,0.05732923,0.05711485,0.05660555,0.06263628,0.05829851,0.06731206,0.06633343,0.06445408,0.0604735,0.05814403,0.05245052,0.04235405,0.03416272,0.02218724
10049,3206,40,49,4.791351,-74.044975,NHabil,PMOTHR,GNV,0.00628673,0.00481545,0.00464178,0.00465348,0.00522472,0.00929563,0.01811688,0.02140811,0.02309726,0.02285746,0.02485961,0.02390927,0.02170167,0.02427463,0.02360164,0.02821693,0.02850109,0.02764677,0.02754359,0.02673086,0.02361532,0.01839311,0.01411004,0.00921888
7289,3206,40,49,4.791351,-74.044975,NHabil,PMOTHR,DSEL,0.05925348,0.04396895,0.04663372,0.05770034,0.14414432,0.27543174,0.31928845,0.3216268,0.34477498,0.32167735,0.3027152,0.310479,0.28591283,0.3076548,0.28213419,0.32260534,0.26063853,0.23469677,0.22410508,0.24094737,0.21498519,0.17108464,0.17118269,0.11519843
7289,3206,40,49,4.791351,-74.044975,NHabil,PMOTHR,GAS,0.03470953,0.02717597,0.02480932,0.02609152,0.02625389,0.05699885,0.11646756,0.13130208,0.13077429,0.12174566,0.1339811,0.13348008,0.13228983,0.1463839,0.13624635,0.15731148,0.15502437,0.15063223,0.14132941,0.13588531,0.12257931,0.09898341,0.07983992,0.0518526
7289,3206,40,49,4.791351,-74.044975,NHabil,PMOTHR,GNV,0.01469238,0.01125391,0.01084803,0.01087542,0.01221039,0.02172437,0.04233998,0.05003176,0.05397939,0.05341896,0.05809809,0.05587717,0.05071782,0.05673097,0.05515813,0.06594428,0.0666084,0.06461182,0.06437067,0.06247129,0.05519012,0.04298553,0.03297581,0.02154493
5530,3209,42,49,4.791351,-74.026985,NHabil,PMOTHR,DSEL,0.4088707,0.30340189,0.32178967,0.39815343,0.99464868,1.90058001,2.20320729,2.21934285,2.37907364,2.21969167,2.08884596,2.14241884,1.97290343,2.12293091,1.94682927,2.22609512,1.7985014,1.61949376,1.54640711,1.66262516,1.48347657,1.18054672,1.18122323,0.79491124
5530,3209,42,49,4.791351,-74.026985,NHabil,PMOTHR,GAS,0.23950849,0.18752424,0.1711933,0.18004107,0.18116149,0.39331294,0.80366884,0.90603241,0.90239055,0.84008957,0.92451872,0.92106148,0.91284834,1.01010279,0.94014969,1.08550687,1.06972502,1.03941745,0.97522467,0.93765842,0.84584223,0.68302183,0.55092467,0.35780201
5530,3209,42,49,4.791351,-74.026985,NHabil,PMOTHR,GNV,0.10138291,0.07765618,0.07485544,0.0750444,0.0842561,0.14990606,0.2921615,0.3452376,0.37247753,0.36861039,0.40089803,0.38557286,0.34997147,0.39146447,0.3806114,0.45503976,0.45962236,0.44584521,0.44418122,0.43107481,0.38083194,0.29661595,0.2275452,0.14866792
