FID_LINK,FID_Grilla,COL,ROW,LAT,LON,Type,POLNAME,Category,Hora 0,Hora 1,Hora 2,Hora 3,Hora 4,Hora 5,Hora 6,Hora 7,Hora 8,Hora 9,Hora 10,Hora 11,Hora 12,Hora 13,Hora 14,Hora 15,Hora 16,Hora 17,Hora 18,Hora 19,Hora 20,Hora 21,Hora 22,Hora 23
8963,3206,40,49,4.791351,-74.044975,NHabil,PNO3,DSEL,0.01581161,0.01174276,0.01245698,0.01541819,0.03853892,0.07363243,0.0853233,0.08592982,0.09211722,0.08593935,0.08085978,0.08293742,0.07637362,0.08218341,0.07535599,0.08616235,0.06958138,0.06264203,0.05980716,0.06431844,0.05738548,0.04566035,0.04569041,0.03075509
8963,3206,40,49,4.791351,-74.044975,NHabil,PNO3,GAS,0.00353634,0.00276876,0.00252767,0.00265828,0.00267478,0.00580698,0.01186575,0.01337721,0.01332357,0.01240381,0.01365042,0.01359934,0.01347786,0.01491381,0.01388104,0.01602731,0.01579435,0.01534687,0.01439925,0.01384459,0.01248889,0.01008483,0.00813435,0.00528292
8963,3206,40,49,4.791351,-74.044975,NHabil,PNO3,GNV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10049,3206,40,49,4.791351,-74.044975,NHabil,PNO3,DSEL,0.00418588,0.00310871,0.0032978,0.00408173,0.01020254,0.01949299,0.02258797,0.02274853,0.02438654,0.02275105,0.02140631,0.02195633,0.02021868,0.02175673,0.01994928,0.02281008,0.01842056,0.01658345,0.01583297,0.01702727,0.01519187,0.01208783,0.01209578,0.00814193
10049,3206,40,49,4.791351,-74.044975,NHabil,PNO3,GAS,0.00093619,0.00073299,0.00066915,0.00070375,0.00070811,0.0015373,0.00314126,0.0035414,0.0035272,0.00328372,0.00361372,0.00360019,0.00356806,0.00394819,0.00367478,0.00424298,0.0041813,0.00406285,0.00381197,0.00366512,0.00330624,0.00266978,0.00215344,0.00139856
10049,3206,40,49,4.791351,-74.044975,NHabil,PNO3,GNV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7289,3206,40,49,4.791351,-74.044975,NHabil,PNO3,DSEL,0.00978259,0.0072652,0.00770708,0.00953916,0.02384384,0.04555603,0.05278913,0.05316438,0.0569925,0.05317029,0.05002757,0.05131299,0.04725201,0.05084651,0.04662238,0.05330825,0.04304967,0.03875634,0.03700241,0.03979352,0.03550414,0.02824985,0.02826844,0.01902803
7289,3206,40,49,4.791351,-74.044975,NHabil,PNO3,GAS,0.00218792,0.00171303,0.00156386,0.00164467,0.00165488,0.00359276,0.00734126,0.0082764,0.00824323,0.00767416,0.00844545,0.00841385,0.00833869,0.00922712,0.00858813,0.00991602,0.00977189,0.00949504,0.00890874,0.00856558,0.00772681,0.00623944,0.00503269,0.00326851
7289,3206,40,49,4.791351,-74.044975,NHabil,PNO3,GNV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5530,3209,42,49,4.791351,-74.026985,NHabil,PNO3,DSEL,0.06750336,0.05013253,0.05318163,0.06582367,0.16453125,0.31435335,0.36426435,0.36685368,0.39326916,0.3668944,0.34520861,0.35407852,0.32605618,0.3508595,0.32171155,0.36784647,0.29705854,0.26743286,0.25533024,0.2745899,0.24499153,0.19493436,0.1950627,0.13130038
5530,3209,42,49,4.791351,-74.026985,NHabil,PNO3,GAS,0.01509742,0.01182052,0.01079118,0.0113488,0.01141926,0.02479134,0.05065753,0.05711027,0.0568813,0.05295463,0.05827665,0.05805864,0.05754003,0.06367047,0.05926127,0.06842414,0.0674297,0.06551927,0.06147356,0.05910565,0.05331789,0.0430544,0.03472733,0.02255397
5530,3209,42,49,4.791351,-74.026985,NHabil,PNO3,GNV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3756,3206,40,49,4.791351,-74.044975,NHabil,PNO3,DSEL,0.0305687,0.02270237,0.02408315,0.02980808,0.07450753,0.14235408,0.16495613,0.16612871,0.17809088,0.16614715,0.1563268,0.1603435,0.14765366,0.1588858,0.14568622,0.1665783,0.13452215,0.12110627,0.11562561,0.1243473,0.11094376,0.08827549,0.08833359,0.05945903
3756,3206,40,49,4.791351,-74.044975,NHabil,PNO3,GAS,0.00683684,0.0053529,0.00488676,0.00513928,0.00517117,0.01122669,0.02294012,0.02586225,0.02575856,0.02398036,0.02639044,0.02629169,0.02605688,0.02883297,0.02683632,0.03098569,0.03053537,0.02967023,0.02783815,0.02676585,0.02414486,0.01949709,0.01572617,0.01021349
3756,3206,40,49,4.791351,-74.044975,NHabil,PNO3,GNV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
