FID_LINK,FID_Grilla,COL,ROW,LAT,LON,Type,POLNAME,Category,Hora 0,Hora 1,Hora 2,Hora 3,Hora 4,Hora 5,Hora 6,Hora 7,Hora 8,Hora 9,Hora 10,Hora 11,Hora 12,Hora 13,Hora 14,Hora 15,Hora 16,Hora 17,Hora 18,Hora 19,Hora 20,Hora 21,Hora 22,Hora 23
8963,3206,40,49,4.791351,-74.044975,NHabil,POC,DSEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8963,3206,40,49,4.791351,-74.044975,NHabil,POC,GAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8963,3206,40,49,4.791351,-74.044975,NHabil,POC,GNV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8963,3206,40,49,4.791351,-74.044975,Habil,POC,DSEL,1.43383178,1.00637163,1.07659042,1.58458457,4.38910147,8.77719319,8.19271439,8.42535382,9.63646066,8.70987824,10.60386838,9.43014282,9.51745189,9.46930111,9.53878607,9.85757412,10.06091472,8.61292166,7.21053763,7.14103762,6.53872192,5.68046966,3.98916212,2.71051427
8963,3206,40,49,4.791351,-74.044975,Habil,POC,GAS,0.32915581,0.20100581,0.17596436,0.22027566,0.672046,2.83721601,5.19959457,3.90578358,3.43270266,2.85630173,3.04012623,2.97557569,3.0535718,3.32503261,3.65740348,4.42229368,4.36750312,4.56280255,3.67766009,2.93104878,2.50991984,2.06634953,1.27941735,0.56727932
8963,3206,40,49,4.791351,-74.044975,Habil,POC,GNV,0.00895012,0.00515762,0.00510364,0.00658838,0.01658544,0.06142624,0.09450196,0.07436573,0.08487572,0.08456319,0.09180382,0.08806,0.08869492,0.09323136,0.09495303,0.08699022,0.08751707,0.09189116,0.09118163,0.09170362,0.08355781,0.06458597,0.03584667,0.0168362
10049,3206,40,49,4.791351,-74.044975,NHabil,POC,DSEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10049,3206,40,49,4.791351,-74.044975,NHabil,POC,GAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10049,3206,40,49,4.791351,-74.044975,NHabil,POC,GNV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10049,3206,40,49,4.791351,-74.044975,Habil,POC,DSEL,0.37958373,0.26642059,0.28500989,0.4194931,1.16194353,2.32361978,2.16888848,2.23047599,2.5510969,2.30579923,2.80720245,2.49647763,2.51959127,2.50684415,2.52523917,2.60963312,2.66346425,2.28013155,1.90887308,1.89047408,1.73102074,1.50381235,1.05606608,0.71756476
10049,3206,40,49,4.791351,-74.044975,Habil,POC,GAS,0.08713868,0.05321305,0.04658372,0.05831442,0.17791329,0.75110698,1.37650848,1.03399297,0.90875244,0.75615962,0.80482419,0.78773549,0.80838368,0.88024854,0.96823836,1.17073065,1.15622574,1.2079281,0.97360096,0.77594771,0.66446062,0.54703257,0.33870503,0.15017801
10049,3206,40,49,4.791351,-74.044975,Habil,POC,GNV,0.00236939,0.00136539,0.00135111,0.00174416,0.00439072,0.01626161,0.02501786,0.01968712,0.02246946,0.02238675,0.02430358,0.02331247,0.02348054,0.02468149,0.02513728,0.02302925,0.02316872,0.02432669,0.02413886,0.02427705,0.02212058,0.01709809,0.00948984,0.0044571
