FID_LINK,FID_Grilla,COL,ROW,LAT,LON,Type,POLNAME,Category,Hora 0,Hora 1,Hora 2,Hora 3,Hora 4,Hora 5,Hora 6,Hora 7,Hora 8,Hora 9,Hora 10,Hora 11,Hora 12,Hora 13,Hora 14,Hora 15,Hora 16,Hora 17,Hora 18,Hora 19,Hora 20,Hora 21,Hora 22,Hora 23
8963,3206,40,49,4.791351,-74.044975,NHabil,PSI,DSEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8963,3206,40,49,4.791351,-74.044975,NHabil,PSI,GAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8963,3206,40,49,4.791351,-74.044975,NHabil,PSI,GNV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8963,3206,40,49,4.791351,-74.044975,Habil,PSI,DSEL,0.02156719,0.01515238,0.01621267,0.02385469,0.06606035,0.13201394,0.12307477,0.12661372,0.14484932,0.13090588,0.159455,0.14177709,0.14309569,0.14236383,0.143397,0.14821741,0.15124774,0.12939854,0.10828208,0.10722218,0.09816707,0.0853033,0.05990758,0.04076169
8963,3206,40,49,4.791351,-74.044975,Habil,PSI,GAS,0.00191427,0.00116901,0.00102338,0.00128109,0.00390855,0.01650081,0.03023999,0.02271531,0.01996371,0.01661124,0.01768033,0.01730492,0.01775856,0.01933737,0.02127041,0.02571932,0.02540059,0.02653622,0.02138818,0.0170458,0.01459657,0.01201701,0.00744064,0.00329908
8963,3206,40,49,4.791351,-74.044975,Habil,PSI,GNV,0.00014099,8.125e-05,8.043e-05,0.00010381,0.0002613,0.00096774,0.00148881,0.00117158,0.00133716,0.00133223,0.00144631,0.00138734,0.00139733,0.00146881,0.0014959,0.00137047,0.00137879,0.00144769,0.00143651,0.00144474,0.00131638,0.00101751,0.00056474,0.00026523
10049,3206,40,49,4.791351,-74.044975,NHabil,PSI,DSEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10049,3206,40,49,4.791351,-74.044975,NHabil,PSI,GAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10049,3206,40,49,4.791351,-74.044975,NHabil,PSI,GNV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10049,3206,40,49,4.791351,-74.044975,Habil,PSI,DSEL,0.00570956,0.00401135,0.00429204,0.00631514,0.0174884,0.03494853,0.03258205,0.03351893,0.03834651,0.03465521,0.04221312,0.03753318,0.03788227,0.03768851,0.03796206,0.03923815,0.0400404,0.03425618,0.02866593,0.02838534,0.02598815,0.02258267,0.01585955,0.010791
