FID_LINK,FID_Grilla,COL,ROW,LAT,LON,Type,POLNAME,Category,Hora 0,Hora 1,Hora 2,Hora 3,Hora 4,Hora 5,Hora 6,Hora 7,Hora 8,Hora 9,Hora 10,Hora 11,Hora 12,Hora 13,Hora 14,Hora 15,Hora 16,Hora 17,Hora 18,Hora 19,Hora 20,Hora 21,Hora 22,Hora 23
8963,3206,40,49,4.791351,-74.044975,NHabil,PSO4,DSEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8963,3206,40,49,4.791351,-74.044975,NHabil,PSO4,GAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8963,3206,40,49,4.791351,-74.044975,NHabil,PSO4,GNV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8963,3206,40,49,4.791351,-74.044975,Habil,PSO4,DSEL,0.08722983,0.04741071,0.04790271,0.07793539,0.22897323,0.54275022,0.6440632,0.62138779,0.67785456,0.62718304,0.6864421,0.6364902,0.63686895,0.64096903,0.65632641,0.6522248,0.69077516,0.66665445,0.60202831,0.61124924,0.57025281,0.47562301,0.33164248,0.17313832
8963,3206,40,49,4.791351,-74.044975,Habil,PSO4,GAS,0.05014861,0.03132768,0.02779653,0.0349095,0.11000582,0.45574108,0.80844709,0.58343146,0.51379089,0.422777,0.45263729,0.44203263,0.45829303,0.50608479,0.56343472,0.69867648,0.67639049,0.67817764,0.54480937,0.4385744,0.37610505,0.30651906,0.18861928,0.0854921
8963,3206,40,49,4.791351,-74.044975,Habil,PSO4,GNV,0.00024854,0.00014323,0.00014173,0.00018298,0.00046057,0.00170582,0.00262435,0.00206516,0.00235702,0.00234834,0.00254941,0.00244545,0.0024631,0.00258908,0.00263685,0.00241577,0.00243037,0.00255186,0.00253213,0.00254664,0.00232042,0.00179358,0.00099547,0.00046754
10049,3206,40,49,4.791351,-74.044975,NHabil,PSO4,DSEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10049,3206,40,49,4.791351,-74.044975,NHabil,PSO4,GAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10049,3206,40,49,4.791351,-74.044975,NHabil,PSO4,GNV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10049,3206,40,49,4.791351,-74.044975,Habil,PSO4,DSEL,0.02309267,0.01255122,0.01268145,0.02063213,0.06061697,0.14368432,0.17050531,0.16450236,0.17945101,0.16603656,0.18172444,0.16850047,0.16860074,0.16968616,0.17375179,0.17266596,0.18287151,0.17648596,0.15937725,0.16181832,0.15096521,0.12591349,0.08779697,0.04583556
10049,3206,40,49,4.791351,-74.044975,Habil,PSO4,GAS,0.01327602,0.00829349,0.00735868,0.00924173,0.02912226,0.12065009,0.21402328,0.15445403,0.13601783,0.11192336,0.1198284,0.11702097,0.12132565,0.13397774,0.14916022,0.18496329,0.17906342,0.17953653,0.14422946,0.11610546,0.09956771,0.08114595,0.0499339,0.02263265
10049,3206,40,49,4.791351,-74.044975,Habil,PSO4,GNV,6.579e-05,3.791e-05,3.753e-05,4.842e-05,0.00012193,0.00045159,0.00069475,0.00054672,0.00062399,0.00062169,0.00067491,0.0006474,0.00065206,0.00068541,0.00069808,0.00063953,0.0006434,0.00067556,0.00067034,0.00067418,0.00061429,0.00047482,0.00026354,0.00012377
7289,3206,40,49,4.791351,-74.044975,NHabil,PSO4,DSEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7289,3206,40,49,4.791351,-74.044975,NHabil,PSO4,GAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7289,3206,40,49,4.791351,-74.044975,NHabil,PSO4,GNV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7289,3206,40,49,4.791351,-74.044975,Habil,PSO4,DSEL,0.05396869,0.02933279,0.02963719,0.04821824,0.14166469,0.33579704,0.39847891,0.38444977,0.41938547,0.38803528,0.42469856,0.39379353,0.39402785,0.39656457,0.40606611,0.40352845,0.42737938,0.41245603,0.37247212,0.37817705,0.35281277,0.29426576,0.20518564,0.10711987
