FID_LINK,FID_Grilla,COL,ROW,LAT,LON,Type,POLNAME,Category,Hora 0,Hora 1,Hora 2,Hora 3,Hora 4,Hora 5,Hora 6,Hora 7,Hora 8,Hora 9,Hora 10,Hora 11,Hora 12,Hora 13,Hora 14,Hora 15,Hora 16,Hora 17,Hora 18,Hora 19,Hora 20,Hora 21,Hora 22,Hora 23
8963,3206,40,49,4.791351,-74.044975,NHabil,SO2,DSEL,0.33546396,0.21001242,0.20724001,0.23552434,0.55586575,1.17753596,1.59395768,1.69818081,1.82877354,1.70051796,1.56933509,1.63186439,1.49901144,1.56214102,1.45423097,1.67512893,1.4287898,1.36348205,1.34292212,1.3463012,1.18813824,0.98618981,0.98277864,0.64964197
8963,3206,40,49,4.791351,-74.044975,NHabil,SO2,GAS,10.02035389,7.64910761,7.23033178,7.37085463,7.12902312,13.38604668,27.94619004,32.90143524,34.66788125,33.59809145,37.10281204,36.6224581,33.54453467,37.51784701,35.55183114,42.53010789,42.7245281,41.53438256,40.86268573,39.64036874,35.45474953,28.38392487,22.10907822,14.61891056
8963,3206,40,49,4.791351,-74.044975,NHabil,SO2,GNV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10049,3206,40,49,4.791351,-74.044975,NHabil,SO2,DSEL,0.08880866,0.05559739,0.05486342,0.06235124,0.14715646,0.31173359,0.42197448,0.44956587,0.48413818,0.4501846,0.41545608,0.43200968,0.39683898,0.41355155,0.38498411,0.44346326,0.37824896,0.3609598,0.3555169,0.35641144,0.31454036,0.2610778,0.26017474,0.1719822
10049,3206,40,49,4.791351,-74.044975,NHabil,SO2,GAS,2.65272645,2.02497737,1.91411328,1.95131442,1.88729342,3.54373911,7.39830131,8.71012224,9.1777602,8.89455068,9.82236869,9.69520277,8.88037239,9.9322425,9.41177162,11.25915741,11.31062699,10.99555524,10.81773439,10.49414574,9.38607085,7.51418451,5.85302044,3.87011985
10049,3206,40,49,4.791351,-74.044975,NHabil,SO2,GNV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7289,3206,40,49,4.791351,-74.044975,NHabil,SO2,DSEL,0.20755,0.12993371,0.12821842,0.14571779,0.34391157,0.72853603,0.98617423,1.05065661,1.13145371,1.0521026,0.97094035,1.00962695,0.92743143,0.96648942,0.89972596,1.03639451,0.88398562,0.84358002,0.83085969,0.83295032,0.73509563,0.61015106,0.6080406,0.40193047
7289,3206,40,49,4.791351,-74.044975,NHabil,SO2,GAS,6.19954654,4.73246744,4.47337277,4.56031361,4.41069358,8.28188507,17.29017832,20.35596555,21.44885752,20.78698355,22.95533793,22.65814518,20.75384821,23.21211814,21.99575323,26.31318073,26.4334676,25.69713009,25.28155436,24.52531251,21.93568929,17.5610028,13.67878428,9.04465225
7289,3206,40,49,4.791351,-74.044975,NHabil,SO2,GNV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5530,3209,42,49,4.791351,-74.026985,NHabil,SO2,DSEL,1.43217098,0.89659028,0.88475419,1.0055063,2.37311589,5.02716568,6.80496371,7.24991567,7.80744536,7.2598935,6.69984427,6.96679592,6.39961673,6.66913126,6.20843892,7.15150204,6.09982486,5.82101141,5.73323654,5.74766245,5.07242921,4.21026592,4.19570301,2.7734676
5530,3209,42,49,4.791351,-74.026985,NHabil,SO2,GAS,42.77914338,32.65575993,30.86791181,31.46783542,30.43540228,57.14804252,119.30856757,140.46362321,148.00497837,143.43780523,158.40024536,156.34950639,143.20915934,160.17212285,151.77875917,181.57059138,182.40061491,177.3196161,174.45199132,169.23364533,151.36429599,121.17735595,94.38862501,62.41141545
5530,3209,42,49,4.791351,-74.026985,NHabil,SO2,GNV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3756,3206,40,49,4.791351,-74.044975,NHabil,SO2,DSEL,0.64855481,0.40601851,0.40065856,0.45534086,1.07465921,2.27653859,3.08160968,3.283105,3.53558084,3.28762347,3.03400662,3.15489499,2.89804939,3.02009835,2.81147503,3.23853866,2.76228946,2.63602953,2.59628091,2.60281364,2.29703608,1.90660771,1.90001296,1.25595741
3756,3206,40,49,4.791351,-74.044975,NHabil,SO2,GAS,19.37242121,14.78807395,13.97845169,14.25012548,13.78259091,25.87933891,54.02856722,63.60857785,67.02366046,64.95542828,71.73112946,70.80245776,64.85188657,72.53351946,68.73260706,82.22375896,82.59963292,80.29871613,79.00011987,76.63700579,68.54491851,54.87484307,42.74363757,28.26284333
3756,3206,40,49,4.791351,-74.044975,NHabil,SO2,GNV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
