FID_LINK,FID_Grilla,COL,ROW,LAT,LON,Type,POLNAME,Category,Hora 0,Hora 1,Hora 2,Hora 3,Hora 4,Hora 5,Hora 6,Hora 7,Hora 8,Hora 9,Hora 10,Hora 11,Hora 12,Hora 13,Hora 14,Hora 15,Hora 16,Hora 17,Hora 18,Hora 19,Hora 20,Hora 21,Hora 22,Hora 23
151,295,38,45,4.755493,-74.062965,NHabil,ETHA,DSEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,295,38,45,4.755493,-74.062965,NHabil,ETHA,GAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,295,38,45,4.755493,-74.062965,NHabil,ETHA,GNV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,295,38,45,4.755493,-74.062965,Habil,ETHA,DSEL,0.00202868,0.00127601,0.0013448,0.0019082,0.00584181,0.01282816,0.01360506,0.01426965,0.01595608,0.01462091,0.01629304,0.01482209,0.01473868,0.01468814,0.01502917,0.01566086,0.01631994,0.01461312,0.0122068,0.01147733,0.01046611,0.00904816,0.00627233,0.00411592
151,295,38,45,4.755493,-74.062965,Habil,ETHA,GAS,0.00910036,0.00643204,0.00606414,0.00772074,0.0266478,0.09852702,0.16498236,0.11202191,0.09029039,0.06281647,0.07087506,0.0683685,0.07412363,0.08540252,0.09941344,0.14538128,0.13508711,0.12306797,0.08863608,0.06184913,0.04988333,0.0415076,0.0283406,0.01380983
151,295,38,45,4.755493,-74.062965,Habil,ETHA,GNV,0.13148933,0.07013677,0.05759896,0.07495092,0.16764617,0.84797438,1.50597613,1.11496525,1.25217193,1.32721753,1.37403712,1.3448372,1.34061112,1.42556493,1.49781461,1.32676316,1.34549936,1.47865424,1.4745201,1.52167878,1.40684137,1.09709488,0.58780674,0.26271967
360,3428,37,53,4.827202,-74.07196,NHabil,ETHA,DSEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
360,3428,37,53,4.827202,-74.07196,NHabil,ETHA,GAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
360,3428,37,53,4.827202,-74.07196,NHabil,ETHA,GNV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
360,3428,37,53,4.827202,-74.07196,Habil,ETHA,DSEL,0.00273066,0.00171755,0.00181016,0.0025685,0.00786322,0.0172671,0.01831279,0.01920738,0.0214774,0.01968019,0.02193096,0.019951,0.01983871,0.0197707,0.02022975,0.02108,0.02196714,0.01966973,0.01643076,0.01544883,0.01408768,0.01217914,0.00844273,0.00554013
360,3428,37,53,4.827202,-74.07196,Habil,ETHA,GAS,0.01224936,0.00865772,0.00816254,0.01039236,0.03586878,0.13262047,0.22207139,0.15078502,0.1215337,0.08455293,0.09540005,0.09202613,0.09977273,0.11495448,0.1338136,0.19568774,0.18183149,0.16565337,0.11930695,0.08325086,0.06714452,0.05587054,0.03814734,0.01858843
360,3428,37,53,4.827202,-74.07196,Habil,ETHA,GNV,0.17698875,0.09440629,0.07752999,0.10088629,0.22565699,1.14140007,2.02709102,1.50077814,1.6854626,1.78647635,1.849497,1.81019298,1.80450453,1.91885501,2.01610537,1.78586477,1.81108426,1.99031494,1.98475026,2.04822726,1.89365257,1.47672405,0.79120628,0.35362889
1117,295,38,45,4.755493,-74.062965,NHabil,ETHA,DSEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1117,295,38,45,4.755493,-74.062965,NHabil,ETHA,GAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1117,295,38,45,4.755493,-74.062965,NHabil,ETHA,GNV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1117,295,38,45,4.755493,-74.062965,Habil,ETHA,DSEL,0.00205223,0.00129081,0.00136041,0.00193033,0.00590958,0.01297704,0.01376292,0.01443524,0.01614126,0.01479058,0.01648216,0.01499413,0.01490971,0.0148586,0.0152036,0.01584261,0.01650934,0.01478271,0.01234845,0.01161052,0.01058757,0.00915319,0.00634513,0.00416366
1117,295,38,45,4.755493,-74.062965,Habil,ETHA,GAS,0.00920597,0.00650669,0.00613452,0.00781032,0.02695707,0.0996705,0.16689707,0.11332201,0.09133827,0.06354548,0.07169761,0.06916196,0.07498388,0.08639369,0.10056721,0.14706852,0.13665489,0.12449626,0.08966476,0.06256693,0.05046224,0.04198931,0.02866953,0.0139701
1117,295,38,45,4.755493,-74.062965,Habil,ETHA,GNV,0.13301533,0.07095075,0.05826741,0.07582079,0.16959179,0.85781564,1.52345388,1.12790508,1.26670412,1.34262068,1.38998365,1.36044485,1.35616972,1.44210945,1.51519765,1.34216104,1.36111469,1.49581494,1.4916328,1.53933875,1.42316864,1.1098273,0.59462859,0.26576868
