FID_LINK,FID_Grilla,COL,ROW,LAT,LON,Type,POLNAME,Category,Hora 0,Hora 1,Hora 2,Hora 3,Hora 4,Hora 5,Hora 6,Hora 7,Hora 8,Hora 9,Hora 10,Hora 11,Hora 12,Hora 13,Hora 14,Hora 15,Hora 16,Hora 17,Hora 18,Hora 19,Hora 20,Hora 21,Hora 22,Hora 23
151,295,38,45,4.755493,-74.062965,NHabil,ETH,DSEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,295,38,45,4.755493,-74.062965,NHabil,ETH,GAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,295,38,45,4.755493,-74.062965,NHabil,ETH,GNV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,295,38,45,4.755493,-74.062965,Habil,ETH,DSEL,0.0239056,0.01509672,0.0159213,0.02254529,0.06896266,0.15115883,0.15985441,0.16781195,0.18778625,0.17206053,0.19196793,0.17454899,0.1735744,0.1729641,0.17695634,0.18449396,0.1921422,0.17176546,0.14329288,0.13458556,0.12266603,0.10611993,0.07351827,0.04848061
151,295,38,45,4.755493,-74.062965,Habil,ETH,GAS,0.02513444,0.01773072,0.01671328,0.0212786,0.07322486,0.27091844,0.45353072,0.30812283,0.24902295,0.17405186,0.19626113,0.18933322,0.20503536,0.23598457,0.27441617,0.39980494,0.3716941,0.33895388,0.24477053,0.17158424,0.13866854,0.1152767,0.07846076,0.03821822
151,295,38,45,4.755493,-74.062965,Habil,ETH,GNV,0.00634257,0.00338314,0.00277838,0.00361534,0.00808664,0.04090326,0.07264292,0.05378193,0.06040032,0.06402023,0.06627865,0.06487013,0.06466631,0.06876416,0.07224924,0.06399831,0.0649021,0.07132501,0.0711256,0.07340035,0.06786101,0.05291993,0.02835369,0.01267265
360,3428,37,53,4.827202,-74.07196,NHabil,ETH,DSEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
360,3428,37,53,4.827202,-74.07196,NHabil,ETH,GAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
360,3428,37,53,4.827202,-74.07196,NHabil,ETH,GNV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
360,3428,37,53,4.827202,-74.07196,Habil,ETH,DSEL,0.0321777,0.02032066,0.02143058,0.03034667,0.09282588,0.20346455,0.21516905,0.22588014,0.25276616,0.23159888,0.25839484,0.23494842,0.23363661,0.23281508,0.23818881,0.24833468,0.25862942,0.23120171,0.19287669,0.18115635,0.16511234,0.14284071,0.09895791,0.06525645
