FID_LINK,FID_Grilla,COL,ROW,LAT,LON,Type,POLNAME,Category,Hora 0,Hora 1,Hora 2,Hora 3,Hora 4,Hora 5,Hora 6,Hora 7,Hora 8,Hora 9,Hora 10,Hora 11,Hora 12,Hora 13,Hora 14,Hora 15,Hora 16,Hora 17,Hora 18,Hora 19,Hora 20,Hora 21,Hora 22,Hora 23
151,295,38,45,4.755493,-74.062965,NHabil,FORM,DSEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,295,38,45,4.755493,-74.062965,NHabil,FORM,GAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,295,38,45,4.755493,-74.062965,NHabil,FORM,GNV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,295,38,45,4.755493,-74.062965,Habil,FORM,DSEL,0.00779013,0.00487184,0.00512955,0.00729987,0.02237491,0.04926294,0.05245916,0.05495297,0.06138169,0.05625087,0.06257764,0.05696884,0.05664462,0.05645741,0.05777924,0.06016129,0.06274716,0.05631545,0.0471295,0.04437976,0.04049834,0.03497811,0.02426846,0.01581468
151,295,38,45,4.755493,-74.062965,Habil,FORM,GAS,0.00325554,0.00233235,0.00221414,0.00282587,0.00984997,0.03614313,0.05951299,0.03948318,0.03184337,0.02190771,0.02488783,0.02395109,0.02618645,0.03047098,0.03573676,0.05289573,0.04865056,0.04320406,0.03098086,0.0217456,0.01754759,0.01447647,0.00986122,0.00489969
151,295,38,45,4.755493,-74.062965,Habil,FORM,GNV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
360,3428,37,53,4.827202,-74.07196,NHabil,FORM,DSEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
360,3428,37,53,4.827202,-74.07196,NHabil,FORM,GAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
360,3428,37,53,4.827202,-74.07196,NHabil,FORM,GNV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
360,3428,37,53,4.827202,-74.07196,Habil,FORM,DSEL,0.01048577,0.00655762,0.00690451,0.00982586,0.03011733,0.06630944,0.07061164,0.07396842,0.08262171,0.07571544,0.08423144,0.07668185,0.07624544,0.07599342,0.07777267,0.08097899,0.08445966,0.07580234,0.06343775,0.05973655,0.05451203,0.04708162,0.03266609,0.02128707
360,3428,37,53,4.827202,-74.07196,Habil,FORM,GAS,0.00438205,0.0031394,0.0029803,0.0038037,0.01325835,0.04864977,0.08010636,0.05314556,0.04286218,0.02948844,0.03349981,0.03223892,0.03524778,0.04101486,0.0481028,0.07119933,0.06548517,0.05815399,0.04170119,0.02927026,0.02361959,0.0194858,0.01327351,0.00659517
360,3428,37,53,4.827202,-74.07196,Habil,FORM,GNV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1117,295,38,45,4.755493,-74.062965,NHabil,FORM,DSEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1117,295,38,45,4.755493,-74.062965,NHabil,FORM,GAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1117,295,38,45,4.755493,-74.062965,NHabil,FORM,GNV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1117,295,38,45,4.755493,-74.062965,Habil,FORM,DSEL,0.00788055,0.00492837,0.00518906,0.00738459,0.02263457,0.04983464,0.05306798,0.05559072,0.0620941,0.05690371,0.06330387,0.05763002,0.05730199,0.05711263,0.05844981,0.06085951,0.06347538,0.05696904,0.04767644,0.04489481,0.04096835,0.03538404,0.0245501,0.01599824
1117,295,38,45,4.755493,-74.062965,Habil,FORM,GAS,0.00329334,0.00235942,0.00223984,0.00285867,0.00996426,0.03656259,0.06020368,0.0399414,0.03221294,0.02216193,0.02517668,0.02422905,0.02649037,0.0308246,0.03615151,0.05350963,0.04921517,0.04370546,0.03134039,0.02199796,0.01775124,0.01464448,0.00997566,0.00495657
1117,295,38,45,4.755493,-74.062965,Habil,FORM,GNV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
