FID_LINK,FID_Grilla,COL,ROW,LAT,LON,Type,POLNAME,Category,Hora 0,Hora 1,Hora 2,Hora 3,Hora 4,Hora 5,Hora 6,Hora 7,Hora 8,Hora 9,Hora 10,Hora 11,Hora 12,Hora 13,Hora 14,Hora 15,Hora 16,Hora 17,Hora 18,Hora 19,Hora 20,Hora 21,Hora 22,Hora 23
151,295,38,45,4.755493,-74.062965,NHabil,IOLE,DSEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,295,38,45,4.755493,-74.062965,NHabil,IOLE,GAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,295,38,45,4.755493,-74.062965,NHabil,IOLE,GNV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,295,38,45,4.755493,-74.062965,Habil,IOLE,DSEL,0.0010664,0.00067387,0.00071073,0.00100612,0.00307722,0.00674304,0.00712782,0.00748366,0.00837538,0.00767392,0.00856337,0.00778575,0.00774233,0.00771499,0.00789291,0.00822979,0.00857017,0.0076594,0.00638844,0.00599928,0.00546753,0.00473053,0.00327694,0.00216255
151,295,38,45,4.755493,-74.062965,Habil,IOLE,GAS,0.00448615,0.00324546,0.00309607,0.00395836,0.01389146,0.05070527,0.08249244,0.05379695,0.0434145,0.02962308,0.03382744,0.032496,0.03575406,0.04191023,0.04942178,0.07377743,0.06735892,0.05869363,0.04195516,0.02959019,0.02389039,0.019579,0.01331007,0.00671167
151,295,38,45,4.755493,-74.062965,Habil,IOLE,GNV,0.00183032,0.0009763,0.00080175,0.00104331,0.00233361,0.01180363,0.02096287,0.01552009,0.01742997,0.01847459,0.01912631,0.01871985,0.01866103,0.01984357,0.02084926,0.01846825,0.01872907,0.02058256,0.02052502,0.02118144,0.01958293,0.01527132,0.00818214,0.00365701
360,3428,37,53,4.827202,-74.07196,NHabil,IOLE,DSEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
360,3428,37,53,4.827202,-74.07196,NHabil,IOLE,GAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
360,3428,37,53,4.827202,-74.07196,NHabil,IOLE,GNV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
360,3428,37,53,4.827202,-74.07196,Habil,IOLE,DSEL,0.00143544,0.00090706,0.0009567,0.00135428,0.00414202,0.00907635,0.00959427,0.01007325,0.01127354,0.01032934,0.01152655,0.01047985,0.01042142,0.01038461,0.01062412,0.01107758,0.01153572,0.01030977,0.00859906,0.0080752,0.00735946,0.00636746,0.00441085,0.00291085
360,3428,37,53,4.827202,-74.07196,Habil,IOLE,GAS,0.0060385,0.00436846,0.00416742,0.00532806,0.01869834,0.06825086,0.11103741,0.07241239,0.05843728,0.03987358,0.04553277,0.04374063,0.04812607,0.05641247,0.06652322,0.09930673,0.09066719,0.07900344,0.05647296,0.03982931,0.0321572,0.02635398,0.01791578,0.00903412
360,3428,37,53,4.827202,-74.07196,Habil,IOLE,GNV,0.00246365,0.00131411,0.0010792,0.00140431,0.00314111,0.01588806,0.02821667,0.02089051,0.0234613,0.02486738,0.02574463,0.0251975,0.02511832,0.02671007,0.02806377,0.02485887,0.02520993,0.02770477,0.02762731,0.0285109,0.02635926,0.02055569,0.01101342,0.00492243
1117,295,38,45,4.755493,-74.062965,NHabil,IOLE,DSEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1117,295,38,45,4.755493,-74.062965,NHabil,IOLE,GAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1117,295,38,45,4.755493,-74.062965,NHabil,IOLE,GNV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1117,295,38,45,4.755493,-74.062965,Habil,IOLE,DSEL,0.00107878,0.00068166,0.00071898,0.00101781,0.00311294,0.00682129,0.00721055,0.00757052,0.00847258,0.00776301,0.00866275,0.0078761,0.00783217,0.00780453,0.00798449,0.00832529,0.00866962,0.00774827,0.00646259,0.00606888,0.00553096,0.00478543,0.00331496,0.00218765
1117,295,38,45,4.755493,-74.062965,Habil,IOLE,GAS,0.00453822,0.00328311,0.00313199,0.0040043,0.0140527,0.05129372,0.08344982,0.05442132,0.04391836,0.02996685,0.03422001,0.03287314,0.03616899,0.04239661,0.04999534,0.07463368,0.06814064,0.05937477,0.04244208,0.02993361,0.02416766,0.01980625,0.01346454,0.00678958
1117,295,38,45,4.755493,-74.062965,Habil,IOLE,GNV,0.00185153,0.00098763,0.00081107,0.00105541,0.00236068,0.01194061,0.02120615,0.0157002,0.01763226,0.01868902,0.01934827,0.01893711,0.01887761,0.02007385,0.02109125,0.01868259,0.01894643,0.02082142,0.02076322,0.02142729,0.01981021,0.01544858,0.00827711,0.00369943
