FID_LINK,FID_Grilla,COL,ROW,LAT,LON,Type,POLNAME,Category,Hora 0,Hora 1,Hora 2,Hora 3,Hora 4,Hora 5,Hora 6,Hora 7,Hora 8,Hora 9,Hora 10,Hora 11,Hora 12,Hora 13,Hora 14,Hora 15,Hora 16,Hora 17,Hora 18,Hora 19,Hora 20,Hora 21,Hora 22,Hora 23
151,295,38,45,4.755493,-74.062965,NHabil,PAL,DSEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,295,38,45,4.755493,-74.062965,NHabil,PAL,GAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,295,38,45,4.755493,-74.062965,NHabil,PAL,GNV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,295,38,45,4.755493,-74.062965,Habil,PAL,DSEL,0.00117921,0.00082747,0.00088517,0.00130295,0.00360917,0.00721863,0.00673977,0.00693063,0.0079264,0.00716447,0.00872135,0.00775635,0.00782809,0.00778858,0.00784588,0.00810774,0.00827533,0.00708533,0.00593228,0.00587529,0.00537986,0.00467346,0.00328197,0.00222926
151,295,38,45,4.755493,-74.062965,Habil,PAL,GAS,0.00039,0.00023815,0.00020848,0.00026099,0.00079628,0.00336171,0.00616078,0.00462778,0.0040672,0.00338419,0.00360201,0.00352552,0.00361794,0.0039396,0.00433343,0.0052398,0.00517485,0.00540623,0.00435739,0.00347274,0.00297376,0.00244823,0.00151588,0.00067213
151,295,38,45,4.755493,-74.062965,Habil,PAL,GNV,4.332e-05,2.499e-05,2.472e-05,3.19e-05,8.03e-05,0.0002974,0.00045754,0.00036007,0.00041093,0.00040942,0.00044446,0.00042636,0.00042942,0.00045139,0.00045972,0.00042118,0.00042372,0.0004449,0.00044147,0.00044399,0.00040454,0.00031271,0.00017355,8.152e-05
360,3428,37,53,4.827202,-74.07196,NHabil,PAL,DSEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
360,3428,37,53,4.827202,-74.07196,NHabil,PAL,GAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
360,3428,37,53,4.827202,-74.07196,NHabil,PAL,GNV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
360,3428,37,53,4.827202,-74.07196,Habil,PAL,DSEL,0.00158725,0.0011138,0.00119148,0.0017538,0.00485804,0.0097165,0.00907196,0.00932884,0.01066921,0.00964359,0.0117392,0.01044031,0.01053684,0.01048367,0.01056079,0.01091327,0.01113885,0.00953709,0.00798499,0.00790831,0.00724148,0.00629061,0.00441762,0.0030007
360,3428,37,53,4.827202,-74.07196,Habil,PAL,GAS,0.00052494,0.00032059,0.00028064,0.0003513,0.00107181,0.00452496,0.0082926,0.00622914,0.00547457,0.00455524,0.00484842,0.00474547,0.00486987,0.00530282,0.00583292,0.00705293,0.00696552,0.00727696,0.00586519,0.0046744,0.00400277,0.00329538,0.00204041,0.00090469
360,3428,37,53,4.827202,-74.07196,Habil,PAL,GNV,5.833e-05,3.361e-05,3.326e-05,4.294e-05,0.00010809,0.00040034,0.00061587,0.00048464,0.00055315,0.00055108,0.00059829,0.00057388,0.00057801,0.00060759,0.00061879,0.0005669,0.00057036,0.00059885,0.00059424,0.00059763,0.00054454,0.0004209,0.0002336,0.00010971
1117,295,38,45,4.755493,-74.062965,NHabil,PAL,DSEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1117,295,38,45,4.755493,-74.062965,NHabil,PAL,GAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1117,295,38,45,4.755493,-74.062965,NHabil,PAL,GNV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1117,295,38,45,4.755493,-74.062965,Habil,PAL,DSEL,0.00119288,0.00083707,0.00089545,0.00131805,0.00365103,0.0073024,0.00681799,0.00701104,0.00801843,0.00724761,0.00882257,0.00784638,0.00791893,0.00787897,0.00793693,0.00820183,0.00837136,0.00716757,0.00600111,0.00594344,0.00544229,0.00472767,0.00332003,0.00225516
1117,295,38,45,4.755493,-74.062965,Habil,PAL,GAS,0.00039452,0.00024092,0.00021092,0.00026401,0.00080554,0.0034007,0.00623229,0.00468148,0.0041144,0.00342346,0.00364381,0.00356644,0.00365992,0.00398531,0.00438371,0.00530059,0.0052349,0.00546896,0.00440799,0.00351305,0.00300826,0.00247663,0.00153348,0.00067993
1117,295,38,45,4.755493,-74.062965,Habil,PAL,GNV,4.382e-05,2.527e-05,2.499e-05,3.226e-05,8.122e-05,0.00030085,0.00046286,0.00036424,0.00041571,0.00041416,0.00044964,0.00043131,0.00043441,0.00045661,0.00046507,0.00042605,0.00042866,0.00045006,0.0004466,0.00044915,0.00040926,0.00031633,0.00017558,8.247e-05
