FID_LINK,FID_Grilla,COL,ROW,LAT,LON,Type,POLNAME,Category,Hora 0,Hora 1,Hora 2,Hora 3,Hora 4,Hora 5,Hora 6,Hora 7,Hora 8,Hora 9,Hora 10,Hora 11,Hora 12,Hora 13,Hora 14,Hora 15,Hora 16,Hora 17,Hora 18,Hora 19,Hora 20,Hora 21,Hora 22,Hora 23
151,295,38,45,4.755493,-74.062965,NHabil,PCL,DSEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,295,38,45,4.755493,-74.062965,NHabil,PCL,GAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,295,38,45,4.755493,-74.062965,NHabil,PCL,GNV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,295,38,45,4.755493,-74.062965,Habil,PCL,DSEL,0.00256871,0.00180484,0.00193115,0.00284136,0.00786835,0.01572311,0.01465702,0.01507889,0.01725099,0.01559022,0.01899108,0.01688536,0.01704247,0.01695525,0.01707816,0.01765254,0.0180132,0.01541022,0.01289497,0.01276859,0.01169015,0.01015847,0.00713422,0.00485473
151,295,38,45,4.755493,-74.062965,Habil,PCL,GAS,0.00012568,7.674e-05,6.718e-05,8.409e-05,0.00025661,0.00108332,0.0019854,0.00149138,0.00131067,0.00109049,0.00116068,0.00113604,0.00116583,0.00126947,0.00139639,0.00168856,0.00166764,0.00174221,0.00140414,0.00111896,0.00095816,0.00078884,0.00048848,0.00021658
151,295,38,45,4.755493,-74.062965,Habil,PCL,GNV,1.218e-05,7.03e-06,6.95e-06,8.97e-06,2.257e-05,8.354e-05,0.00012853,0.00010113,0.00011543,0.00011502,0.00012485,0.00011975,0.00012063,0.0001268,0.00012912,0.00011829,0.00011903,0.00012497,0.000124,0.00012474,0.00011363,8.786e-05,4.875e-05,2.291e-05
360,3428,37,53,4.827202,-74.07196,NHabil,PCL,DSEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
360,3428,37,53,4.827202,-74.07196,NHabil,PCL,GAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
360,3428,37,53,4.827202,-74.07196,NHabil,PCL,GNV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
360,3428,37,53,4.827202,-74.07196,Habil,PCL,DSEL,0.00345754,0.00242936,0.0025994,0.00382453,0.01059105,0.02116383,0.0197288,0.02029666,0.02322036,0.02098494,0.02556258,0.02272824,0.02293969,0.02282229,0.02298774,0.02376085,0.02424633,0.02074264,0.01735705,0.01718693,0.01573531,0.01367363,0.00960289,0.00653463
360,3428,37,53,4.827202,-74.07196,Habil,PCL,GAS,0.00016917,0.0001033,9.043e-05,0.0001132,0.00034543,0.00145819,0.0026724,0.00200746,0.00176418,0.00146783,0.00156231,0.00152914,0.00156921,0.00170876,0.00187959,0.00227286,0.00224469,0.00234507,0.00189002,0.00150617,0.00128972,0.00106184,0.00065747,0.00029153
360,3428,37,53,4.827202,-74.07196,Habil,PCL,GNV,1.639e-05,9.45e-06,9.35e-06,1.205e-05,3.036e-05,0.00011245,0.00017299,0.00013613,0.00015538,0.00015482,0.00016807,0.00016119,0.00016237,0.00017067,0.00017383,0.00015925,0.0001602,0.00016823,0.00016692,0.00016787,0.00015296,0.00011823,6.562e-05,3.083e-05
1117,295,38,45,4.755493,-74.062965,NHabil,PCL,DSEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1117,295,38,45,4.755493,-74.062965,NHabil,PCL,GAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1117,295,38,45,4.755493,-74.062965,NHabil,PCL,GNV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
