FID_LINK,FID_Grilla,COL,ROW,LAT,LON,Type,POLNAME,Category,Hora 0,Hora 1,Hora 2,Hora 3,Hora 4,Hora 5,Hora 6,Hora 7,Hora 8,Hora 9,Hora 10,Hora 11,Hora 12,Hora 13,Hora 14,Hora 15,Hora 16,Hora 17,Hora 18,Hora 19,Hora 20,Hora 21,Hora 22,Hora 23
151,295,38,45,4.755493,-74.062965,NHabil,PEC,DSEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,295,38,45,4.755493,-74.062965,NHabil,PEC,GAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,295,38,45,4.755493,-74.062965,NHabil,PEC,GNV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,295,38,45,4.755493,-74.062965,Habil,PEC,DSEL,0.44878257,0.29096883,0.30335762,0.44276328,1.32273395,2.76374625,2.83453844,2.99361079,3.34240729,3.03597764,3.42886166,3.08606001,3.09929202,3.09491731,3.14307281,3.2785376,3.40711994,3.0350874,2.52637861,2.44553051,2.25338838,1.95335292,1.36729007,0.92615197
151,295,38,45,4.755493,-74.062965,Habil,PEC,GAS,0.01679048,0.01025346,0.00897607,0.01123642,0.03428157,0.14472849,0.26523516,0.19923689,0.17510468,0.14570205,0.15507909,0.15178632,0.15576494,0.16961237,0.18656686,0.22558447,0.22278957,0.23275191,0.18760013,0.14951496,0.12803286,0.10540603,0.06526403,0.02893735
151,295,38,45,4.755493,-74.062965,Habil,PEC,GNV,0.0005414,0.000312,0.00030874,0.00039855,0.00100332,0.00371588,0.00571672,0.00449863,0.00513442,0.00511551,0.00555352,0.00532703,0.00536544,0.00563987,0.00574401,0.00526232,0.00529419,0.00555878,0.00551587,0.00554744,0.00505469,0.00390701,0.00216849,0.00101849
360,3428,37,53,4.827202,-74.07196,NHabil,PEC,DSEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
360,3428,37,53,4.827202,-74.07196,NHabil,PEC,GAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
360,3428,37,53,4.827202,-74.07196,NHabil,PEC,GNV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
360,3428,37,53,4.827202,-74.07196,Habil,PEC,DSEL,0.60407539,0.39165314,0.40832884,0.59597321,1.78044132,3.72008898,3.81537748,4.02949387,4.4989849,4.08652096,4.61535513,4.15393342,4.17174412,4.1658556,4.23067441,4.4130143,4.58609012,4.0853227,3.40058471,3.29176062,3.03313133,2.62927417,1.84041526,1.24662959
