FID_LINK,FID_Grilla,COL,ROW,LAT,LON,Type,POLNAME,Category,Hora 0,Hora 1,Hora 2,Hora 3,Hora 4,Hora 5,Hora 6,Hora 7,Hora 8,Hora 9,Hora 10,Hora 11,Hora 12,Hora 13,Hora 14,Hora 15,Hora 16,Hora 17,Hora 18,Hora 19,Hora 20,Hora 21,Hora 22,Hora 23
151,295,38,45,4.755493,-74.062965,NHabil,PM10 BRAKE,DSEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,295,38,45,4.755493,-74.062965,NHabil,PM10 BRAKE,GAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,295,38,45,4.755493,-74.062965,NHabil,PM10 BRAKE,GNV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,295,38,45,4.755493,-74.062965,Habil,PM10 BRAKE,DSEL,0.11804186,0.0592236,0.05754291,0.09470387,0.34984177,0.78591765,0.93874204,1.04130317,1.09671152,0.97932626,0.98521747,0.90518791,0.90742892,0.90748184,0.92281735,0.96390924,1.04557289,1.01073518,0.86837051,0.84384667,0.78986808,0.67837117,0.48556654,0.28340907
151,295,38,45,4.755493,-74.062965,Habil,PM10 BRAKE,GAS,0.22077304,0.13704258,0.12283147,0.1575419,0.47450026,1.95700905,3.25790989,2.20368839,2.1148356,1.87834147,2.01445818,1.95733415,2.03321729,2.26166363,2.50807723,2.91776093,2.76518401,2.64025139,2.27744309,2.06630493,1.83617789,1.44397114,0.830276,0.39075524
151,295,38,45,4.755493,-74.062965,Habil,PM10 BRAKE,GNV,0.03202436,0.02062464,0.02093737,0.02860328,0.06618249,0.20316236,0.28223152,0.21876841,0.25559598,0.25417475,0.29154099,0.27502505,0.27811471,0.29105605,0.29557686,0.27210842,0.27124002,0.27410553,0.26848289,0.27677129,0.25353882,0.19731594,0.11163429,0.05658514
360,3428,37,53,4.827202,-74.07196,NHabil,PM10 BRAKE,DSEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
360,3428,37,53,4.827202,-74.07196,NHabil,PM10 BRAKE,GAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
360,3428,37,53,4.827202,-74.07196,NHabil,PM10 BRAKE,GNV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
360,3428,37,53,4.827202,-74.07196,Habil,PM10 BRAKE,DSEL,0.15888804,0.07971681,0.07745457,0.12747438,0.47089799,1.05786977,1.26357619,1.40162668,1.47620804,1.31820379,1.32613357,1.2184113,1.22142771,1.22149898,1.24214104,1.29745201,1.40737386,1.36048117,1.16885392,1.13584404,1.06318718,0.91310881,0.65358777,0.38147747
360,3428,37,53,4.827202,-74.07196,Habil,PM10 BRAKE,GAS,0.29716741,0.18446357,0.165335,0.21205634,0.6386922,2.63419544,4.38524871,2.96623356,2.84663493,2.52830643,2.71152378,2.63463304,2.73677415,3.04427007,3.3759505,3.9273976,3.72202422,3.55386105,3.06550971,2.78131115,2.4715529,1.94363035,1.11757751,0.52596878
360,3428,37,53,4.827202,-74.07196,Habil,PM10 BRAKE,GNV,0.0431058,0.02776141,0.02818233,0.03850091,0.08908368,0.27346289,0.37989247,0.2944691,0.3440402,0.34212717,0.3924233,0.37019232,0.37435109,0.39177058,0.3978557,0.36626645,0.36509758,0.36895464,0.36138639,0.37254284,0.34127117,0.2655934,0.15026326,0.07616538
1117,295,38,45,4.755493,-74.062965,NHabil,PM10 BRAKE,DSEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1117,295,38,45,4.755493,-74.062965,NHabil,PM10 BRAKE,GAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1117,295,38,45,4.755493,-74.062965,NHabil,PM10 BRAKE,GNV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1117,295,38,45,4.755493,-74.062965,Habil,PM10 BRAKE,DSEL,0.11941181,0.05991091,0.05821074,0.09580299,0.35390188,0.7950387,0.94963672,1.05338813,1.10943952,0.99069192,0.99665151,0.91569316,0.91796017,0.91801372,0.93352722,0.97509596,1.0577074,1.02246535,0.87844849,0.85363998,0.79903498,0.68624407,0.49120184,0.28669819
