FID_LINK,FID_Grilla,COL,ROW,LAT,LON,Type,POLNAME,Category,Hora 0,Hora 1,Hora 2,Hora 3,Hora 4,Hora 5,Hora 6,Hora 7,Hora 8,Hora 9,Hora 10,Hora 11,Hora 12,Hora 13,Hora 14,Hora 15,Hora 16,Hora 17,Hora 18,Hora 19,Hora 20,Hora 21,Hora 22,Hora 23
151,295,38,45,4.755493,-74.062965,NHabil,PM10,DSEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,295,38,45,4.755493,-74.062965,NHabil,PM10,GAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,295,38,45,4.755493,-74.062965,NHabil,PM10,GNV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,295,38,45,4.755493,-74.062965,Habil,PM10,DSEL,0.94976882,0.63659495,0.67494118,0.98884493,2.85727388,5.87138149,5.79273476,6.04704559,6.82193384,6.16743481,7.19866641,6.4479722,6.49502712,6.47667135,6.53631843,6.78197157,6.99266309,6.13927876,5.15029902,5.02949426,4.61591376,3.99121896,2.79779324,1.88199684
151,295,38,45,4.755493,-74.062965,Habil,PM10,GAS,0.15168216,0.09168891,0.07992355,0.10036621,0.30063456,1.28280131,2.34023649,1.75065159,1.56764136,1.33364541,1.4157757,1.38555218,1.41875489,1.54292046,1.69130488,1.99760211,1.97346985,2.06309406,1.69252611,1.38672709,1.19864613,0.97959436,0.59650895,0.26508226
151,295,38,45,4.755493,-74.062965,Habil,PM10,GNV,0.00149098,0.00101072,0.00130916,0.0016768,0.00475552,0.0116095,0.01254144,0.01168846,0.01388769,0.01176435,0.0145481,0.01324677,0.0137033,0.01397196,0.01303605,0.01313291,0.01292895,0.01182728,0.01153223,0.01059703,0.0091271,0.00680718,0.00433319,0.00239302
360,3428,37,53,4.827202,-74.07196,NHabil,PM10,DSEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
360,3428,37,53,4.827202,-74.07196,NHabil,PM10,GAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
360,3428,37,53,4.827202,-74.07196,NHabil,PM10,GNV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
360,3428,37,53,4.827202,-74.07196,Habil,PM10,DSEL,1.27841856,0.85687673,0.90849197,1.33101625,3.8459801,7.90306332,7.79720237,8.13951274,9.1825366,8.30156037,9.68963041,8.67917247,8.74250988,8.71780244,8.79808926,9.12874608,9.41234347,8.26366149,6.93246378,6.76985674,6.21316448,5.37230569,3.76591731,2.53322669
360,3428,37,53,4.827202,-74.07196,Habil,PM10,GAS,0.20416893,0.12341616,0.10757958,0.13509609,0.40466353,1.72669071,3.15003158,2.35643185,2.11009436,1.79512849,1.9056784,1.86499666,1.90968849,2.07681928,2.27654931,2.68883499,2.65635222,2.77698921,2.27819317,1.8665781,1.61341522,1.31856468,0.80291973,0.35680901
360,3428,37,53,4.827202,-74.07196,Habil,PM10,GNV,0.00200691,0.00136046,0.00176218,0.00225703,0.00640109,0.01562675,0.01688117,0.01573305,0.01869326,0.01583518,0.01958222,0.01783055,0.01844507,0.01880669,0.01754693,0.01767732,0.01740278,0.01591986,0.01552274,0.01426394,0.01228537,0.00916269,0.00583261,0.00322107
1117,295,38,45,4.755493,-74.062965,NHabil,PM10,DSEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1117,295,38,45,4.755493,-74.062965,NHabil,PM10,GAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1117,295,38,45,4.755493,-74.062965,NHabil,PM10,GNV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1117,295,38,45,4.755493,-74.062965,Habil,PM10,DSEL,0.96079146,0.64398301,0.68277429,1.00032108,2.89043425,5.93952241,5.85996295,6.11722524,6.9011065,6.23901161,7.28221126,6.52280479,6.57040583,6.55183701,6.61217633,6.86068042,7.07381715,6.21052882,5.21007136,5.08786456,4.66948427,4.03753945,2.83026332,1.90383854
1117,295,38,45,4.755493,-74.062965,Habil,PM10,GAS,0.15344251,0.09275302,0.08085111,0.10153103,0.30412358,1.29768897,2.36739633,1.77096895,1.58583479,1.34912315,1.43220663,1.40163238,1.43522039,1.56082698,1.71093347,2.02078549,1.99637315,2.0870375,1.71216893,1.40282087,1.21255714,0.99096313,0.60343179,0.26815869
1117,295,38,45,4.755493,-74.062965,Habil,PM10,GNV,0.00150829,0.00102245,0.00132436,0.00169627,0.00481071,0.01174424,0.01268699,0.0118241,0.01404888,0.01190088,0.01471696,0.0134005,0.01386233,0.01413411,0.01318734,0.01328534,0.01307901,0.01196452,0.01166606,0.01072001,0.00923304,0.00688618,0.00438348,0.0024208
