FID_LINK,FID_Grilla,COL,ROW,LAT,LON,Type,POLNAME,Category,Hora 0,Hora 1,Hora 2,Hora 3,Hora 4,Hora 5,Hora 6,Hora 7,Hora 8,Hora 9,Hora 10,Hora 11,Hora 12,Hora 13,Hora 14,Hora 15,Hora 16,Hora 17,Hora 18,Hora 19,Hora 20,Hora 21,Hora 22,Hora 23
151,295,38,45,4.755493,-74.062965,NHabil,PM2.5,DSEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,295,38,45,4.755493,-74.062965,NHabil,PM2.5,GAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,295,38,45,4.755493,-74.062965,NHabil,PM2.5,GNV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,295,38,45,4.755493,-74.062965,Habil,PM2.5,DSEL,0.86899602,0.5831002,0.61530016,0.90340665,2.60132013,5.33786254,5.26516598,5.48493631,6.18517539,5.60834975,6.54493691,5.8625095,5.90032716,5.88326889,5.9540494,6.17816833,6.371662,5.58826122,4.67275871,4.57427455,4.2047273,3.64454686,2.55446552,1.72219677
151,295,38,45,4.755493,-74.062965,Habil,PM2.5,GAS,0.13418203,0.08111034,0.07070231,0.08878638,0.26594819,1.13479643,2.07023492,1.54867782,1.3867795,1.17977924,1.25243356,1.22569727,1.25506853,1.36490745,1.49617112,1.76712871,1.74578344,1.82507316,1.4972565,1.22673481,1.06035276,0.86657504,0.52768841,0.23449868
151,295,38,45,4.755493,-74.062965,Habil,PM2.5,GNV,0.0048689,0.00280577,0.00277641,0.00358411,0.00902255,0.03341615,0.05140948,0.04045528,0.04617276,0.04600275,0.04994167,0.04790503,0.04825042,0.05071827,0.05165487,0.04732304,0.04760967,0.0499892,0.04960321,0.04988717,0.0454558,0.03513506,0.01950074,0.00915898
360,3428,37,53,4.827202,-74.07196,NHabil,PM2.5,DSEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
360,3428,37,53,4.827202,-74.07196,NHabil,PM2.5,GAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
360,3428,37,53,4.827202,-74.07196,NHabil,PM2.5,GNV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
360,3428,37,53,4.827202,-74.07196,Habil,PM2.5,DSEL,1.16969584,0.78487115,0.82821329,1.21601365,3.50145833,7.18493009,7.0870783,7.38289602,8.32543974,7.54901435,8.80969002,7.89112136,7.9420251,7.91906416,8.0143369,8.31600801,8.57645656,7.52197458,6.28967953,6.15711677,5.65969462,4.90567419,3.4383906,2.31813079
360,3428,37,53,4.827202,-74.07196,Habil,PM2.5,GAS,0.18061318,0.10917703,0.09516754,0.11950923,0.35797459,1.52747154,2.78660103,2.08456887,1.86664862,1.58801979,1.68581479,1.6498269,1.68936156,1.83720817,2.01389318,2.37861058,2.34987918,2.45660561,2.01535412,1.65122347,1.42726801,1.16643713,0.71028512,0.3156426
360,3428,37,53,4.827202,-74.07196,Habil,PM2.5,GNV,0.0065537,0.00377666,0.00373715,0.00482433,0.01214465,0.04497919,0.06919877,0.05445409,0.06214997,0.06192115,0.06722307,0.06448166,0.06494658,0.06826837,0.06952907,0.06369831,0.06408411,0.06728699,0.06676748,0.0671497,0.06118494,0.0472929,0.02624861,0.01232826
1117,295,38,45,4.755493,-74.062965,NHabil,PM2.5,DSEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1117,295,38,45,4.755493,-74.062965,NHabil,PM2.5,GAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1117,295,38,45,4.755493,-74.062965,NHabil,PM2.5,GNV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1117,295,38,45,4.755493,-74.062965,Habil,PM2.5,DSEL,0.87908123,0.58986743,0.62244109,0.91389123,2.63151,5.39981164,5.32627142,5.5485923,6.25695807,5.67343802,6.62089484,5.93054748,5.96880402,5.95154776,6.0231497,6.2498697,6.44560896,5.65311634,4.72698888,4.62736175,4.2535257,3.68684402,2.58411162,1.7421839
1117,295,38,45,4.755493,-74.062965,Habil,PM2.5,GAS,0.13573926,0.08205165,0.07152285,0.08981679,0.26903468,1.14796644,2.09426125,1.56665117,1.40287389,1.19347128,1.26696881,1.23992222,1.26963436,1.38074805,1.51353509,1.7876373,1.7660443,1.84625425,1.51463305,1.24097182,1.07265878,0.87663216,0.53381255,0.2372202
1117,295,38,45,4.755493,-74.062965,Habil,PM2.5,GNV,0.00492542,0.00283833,0.00280864,0.00362572,0.00912726,0.03380397,0.05200612,0.04092477,0.04670863,0.04653665,0.05052129,0.04846099,0.0488104,0.05130688,0.05225435,0.04787227,0.04816222,0.05056933,0.05017888,0.05046613,0.04598336,0.03554282,0.01972705,0.00926528
