FID_LINK,FID_Grilla,COL,ROW,LAT,LON,Type,POLNAME,Category,Hora 0,Hora 1,Hora 2,Hora 3,Hora 4,Hora 5,Hora 6,Hora 7,Hora 8,Hora 9,Hora 10,Hora 11,Hora 12,Hora 13,Hora 14,Hora 15,Hora 16,Hora 17,Hora 18,Hora 19,Hora 20,Hora 21,Hora 22,Hora 23
151,295,38,45,4.755493,-74.062965,NHabil,PNA,DSEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,295,38,45,4.755493,-74.062965,NHabil,PNA,GAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,295,38,45,4.755493,-74.062965,NHabil,PNA,GNV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,295,38,45,4.755493,-74.062965,Habil,PNA,DSEL,0.00072503,0.00049749,0.00052988,0.00078605,0.00218804,0.00444547,0.0042627,0.00435001,0.00494823,0.00448436,0.00539599,0.00482014,0.00486024,0.0048417,0.00488599,0.00502783,0.00515221,0.00447275,0.00378067,0.0037566,0.00344843,0.00297952,0.00209043,0.00137738
151,295,38,45,4.755493,-74.062965,Habil,PNA,GAS,4.711e-05,2.877e-05,2.52e-05,3.152e-05,9.62e-05,0.00040613,0.00074422,0.00055901,0.00049136,0.0004089,0.00043522,0.00042596,0.00043714,0.000476,0.00052358,0.00063301,0.00062515,0.00065308,0.00052646,0.00041966,0.00035937,0.00029585,0.00018314,8.122e-05
151,295,38,45,4.755493,-74.062965,Habil,PNA,GNV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
360,3428,37,53,4.827202,-74.07196,NHabil,PNA,DSEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
360,3428,37,53,4.827202,-74.07196,NHabil,PNA,GAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
360,3428,37,53,4.827202,-74.07196,NHabil,PNA,GNV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
360,3428,37,53,4.827202,-74.07196,Habil,PNA,DSEL,0.0009759,0.00066964,0.00071324,0.00105803,0.00294514,0.00598374,0.00573773,0.00585523,0.00666047,0.00603612,0.00726315,0.00648808,0.00654203,0.00651704,0.00657668,0.00676763,0.00693506,0.00602045,0.0050889,0.00505649,0.0046417,0.0040105,0.0028138,0.00185399
360,3428,37,53,4.827202,-74.07196,Habil,PNA,GAS,6.342e-05,3.872e-05,3.391e-05,4.244e-05,0.00012948,0.00054663,0.00100176,0.00075245,0.00066139,0.0005504,0.00058583,0.00057338,0.00058841,0.00064072,0.00070476,0.00085204,0.00084148,0.00087906,0.00070861,0.00056487,0.00048373,0.00039823,0.00024654,0.00010932
360,3428,37,53,4.827202,-74.07196,Habil,PNA,GNV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1117,295,38,45,4.755493,-74.062965,NHabil,PNA,DSEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1117,295,38,45,4.755493,-74.062965,NHabil,PNA,GAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1117,295,38,45,4.755493,-74.062965,NHabil,PNA,GNV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1117,295,38,45,4.755493,-74.062965,Habil,PNA,DSEL,0.00073342,0.00050328,0.00053604,0.00079517,0.00221342,0.00449706,0.00431217,0.00440049,0.00500565,0.00453644,0.0054586,0.00487611,0.00491666,0.00489786,0.00494272,0.00508617,0.00521202,0.00452465,0.00382453,0.00380021,0.00348846,0.0030141,0.00211471,0.00139336
1117,295,38,45,4.755493,-74.062965,Habil,PNA,GAS,4.768e-05,2.912e-05,2.547e-05,3.189e-05,9.731e-05,0.00041084,0.00075285,0.00056551,0.00049707,0.00041364,0.00044027,0.00043092,0.00044224,0.00048152,0.00052965,0.00064034,0.00063242,0.00066067,0.00053257,0.00042451,0.00036356,0.0002993,0.00018528,8.216e-05
1117,295,38,45,4.755493,-74.062965,Habil,PNA,GNV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
