FID_LINK,FID_Grilla,COL,ROW,LAT,LON,Type,POLNAME,Category,Hora 0,Hora 1,Hora 2,Hora 3,Hora 4,Hora 5,Hora 6,Hora 7,Hora 8,Hora 9,Hora 10,Hora 11,Hora 12,Hora 13,Hora 14,Hora 15,Hora 16,Hora 17,Hora 18,Hora 19,Hora 20,Hora 21,Hora 22,Hora 23
151,295,38,45,4.755493,-74.062965,NHabil,PNO3,DSEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,295,38,45,4.755493,-74.062965,NHabil,PNO3,GAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,295,38,45,4.755493,-74.062965,NHabil,PNO3,GNV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,295,38,45,4.755493,-74.062965,Habil,PNO3,DSEL,0.00361714,0.00254218,0.00272024,0.00400198,0.01108175,0.02214019,0.02063222,0.02122815,0.0242876,0.02194873,0.02674041,0.0237742,0.02399565,0.02387247,0.02404503,0.02485498,0.02536156,0.02169304,0.01815015,0.01797154,0.01645313,0.01429838,0.01004175,0.00683584
151,295,38,45,4.755493,-74.062965,Habil,PNO3,GAS,0.00034761,0.00021227,0.00018583,0.0002326,0.00070969,0.00299618,0.00549087,0.00412456,0.00362502,0.00301639,0.0032105,0.00314232,0.0032247,0.00351137,0.00386237,0.00467004,0.00461217,0.00481841,0.00388376,0.00309538,0.00265065,0.00218219,0.00135113,0.00059908
151,295,38,45,4.755493,-74.062965,Habil,PNO3,GNV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
360,3428,37,53,4.827202,-74.07196,NHabil,PNO3,DSEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
360,3428,37,53,4.827202,-74.07196,NHabil,PNO3,GAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
360,3428,37,53,4.827202,-74.07196,NHabil,PNO3,GNV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
360,3428,37,53,4.827202,-74.07196,Habil,PNO3,DSEL,0.00486879,0.00342185,0.00366153,0.00538679,0.0149164,0.02980139,0.02777165,0.02857373,0.03269191,0.02954368,0.03599345,0.03200081,0.0322989,0.03213308,0.03236537,0.03345559,0.03413746,0.02919949,0.02443066,0.02419024,0.02214643,0.01924607,0.01351649,0.00920124
360,3428,37,53,4.827202,-74.07196,Habil,PNO3,GAS,0.00046788,0.00028572,0.00025013,0.00031311,0.00095525,0.00403294,0.0073909,0.00555179,0.00487939,0.00406015,0.00432144,0.00422967,0.00434054,0.00472643,0.00519886,0.00628606,0.00620814,0.00648573,0.00522765,0.00416646,0.00356786,0.00293729,0.00181866,0.00080637
360,3428,37,53,4.827202,-74.07196,Habil,PNO3,GNV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1117,295,38,45,4.755493,-74.062965,NHabil,PNO3,DSEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1117,295,38,45,4.755493,-74.062965,NHabil,PNO3,GAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
