FID_LINK,FID_Grilla,COL,ROW,LAT,LON,Type,POLNAME,Category,Hora 0,Hora 1,Hora 2,Hora 3,Hora 4,Hora 5,Hora 6,Hora 7,Hora 8,Hora 9,Hora 10,Hora 11,Hora 12,Hora 13,Hora 14,Hora 15,Hora 16,Hora 17,Hora 18,Hora 19,Hora 20,Hora 21,Hora 22,Hora 23
151,295,38,45,4.755493,-74.062965,NHabil,POC,DSEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,295,38,45,4.755493,-74.062965,NHabil,POC,GAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,295,38,45,4.755493,-74.062965,NHabil,POC,GNV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,295,38,45,4.755493,-74.062965,Habil,POC,DSEL,0.29211404,0.20502773,0.21933338,0.32282683,0.89419009,1.78817447,1.66909881,1.71649436,1.96323274,1.77446042,2.16032236,1.9211997,1.93898711,1.92917737,1.94333351,2.00828011,2.0497066,1.7547075,1.46900028,1.45484107,1.3321315,1.15728007,0.81271059,0.55221211
151,295,38,45,4.755493,-74.062965,Habil,POC,GAS,0.0670588,0.04095085,0.03584915,0.04487669,0.13691568,0.57802503,1.05931157,0.79572392,0.69934329,0.58191335,0.61936384,0.60621299,0.62210311,0.67740772,0.74512151,0.90095234,0.88978986,0.92957816,0.74924838,0.59714153,0.51134509,0.42097666,0.26065524,0.11557161
151,295,38,45,4.755493,-74.062965,Habil,POC,GNV,0.0018234,0.00105075,0.00103976,0.00134225,0.00337895,0.01251434,0.01925286,0.0151505,0.01729171,0.01722802,0.01870316,0.01794041,0.01806979,0.018994,0.01934475,0.01772248,0.01782982,0.01872094,0.01857639,0.01868275,0.0170232,0.01315808,0.00730303,0.00343004
360,3428,37,53,4.827202,-74.07196,NHabil,POC,DSEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
360,3428,37,53,4.827202,-74.07196,NHabil,POC,GAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
360,3428,37,53,4.827202,-74.07196,NHabil,POC,GNV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
360,3428,37,53,4.827202,-74.07196,Habil,POC,DSEL,0.39319465,0.27597376,0.29522961,0.43453507,1.20360786,2.40693882,2.24665926,2.31045514,2.64257273,2.38847928,2.90786153,2.58599493,2.60993736,2.59673314,2.61578776,2.70320789,2.75896925,2.36189123,1.97732039,1.95826164,1.79309073,1.55773521,1.09393391,0.74329479
360,3428,37,53,4.827202,-74.07196,Habil,POC,GAS,0.09026324,0.05512111,0.04825408,0.06040543,0.18429282,0.77803977,1.42586653,1.0710693,0.94133796,0.78327358,0.83368314,0.81598167,0.83737024,0.911812,1.0029569,1.21271005,1.19768502,1.2512413,1.0085118,0.80377122,0.6882865,0.56664777,0.35085012,0.15556301
360,3428,37,53,4.827202,-74.07196,Habil,POC,GNV,0.00245434,0.00141435,0.00139956,0.00180671,0.00454817,0.01684471,0.02591493,0.02039305,0.02327517,0.02318948,0.02517503,0.02414836,0.0243225,0.02556651,0.02603864,0.02385502,0.02399949,0.025199,0.02500443,0.02514758,0.02291378,0.01771118,0.00983011,0.00461692
1117,295,38,45,4.755493,-74.062965,NHabil,POC,DSEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1117,295,38,45,4.755493,-74.062965,NHabil,POC,GAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1117,295,38,45,4.755493,-74.062965,NHabil,POC,GNV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1117,295,38,45,4.755493,-74.062965,Habil,POC,DSEL,0.29550421,0.2074072,0.22187887,0.32657345,0.90456771,1.80892733,1.68846973,1.73641531,1.98601724,1.7950541,2.1853942,1.94349635,1.96149022,1.95156664,1.96588707,2.03158739,2.07349469,1.77507193,1.48604892,1.47172537,1.34759168,1.170711,0.8221426,0.55862086
