FID_LINK,FID_Grilla,COL,ROW,LAT,LON,Type,POLNAME,Category,Hora 0,Hora 1,Hora 2,Hora 3,Hora 4,Hora 5,Hora 6,Hora 7,Hora 8,Hora 9,Hora 10,Hora 11,Hora 12,Hora 13,Hora 14,Hora 15,Hora 16,Hora 17,Hora 18,Hora 19,Hora 20,Hora 21,Hora 22,Hora 23
151,295,38,45,4.755493,-74.062965,NHabil,PSI,DSEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,295,38,45,4.755493,-74.062965,NHabil,PSI,GAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,295,38,45,4.755493,-74.062965,NHabil,PSI,GNV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,295,38,45,4.755493,-74.062965,Habil,PSI,DSEL,0.00439389,0.00308699,0.003303,0.0048599,0.01345845,0.02689514,0.02507397,0.02579497,0.02951011,0.02666941,0.0324857,0.02888419,0.02915282,0.02900374,0.02921421,0.03019628,0.03081367,0.02636232,0.02206027,0.02184433,0.01999954,0.01737882,0.01220494,0.00830436
151,295,38,45,4.755493,-74.062965,Habil,PSI,GAS,0.00039,0.00023815,0.00020848,0.00026099,0.00079628,0.00336171,0.00616078,0.00462778,0.0040672,0.00338419,0.00360201,0.00352552,0.00361794,0.0039396,0.00433343,0.0052398,0.00517485,0.00540623,0.00435739,0.00347274,0.00297376,0.00244823,0.00151588,0.00067213
151,295,38,45,4.755493,-74.062965,Habil,PSI,GNV,2.873e-05,1.655e-05,1.64e-05,2.115e-05,5.323e-05,0.00019716,0.00030331,0.00023868,0.0002724,0.00027144,0.00029467,0.00028266,0.00028469,0.00029924,0.00030477,0.00027921,0.0002809,0.00029493,0.00029266,0.00029435,0.00026819,0.0002073,0.00011505,5.403e-05
360,3428,37,53,4.827202,-74.07196,NHabil,PSI,DSEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
360,3428,37,53,4.827202,-74.07196,NHabil,PSI,GAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
360,3428,37,53,4.827202,-74.07196,NHabil,PSI,GNV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
360,3428,37,53,4.827202,-74.07196,Habil,PSI,DSEL,0.00591428,0.00415519,0.00444593,0.00654159,0.01811549,0.03620171,0.03375036,0.03472082,0.03972151,0.03589786,0.04372678,0.03887903,0.03924064,0.03903994,0.03932327,0.04064515,0.04147615,0.03548449,0.02969379,0.02940317,0.02692003,0.02339243,0.01642825,0.01117792
