FID_LINK,FID_Grilla,COL,ROW,LAT,LON,Type,POLNAME,Category,Hora 0,Hora 1,Hora 2,Hora 3,Hora 4,Hora 5,Hora 6,Hora 7,Hora 8,Hora 9,Hora 10,Hora 11,Hora 12,Hora 13,Hora 14,Hora 15,Hora 16,Hora 17,Hora 18,Hora 19,Hora 20,Hora 21,Hora 22,Hora 23
151,295,38,45,4.755493,-74.062965,NHabil,PSO4,DSEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,295,38,45,4.755493,-74.062965,NHabil,PSO4,GAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,295,38,45,4.755493,-74.062965,NHabil,PSO4,GNV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,295,38,45,4.755493,-74.062965,Habil,PSO4,DSEL,0.01777129,0.00965896,0.00975919,0.01587774,0.04664863,0.11057434,0.13121476,0.12659513,0.13809907,0.12777579,0.13984861,0.12967192,0.12974908,0.13058439,0.13371314,0.13287754,0.1407314,0.13581729,0.12265101,0.12452959,0.1161774,0.0968985,0.0675654,0.0352734
151,295,38,45,4.755493,-74.062965,Habil,PSO4,GAS,0.01021677,0.00638237,0.00566299,0.0071121,0.02241144,0.09284797,0.16470464,0.11886228,0.10467446,0.08613221,0.09221563,0.09005515,0.09336788,0.10310447,0.11478836,0.14234113,0.1378008,0.13816491,0.11099382,0.0893506,0.07662376,0.06244702,0.03842732,0.01741729
151,295,38,45,4.755493,-74.062965,Habil,PSO4,GNV,5.065e-05,2.92e-05,2.887e-05,3.729e-05,9.385e-05,0.00034753,0.00053466,0.00042074,0.00048019,0.00047844,0.00051939,0.0004982,0.00050181,0.00052748,0.00053721,0.00049216,0.00049515,0.00051989,0.00051588,0.00051882,0.00047274,0.00036541,0.0002028,9.525e-05
360,3428,37,53,4.827202,-74.07196,NHabil,PSO4,DSEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
360,3428,37,53,4.827202,-74.07196,NHabil,PSO4,GAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
360,3428,37,53,4.827202,-74.07196,NHabil,PSO4,GNV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
360,3428,37,53,4.827202,-74.07196,Habil,PSO4,DSEL,0.02392073,0.01300129,0.01313619,0.02137195,0.06279052,0.1488365,0.17661919,0.17040099,0.18588567,0.1719902,0.1882406,0.17454248,0.17464633,0.1757707,0.17998209,0.17885731,0.18942884,0.18281431,0.1650921,0.16762073,0.15637842,0.13042843,0.09094513,0.0474791
