FID_LINK,FID_Grilla,LAT,LON,ROW,COL,hora,NHTX_GAS,NHC2P_GAS,NHCC_DSEL,NHC2G_GAS,NHC5_GAS,NHC2G_DSEL,NH>C5_GNV,NHMB_DSEL,NHB_DSEL,NHC5_DSEL,NHC5_GNV,NHC2G_GNV,NHC2P_DSEL,NHESP_GAS,NHAL_DSEL,NHCC_GNV,NHTX_GNV,NHINT_GAS,NHC2P_GNV,NHCC_GAS,NHM_GAS,NHC3-C4_GNV,NHAUT_GAS,NHESP_DSEL,NHAT_DSEL,NHC3-C4_DSEL,NHBA_DSEL,NHINT_GNV,NH>C5_DSEL,NHC3-C4_GAS,NHAUT_GNV,NHINT_DSEL,NHBT_DSEL,NH>C5_GAS,NHESP_GNV
7289,3206,4.791351,-74.044975,49,40,0,0.00013821,3.62e-06,0.00055004,2.149e-05,0.00011072,0.00131502,3.2e-07,2.904e-05,0.0001521,0.00017974,9e-08,2.7e-07,0.00022148,0.0007968,0.00026613,1.511e-05,0.00037241,2.812e-05,4e-08,0.00058939,0.00084188,1e-07,0.00086836,4.088e-05,0.00028688,0.00019097,0.0,8e-08,0.00044485,0.00011764,4.573e-05,0.0001312,0.00110469,0.00038751,0.0
7289,3206,4.791351,-74.044975,49,40,1,0.00010411,3.62e-06,0.00041431,2.307e-05,0.0001038,0.00141191,2.4e-07,2.904e-05,0.00013037,0.0001685,8e-08,2.9e-07,0.00022148,0.00060067,0.0,1.138e-05,0.00028051,2.556e-05,4e-08,0.00044395,0.00074407,7e-08,0.00065407,3.082e-05,0.0,0.0001348,0.0,7e-08,0.00045833,8.304e-05,3.444e-05,0.00011927,0.00029458,0.00029755,0.0
7289,3206,4.791351,-74.044975,49,40,2,9.941e-05,6.79e-06,0.00039561,1.922e-05,7.612e-05,0.00117659,2.2e-07,8.711e-05,2.173e-05,0.00012357,6e-08,2.4e-07,0.00041527,0.00056389,0.0,1.086e-05,0.00026785,2.812e-05,8e-08,0.0004239,0.00055194,1.4e-07,0.00062454,2.893e-05,2.207e-05,0.00026961,0.0,8e-08,0.00048529,0.00016608,3.289e-05,0.0001312,0.00027004,0.00026987,0.0
7289,3206,4.791351,-74.044975,49,40,3,9.89e-05,6.11e-06,0.0003936,2.103e-05,0.00016608,0.00128733,3.5e-07,5.807e-05,0.00013037,0.00026961,1.4e-07,2.6e-07,0.00037374,0.00051486,0.0,1.081e-05,0.00026649,2.301e-05,8e-08,0.00042175,0.00067071,1.2e-07,0.00062137,2.642e-05,2.207e-05,0.00023591,0.0,6e-08,0.00077736,0.00014532,3.272e-05,0.00010734,0.00029458,0.00042903,0.0
7289,3206,4.791351,-74.044975,49,40,4,8.566e-05,1.402e-05,0.00034088,3.325e-05,0.00026987,0.00203481,5e-07,0.00049361,0.00091261,0.00043811,2.2e-07,4.1e-07,0.00085822,0.00096842,0.00022069,9.36e-06,0.00023079,0.00014061,1.7e-07,0.00036526,0.00053797,3.2e-07,0.00053815,4.969e-05,0.00072824,0.00064031,0.0,3.9e-07,0.00146486,0.00039443,2.834e-05,0.000656,0.00147292,0.00060895,1e-08
7289,3206,4.791351,-74.044975,49,40,5,0.0001482,2.646e-05,0.00058977,6.876e-05,0.00039443,0.00420805,7.5e-07,0.00153889,0.00371561,0.00064031,3.2e-07,8.5e-07,0.00161955,0.00221879,0.00045436,1.62e-05,0.00039931,0.00027354,3.3e-07,0.00063196,0.0021868,5.9e-07,0.00093108,0.00011384,0.00244953,0.00117953,4.176e-05,7.7e-07,0.00151429,0.00072658,4.903e-05,0.00127621,0.00247942,0.00092034,1e-08
7289,3206,4.791351,-74.044975,49,40,6,0.0003448,3.935e-05,0.00137217,9.273e-05,0.00022836,0.00567533,3.4e-07,0.00229381,0.0053018,0.00037071,1.9e-07,1.15e-06,0.00240856,0.00359175,0.00029858,3.768e-05,0.00092903,0.00036046,4.9e-07,0.00147032,0.00509672,4.8e-07,0.00216625,0.00018428,0.00545075,0.00096609,6.424e-05,1.01e-06,0.0002067,0.00059511,0.00011407,0.00168174,0.00247942,0.00042211,2e-08
7289,3206,4.791351,-74.044975,49,40,7,0.00042812,2.443e-05,0.00170378,8.956e-05,0.00022836,0.00548154,3.6e-07,0.00203249,0.00362869,0.00037071,1.9e-07,1.11e-06,0.00149497,0.00281946,0.00020122,4.679e-05,0.00115355,0.00035535,3e-07,0.00182564,0.00559277,3.8e-07,0.00268975,0.00014466,0.00957743,0.00075265,8.352e-05,9.9e-07,6.291e-05,0.00046363,0.00014163,0.00165788,0.00255306,0.00043595,2e-08
7289,3206,4.791351,-74.044975,49,40,8,0.00046716,2.94e-05,0.00185914,9.929e-05,0.0002076,0.00607676,2.9e-07,0.00180021,0.00443266,0.00033701,1.7e-07,1.23e-06,0.0017995,0.00236589,0.00014929,5.106e-05,0.00125874,0.00035279,3.6e-07,0.00199212,0.00485219,4.8e-07,0.00293503,0.00012139,0.01001879,0.00096609,7.388e-05,9.9e-07,0.00015727,0.00059511,0.00015455,0.00164595,0.00265126,0.00035291,1e-08
7289,3206,4.791351,-74.044975,49,40,9,0.00046219,3.958e-05,0.00183936,9.997e-05,0.00021452,0.00611829,3.6e-07,0.00185828,0.00362869,0.00034824,1.7e-07,1.24e-06,0.0024224,0.00199814,0.00017525,5.051e-05,0.00124534,0.00034257,4.9e-07,0.00197092,0.00397188,3.8e-07,0.00290379,0.00010252,0.00825336,0.00075265,8.352e-05,9.6e-07,0.00030555,0.00046363,0.00015291,0.00159825,0.00225848,0.00043595,1e-08
