FID_LINK,FID_Grilla,LAT,LON,ROW,COL,hora,C5_GNV,INT_GAS,C2G_GNV,ESP_GNV,CC_DSEL,CC_GNV,C2P_GAS,>C5_GAS,C2P_DSEL,C3-C4_DSEL,C2G_GAS,AUT_GNV,C5_GAS,M_GAS,AL_DSEL,B_DSEL,TX_GAS,AUT_GAS,>C5_GNV,C2P_GNV,C2G_DSEL,INT_GNV,C3-C4_GAS,INT_DSEL,ESP_GAS,BT_DSEL,TX_GNV,AT_DSEL,>C5_DSEL,CC_GAS,MB_DSEL,C5_DSEL,C3-C4_GNV,BA_DSEL,ESP_DSEL
7289,3206,4.791351,-74.044975,49,40,0,0.0,0.00014862,0.0,0.0,3.396e-05,0.0,4.406e-05,0.00142239,6.604e-05,3.925e-05,0.00017253,0.0,0.00107757,0.0042839,3.076e-05,5.276e-05,0.00027098,0.00166693,0.0,0.0,0.00025857,0.0,0.00074712,2.244e-05,0.00302883,0.00020783,0.0,4.465e-05,7.473e-05,0.00103824,1.171e-05,5.661e-05,0.0,0.0,5.03e-06
7289,3206,4.791351,-74.044975,49,40,1,0.0,7.962e-05,0.0,0.0,1.804e-05,0.0,3.91e-05,0.0014655,5.86e-05,4.151e-05,0.00012102,0.0,0.00081895,0.00225103,4.9e-07,1.905e-05,0.000144,0.00088582,0.0,0.0,0.00018137,0.0,0.00079022,1.202e-05,0.00251978,0.00010391,0.0,2.98e-06,7.699e-05,0.00055173,5.85e-06,4.302e-05,0.0,0.0,4.18e-06
7289,3206,4.791351,-74.044975,49,40,2,0.0,0.00017516,0.0,0.0,1.475e-05,0.0,7.447e-05,0.0015517,0.00011161,5.208e-05,0.00011605,0.0,0.00083332,0.00170563,0.0,1.026e-05,0.0001177,0.00072405,0.0,0.0,0.00017393,0.0,0.00099137,2.645e-05,0.00229071,7.587e-05,0.0,4.47e-06,8.152e-05,0.00045097,0.0,4.378e-05,0.0,0.0,3.8e-06
7289,3206,4.791351,-74.044975,49,40,3,0.0,0.00019639,0.0,0.0,1.917e-05,0.0,6.889e-05,0.0024856,0.00010324,7.699e-05,0.00016322,0.0,0.00127872,0.00198329,1.758e-05,4.397e-05,0.00015301,0.00094121,0.0,0.0,0.00024462,0.0,0.0014655,2.965e-05,0.00213799,9.567e-05,0.0,5.95e-06,0.00013058,0.00058623,1.171e-05,6.718e-05,0.0,0.0,3.55e-06
7289,3206,4.791351,-74.044975,49,40,4,0.0,0.00084927,0.0,0.0,4.289e-05,0.0,0.00014398,0.00468384,0.00021578,0.00016077,0.00036056,0.0,0.00237066,0.00479955,6.689e-05,0.00036055,0.0003423,0.00210568,0.0,0.0,0.00054039,0.0,0.0030603,0.00012823,0.01908924,0.00035793,0.0,0.00019498,0.00024607,0.00131151,0.00012876,0.00012454,0.0,3.04e-06,3.169e-05
7289,3206,4.791351,-74.044975,49,40,5,0.0,0.00197985,0.0,0.0,0.00021921,0.0,0.00026313,0.00484188,0.00039437,0.00028682,0.00088683,0.0,0.00330455,0.02498942,0.00010887,0.00085886,0.00174934,0.01076108,0.0,0.0,0.00132912,0.0,0.00545969,0.00029893,0.085138,0.00061194,0.0,0.00067425,0.00025437,0.00670249,0.00034141,0.0001736,0.0,2.54e-05,0.00014136
7289,3206,4.791351,-74.044975,49,40,6,0.0,0.00199047,0.0,0.0,0.00039071,0.0,0.00028361,0.00066091,0.00042506,0.0001253,0.00063921,0.0,0.00063217,0.07019845,9.618e-05,0.00101422,0.00311802,0.01918049,0.0,0.0,0.00095801,0.0,0.00238502,0.00030054,0.13922417,0.00058885,0.0,0.00144375,3.472e-05,0.01194648,0.00038043,3.321e-05,0.0,4.859e-05,0.00023116
7289,3206,4.791351,-74.044975,49,40,7,0.0,0.00243102,0.0,0.0,0.00028917,0.0,0.00022279,0.00020115,0.00033391,5.736e-05,0.00053681,0.0,0.00011494,0.07278664,8.495e-05,0.00106698,0.00230769,0.01419576,0.0,0.0,0.00080454,0.0,0.00109194,0.00036705,0.07225913,0.00061359,0.0,0.00212693,1.057e-05,0.00884177,0.00041944,6.04e-06,0.0,6.488e-05,0.00011997
7289,3206,4.791351,-74.044975,49,40,8,0.0,0.00282381,0.0,0.0,0.00032454,0.0,0.00036429,0.00050287,0.00054597,0.00020229,0.00072113,0.0,0.0004885,0.05623611,7.372e-05,0.00111828,0.00258993,0.01593194,0.0,0.0,0.00108078,0.0,0.00385052,0.00042636,0.0471886,0.00070596,0.0,0.00207781,2.642e-05,0.00992314,0.00036677,2.566e-05,0.0,6.295e-05,7.835e-05
7289,3206,4.791351,-74.044975,49,40,9,0.0,0.00203824,0.0,0.0,0.00034417,0.0,0.00033574,0.000977,0.00050319,0.00012907,0.00076457,0.0,0.00070401,0.04372157,5.761e-05,0.00101275,0.00274663,0.01689587,0.0,0.0,0.00114589,0.0,0.00245686,0.00030775,0.01766391,0.00078018,0.0,0.00173399,5.133e-05,0.01052352,0.00033751,3.699e-05,0.0,5.08e-05,2.933e-05
