FID_LINK,FID_Grilla,LAT,LON,ROW,COL,hora,C5_GNV,INT_GAS,C2G_GNV,ESP_GNV,CC_DSEL,CC_GNV,C2P_GAS,>C5_GAS,C2P_DSEL,C3-C4_DSEL,C2G_GAS,AUT_GNV,C5_GAS,M_GAS,AL_DSEL,B_DSEL,TX_GAS,AUT_GAS,>C5_GNV,C2P_GNV,C2G_DSEL,INT_GNV,C3-C4_GAS,INT_DSEL,ESP_GAS,BT_DSEL,TX_GNV,AT_DSEL,>C5_DSEL,CC_GAS,MB_DSEL,C5_DSEL,C3-C4_GNV,BA_DSEL,ESP_DSEL
7289,3206,4.791351,-74.044975,49,40,0,0.0,0.00140982,0.0,0.0,0.00169697,0.0,0.00018055,0.0134928,8.848e-05,5.966e-05,0.00070694,0.0,0.01022182,0.02260447,0.0020411,0.00020031,0.00158364,0.01395548,0.0,0.0,0.00034643,0.0,0.00708713,3.175e-05,0.02873135,0.00031094,0.0,0.00016814,0.00011358,0.00306544,1.635e-05,8.604e-05,0.0,0.0,7.52e-06
7289,3206,4.791351,-74.044975,49,40,1,0.0,0.00075526,0.0,0.0,0.00090178,0.0,0.00016021,0.01390168,7.851e-05,6.31e-05,0.00049587,0.0,0.00776858,0.01187781,3.24e-05,7.233e-05,0.00084155,0.00741602,0.0,0.0,0.000243,0.0,0.007496,1.701e-05,0.02390255,0.00015547,0.0,1.121e-05,0.00011702,0.00162899,8.18e-06,6.539e-05,0.0,0.0,6.26e-06
7289,3206,4.791351,-74.044975,49,40,2,0.0,0.00166158,0.0,0.0,0.0007371,0.0,0.00030515,0.01471942,0.00014954,7.916e-05,0.00047553,0.0,0.00790487,0.00899993,0.0,3.895e-05,0.00068787,0.00606175,0.0,0.0,0.00023303,0.0,0.00940408,3.742e-05,0.02172959,0.00011352,0.0,1.681e-05,0.0001239,0.00133152,0.0,6.654e-05,0.0,0.0,5.69e-06
7289,3206,4.791351,-74.044975,49,40,3,0.0,0.00186298,0.0,0.0,0.00095818,0.0,0.00028227,0.02357833,0.00013832,0.00011702,0.0006688,0.0,0.01212989,0.01046503,0.00116634,0.00016693,0.00089418,0.00787981,0.0,0.0,0.00032773,0.0,0.01390168,4.196e-05,0.02028095,0.00014313,0.0,2.242e-05,0.00019848,0.00173087,1.635e-05,0.00010211,0.0,0.0,5.31e-06
7289,3206,4.791351,-74.044975,49,40,4,0.0,0.00805614,0.0,0.0,0.00214363,0.0,0.00058996,0.04443085,0.0002891,0.00024437,0.00147745,0.0,0.02248801,0.02532538,0.00443858,0.0013688,0.00200047,0.01762871,0.0,0.0,0.00072401,0.0,0.02902997,0.00018144,0.18107993,0.00053551,0.0,0.00073422,0.00037401,0.0038723,0.00017989,0.0001893,0.0,0.00040719,4.742e-05
7289,3206,4.791351,-74.044975,49,40,5,0.0,0.01878087,0.0,0.0,0.01095502,0.0,0.00107821,0.04593005,0.00052836,0.00043596,0.00363387,0.0,0.03134692,0.13185943,0.00722484,0.00326063,0.01022338,0.09009146,0.0,0.0,0.00178073,0.0,0.05179056,0.00042299,0.80761647,0.00091555,0.0,0.00253895,0.00038663,0.01978937,0.00047697,0.00026387,0.0,0.00340559,0.00021149
7289,3206,4.791351,-74.044975,49,40,6,0.0,0.01888157,0.0,0.0,0.01952616,0.0,0.00116213,0.00626938,0.00056949,0.00019044,0.00261924,0.0,0.0059968,0.37040989,0.00638248,0.00385044,0.0182221,0.16057846,0.0,0.0,0.00128352,0.0,0.0226243,0.00042526,1.32067627,0.000881,0.0,0.0054366,5.277e-05,0.03527245,0.00053148,5.048e-05,0.0,0.00651505,0.00034584
7289,3206,4.791351,-74.044975,49,40,7,0.0,0.02306069,0.0,0.0,0.01445161,0.0,0.00091292,0.00190807,0.00044736,8.719e-05,0.00219965,0.0,0.00109033,0.38406676,0.00563732,0.00405075,0.01348645,0.11884652,0.0,0.0,0.00107791,0.0,0.01035811,0.00051939,0.68544788,0.00091801,0.0,0.00800918,1.606e-05,0.02610566,0.000586,9.18e-06,0.0,0.00869907,0.0001795
7289,3206,4.791351,-74.044975,49,40,8,0.0,0.02678665,0.0,0.0,0.01621907,0.0,0.00149271,0.00477018,0.00073148,0.00030747,0.00295491,0.0,0.00463389,0.29673605,0.00489216,0.00424549,0.01513587,0.13338173,0.0,0.0,0.00144801,0.0,0.03652597,0.0006033,0.44762958,0.00105621,0.0,0.00782422,4.015e-05,0.02929845,0.00051241,3.901e-05,0.0,0.00843995,0.00011722
7289,3206,4.791351,-74.044975,49,40,9,0.0,0.01933473,0.0,0.0,0.01720037,0.0,0.00137574,0.00926778,0.00067416,0.00019618,0.00313291,0.0,0.00667826,0.23070168,0.00382301,0.00384487,0.01605163,0.1414517,0.0,0.0,0.00153524,0.0,0.02330575,0.00043547,0.16755929,0.00116726,0.0,0.00652953,7.801e-05,0.03107109,0.00047152,5.622e-05,0.0,0.00681119,4.388e-05
7289,3206,4.791351,-74.044975,49,40,10,0.0,0.02290964,0.0,0.0,0.01778069,0.0,0.00151051,0.03925179,0.00074021,0.0005438,0.0047782,0.0,0.02167026,0.23703303,0.00346663,0.00366682,0.0165932,0.14622412,0.0,0.0,0.0023415,0.0,0.06460191,0.00051598,0.16442057,0.00091555,0.0,0.0055543,0.00033041,0.03211939,0.00052058,0.00018241,0.0,0.00551558,4.306e-05
7289,3206,4.791351,-74.044975,49,40,11,0.0,0.0204928,0.0,0.0,0.01741129,0.0,0.00135793,0.03393645,0.00066544,0.00039466,0.00442219,0.0,0.01444684,0.2367714,0.00379061,0.0033274,0.01624847,0.14318628,0.0,0.0,0.00216704,0.0,0.04688408,0.00046155,0.17069801,0.00076748,0.0,0.00538616,0.00028567,0.0314521,0.00048515,0.00012161,0.0,0.00514541,4.47e-05
