FID_LINK,FID_Grilla,LAT,LON,ROW,COL,hora,NHTX_GAS,NHC2P_GAS,NHCC_DSEL,NHC2G_GAS,NHC5_GAS,NHC2G_DSEL,NH>C5_GNV,NHMB_DSEL,NHB_DSEL,NHC5_DSEL,NHC5_GNV,NHC2G_GNV,NHC2P_DSEL,NHESP_GAS,NHAL_DSEL,NHCC_GNV,NHTX_GNV,NHINT_GAS,NHC2P_GNV,NHCC_GAS,NHM_GAS,NHC3-C4_GNV,NHAUT_GAS,NHESP_DSEL,NHAT_DSEL,NHC3-C4_DSEL,NHBA_DSEL,NHINT_GNV,NH>C5_DSEL,NHC3-C4_GAS,NHAUT_GNV,NHINT_DSEL,NHBT_DSEL,NH>C5_GAS,NHESP_GNV
7289,3206,4.791351,-74.044975,49,40,0,1835.03211577,30.55775978,2127.9439941,181.43669869,211.02664889,1201.0204982,92.42859993,20.80685201,176.37475046,192.24712922,26.40817141,86.62818299,202.27713654,1568.55082682,1030.39677542,214.60557302,2405.12327555,53.4472919,14.59000977,8812.6179157,1806.58204952,28.05868212,19102.2321797,41.97317252,327.55326841,204.26257479,0.0,25.26414429,475.81164481,224.21581445,284.6747241,101.3998754,1134.18848586,738.59327112,1.49026513
7289,3206,4.791351,-74.044975,49,40,1,1382.20519119,30.55775978,1602.83583591,194.8057186,197.83748334,1289.51674544,70.97196066,20.80685201,151.17835754,180.23168364,24.75766069,93.01131226,202.27713654,1182.44600791,0.0,161.64781779,1811.61618283,48.58844718,14.59000977,6637.94716528,1596.68869937,19.80612856,14388.4154698,31.64131467,0.0,144.18534691,0.0,22.9674039,490.2301795,158.26998667,214.42615531,92.18170491,302.4502629,567.1341189,1.12343064
7289,3206,4.791351,-74.044975,49,40,2,1319.79965831,57.29579959,1530.46899407,162.33809883,145.08082111,1074.59728787,64.36991781,62.42055604,25.19639292,132.16990134,18.15561784,77.50942689,379.26963101,1110.05135436,0.0,154.34953945,1729.82306412,53.4472919,27.35626831,6338.24880445,1184.39819014,39.61225711,13738.7892489,29.70409132,25.19640526,288.37069382,0.0,25.26414429,519.06724888,316.53997334,204.74497441,101.3998754,277.24607432,514.37745668,1.05464917
7289,3206,4.791351,-74.044975,49,40,3,1313.09493164,51.56621963,1522.69404412,177.61697872,316.53997334,1175.73585613,102.33166421,41.61370403,151.17835754,288.37069382,39.61225711,84.80443177,341.34266791,1013.52514963,0.0,153.5654269,1721.03537368,43.72960246,24.62064148,6306.04980701,1439.26868676,34.66072497,13668.9946963,27.12112686,25.19640526,252.3243571,0.0,20.67066351,831.46883386,276.97247667,203.70484754,82.96353442,302.4502629,817.72826446,0.96294055
7289,3206,4.791351,-74.044975,49,40,4,1137.2247935,118.41131915,1318.75112619,280.74941798,514.37745668,1858.42119196,145.24494274,353.71648424,1058.24850276,468.60237746,64.36991781,134.04571473,783.82390409,1906.39254336,854.47537474,132.99755158,1490.5274937,267.23645949,56.53628785,5461.44533561,1154.41342584,94.07911064,11838.2298922,51.01354814,831.48137366,684.88039783,0.0,126.32072143,1566.81410311,751.78243668,176.42151957,506.99937701,1512.25131448,1160.64656891,1.81124532
7289,3206,4.791351,-74.044975,49,40,5,1967.57940463,223.45361839,2281.64877388,580.59743581,751.78243668,3843.26559426,219.51792483,1102.76315675,4308.58318979,684.88039783,94.07911064,277.21018557,1479.15156094,4367.81076389,1759.21400682,230.10687495,2578.84915577,519.89638484,106.68944642,9449.1673267,4692.6156141,173.30362486,20482.0167975,116.87914195,2796.80098413,1261.62178548,326.56366072,245.75122169,1619.68206365,1384.86238336,305.23723227,986.34424254,2545.62304603,1754.15901893,4.14981522
7289,3206,4.791351,-74.044975,49,40,6,4577.78107353,332.3156376,5308.49659686,783.04259435,435.24246334,5183.35162383,100.68115349,1643.74130912,6147.91987316,396.50970401,54.46685353,373.86900027,2199.76385987,7070.54449625,1156.05491876,535.3679219,5999.96464133,685.09710525,158.66635621,21984.484716,10936.9427812,141.94392132,47653.5730261,189.20214691,6223.51209984,1033.32831954,502.40563188,323.84039494,221.0841986,1134.2682378,710.16662481,1299.76203923,2545.62304603,804.5390989,6.71765668
7289,3206,4.791351,-74.044975,49,40,7,5684.06097469,206.26487851,6591.36333865,756.30455455,435.24246334,5006.35912935,103.98217492,1456.479641,4207.7976181,396.50970401,54.46685353,361.10274172,1365.37067164,5550.2567718,779.08048873,664.74649248,7449.93356376,675.37941582,98.48256592,27297.3192942,12001.401914,110.58421777,59169.6742138,148.52045662,10935.2398839,805.03485359,653.12732144,319.24691416,67.28649523,883.67409224,881.78755882,1281.32569825,2621.23561175,830.91743002,5.27324586
7289,3206,4.791351,-74.044975,49,40,8,6202.38792139,248.28179821,7192.42677713,838.42853395,395.67496667,5549.97893381,84.17604636,1290.02482487,5140.06415624,360.46336728,49.51532139,400.31339297,1643.50173438,4657.38937808,578.02745938,725.36442415,8129.28963232,670.5205711,118.54382935,29786.5494812,10412.2094057,141.94392132,64565.3300148,124.62803534,11439.1679892,1033.32831954,577.76647666,316.95017377,168.21623806,1134.2682378,962.19736705,1272.10752776,2722.05236606,672.64744335,4.42494109
7289,3206,4.791351,-74.044975,49,40,9,6136.37215107,334.22549759,7115.87342377,844.15811392,408.86413223,5587.9058969,103.98217492,1331.63852891,4207.7976181,372.47881286,51.1658321,403.0490198,2212.4061809,3933.44284262,678.55397406,717.64393136,8042.76468032,651.08519222,159.57823182,29469.5131987,8523.16925438,110.58421777,63878.122112,105.25580186,9423.45556816,805.03485359,653.12732144,307.76321221,326.82011967,883.67409224,951.95611785,1235.23484579,2318.78534886,830.91743002,3.73712641
7289,3206,4.791351,-74.044975,49,40,10,6855.32514975,299.84801784,7949.58728767,767.76371446,224.21581445,5082.21305556,117.18626062,1165.18371279,3653.47697381,204.26257479,28.05868212,366.57399539,1984.8444023,3595.60112608,703.68560273,801.72492315,8985.07548584,612.21443448,143.16447083,32922.236463,9655.094107,94.07911064,71362.2456809,96.21542624,6626.65458403,684.88039783,527.52591347,289.38928909,1384.17933036,751.78243668,1063.48972251,1161.48948187,2394.39791458,936.43075446,3.41614623
7289,3206,4.791351,-74.044975,49,40,11,6704.2109255,284.56913795,7774.35187725,819.32993409,356.10747001,5423.55572347,108.93370706,1102.76315675,3981.03008179,324.41703055,44.56378925,391.19463687,1883.70583403,4367.81076389,955.00188941,784.05223263,8787.01446287,476.16678237,135.86946595,32196.5205976,9670.08648914,99.03064278,69789.1838401,116.87914195,5895.95883142,720.92673456,502.40563188,225.08055818,1196.73837937,791.34993335,1040.04686299,903.38070812,4158.69111481,870.48492668,4.14981522
7289,3206,4.791351,-74.044975,49,40,12,5928.5256242,206.26487851,6874.84997531,630.25379546,276.97247667,4171.96594113,125.43881419,1123.57000877,3930.63729595,252.3243571,34.66072497,300.91895144,1365.37067164,3812.78508671,904.73863208,693.33644234,7770.34627672,583.06136617,98.48256592,28471.3442779,12383.7076589,87.47706779,61714.4909799,102.02709628,6601.45817877,636.81861553,678.24760304,275.60884675,980.460359,699.02577446,919.71218479,1106.18045892,3377.36126899,1002.37658224,3.62249063
7289,3206,4.791351,-74.044975,49,40,13,6624.26995363,187.16627865,7681.65055093,702.82847493,501.18829112,4652.37414041,132.04085704,1144.37686078,3829.85172426,456.58693189,62.71940709,335.57022463,1238.9474613,5019.3626458,703.68560273,774.70319839,8682.23815381,655.94403694,89.36380982,31812.6094742,13028.3800916,108.93370706,68957.0180201,134.31415207,7004.60066296,793.01940802,602.88675825,310.0599526,1379.37315213,870.48492668,1027.64535028,1244.45301628,2596.03142319,1055.13324446,4.76884843
