FID_LINK,FID_Grilla,LAT,LON,ROW,COL,hora,NHTX_GAS,NHC2P_GAS,NHCC_DSEL,NHC2G_GAS,NHC5_GAS,NHC2G_DSEL,NH>C5_GNV,NHMB_DSEL,NHB_DSEL,NHC5_DSEL,NHC5_GNV,NHC2G_GNV,NHC2P_DSEL,NHESP_GAS,NHAL_DSEL,NHCC_GNV,NHTX_GNV,NHINT_GAS,NHC2P_GNV,NHCC_GAS,NHM_GAS,NHC3-C4_GNV,NHAUT_GAS,NHESP_DSEL,NHAT_DSEL,NHC3-C4_DSEL,NHBA_DSEL,NHINT_GNV,NH>C5_DSEL,NHC3-C4_GAS,NHAUT_GNV,NHINT_DSEL,NHBT_DSEL,NH>C5_GAS,NHESP_GNV
7289,3206,4.791351,-74.044975,49,40,0,35.295491,0.73980601,7.18135326,4.39259816,19.6856523,14.03603384,8.77102033,0.08920788,1.10191853,0.87664387,2.50600581,7.44670644,2.36396359,167.49122662,2.12470052,19.50959755,125.06641033,4.30904376,1.25418214,129.01642228,108.43564198,2.66263117,220.97748795,0.30631508,2.10791362,0.93143411,0.0,1.86311836,2.16969357,20.91600557,15.35589798,0.50833029,8.27716886,68.89978304,0.10990043
7289,3206,4.791351,-74.044975,49,40,1,26.58569867,0.73980601,5.40922618,4.71626329,18.45529903,15.07026791,6.73489061,0.08920788,0.9445016,0.82185363,2.34938045,7.99541113,2.36396359,126.26261699,0.0,14.69525616,94.20404151,3.91731251,1.25418214,97.17931751,95.83731013,1.87950436,166.44734899,0.23091444,0.0,0.6574829,0.0,1.69374397,2.23544186,14.76423922,11.5665561,0.46211844,2.20724503,52.90519055,0.08284802
7289,3206,4.791351,-74.044975,49,40,2,25.38537422,1.38713626,5.16500365,3.93021941,13.53388595,12.55855659,6.10838916,0.26762364,0.15741693,0.60269266,1.72287899,6.66284261,4.43243174,118.53225268,0.0,14.03177631,89.95079933,4.30904376,2.35159151,92.79174385,71.09058685,3.75900871,158.9323754,0.21677683,0.1621472,1.3149658,0.0,1.86311836,2.36693844,29.52847845,11.04433472,0.50833029,2.02330794,47.98377748,0.07777569
7289,3206,4.791351,-74.044975,49,40,3,25.25641374,1.24842264,5.13876487,4.30012241,29.52847845,13.74053839,9.71077251,0.17841576,0.9445016,1.3149658,3.75900871,7.28993368,3.98918856,108.22510028,0.0,13.96049335,89.49383943,3.52558126,2.11643236,92.32035164,86.38856124,3.28913263,158.12498154,0.19792667,0.1621472,1.15059508,0.0,1.52436957,3.79148473,25.83741864,10.98822829,0.4159066,2.20724503,76.28190265,0.07101259
7289,3206,4.791351,-74.044975,49,40,4,21.87368118,2.86674828,4.45050139,6.79696769,47.98377748,21.71891552,13.78303195,1.51653395,6.61151118,2.13681943,6.10838916,11.52279839,9.16035892,203.56626004,1.76194677,12.09068651,77.50742967,21.54521882,4.85995578,79.95537131,69.29082516,8.9276457,136.9464196,0.37229064,5.35085764,3.12304378,0.0,9.31559182,7.14464753,70.13013631,9.5165135,2.54165144,11.03622515,108.27108764,0.13357129
7289,3206,4.791351,-74.044975,49,40,5,37.84494046,5.40983142,7.70007383,14.05631413,70.13013631,44.91530828,20.83117329,4.72801762,26.9182955,3.12304378,8.9276457,23.82946062,17.28648378,466.39864643,3.62753747,20.91880681,134.1001561,41.91524388,9.17120688,138.3354837,281.66270488,16.44566313,236.93904344,0.85296968,17.99833934,5.75297539,0.32229499,18.12306044,7.38572459,129.18709321,16.46507892,4.94466734,18.57764567,163.63698473,0.30603043
7289,3206,4.791351,-74.044975,49,40,6,88.0502468,8.04539032,17.91503417,18.95752892,40.60165786,60.57656708,9.55414715,7.04742248,38.40973159,1.80807798,5.16863698,32.13841728,25.70810408,754.99891383,2.38381034,48.66981108,311.99816135,55.23410642,13.63923075,321.85209785,656.46307735,13.46978123,551.26368271,1.38077413,40.05035872,4.71196079,0.49583844,23.88178993,1.00814045,105.8103811,38.30774325,6.51587005,18.57764567,75.05154939,0.49539733
7289,3206,4.791351,-74.044975,49,40,7,109.32872578,4.99369054,22.24443348,18.31019866,40.60165786,58.50809894,9.86739788,6.24455157,26.28862777,1.80807798,5.16863698,31.04100791,15.95675426,592.66126341,1.60648088,60.43149932,387.39654532,54.45064391,8.46572943,399.6318128,720.35461744,10.49389933,684.48366913,1.08388413,70.37188536,3.6709462,0.64458998,23.54304113,0.30682535,82.433669,47.565304,6.42344636,19.12945692,77.51225592,0.38887845
7289,3206,4.791351,-74.044975,49,40,8,119.29836278,6.0109238,24.2728933,20.29842731,36.91059806,64.8612511,7.98789352,5.53088853,32.11305428,1.64370725,4.69876089,34.4116224,19.2072042,497.32010365,1.19190517,65.94222038,422.72306088,54.05891266,10.19022987,436.07405687,624.96724773,13.46978123,746.901425,0.90952016,73.61482939,4.71196079,0.57021421,23.37366674,0.76706338,105.8103811,51.90276254,6.37723452,19.86520527,62.7480167,0.32631974
7289,3206,4.791351,-74.044975,49,40,9,118.02859807,8.0916282,24.01454219,20.43714093,38.14095133,65.30449427,9.86739788,5.70930429,26.28862777,1.6984975,4.85538626,34.64678155,25.8558518,420.01646059,1.39919303,65.2403574,418.22376338,52.49198766,13.71761713,431.43265663,511.5822611,10.49389933,738.95170087,0.76814397,60.64305328,3.6709462,0.64458998,22.69616915,1.49029458,82.433669,51.35033001,6.19238714,16.92221189,77.51225592,0.27559646
