FID_LINK,FID_Grilla,LAT,LON,ROW,COL,hora,NHTX_GAS,NHC2P_GAS,NHCC_DSEL,NHC2G_GAS,NHC5_GAS,NHC2G_DSEL,NH>C5_GNV,NHMB_DSEL,NHB_DSEL,NHC5_DSEL,NHC5_GNV,NHC2G_GNV,NHC2P_DSEL,NHESP_GAS,NHAL_DSEL,NHCC_GNV,NHTX_GNV,NHINT_GAS,NHC2P_GNV,NHCC_GAS,NHM_GAS,NHC3-C4_GNV,NHAUT_GAS,NHESP_DSEL,NHAT_DSEL,NHC3-C4_DSEL,NHBA_DSEL,NHINT_GNV,NH>C5_DSEL,NHC3-C4_GAS,NHAUT_GNV,NHINT_DSEL,NHBT_DSEL,NH>C5_GAS,NHESP_GNV
7289,3206,4.791351,-74.044975,49,40,0,0.00482917,0.0001563,0.00731807,0.00092803,0.00333584,0.01789107,4.124e-05,0.00039503,0.00206734,0.00244534,1.178e-05,3.478e-05,0.00301323,0.02400717,0.00351015,0.00197186,0.04861784,0.00084726,5.86e-06,0.01775617,0.02771167,1.252e-05,0.03004939,0.0005562,0.00389932,0.00259818,0.0,1.03e-05,0.00605222,0.00354433,0.00596939,0.00178498,0.01502945,0.01167545,6.1e-07
7289,3206,4.791351,-74.044975,49,40,1,0.00363749,0.0001563,0.00551221,0.00099641,0.00312735,0.01920936,3.167e-05,0.00039503,0.001772,0.00229251,1.105e-05,3.734e-05,0.00301323,0.01809771,0.0,0.00148527,0.03662052,0.00077024,5.86e-06,0.01337452,0.02449206,8.84e-06,0.02263417,0.00041929,0.0,0.00183401,0.0,9.36e-06,0.00623562,0.00250188,0.00449634,0.00162271,0.00400785,0.00896508,4.6e-07
7289,3206,4.791351,-74.044975,49,40,2,0.00347326,0.00029306,0.00526334,0.00083034,0.00229339,0.0160078,2.872e-05,0.0011851,0.00029533,0.00168117,8.1e-06,3.112e-05,0.00564981,0.01698969,0.0,0.00141821,0.03496713,0.00084726,1.098e-05,0.01277067,0.01816782,1.768e-05,0.02161225,0.00039362,0.00029995,0.00366801,0.0,1.03e-05,0.00660242,0.00500376,0.00429333,0.00178498,0.00367387,0.00813111,4.3e-07
7289,3206,4.791351,-74.044975,49,40,3,0.00345561,0.00026375,0.0052366,0.00090849,0.00500376,0.01751442,4.566e-05,0.00079007,0.001772,0.00366801,1.768e-05,3.405e-05,0.00508483,0.01551232,0.0,0.00141101,0.03478949,0.00069321,9.89e-06,0.01270579,0.02207735,1.547e-05,0.02150246,0.00035939,0.00029995,0.00320951,0.0,8.42e-06,0.0105761,0.00437829,0.00427152,0.00146044,0.00400785,0.01292639,3.9e-07
7289,3206,4.791351,-74.044975,49,40,4,0.00299278,0.00060566,0.00453523,0.001436,0.00813111,0.02768408,6.481e-05,0.00671556,0.01240402,0.00596052,2.872e-05,5.382e-05,0.01167628,0.02917794,0.00291085,0.00122202,0.03012994,0.0042363,2.27e-05,0.01100404,0.01770787,4.198e-05,0.01862252,0.000676,0.00989828,0.00871153,0.0,5.148e-05,0.01992954,0.01188394,0.00369941,0.0089249,0.02003927,0.01834713,7.4e-07
7289,3206,4.791351,-74.044975,49,40,5,0.00517799,0.00114294,0.00784667,0.00296968,0.01188394,0.05725143,9.795e-05,0.02093676,0.0505021,0.00871153,4.198e-05,0.0001113,0.02203427,0.06685073,0.00599294,0.0021143,0.05212958,0.00824154,4.284e-05,0.01903873,0.07198136,7.733e-05,0.03221991,0.0015488,0.0332942,0.01604756,0.00052763,0.00010015,0.020602,0.02189146,0.00640057,0.017363,0.03373277,0.02772919,1.69e-06
7289,3206,4.791351,-74.044975,49,40,6,0.01204714,0.00169975,0.0182561,0.00400516,0.00688017,0.0772141,4.493e-05,0.03120762,0.07206147,0.00504352,2.43e-05,0.00015011,0.03276891,0.10821692,0.00393822,0.00491913,0.12128497,0.01086034,6.37e-05,0.04429561,0.16776486,6.334e-05,0.07496302,0.00250717,0.0740871,0.01314371,0.00081174,0.00013197,0.00281214,0.01793015,0.0148916,0.02288021,0.03373277,0.0127179,2.74e-06
7289,3206,4.791351,-74.044975,49,40,7,0.01495848,0.00105502,0.02266793,0.0038684,0.00688017,0.07457752,4.64e-05,0.02765233,0.04932076,0.00504352,2.43e-05,0.00014498,0.02033932,0.08494844,0.00265401,0.0061079,0.15059504,0.0107063,3.954e-05,0.05500022,0.18409289,4.934e-05,0.0930788,0.00196809,0.13017734,0.01023987,0.00105526,0.0001301,0.00085587,0.01396884,0.01849035,0.02255567,0.03473474,0.01313488,2.15e-06
7289,3206,4.791351,-74.044975,49,40,8,0.01632254,0.00126993,0.02473501,0.00428845,0.0062547,0.08267558,3.756e-05,0.02449206,0.06024812,0.00458502,2.209e-05,0.00016073,0.02448252,0.07128282,0.00196911,0.00666488,0.16432774,0.01062927,4.76e-05,0.06001566,0.15971582,6.334e-05,0.10156662,0.00165148,0.13617629,0.01314371,0.0009335,0.00012916,0.00213967,0.01793015,0.02017648,0.0223934,0.03607069,0.010633,1.8e-06
7289,3206,4.791351,-74.044975,49,40,9,0.01614881,0.00170952,0.02447174,0.00431776,0.00646319,0.08324056,4.64e-05,0.02528213,0.04932076,0.00473785,2.283e-05,0.00016182,0.03295724,0.06020259,0.00231156,0.00659394,0.1625787,0.01032118,6.407e-05,0.05937688,0.1307393,4.934e-05,0.10048558,0.00139477,0.11218047,0.01023987,0.00105526,0.00012542,0.00415708,0.01396884,0.01996173,0.02174431,0.03072688,0.01313488,1.52e-06
7289,3206,4.791351,-74.044975,49,40,10,0.01804085,0.00153368,0.02733891,0.00392701,0.00354433,0.07570748,5.229e-05,0.02212186,0.04282342,0.00259818,1.252e-05,0.00014718,0.02956735,0.05503181,0.00239717,0.0073665,0.18162683,0.00970499,5.748e-05,0.06633363,0.14810222,4.198e-05,0.11225873,0.00127498,0.07888627,0.00871153,0.00085232,0.00011793,0.01760646,0.01188394,0.0223005,0.02044615,0.03172885,0.0148028,1.39e-06
7289,3206,4.791351,-74.044975,49,40,11,0.01764317,0.00145553,0.02673627,0.00419077,0.00562923,0.08079231,4.861e-05,0.02093676,0.04666276,0.00412651,1.989e-05,0.00015706,0.02806073,0.06685073,0.00325331,0.00720412,0.17762317,0.00754832,5.455e-05,0.06487141,0.14833219,4.419e-05,0.10978417,0.0015488,0.07018778,0.00917003,0.00081174,9.172e-05,0.01522225,0.01250941,0.02180892,0.01590256,0.055108,0.01376035,1.69e-06
7289,3206,4.791351,-74.044975,49,40,12,0.01560183,0.00105502,0.02364285,0.00322367,0.00437829,0.06214793,5.597e-05,0.02133179,0.04607209,0.00320951,1.547e-05,0.00012082,0.02033932,0.05835588,0.00308208,0.0063706,0.15707196,0.00924284,3.954e-05,0.05736571,0.18995719,3.903e-05,0.09708201,0.00135199,0.07858632,0.00810019,0.00109584,0.00011231,0.01247124,0.01104998,0.0192856,0.01947252,0.04475437,0.01584525,1.48e-06
7289,3206,4.791351,-74.044975,49,40,13,0.01743279,0.00095733,0.02641746,0.00359488,0.00792262,0.06930436,5.892e-05,0.02172683,0.04489075,0.00580769,2.799e-05,0.00013473,0.01845605,0.07682294,0.00239717,0.00711822,0.17550519,0.0103982,3.588e-05,0.06409788,0.199846,4.861e-05,0.10847511,0.00177983,0.08338548,0.01008703,0.00097408,0.00012635,0.01754533,0.01376035,0.02154887,0.02190658,0.03440075,0.01667921,1.94e-06
7289,3206,4.791351,-74.044975,49,40,14,0.01682609,0.00099641,0.02549808,0.00235425,0.00604621,0.04538682,4.934e-05,0.01896159,0.04016541,0.00443218,2.136e-05,8.823e-05,0.01920936,0.05392379,0.00282524,0.00687049,0.16939722,0.01147653,3.734e-05,0.06186713,0.18351796,4.714e-05,0.10469993,0.00124931,0.0872848,0.00978137,0.00105526,0.00013945,0.01540565,0.01334337,0.02079892,0.02417838,0.03172885,0.01396884,1.36e-06
7289,3206,4.791351,-74.044975,49,40,15,0.02038893,0.0016216,0.03089716,0.00267662,0.01459431,0.05160162,6.702e-05,0.02093676,0.04518609,0.01069837,5.155e-05,0.00010032,0.03126229,0.06795875,0.00291085,0.00832528,0.2052662,0.0120157,6.078e-05,0.07496718,0.18731251,4.051e-05,0.12686959,0.00157447,0.09208397,0.00840586,0.00101467,0.00014601,0.01546679,0.01146696,0.02520298,0.02531428,0.03874259,0.0189726,1.72e-06
7289,3206,4.791351,-74.044975,49,40,16,0.02094676,0.00117224,0.0317425,0.00191466,0.00729715,0.03691211,4.198e-05,0.01856656,0.03927941,0.00534919,2.578e-05,7.176e-05,0.02259925,0.05170775,0.00265401,0.00855306,0.21088225,0.01178463,4.393e-05,0.07701827,0.18202314,2.946e-05,0.13034073,0.00119797,0.07258736,0.00611335,0.00101467,0.0001432,0.01192104,0.0083396,0.02589253,0.02482746,0.03072688,0.01188394,1.31e-06
7289,3206,4.791351,-74.044975,49,40,17,0.02046493,0.00119178,0.03101234,0.00170952,0.00688017,0.03295724,3.314e-05,0.01935663,0.03544007,0.00504352,2.43e-05,6.407e-05,0.0229759,0.04247422,0.00265401,0.00835632,0.2060314,0.01093737,4.467e-05,0.07524664,0.18006838,2.209e-05,0.12734254,0.00098404,0.08248564,0.00458502,0.00101467,0.0001329,0.00189514,0.0062547,0.02529694,0.02304248,0.02504909,0.00938206,1.07e-06
7289,3206,4.791351,-74.044975,49,40,18,0.02057759,0.00082057,0.03118306,0.001309,0.00458678,0.02523583,3.093e-05,0.02054173,0.03839341,0.00336234,1.62e-05,4.906e-05,0.01581947,0.04395158,0.00325331,0.00840231,0.20716554,0.01062927,3.075e-05,0.07566086,0.14189296,7.36e-06,0.12804353,0.00101827,0.08548512,0.00152834,0.00068998,0.00012916,0.00067247,0.0020849,0.02543619,0.0223934,0.03139486,0.00875659,1.11e-06
7289,3206,4.791351,-74.044975,49,40,19,0.01997496,0.00097687,0.03026984,0.001436,0.00562923,0.02768408,2.725e-05,0.02093676,0.03189606,0.00412651,1.989e-05,5.382e-05,0.01883271,0.04690631,0.00282524,0.00815625,0.20109856,0.01001308,3.661e-05,0.07344508,0.12912949,1.399e-05,0.12429369,0.00108673,0.07978611,0.00290384,0.0009335,0.00012167,0.01106517,0.00396131,0.02469127,0.02109523,0.03172885,0.00771413,1.19e-06
7289,3206,4.791351,-74.044975,49,40,20,0.0177979,0.00072288,0.02697074,0.00080103,0.00458678,0.01544282,3.314e-05,0.01935663,0.02451271,0.00336234,1.62e-05,3.002e-05,0.0139362,0.04358224,0.00308208,0.0072673,0.17918091,0.00831856,2.709e-05,0.06544033,0.12062052,1.326e-05,0.11074697,0.00100971,0.07288731,0.00275101,0.0009335,0.00010108,0.01357165,0.00375282,0.02200018,0.01752527,0.03206283,0.00938206,1.1e-06
7289,3206,4.791351,-74.044975,49,40,21,0.01425135,0.00035167,0.02159634,0.00057635,0.00187641,0.0111113,2.209e-05,0.01501126,0.02037804,0.0013755,6.63e-06,2.16e-05,0.00677977,0.03397938,0.00333892,0.00581916,0.14347591,0.00477547,1.318e-05,0.05240017,0.10233771,1.252e-05,0.08867865,0.00078723,0.06448877,0.00259818,0.00097408,5.803e-05,0.01063724,0.00354433,0.01761625,0.0100608,0.03239682,0.0062547,8.6e-07
7289,3206,4.791351,-74.044975,49,40,22,0.01069801,0.0003126,0.01621165,0.00137738,0.00646319,0.02655412,3.682e-05,0.01224603,0.01535736,0.00473785,2.283e-05,5.162e-05,0.00602647,0.04099686,0.00633539,0.00436825,0.10770258,0.00369714,1.172e-05,0.03933506,0.08589469,2.504e-05,0.06656811,0.00094982,0.0545905,0.00519635,0.00190758,4.492e-05,0.00782509,0.00708866,0.01322393,0.00778901,0.03673866,0.01042451,1.04e-06
7289,3206,4.791351,-74.044975,49,40,23,0.0070741,0.00026375,0.01072001,0.00116247,0.00458678,0.02241092,4.714e-05,0.00395033,0.00590668,0.00336234,1.62e-05,4.357e-05,0.00508483,0.02843926,0.0051368,0.00288852,0.07121871,0.0016175,9.89e-06,0.02601045,0.05024897,1.105e-05,0.04401839,0.00065888,0.02489567,0.00229251,0.00040587,1.965e-05,0.00861983,0.00312735,0.00874437,0.00340769,0.04074652,0.01334337,7.2e-07
5530,3209,4.791351,-74.026985,49,42,0,0.03332305,0.00107852,0.05049739,0.00640371,0.02301853,0.12345495,0.0002846,0.00272587,0.01426539,0.01687375,8.131e-05,0.00024,0.02079241,0.16565826,0.02422131,0.01360659,0.33548088,0.00584641,4.042e-05,0.12252409,0.1912207,8.64e-05,0.20735184,0.00383797,0.02690675,0.01792836,0.0,7.104e-05,0.04176254,0.02445719,0.041191,0.01231702,0.10370874,0.08056486,4.19e-06
5530,3209,4.791351,-74.026985,49,42,1,0.02509999,0.00107852,0.03803626,0.00687557,0.02157987,0.13255163,0.00021853,0.00272587,0.01222747,0.01581914,7.623e-05,0.00025769,0.02079241,0.12488084,0.0,0.01024892,0.25269499,0.00531492,4.042e-05,0.09228909,0.16900418,6.098e-05,0.15618407,0.00289324,0.0,0.01265532,0.0,6.458e-05,0.04302807,0.0172639,0.03102638,0.01119729,0.02765566,0.0618623,3.16e-06
