FID_LINK,FID_Grilla,LAT,LON,ROW,COL,hora,C5_GNV,INT_GAS,C2G_GNV,ESP_GNV,CC_DSEL,CC_GNV,C2P_GAS,>C5_GAS,C2P_DSEL,C3-C4_DSEL,C2G_GAS,AUT_GNV,C5_GAS,M_GAS,AL_DSEL,B_DSEL,TX_GAS,AUT_GAS,>C5_GNV,C2P_GNV,C2G_DSEL,INT_GNV,C3-C4_GAS,INT_DSEL,ESP_GAS,BT_DSEL,TX_GNV,AT_DSEL,>C5_DSEL,CC_GAS,MB_DSEL,C5_DSEL,C3-C4_GNV,BA_DSEL,ESP_DSEL
7289,3206,4.791351,-74.044975,49,40,0,0.0,0.0001192,0.0,0.0,0.00095446,0.0,2.949e-05,0.00114078,0.00171509,0.00101939,0.00011546,0.0,0.00086423,0.00227539,0.00088689,0.00137572,0.00020448,0.00127839,0.0,0.0,0.00671543,0.0,0.0005992,0.00058279,0.00242916,0.00539782,0.0,0.00116417,0.00194076,0.0008308,0.00030402,0.00147027,0.0,0.0,0.00013061
7289,3206,4.791351,-74.044975,49,40,1,0.0,6.386e-05,0.0,0.0,0.00050721,0.0,2.616e-05,0.00117535,0.00152184,0.0010782,8.099e-05,0.0,0.00065681,0.00119563,1.408e-05,0.00049679,0.00010866,0.00067935,0.0,0.0,0.00471046,0.0,0.00063377,0.00031221,0.0020209,0.00269891,0.0,7.761e-05,0.00199957,0.00044149,0.00015201,0.00111741,0.0,0.0,0.00010866
7289,3206,4.791351,-74.044975,49,40,2,0.0,0.00014048,0.0,0.0,0.00041458,0.0,4.984e-05,0.00124449,0.00289874,0.00135265,7.766e-05,0.0,0.00066834,0.00090594,0.0,0.0002675,8.882e-05,0.00055529,0.0,0.0,0.00451721,0.0,0.00079509,0.00068687,0.00183718,0.00197063,0.0,0.00011642,0.0021172,0.00036087,0.0,0.00113701,0.0,0.0,9.878e-05
7289,3206,4.791351,-74.044975,49,40,3,0.0,0.00015751,0.0,0.0,0.00053893,0.0,4.61e-05,0.00199349,0.00268134,0.00199957,0.00010923,0.0,0.00102555,0.00105342,0.00050679,0.00114643,0.00011546,0.00072183,0.0,0.0,0.00635308,0.0,0.00117535,0.00077012,0.0017147,0.00248471,0.0,0.00015522,0.00339143,0.0004691,0.00030402,0.00174473,0.0,0.0,9.22e-05
7289,3206,4.791351,-74.044975,49,40,4,0.0,0.00068113,0.0,0.0,0.00120568,0.0,9.635e-05,0.00375651,0.00560424,0.00417558,0.0002413,0.0,0.0019013,0.00254928,0.00192863,0.00940074,0.00025831,0.00161488,0.0,0.0,0.01403476,0.0,0.00245441,0.00333026,0.01530985,0.00929625,0.0,0.00508354,0.0063908,0.00104947,0.00334422,0.0032346,0.0,9.665e-05,0.00082318
7289,3206,4.791351,-74.044975,49,40,5,0.0,0.00158788,0.0,0.0,0.00616164,0.0,0.00017609,0.00388326,0.01024223,0.00744939,0.00059348,0.0,0.0026503,0.01327309,0.0031393,0.02239363,0.00132007,0.00825284,0.0,0.0,0.03451922,0.0,0.00437875,0.00776366,0.06828194,0.01589359,0.0,0.01757897,0.00660644,0.00536333,0.00886724,0.00450884,0.0,0.00080834,0.00367138
7289,3206,4.791351,-74.044975,49,40,6,0.0,0.00159639,0.0,0.0,0.01098247,0.0,0.0001898,0.00053006,0.01103939,0.00325421,0.00042777,0.0,0.00050701,0.03728579,0.00277328,0.02644435,0.00235289,0.01470981,0.0,0.0,0.02488089,0.0,0.00191282,0.00780529,0.11165986,0.01529383,0.0,0.0376415,0.00090177,0.00955956,0.00988064,0.00086256,0.0,0.00154638,0.00600373
7289,3206,4.791351,-74.044975,49,40,7,0.0,0.00194972,0.0,0.0,0.00812829,0.0,0.0001491,0.00016132,0.00867208,0.00148988,0.00035925,0.0,9.218e-05,0.0386605,0.00244949,0.02782007,0.00174141,0.01088695,0.0,0.0,0.02089512,0.0,0.00087575,0.00953286,0.05795289,0.01593643,0.0,0.0554533,0.00027445,0.00707518,0.01089404,0.00015683,0.0,0.00206477,0.00311601
7289,3206,4.791351,-74.044975,49,40,8,0.0,0.00226474,0.0,0.0,0.0091224,0.0,0.00024379,0.00040331,0.01417969,0.00525378,0.00048259,0.0,0.00039178,0.02986972,0.00212571,0.02915758,0.00195439,0.01221845,0.0,0.0,0.02806951,0.0,0.00308817,0.0110731,0.03784595,0.01833546,0.0,0.05417272,0.00068613,0.00794049,0.00952595,0.00066652,0.0,0.00200327,0.0020349
7289,3206,4.791351,-74.044975,49,40,9,0.0,0.0016347,0.0,0.0,0.00967433,0.0,0.00022468,0.00078357,0.01306851,0.00335223,0.00051167,0.0,0.00056463,0.02322264,0.00166115,0.02640614,0.00207263,0.0129577,0.0,0.0,0.02976045,0.0,0.00197044,0.00799261,0.01416672,0.02026325,0.0,0.04520861,0.00133305,0.00842091,0.0087659,0.00096058,0.0,0.00161667,0.00076172
7289,3206,4.791351,-74.044975,49,40,10,0.0,0.00193695,0.0,0.0,0.01000073,0.0,0.0002467,0.00331864,0.01434879,0.00929214,0.00078037,0.0,0.00183216,0.02385996,0.0015063,0.02518328,0.00214256,0.01339488,0.0,0.0,0.04538951,0.0,0.00546192,0.00947041,0.01390135,0.01589359,0.0,0.03845642,0.00564586,0.00870502,0.00967796,0.00311698,0.0,0.00130915,0.00074745
7289,3206,4.791351,-74.044975,49,40,11,0.0,0.00173261,0.0,0.0,0.00979296,0.0,0.00022178,0.00286924,0.01289941,0.00674366,0.00072223,0.0,0.00122144,0.02383362,0.00164707,0.0228522,0.00209805,0.0131166,0.0,0.0,0.04200764,0.0,0.00396393,0.00847134,0.01443209,0.0133232,0.0,0.03729225,0.00488131,0.00852417,0.00901925,0.00207799,0.0,0.00122129,0.00077598
7289,3206,4.791351,-74.044975,49,40,12,0.0,0.00186884,0.0,0.0,0.00976156,0.0,0.00026455,0.0023507,0.0153875,0.00742979,0.00062463,0.0,0.00198196,0.02296982,0.00185824,0.02147648,0.00209132,0.01307454,0.0,0.0,0.03633094,0.0,0.00436723,0.00913739,0.02143379,0.01477975,0.0,0.03725344,0.00399915,0.00849684,0.00901925,0.00337183,0.0,0.00106314,0.00115245
7289,3206,4.791351,-74.044975,49,40,13,0.0,0.0018731,0.0,0.0,0.01038296,0.0,0.00018731,0.00330711,0.01089445,0.00731217,0.00067115,0.0,0.00095641,0.02243257,0.001633,0.02235542,0.00222445,0.01390683,0.0,0.0,0.03903643,0.0,0.00429809,0.0091582,0.03364085,0.01520815,0.0,0.03671017,0.00562625,0.00903773,0.00871523,0.0016271,0.0,0.00098406,0.0018088
7289,3206,4.791351,-74.044975,49,40,14,0.0,0.00147719,0.0,0.0,0.01091205,0.0,0.00025376,0.00290381,0.01475944,0.00690049,0.00066367,0.0,0.00116383,0.02260639,0.00157669,0.02136184,0.0023378,0.0146155,0.0,0.0,0.03860162,0.0,0.00405611,0.00722249,0.0489507,0.01426567,0.0,0.03977581,0.00494012,0.00949827,0.00947528,0.00197997,0.0,0.00106314,0.00263198
7289,3206,4.791351,-74.044975,49,40,15,0.0,0.00152402,0.0,0.0,0.00966069,0.0,0.00024919,0.00291533,0.01449372,0.00721415,0.00070728,0.0,0.00097946,0.02592466,0.00167523,0.02308149,0.00206971,0.01293944,0.0,0.0,0.04113802,0.0,0.00424048,0.00745145,0.10067759,0.01469407,0.0,0.04097879,0.00495973,0.00840904,0.00906992,0.00166631,0.0,0.00120372,0.00541323
7289,3206,4.791351,-74.044975,49,40,16,0.0,0.00153253,0.0,0.0,0.00979931,0.0,0.00022551,0.00224699,0.01311682,0.00670445,0.00072057,0.0,0.0008527,0.03114435,0.00254804,0.02533614,0.00209941,0.0131251,0.0,0.0,0.04191102,0.0,0.00394088,0.00749308,0.08332642,0.01619347,0.0,0.04703247,0.00382271,0.00852969,0.00917126,0.00145067,0.0,0.00149367,0.0044803
7289,3206,4.791351,-74.044975,49,40,17,0.0,0.00148996,0.0,0.0,0.01078295,0.0,0.00015159,0.00035721,0.00881702,0.00329342,0.00053866,0.0,0.00031112,0.04434897,0.00282959,0.0215147,0.00231014,0.01444258,0.0,0.0,0.0313306,0.0,0.00193587,0.00728493,0.05593199,0.01872102,0.0,0.05149513,0.00060771,0.00938589,0.00912059,0.0005293,0.0,0.00168696,0.00300735
7289,3206,4.791351,-74.044975,49,40,18,0.0,0.00163045,0.0,0.0,0.01075726,0.0,0.00012501,0.00012675,0.00727102,0.00154869,0.00039372,0.0,8.066e-05,0.03299837,0.0023228,0.01841933,0.00230464,0.01440817,0.0,0.0,0.02290008,0.0,0.00091032,0.0079718,0.03174243,0.01700743,0.0,0.0417161,0.00021564,0.00936353,0.00932327,0.00013723,0.0,0.00182754,0.00170673
7289,3206,4.791351,-74.044975,49,40,19,0.0,0.00131542,0.0,0.0,0.01110174,0.0,7.019e-05,0.00208567,0.0040824,0.0021564,0.00033391,0.0,0.00066834,0.02001498,0.00264658,0.01750219,0.00237844,0.01486956,0.0,0.0,0.01942159,0.0,0.00126753,0.00643156,0.0133706,0.01854966,0.0,0.03717583,0.00354826,0.00966338,0.00836054,0.00113701,0.0,0.00194177,0.00071891
7289,3206,4.791351,-74.044975,49,40,20,0.0,0.00104297,0.0,0.0,0.01026496,0.0,5.648e-05,0.00255811,0.00328524,0.00178393,0.00026829,0.0,0.0005992,0.01560641,0.00277328,0.01650861,0.00219917,0.01374879,0.0,0.0,0.01560491,0.0,0.0010486,0.00509945,0.00722625,0.01932078,0.0,0.03372213,0.00435201,0.00893501,0.00699245,0.00101939,0.0,0.00187148,0.00038854
7289,3206,4.791351,-74.044975,49,40,21,0.0,0.00068113,0.0,0.0,0.00800426,0.0,4.195e-05,0.00200501,0.00243978,0.00117622,0.00024503,0.0,0.00108317,0.01497436,0.00184416,0.01108217,0.00171484,0.01072083,0.0,0.0,0.01425216,0.0,0.00069138,0.00333026,0.00483791,0.0173073,0.0,0.03232512,0.00341104,0.00696722,0.00709379,0.00184274,0.0,0.0018539,0.00026013
7289,3206,4.791351,-74.044975,49,40,22,0.0,0.0004853,0.0,0.0,0.00428571,0.0,4.153e-05,0.00147495,0.00241562,0.00109781,0.00016613,0.0,0.00096794,0.0109187,0.00295629,0.00599966,0.00091817,0.00574024,0.0,0.0,0.00966248,0.0,0.00064529,0.00237281,0.00485833,0.01602211,0.0,0.01862672,0.00250927,0.00373045,0.0045603,0.00164671,0.0,0.0012828,0.00026122
7289,3206,4.791351,-74.044975,49,40,23,0.0,0.00022988,0.0,0.0,0.00191177,0.0,3.447e-05,0.00162475,0.00200497,0.00123503,0.0001275,0.0,0.00094489,0.00394506,0.00152038,0.00194893,0.00040958,0.00256061,0.0,0.0,0.00741596,0.0,0.00072595,0.00112396,0.00261288,0.01537951,0.0,0.00950739,0.00276412,0.00166408,0.00131742,0.0016075,0.0,0.00014937,0.00014049
5530,3209,4.791351,-74.026985,49,42,0,0.0,0.0008225,0.0,0.0,0.00658612,0.0,0.00020347,0.00787181,0.01183475,0.00703417,0.0007967,0.0,0.00596349,0.015701,0.00611984,0.00949296,0.00141101,0.00882139,0.0,0.0,0.0463389,0.0,0.00413469,0.0040215,0.01676212,0.03724695,0.0,0.0080332,0.01339198,0.00573281,0.00209785,0.01014544,0.0,0.0,0.00090127
5530,3209,4.791351,-74.026985,49,42,1,0.0,0.00044063,0.0,0.0,0.0034999,0.0,0.00018055,0.00811035,0.01050126,0.00743999,0.00055883,0.0,0.00453225,0.0082503,9.714e-05,0.00342801,0.00074982,0.00468774,0.0,0.0,0.0325039,0.0,0.00437323,0.00215437,0.01394495,0.01862348,0.0,0.00053555,0.01379779,0.00304645,0.00104892,0.00771053,0.0,0.0,0.00074979
5530,3209,4.791351,-74.026985,49,42,2,0.0,0.00096938,0.0,0.0,0.00286077,0.0,0.0003439,0.00858742,0.0200024,0.0093338,0.00053591,0.0,0.00461177,0.00625132,0.0,0.00184585,0.00061289,0.00383169,0.0,0.0,0.03117041,0.0,0.00548641,0.00473962,0.01267723,0.01359809,0.0,0.00080332,0.01460943,0.00249012,0.0,0.0078458,0.0,0.0,0.00068163
5530,3209,4.791351,-74.026985,49,42,3,0.0,0.00108688,0.0,0.0,0.00371878,0.0,0.0003181,0.01375578,0.01850222,0.01379779,0.00075371,0.0,0.00707667,0.00726898,0.00349705,0.0079108,0.00079671,0.0049809,0.0,0.0,0.0438386,0.0,0.00811035,0.00531412,0.01183208,0.01714542,0.0,0.00107109,0.02340214,0.00323697,0.00209785,0.01203925,0.0,0.0,0.00063619
5530,3209,4.791351,-74.026985,49,42,4,0.0,0.00470002,0.0,0.0,0.00831966,0.0,0.00066487,0.0259213,0.03867131,0.02881304,0.00166504,0.0,0.01311968,0.01759094,0.01330822,0.06486854,0.00178241,0.01114327,0.0,0.0,0.09684496,0.0,0.01693631,0.02297998,0.10564359,0.06414753,0.0,0.03507831,0.04409883,0.00724175,0.02307633,0.02231996,0.0,0.00066691,0.00568025
5530,3209,4.791351,-74.026985,49,42,5,0.0,0.01095692,0.0,0.0,0.04251758,0.0,0.0012151,0.02679595,0.07067515,0.05140354,0.00409524,0.0,0.01828803,0.09158918,0.02166229,0.15452425,0.00910898,0.05694763,0.0,0.0,0.23819527,0.0,0.03021501,0.05357209,0.47117042,0.10967159,0.0,0.12130133,0.04558683,0.03700893,0.06118723,0.03111267,0.0,0.00557782,0.0253339
5530,3209,4.791351,-74.026985,49,42,6,0.0,0.01101567,0.0,0.0,0.07578307,0.0,0.00130968,0.00365761,0.07617581,0.02245523,0.00295178,0.0,0.00349858,0.25728563,0.01913664,0.18247574,0.01623579,0.1015031,0.0,0.0,0.17168728,0.0,0.01319919,0.05385934,0.77049393,0.10553304,0.0,0.25974015,0.00622253,0.06596448,0.06818006,0.00595199,0.0,0.01067061,0.04142793
5530,3209,4.791351,-74.026985,49,42,7,0.0,0.01345381,0.0,0.0,0.05608818,0.0,0.00102883,0.00111318,0.05984052,0.01028071,0.00247893,0.0,0.00063611,0.26677165,0.01690241,0.1919687,0.01201635,0.07512396,0.0,0.0,0.14418398,0.0,0.006043,0.0657802,0.39989621,0.1099672,0.0,0.38264812,0.00189381,0.0488213,0.07517288,0.00108218,0.0,0.01424769,0.02150163
5530,3209,4.791351,-74.026985,49,42,8,0.0,0.01562757,0.0,0.0,0.0629479,0.0,0.00168223,0.00278296,0.09784508,0.03625303,0.00333007,0.0,0.00270345,0.206112,0.01466818,0.20119796,0.01348598,0.08431181,0.0,0.0,0.19368992,0.0,0.02130954,0.07640845,0.26115096,0.1265214,0.0,0.3738116,0.00473454,0.05479227,0.06573257,0.00459926,0.0,0.01382329,0.01404157
5530,3209,4.791351,-74.026985,49,42,9,0.0,0.01128005,0.0,0.0,0.06675643,0.0,0.0015504,0.0054069,0.09017749,0.02313159,0.00353068,0.0,0.00389615,0.16024472,0.01146256,0.18221205,0.01430192,0.08941291,0.0,0.0,0.20535799,0.0,0.01359676,0.05515196,0.09775554,0.13982388,0.0,0.31195596,0.00919853,0.05810735,0.06048795,0.00662835,0.0,0.01115564,0.00525612
5530,3209,4.791351,-74.026985,49,42,10,0.0,0.01336568,0.0,0.0,0.06900871,0.0,0.00170229,0.0228998,0.09901189,0.06411916,0.00538486,0.0,0.0126426,0.16464245,0.01039401,0.17377386,0.01478445,0.09242959,0.0,0.0,0.31320427,0.0,0.03768925,0.06534933,0.09592438,0.10967159,0.0,0.26536339,0.03895848,0.06006782,0.06678149,0.02150833,0.0,0.00903364,0.00515766
5530,3209,4.791351,-74.026985,49,42,11,0.0,0.01195568,0.0,0.0,0.06757504,0.0,0.00153034,0.01979879,0.08901069,0.04653373,0.00498364,0.0,0.0084284,0.16446073,0.01136541,0.15768857,0.0144773,0.09050935,0.0,0.0,0.28986814,0.0,0.02735254,0.05845533,0.09958669,0.09193494,0.0,0.25733019,0.03368285,0.0588199,0.06223615,0.01433888,0.0,0.00842736,0.00535458
