FID_LINK,FID_Grilla,LAT,LON,ROW,COL,hora,NHTX_GAS,NHC2P_GAS,NHCC_DSEL,NHC2G_GAS,NHC5_GAS,NHC2G_DSEL,NH>C5_GNV,NHMB_DSEL,NHB_DSEL,NHC5_DSEL,NHC5_GNV,NHC2G_GNV,NHC2P_DSEL,NHESP_GAS,NHAL_DSEL,NHCC_GNV,NHTX_GNV,NHINT_GAS,NHC2P_GNV,NHCC_GAS,NHM_GAS,NHC3-C4_GNV,NHAUT_GAS,NHESP_DSEL,NHAT_DSEL,NHC3-C4_DSEL,NHBA_DSEL,NHINT_GNV,NH>C5_DSEL,NHC3-C4_GAS,NHAUT_GNV,NHINT_DSEL,NHBT_DSEL,NH>C5_GAS,NHESP_GNV
7289,3206,4.791351,-74.044975,49,40,0,0.00083843,2.163e-05,0.0003227,0.00012842,0.00065953,0.00079891,1.19e-05,1.764e-05,9.226e-05,0.00010919,3.4e-06,1.004e-05,0.00013455,0.00474646,0.00015402,0.00056903,0.01402985,0.00016751,1.69e-06,0.00351167,0.00390923,3.61e-06,0.00528485,2.484e-05,0.00017403,0.00011602,0.0,2.97e-06,0.00027026,0.00070075,0.00172261,7.971e-05,0.00067112,0.00230835,1.8e-07
7289,3206,4.791351,-74.044975,49,40,1,0.00063153,2.163e-05,0.00024307,0.00013788,0.00061831,0.00085778,9.14e-06,1.764e-05,7.908e-05,0.00010237,3.19e-06,1.078e-05,0.00013455,0.0035781,0.0,0.00042861,0.01056774,0.00015228,1.69e-06,0.0026451,0.00345505,2.55e-06,0.00398072,1.872e-05,0.0,8.19e-05,0.0,2.7e-06,0.00027844,0.00049465,0.00129753,7.246e-05,0.00017896,0.00177248,1.3e-07
7289,3206,4.791351,-74.044975,49,40,2,0.00060302,4.055e-05,0.0002321,0.0001149,0.00045343,0.00071481,8.29e-06,5.292e-05,1.318e-05,7.507e-05,2.34e-06,8.98e-06,0.00025229,0.00335904,0.0,0.00040926,0.01009061,0.00016751,3.17e-06,0.00252568,0.0025629,5.1e-06,0.00380099,1.758e-05,1.339e-05,0.00016379,0.0,2.97e-06,0.00029482,0.00098929,0.00123894,7.971e-05,0.00016405,0.0016076,1.2e-07
7289,3206,4.791351,-74.044975,49,40,3,0.00059996,3.65e-05,0.00023092,0.00012571,0.00098929,0.00078209,1.318e-05,3.528e-05,7.908e-05,0.00016379,5.1e-06,9.83e-06,0.00022706,0.00306695,0.0,0.00040718,0.01003935,0.00013706,2.85e-06,0.00251285,0.00311441,4.46e-06,0.00378169,1.605e-05,1.339e-05,0.00014332,0.0,2.43e-06,0.00047226,0.00086563,0.00123265,6.521e-05,0.00017896,0.00255568,1.1e-07
7289,3206,4.791351,-74.044975,49,40,4,0.0005196,8.381e-05,0.00019999,0.00019871,0.0016076,0.00123621,1.87e-05,0.00029988,0.00055358,0.00026616,8.29e-06,1.553e-05,0.00052139,0.00576878,0.00012773,0.00035265,0.00869472,0.00083756,6.55e-06,0.00217629,0.00249801,1.211e-05,0.00327518,3.019e-05,0.00044176,0.000389,0.0,1.485e-05,0.00088993,0.00234957,0.00106756,0.00039853,0.00089482,0.00362741,2.1e-07
7289,3206,4.791351,-74.044975,49,40,5,0.00089899,0.00015815,0.00034601,0.00041093,0.00234957,0.00255651,2.827e-05,0.0009349,0.00225387,0.000389,1.211e-05,3.212e-05,0.00098392,0.01321707,0.00026297,0.00061013,0.01504325,0.00162944,1.236e-05,0.00376532,0.01015427,2.232e-05,0.00566659,6.916e-05,0.00148593,0.00071659,2.256e-05,2.89e-05,0.00091996,0.00432816,0.00184704,0.00077532,0.00150629,0.00548234,4.9e-07
7289,3206,4.791351,-74.044975,49,40,6,0.0020916,0.0002352,0.00080504,0.00055422,0.00136028,0.00344792,1.297e-05,0.00139354,0.00321605,0.00022521,7.01e-06,4.332e-05,0.00146327,0.02139559,0.00017281,0.00141954,0.03499971,0.0021472,1.838e-05,0.00876042,0.02366625,1.828e-05,0.01318391,0.00011195,0.00330653,0.00058692,3.471e-05,3.808e-05,0.00012557,0.00354497,0.00429733,0.00102169,0.00150629,0.00251446,7.9e-07
7289,3206,4.791351,-74.044975,49,40,7,0.00259706,0.00014599,0.00099959,0.00053529,0.00136028,0.00333019,1.339e-05,0.00123478,0.00220115,0.00022521,7.01e-06,4.184e-05,0.00090823,0.01679518,0.00011646,0.00176259,0.04345785,0.00211674,1.141e-05,0.01087749,0.02596962,1.424e-05,0.01636997,8.788e-05,0.00580985,0.00045725,4.513e-05,3.754e-05,3.822e-05,0.00276178,0.00533584,0.00100719,0.00155103,0.0025969,6.2e-07
7289,3206,4.791351,-74.044975,49,40,8,0.00283388,0.00017573,0.00109074,0.00059342,0.00123662,0.0036918,1.084e-05,0.00109366,0.00268883,0.00020474,6.38e-06,4.638e-05,0.00109324,0.01409334,8.64e-05,0.00192332,0.04742075,0.00210152,1.373e-05,0.01186941,0.02253079,1.828e-05,0.01786274,7.374e-05,0.00607758,0.00058692,3.992e-05,3.727e-05,9.554e-05,0.00354497,0.00582241,0.00099995,0.00161068,0.00210225,5.2e-07
7289,3206,4.791351,-74.044975,49,40,9,0.00280372,0.00023656,0.00107913,0.00059747,0.00127784,0.00371703,1.339e-05,0.00112894,0.00220115,0.00021156,6.59e-06,4.67e-05,0.00147167,0.01190267,0.00010143,0.00190285,0.04691602,0.0020406,1.849e-05,0.01174307,0.01844313,1.424e-05,0.01767262,6.228e-05,0.00500664,0.00045725,4.513e-05,3.619e-05,0.00018563,0.00276178,0.00576044,0.00097096,0.00137206,0.0025969,4.4e-07
7289,3206,4.791351,-74.044975,49,40,10,0.00313221,0.00021222,0.00120556,0.0005434,0.00070075,0.00338065,1.509e-05,0.00098782,0.00191118,0.00011602,3.61e-06,4.247e-05,0.0013203,0.01088035,0.00010519,0.00212579,0.05241282,0.00191878,1.659e-05,0.01311892,0.02089248,1.211e-05,0.01974319,5.693e-05,0.00352071,0.000389,3.645e-05,3.403e-05,0.0007862,0.00234957,0.00643535,0.000913,0.0014168,0.00292666,4e-07
7289,3206,4.791351,-74.044975,49,40,11,0.00306317,0.00020141,0.00117899,0.0005799,0.00111296,0.00360771,1.403e-05,0.0009349,0.00208253,0.00018427,5.74e-06,4.532e-05,0.00125303,0.01321707,0.00014275,0.00207893,0.05125747,0.00149238,1.574e-05,0.01282974,0.02092493,1.275e-05,0.01930798,6.916e-05,0.0031325,0.00040948,3.471e-05,2.647e-05,0.00067973,0.00247323,0.00629349,0.00071011,0.00246076,0.00272056,4.9e-07
7289,3206,4.791351,-74.044975,49,40,12,0.00270875,0.00014599,0.00104258,0.00044608,0.00086563,0.00277516,1.615e-05,0.00095254,0.00205617,0.00014332,4.46e-06,3.486e-05,0.00090823,0.01153756,0.00013524,0.0018384,0.04532692,0.00182741,1.141e-05,0.01134532,0.02679688,1.126e-05,0.01707403,6.037e-05,0.00350733,0.00036171,4.686e-05,3.241e-05,0.00055689,0.00218469,0.00556533,0.00086952,0.00199844,0.00313276,4.3e-07
7289,3206,4.791351,-74.044975,49,40,13,0.00302664,0.00013247,0.00116493,0.00049744,0.00156638,0.00309472,1.7e-05,0.00097018,0.00200344,0.00025934,8.08e-06,3.888e-05,0.00082414,0.01518868,0.00010519,0.00205414,0.05064627,0.00205583,1.035e-05,0.01267675,0.02819188,1.403e-05,0.01907776,7.948e-05,0.00372151,0.00045043,4.165e-05,3.646e-05,0.00078347,0.00272056,0.00621845,0.00097821,0.00153611,0.00329765,5.6e-07
7289,3206,4.791351,-74.044975,49,40,14,0.00292131,0.00013788,0.00112439,0.00032577,0.0011954,0.00202671,1.424e-05,0.00084671,0.00179255,0.00019791,6.16e-06,2.546e-05,0.00085778,0.01066129,0.00012397,0.00198265,0.04888367,0.00226903,1.078e-05,0.01223558,0.02588851,1.36e-05,0.01841381,5.579e-05,0.00389554,0.00043678,4.513e-05,4.024e-05,0.00068792,0.00263812,0.00600203,0.00107965,0.0014168,0.00276178,3.9e-07
7289,3206,4.791351,-74.044975,49,40,15,0.00353988,0.00022439,0.00136247,0.00037038,0.00288544,0.00230422,1.934e-05,0.0009349,0.00201662,0.00047772,1.488e-05,2.895e-05,0.00139599,0.01343614,0.00012773,0.00240247,0.05923453,0.00237563,1.754e-05,0.01482639,0.0264238,1.169e-05,0.02231283,7.031e-05,0.00410973,0.00037535,4.339e-05,4.213e-05,0.00069065,0.00226713,0.00727293,0.00113038,0.00172999,0.00375107,5e-07
7289,3206,4.791351,-74.044975,49,40,16,0.00363673,0.00016221,0.00139975,0.00026494,0.00144272,0.00164828,1.211e-05,0.00082907,0.00175301,0.00023886,7.44e-06,2.071e-05,0.00100915,0.01022315,0.00011646,0.0024682,0.06085518,0.00232994,1.268e-05,0.01523204,0.02567764,8.5e-06,0.02292331,5.349e-05,0.00323959,0.00027299,4.339e-05,4.132e-05,0.00053232,0.00164882,0.00747192,0.00110864,0.00137206,0.00234957,3.8e-07
7289,3206,4.791351,-74.044975,49,40,17,0.00355307,0.00016491,0.00136755,0.00023656,0.00136028,0.00147167,9.56e-06,0.00086435,0.00158167,0.00022521,7.01e-06,1.849e-05,0.00102597,0.00839759,0.00011646,0.00241143,0.05945535,0.00216243,1.289e-05,0.01488167,0.02540189,6.38e-06,0.02239601,4.394e-05,0.00368135,0.00020474,4.339e-05,3.835e-05,8.463e-05,0.00123662,0.00730004,0.00102893,0.00111853,0.00185493,3.1e-07
7289,3206,4.791351,-74.044975,49,40,18,0.00357263,0.00011355,0.00137508,0.00018113,0.00090685,0.00112688,8.93e-06,0.00091726,0.00171347,0.00015014,4.68e-06,1.416e-05,0.0007064,0.00868968,0.00014275,0.0024247,0.05978263,0.00210152,8.87e-06,0.01496358,0.02001656,2.13e-06,0.0225193,4.547e-05,0.00381522,6.825e-05,2.951e-05,3.727e-05,3.003e-05,0.00041221,0.00734023,0.00099995,0.00140189,0.00173126,3.2e-07
7289,3206,4.791351,-74.044975,49,40,19,0.00346801,0.00013517,0.00133481,0.00019871,0.00111296,0.00123621,7.86e-06,0.0009349,0.0014235,0.00018427,5.74e-06,1.553e-05,0.00084096,0.00927386,0.00012397,0.00235369,0.05803186,0.00197969,1.057e-05,0.01452537,0.01821604,4.04e-06,0.0218598,4.853e-05,0.00356087,0.00012967,3.992e-05,3.511e-05,0.0004941,0.00078319,0.00712527,0.00094198,0.0014168,0.00152516,3.4e-07
7289,3206,4.791351,-74.044975,49,40,20,0.00309003,0.00010003,0.00118933,0.00011084,0.00090685,0.00068958,9.56e-06,0.00086435,0.00109399,0.00015014,4.68e-06,8.66e-06,0.00062231,0.00861666,0.00013524,0.00209716,0.05170699,0.00164467,7.82e-06,0.01294225,0.0170157,3.83e-06,0.01947731,4.509e-05,0.00325298,0.00012284,3.992e-05,2.917e-05,0.00060603,0.00074197,0.00634869,0.00078257,0.00143172,0.00185493,3.2e-07
