FID_LINK,FID_Grilla,LAT,LON,ROW,COL,hora,C5_GNV,INT_GAS,C2G_GNV,ESP_GNV,CC_DSEL,CC_GNV,C2P_GAS,>C5_GAS,C2P_DSEL,C3-C4_DSEL,C2G_GAS,AUT_GNV,C5_GAS,M_GAS,AL_DSEL,B_DSEL,TX_GAS,AUT_GAS,>C5_GNV,C2P_GNV,C2G_DSEL,INT_GNV,C3-C4_GAS,INT_DSEL,ESP_GAS,BT_DSEL,TX_GNV,AT_DSEL,>C5_DSEL,CC_GAS,MB_DSEL,C5_DSEL,C3-C4_GNV,BA_DSEL,ESP_DSEL
7289,3206,4.791351,-74.044975,49,40,0,1.52e-06,2.045e-05,3.54e-06,2.3e-07,0.00058514,2.18e-06,2.582e-05,0.00022461,0.00105874,0.00188739,0.00010109,5.27e-06,0.00017016,0.00150061,0.00048557,0.00090809,0.00036381,0.00185651,2e-06,9.1e-07,0.0041455,5.39e-06,0.00011798,0.00071986,0.00062428,0.00381147,4.296e-05,0.00078668,0.0035933,0.00027085,0.00041118,0.00272219,1.05e-06,0.0,9.223e-05
7289,3206,4.791351,-74.044975,49,40,1,1.15e-06,1.096e-05,2.49e-06,1.9e-07,0.00031095,1.16e-06,2.291e-05,0.00023141,0.00093945,0.00199628,7.091e-05,2.8e-06,0.00012932,0.00078851,7.71e-06,0.00032792,0.00019333,0.00098656,2.07e-06,8e-07,0.00290781,2.89e-06,0.00012478,0.00038564,0.00051936,0.00190573,2.283e-05,5.245e-05,0.00370218,0.00014393,0.00020559,0.00206887,1.11e-06,0.0,7.673e-05
7289,3206,4.791351,-74.044975,49,40,2,1.17e-06,2.41e-05,2.38e-06,1.7e-07,0.00025416,9.5e-07,4.364e-05,0.00024503,0.00178942,0.00250442,6.8e-05,2.29e-06,0.00013159,0.00059746,0.0,0.00017657,0.00015803,0.0008064,2.19e-06,1.53e-06,0.00278852,6.36e-06,0.00015654,0.00084841,0.00047215,0.00139149,1.866e-05,7.867e-05,0.00391996,0.00011765,0.0,0.00210516,1.4e-06,0.0,6.975e-05
7289,3206,4.791351,-74.044975,49,40,3,1.8e-06,2.703e-05,3.35e-06,1.6e-07,0.00033039,1.23e-06,4.036e-05,0.0003925,0.00165522,0.00370218,9.564e-05,2.98e-06,0.00020192,0.00069473,0.00027747,0.00075674,0.00020542,0.00104826,3.5e-06,1.42e-06,0.00392182,7.13e-06,0.00023141,0.00095125,0.00044067,0.00175448,2.426e-05,0.00010489,0.00627919,0.00015293,0.00041118,0.00323034,2.07e-06,0.0,6.51e-05
7289,3206,4.791351,-74.044975,49,40,4,3.34e-06,0.00011687,7.41e-06,1.44e-06,0.00073915,2.75e-06,8.437e-05,0.00073962,0.00345955,0.00773103,0.00021128,6.66e-06,0.00037435,0.00168124,0.00105593,0.00620525,0.00045957,0.00234516,6.6e-06,2.96e-06,0.00866379,3.082e-05,0.00048325,0.0041135,0.00393455,0.00656419,5.427e-05,0.00343518,0.01183247,0.00034213,0.00452298,0.00598883,4.31e-06,3.121e-05,0.00058126
7289,3206,4.791351,-74.044975,49,40,5,4.66e-06,0.00027244,1.822e-05,6.43e-06,0.00377745,1.406e-05,0.00015419,0.00076457,0.00632263,0.01379245,0.00051965,3.405e-05,0.00052181,0.00875354,0.00171878,0.01478162,0.00234864,0.01198492,6.82e-06,5.41e-06,0.02130905,7.184e-05,0.00086213,0.00958959,0.0175481,0.01122265,0.00027732,0.0118789,0.01223173,0.00174848,0.01199276,0.00834806,7.69e-06,0.00026102,0.00259241
7289,3206,4.791351,-74.044975,49,40,6,8.9e-07,0.00027391,1.313e-05,1.052e-05,0.0067329,2.506e-05,0.00016619,0.00010436,0.00681472,0.00602512,0.00037456,6.069e-05,9.983e-05,0.02458982,0.00151838,0.01745543,0.00418621,0.02136184,9.3e-07,5.83e-06,0.01535922,7.223e-05,0.00037661,0.00964101,0.028696,0.01079915,0.0004943,0.02543605,0.00166961,0.00311647,0.01336336,0.00159702,3.36e-06,0.00049933,0.0042393
7289,3206,4.791351,-74.044975,49,40,7,1.6e-07,0.00033453,1.103e-05,5.46e-06,0.00498312,1.855e-05,0.00013055,3.176e-05,0.00535336,0.00275849,0.00031456,4.492e-05,1.815e-05,0.02549644,0.00134111,0.01836352,0.00309828,0.01581022,2.8e-07,4.58e-06,0.01289876,8.821e-05,0.00017243,0.01177489,0.01489359,0.0112529,0.00036584,0.03747228,0.00050814,0.00230655,0.01473396,0.00029037,1.54e-06,0.00066672,0.00220025
7289,3206,4.791351,-74.044975,49,40,8,6.9e-07,0.00038858,1.482e-05,3.56e-06,0.00559257,2.082e-05,0.00021346,7.941e-05,0.00875326,0.00972731,0.00042256,5.041e-05,7.714e-05,0.01969895,0.00116384,0.01924638,0.0034772,0.01774384,7.1e-07,7.48e-06,0.01732759,0.00010247,0.00060803,0.01367738,0.00972621,0.01294688,0.00041058,0.03660693,0.00127036,0.00258864,0.01288365,0.00123406,5.43e-06,0.00064687,0.00143687
7289,3206,4.791351,-74.044975,49,40,9,9.9e-07,0.00028048,1.571e-05,1.33e-06,0.00593093,2.208e-05,0.00019673,0.00015428,0.00806732,0.0062066,0.00044801,5.346e-05,0.00011117,0.01531523,0.00090949,0.01743021,0.00368758,0.0188174,1.38e-06,6.9e-06,0.01837142,7.396e-05,0.00038796,0.0098724,0.00364077,0.01430812,0.00043542,0.03054948,0.00246812,0.00274526,0.01185569,0.0017785,3.46e-06,0.00052203,0.00053786
7289,3206,4.791351,-74.044975,49,40,10,3.22e-06,0.00033234,2.396e-05,1.31e-06,0.00613104,2.282e-05,0.00021601,0.0006534,0.00885765,0.01720427,0.0006833,5.527e-05,0.00036073,0.01573554,0.00082471,0.01662302,0.003812,0.01945227,5.83e-06,7.57e-06,0.02801939,8.764e-05,0.00107539,0.01169776,0.00357257,0.01122265,0.00045011,0.02598672,0.01045323,0.00283789,0.01308924,0.00577105,9.6e-06,0.00042273,0.00052778
7289,3206,4.791351,-74.044975,49,40,11,2.15e-06,0.00029728,2.217e-05,1.36e-06,0.00600366,2.235e-05,0.00019419,0.00056492,0.00796294,0.0124858,0.00063238,5.412e-05,0.00024049,0.01571817,0.00090178,0.01508432,0.0037328,0.01904815,5.04e-06,6.81e-06,0.02593173,7.839e-05,0.00078045,0.01046371,0.00370897,0.00940767,0.00044076,0.02520004,0.00903768,0.00277893,0.01219835,0.00384737,6.97e-06,0.00039436,0.00054793
7289,3206,4.791351,-74.044975,49,40,12,3.48e-06,0.00032065,1.918e-05,2.02e-06,0.00598441,2.227e-05,0.00023164,0.00046283,0.00949886,0.01375615,0.00054693,5.394e-05,0.00039023,0.0151485,0.00101739,0.01417623,0.00372083,0.01898707,4.13e-06,8.12e-06,0.02242744,8.456e-05,0.00085986,0.01128641,0.00550837,0.01043616,0.00043935,0.02517382,0.00740437,0.00277002,0.01219835,0.0062429,7.67e-06,0.00034329,0.00081376
7289,3206,4.791351,-74.044975,49,40,13,1.68e-06,0.00032138,2.06e-05,3.17e-06,0.00636537,2.369e-05,0.00016401,0.00065113,0.00672525,0.01353838,0.00058766,5.738e-05,0.00018831,0.01479419,0.00089407,0.0147564,0.00395769,0.02019574,5.81e-06,5.75e-06,0.02409757,8.475e-05,0.00084625,0.01131212,0.00864552,0.01073865,0.00046732,0.0248067,0.01041693,0.00294635,0.01178716,0.00301256,7.55e-06,0.00031776,0.00127722
7289,3206,4.791351,-74.044975,49,40,14,2.05e-06,0.00025345,2.038e-05,4.61e-06,0.00668973,2.49e-05,0.00022219,0.00057173,0.00911115,0.01277616,0.00058111,6.03e-05,0.00022914,0.01490882,0.00086324,0.01410056,0.00415937,0.02122487,5.1e-06,7.79e-06,0.02382916,6.684e-05,0.0007986,0.00892115,0.01258007,0.01007316,0.00049113,0.0268783,0.00914657,0.00309649,0.01281512,0.00366589,7.13e-06,0.00034329,0.00185847
7289,3206,4.791351,-74.044975,49,40,15,1.72e-06,0.00026149,2.171e-05,9.48e-06,0.00592257,2.204e-05,0.00021819,0.000574,0.00894712,0.0133569,0.00061929,5.339e-05,0.00019284,0.0170972,0.0009172,0.01523567,0.00368238,0.01879087,5.12e-06,7.65e-06,0.0253949,6.895e-05,0.0008349,0.00920395,0.02587361,0.01037566,0.00043481,0.0276912,0.00918287,0.00274139,0.01226688,0.00308515,7.45e-06,0.00038869,0.00382235
7289,3206,4.791351,-74.044975,49,40,16,1.5e-06,0.00026295,2.212e-05,7.85e-06,0.00600755,2.236e-05,0.00019746,0.00044241,0.00809714,0.0124132,0.00063093,5.415e-05,0.00016789,0.02053957,0.00139506,0.01672392,0.00373522,0.01906049,3.95e-06,6.92e-06,0.02587208,6.934e-05,0.00077592,0.00925537,0.02141445,0.0114344,0.00044105,0.03178195,0.0070777,0.00278073,0.01240394,0.0026859,6.93e-06,0.00048231,0.00316359
7289,3206,4.791351,-74.044975,49,40,17,5.5e-07,0.00025565,1.654e-05,5.27e-06,0.00661058,2.46e-05,0.00013273,7.033e-05,0.00544283,0.00609771,0.00047165,5.959e-05,6.126e-05,0.02924796,0.00154921,0.01420146,0.00411016,0.02097376,6.3e-07,4.65e-06,0.01934069,6.741e-05,0.00038115,0.00899828,0.01437423,0.01321913,0.00048532,0.03479756,0.00112517,0.00305986,0.01233541,0.00097999,3.4e-06,0.00054473,0.00212353
7289,3206,4.791351,-74.044975,49,40,18,1.4e-07,0.00027975,1.209e-05,2.99e-06,0.00659483,2.455e-05,0.00010946,2.496e-05,0.00448847,0.00286738,0.00034474,5.945e-05,1.588e-05,0.02176229,0.00127174,0.01215826,0.00410036,0.02092378,2.2e-07,3.84e-06,0.01413645,7.377e-05,0.00017923,0.00984669,0.00815764,0.01200914,0.00048416,0.02818943,0.00039926,0.00305256,0.01260953,0.00025407,1.6e-06,0.00059012,0.00120514
7289,3206,4.791351,-74.044975,49,40,19,1.17e-06,0.0002257,1.025e-05,1.26e-06,0.00680602,2.533e-05,6.146e-05,0.00041065,0.00252011,0.00399255,0.00029237,6.135e-05,0.00013159,0.01319979,0.00144902,0.01155287,0.00423167,0.02159383,3.67e-06,2.15e-06,0.01198914,5.952e-05,0.00024956,0.00794419,0.00343617,0.01309813,0.00049967,0.02512137,0.00656956,0.00315032,0.01130745,0.00210516,2.23e-06,0.00062701,0.00050763
7289,3206,4.791351,-74.044975,49,40,20,1.05e-06,0.00017895,8.24e-06,6.8e-07,0.00629302,2.342e-05,4.946e-05,0.00050366,0.00202801,0.00330293,0.00023492,5.673e-05,0.00011798,0.01029236,0.00151838,0.01089703,0.00391271,0.01996622,4.5e-06,1.73e-06,0.00963306,4.719e-05,0.00020646,0.00629879,0.00185711,0.01364263,0.00046201,0.02278755,0.00805769,0.00291287,0.00945714,0.00188739,1.84e-06,0.00060431,0.00027435
7289,3206,4.791351,-74.044975,49,40,21,1.9e-06,0.00011687,7.52e-06,4.6e-07,0.00490709,1.826e-05,3.673e-05,0.00039476,0.0015061,0.00217776,0.00021455,4.423e-05,0.00021326,0.00987553,0.00100969,0.00731514,0.003051,0.01556898,3.52e-06,1.29e-06,0.008798,3.082e-05,0.00013613,0.0041135,0.00124332,0.01222089,0.00036026,0.02184353,0.00631549,0.00227135,0.0095942,0.00341182,1.21e-06,0.00059863,0.00018368
