FID_LINK,FID_Grilla,LAT,LON,ROW,COL,hora,NHTX_GAS,NHC2P_GAS,NHCC_DSEL,NHC2G_GAS,NHC5_GAS,NHC2G_DSEL,NH>C5_GNV,NHMB_DSEL,NHB_DSEL,NHC5_DSEL,NHC5_GNV,NHC2G_GNV,NHC2P_DSEL,NHESP_GAS,NHAL_DSEL,NHCC_GNV,NHTX_GNV,NHINT_GAS,NHC2P_GNV,NHCC_GAS,NHM_GAS,NHC3-C4_GNV,NHAUT_GAS,NHESP_DSEL,NHAT_DSEL,NHC3-C4_DSEL,NHBA_DSEL,NHINT_GNV,NH>C5_DSEL,NHC3-C4_GAS,NHAUT_GNV,NHINT_DSEL,NHBT_DSEL,NH>C5_GAS,NHESP_GNV
7289,3206,4.791351,-74.044975,49,40,0,0.00492869,5.998e-05,0.00317489,0.00035614,0.00035648,0.00185468,0.00036242,4.596e-05,0.00034558,0.0002754,0.00010355,0.00021507,0.00031237,0.00290192,0.00202414,0.00045726,0.00901921,0.00013476,3.622e-05,0.01909956,0.00287192,0.00011002,0.0530693,7.655e-05,0.0006418,0.00029261,0.0,0.00015626,0.00068162,0.00037876,0.0011074,0.00021458,0.00222161,0.00124769,9.22e-06
7289,3206,4.791351,-74.044975,49,40,1,0.00371245,5.998e-05,0.00239143,0.00038238,0.0003342,0.00199135,0.00027828,4.596e-05,0.00029622,0.00025819,9.708e-05,0.00023092,0.00031237,0.0021876,0.0,0.00034442,0.00679356,0.00012251,3.622e-05,0.0143864,0.00253826,7.766e-05,0.0399735,5.77e-05,0.0,0.00020655,0.0,0.00014206,0.00070227,0.00026736,0.00083413,0.00019507,0.00059243,0.00095805,6.95e-06
7289,3206,4.791351,-74.044975,49,40,2,0.00354483,0.00011247,0.00228346,0.00031865,0.00024508,0.00165945,0.0002524,0.00013789,4.937e-05,0.00018934,7.119e-05,0.00019243,0.00058569,0.00205367,0.0,0.00032887,0.00648684,0.00013476,6.792e-05,0.01373687,0.00188284,0.00015532,0.03816873,5.417e-05,4.937e-05,0.0004131,0.0,0.00015626,0.00074358,0.00053472,0.00079647,0.00021458,0.00054306,0.00086893,6.52e-06
7289,3206,4.791351,-74.044975,49,40,3,0.00352683,0.00010122,0.00227186,0.00034864,0.00053472,0.00181564,0.00040125,9.193e-05,0.00029622,0.0004131,0.00015532,0.00021055,0.00052712,0.00187509,0.0,0.0003272,0.00645388,0.00011026,6.113e-05,0.01366708,0.00228801,0.00013591,0.03797483,4.946e-05,4.937e-05,0.00036146,0.0,0.00012785,0.00119111,0.00046788,0.00079242,0.00017557,0.00059243,0.00138137,5.96e-06
7289,3206,4.791351,-74.044975,49,40,4,0.00305446,0.00023243,0.00196758,0.00055108,0.00086893,0.00286988,0.00056951,0.00078139,0.00207351,0.00067129,0.0002524,0.0003328,0.00121043,0.00352695,0.00167855,0.00028338,0.00558948,0.00067382,0.00014036,0.01183657,0.00183517,0.00036889,0.03288865,9.303e-05,0.00162918,0.00098111,0.0,0.00078132,0.00224451,0.00126997,0.00068629,0.00107291,0.00296215,0.00196065,1.12e-05
7289,3206,4.791351,-74.044975,49,40,5,0.0052847,0.00043862,0.00340422,0.00113965,0.00126997,0.00593499,0.00086074,0.00243611,0.00844213,0.00098111,0.00036889,0.00068824,0.00228419,0.00808074,0.00345584,0.00049028,0.00967068,0.00131089,0.00026488,0.02047915,0.00745985,0.00067953,0.05690258,0.00021315,0.00547998,0.00180732,0.0006418,0.00152001,0.00232025,0.00233942,0.00118739,0.00208729,0.00498629,0.00296326,2.567e-05
7289,3206,4.791351,-74.044975,49,40,6,0.01229541,0.0006523,0.00792028,0.00153703,0.00073524,0.00800443,0.00039478,0.00363119,0.01204608,0.00056801,0.00021357,0.00092821,0.003397,0.01308098,0.00227098,0.0011407,0.02249987,0.00172743,0.00039392,0.0476469,0.01738646,0.00055657,0.13238986,0.00034504,0.01219419,0.00148028,0.00098738,0.00200301,0.00031671,0.00191609,0.00276258,0.00275054,0.00498629,0.00135909,4.155e-05
7289,3206,4.791351,-74.044975,49,40,7,0.01526675,0.00040488,0.00983432,0.00148454,0.00073524,0.00773111,0.00040772,0.00321751,0.00824465,0.00056801,0.00021357,0.00089652,0.00210848,0.01026834,0.00153044,0.00141636,0.02793725,0.00170293,0.0002445,0.05916139,0.01907863,0.00043361,0.16438358,0.00027085,0.02142622,0.00115324,0.0012836,0.0019746,9.639e-05,0.00149277,0.00343019,0.00271153,0.00513439,0.00140365,3.262e-05
7289,3206,4.791351,-74.044975,49,40,8,0.01665892,0.00048735,0.01073111,0.00164575,0.0006684,0.0085706,0.00033006,0.00284979,0.01007131,0.00051638,0.00019415,0.00099387,0.00253799,0.00861648,0.00113549,0.00154552,0.03048484,0.00169068,0.00029431,0.06455629,0.01655229,0.00055657,0.17937364,0.00022728,0.02241361,0.00148028,0.00113549,0.00196039,0.00024098,0.00191609,0.00374299,0.00269202,0.00533187,0.00113629,2.737e-05
7289,3206,4.791351,-74.044975,49,40,9,0.01648161,0.00065605,0.01061689,0.00165699,0.00069068,0.00862917,0.00040772,0.00294172,0.00824465,0.00053359,0.00020062,0.00100066,0.00341652,0.00727713,0.00133297,0.00152907,0.03016037,0.00164167,0.00039619,0.06386918,0.01354929,0.00043361,0.17746446,0.00019195,0.01846407,0.00115324,0.0012836,0.00190357,0.00046818,0.00149277,0.00370315,0.00261399,0.00454196,0.00140365,2.311e-05
