FID_LINK,FID_Grilla,LAT,LON,ROW,COL,hora,NHTX_GAS,NHC2P_GAS,NHCC_DSEL,NHC2G_GAS,NHC5_GAS,NHC2G_DSEL,NH>C5_GNV,NHMB_DSEL,NHB_DSEL,NHC5_DSEL,NHC5_GNV,NHC2G_GNV,NHC2P_DSEL,NHESP_GAS,NHAL_DSEL,NHCC_GNV,NHTX_GNV,NHINT_GAS,NHC2P_GNV,NHCC_GAS,NHM_GAS,NHC3-C4_GNV,NHAUT_GAS,NHESP_DSEL,NHAT_DSEL,NHC3-C4_DSEL,NHBA_DSEL,NHINT_GNV,NH>C5_DSEL,NHC3-C4_GAS,NHAUT_GNV,NHINT_DSEL,NHBT_DSEL,NH>C5_GAS,NHESP_GNV
7289,3206,4.791351,-74.044975,49,40,0,4.36e-06,5e-08,6.37e-06,3.2e-07,1.8e-07,9.83e-06,0.0,1.4e-07,8.8e-07,8.1e-07,0.0,0.0,1.66e-06,1.43e-06,1.68e-06,0.0,0.0,7e-08,0.0,2.44e-06,5.45e-06,0.0,4.698e-05,2.3e-07,1.63e-06,8.6e-07,0.0,0.0,2.01e-06,1.9e-07,0.0,6.3e-07,6.09e-06,6.1e-07,0.0
7289,3206,4.791351,-74.044975,49,40,1,3.29e-06,5e-08,4.8e-06,3.4e-07,1.6e-07,1.056e-05,0.0,1.4e-07,7.5e-07,7.6e-07,0.0,0.0,1.66e-06,1.08e-06,0.0,0.0,0.0,6e-08,0.0,1.84e-06,4.82e-06,0.0,3.539e-05,1.7e-07,0.0,6.1e-07,0.0,0.0,2.07e-06,1.3e-07,0.0,5.7e-07,1.62e-06,4.7e-07,0.0
7289,3206,4.791351,-74.044975,49,40,2,3.14e-06,1e-07,4.58e-06,2.8e-07,1.2e-07,8.8e-06,0.0,4.1e-07,1.3e-07,5.6e-07,0.0,0.0,3.1e-06,1.01e-06,0.0,0.0,0.0,7e-08,0.0,1.76e-06,3.57e-06,0.0,3.379e-05,1.6e-07,1.3e-07,1.22e-06,0.0,0.0,2.19e-06,2.6e-07,0.0,6.3e-07,1.49e-06,4.3e-07,0.0
7289,3206,4.791351,-74.044975,49,40,3,3.12e-06,9e-08,4.56e-06,3.1e-07,2.6e-07,9.63e-06,0.0,2.7e-07,7.5e-07,1.22e-06,0.0,0.0,2.79e-06,9.2e-07,0.0,0.0,0.0,5e-08,0.0,1.75e-06,4.34e-06,0.0,3.362e-05,1.5e-07,1.3e-07,1.06e-06,0.0,0.0,3.51e-06,2.3e-07,0.0,5.2e-07,1.62e-06,6.8e-07,0.0
7289,3206,4.791351,-74.044975,49,40,4,2.7e-06,2.1e-07,3.95e-06,4.9e-07,4.3e-07,1.521e-05,0.0,2.3e-06,5.26e-06,1.98e-06,0.0,0.0,6.42e-06,1.73e-06,1.39e-06,0.0,0.0,3.3e-07,0.0,1.52e-06,3.48e-06,0.0,2.912e-05,2.7e-07,4.13e-06,2.89e-06,0.0,0.0,6.61e-06,6.2e-07,0.0,3.16e-06,8.12e-06,9.6e-07,0.0
7289,3206,4.791351,-74.044975,49,40,5,4.68e-06,3.9e-07,6.83e-06,1.01e-06,6.2e-07,3.146e-05,0.0,7.17e-06,2.143e-05,2.89e-06,0.0,0.0,1.211e-05,3.97e-06,2.86e-06,0.0,0.0,6.4e-07,0.0,2.62e-06,1.415e-05,0.0,5.038e-05,6.3e-07,1.391e-05,5.32e-06,3.4e-07,0.0,6.83e-06,1.15e-06,0.0,6.15e-06,1.367e-05,1.46e-06,0.0
7289,3206,4.791351,-74.044975,49,40,6,1.089e-05,5.8e-07,1.588e-05,1.36e-06,3.6e-07,4.243e-05,0.0,1.069e-05,3.057e-05,1.67e-06,0.0,0.0,1.801e-05,6.43e-06,1.88e-06,0.0,0.0,8.5e-07,0.0,6.1e-06,3.298e-05,0.0,0.00011721,1.02e-06,3.095e-05,4.36e-06,5.2e-07,0.0,9.3e-07,9.4e-07,0.0,8.1e-06,1.367e-05,6.7e-07,0.0
7289,3206,4.791351,-74.044975,49,40,7,1.352e-05,3.6e-07,1.972e-05,1.31e-06,3.6e-07,4.099e-05,0.0,9.48e-06,2.092e-05,1.67e-06,0.0,0.0,1.118e-05,5.05e-06,1.27e-06,0.0,0.0,8.4e-07,0.0,7.57e-06,3.619e-05,0.0,0.00014553,8e-07,5.438e-05,3.4e-06,6.8e-07,0.0,2.8e-07,7.3e-07,0.0,7.99e-06,1.408e-05,6.9e-07,0.0
7289,3206,4.791351,-74.044975,49,40,8,1.475e-05,4.3e-07,2.152e-05,1.46e-06,3.3e-07,4.544e-05,0.0,8.39e-06,2.556e-05,1.52e-06,0.0,0.0,1.345e-05,4.24e-06,9.4e-07,0.0,0.0,8.3e-07,0.0,8.26e-06,3.14e-05,0.0,0.00015881,6.7e-07,5.688e-05,4.36e-06,6e-07,0.0,7.1e-07,9.4e-07,0.0,7.93e-06,1.462e-05,5.6e-07,0.0
7289,3206,4.791351,-74.044975,49,40,9,1.459e-05,5.8e-07,2.129e-05,1.47e-06,3.4e-07,4.575e-05,0.0,8.66e-06,2.092e-05,1.57e-06,0.0,0.0,1.811e-05,3.58e-06,1.1e-06,0.0,0.0,8.1e-07,0.0,8.18e-06,2.57e-05,0.0,0.00015712,5.7e-07,4.686e-05,3.4e-06,6.8e-07,0.0,1.38e-06,7.3e-07,0.0,7.7e-06,1.245e-05,6.9e-07,0.0
7289,3206,4.791351,-74.044975,49,40,10,1.63e-05,5.2e-07,2.378e-05,1.33e-06,1.9e-07,4.161e-05,0.0,7.58e-06,1.817e-05,8.6e-07,0.0,0.0,1.625e-05,3.27e-06,1.14e-06,0.0,0.0,7.6e-07,0.0,9.13e-06,2.912e-05,0.0,0.00017552,5.2e-07,3.295e-05,2.89e-06,5.5e-07,0.0,5.84e-06,6.2e-07,0.0,7.24e-06,1.286e-05,7.8e-07,0.0
7289,3206,4.791351,-74.044975,49,40,11,1.594e-05,4.9e-07,2.326e-05,1.42e-06,3e-07,4.44e-05,0.0,7.17e-06,1.98e-05,1.37e-06,0.0,0.0,1.542e-05,3.97e-06,1.55e-06,0.0,0.0,5.9e-07,0.0,8.93e-06,2.916e-05,0.0,0.00017165,6.3e-07,2.932e-05,3.04e-06,5.2e-07,0.0,5.05e-06,6.6e-07,0.0,5.63e-06,2.234e-05,7.2e-07,0.0
7289,3206,4.791351,-74.044975,49,40,12,1.41e-05,3.6e-07,2.057e-05,1.1e-06,2.3e-07,3.415e-05,0.0,7.31e-06,1.955e-05,1.06e-06,0.0,0.0,1.118e-05,3.47e-06,1.47e-06,0.0,0.0,7.2e-07,0.0,7.9e-06,3.735e-05,0.0,0.00015179,5.5e-07,3.283e-05,2.69e-06,7.1e-07,0.0,4.14e-06,5.8e-07,0.0,6.89e-06,1.814e-05,8.3e-07,0.0
