FID_LINK,FID_Grilla,LAT,LON,ROW,COL,hora,NHTX_GAS,NHC2P_GAS,NHCC_DSEL,NHC2G_GAS,NHC5_GAS,NHC2G_DSEL,NH>C5_GNV,NHMB_DSEL,NHB_DSEL,NHC5_DSEL,NHC5_GNV,NHC2G_GNV,NHC2P_DSEL,NHESP_GAS,NHAL_DSEL,NHCC_GNV,NHTX_GNV,NHINT_GAS,NHC2P_GNV,NHCC_GAS,NHM_GAS,NHC3-C4_GNV,NHAUT_GAS,NHESP_DSEL,NHAT_DSEL,NHC3-C4_DSEL,NHBA_DSEL,NHINT_GNV,NH>C5_DSEL,NHC3-C4_GAS,NHAUT_GNV,NHINT_DSEL,NHBT_DSEL,NH>C5_GAS,NHESP_GNV
7289,3206,4.791351,-74.044975,49,40,0,0.00341376,4.617e-05,0.00532393,0.00027414,0.00028806,0.01110298,0.00025604,0.00053711,0.00138311,0.0045516,7.316e-05,0.0002735,0.00186998,0.00270592,0.00243292,0.00058148,0.01146955,6.376e-05,4.606e-05,0.00254131,0.00664297,7.773e-05,0.01741918,0.00039483,0.00267033,0.00483607,0.0,0.00047839,0.01126521,0.00030606,0.00140825,0.00221651,0.0106689,0.0010082,2.822e-05
7289,3206,4.791351,-74.044975,49,40,1,0.00257135,4.617e-05,0.00401016,0.00029434,0.00027005,0.0119211,0.0001966,0.00053711,0.00118552,0.00426712,6.858e-05,0.00029366,0.00186998,0.00203984,0.0,0.00043799,0.00863924,5.796e-05,4.606e-05,0.0019142,0.00587118,5.487e-05,0.01312069,0.00029764,0.0,0.0034137,0.0,0.0004349,0.01160658,0.00021604,0.00106074,0.002015,0.00284504,0.00077415,2.127e-05
7289,3206,4.791351,-74.044975,49,40,2,0.00245526,8.657e-05,0.0038291,0.00024529,0.00019804,0.00993425,0.00017832,0.00161134,0.00019759,0.00312922,5.029e-05,0.00024471,0.00350621,0.00191496,0.0,0.00041822,0.00824918,6.376e-05,8.637e-05,0.00182777,0.00435514,0.00010973,0.0125283,0.00027942,0.00020541,0.0068274,0.0,0.00047839,0.01228932,0.00043209,0.00101285,0.00221651,0.00260795,0.00070214,1.997e-05
7289,3206,4.791351,-74.044975,49,40,3,0.00244278,7.791e-05,0.00380965,0.00026837,0.00043209,0.01086924,0.00028348,0.00107423,0.00118552,0.0068274,0.00010973,0.00026775,0.00315559,0.00174844,0.0,0.00041609,0.00820727,5.216e-05,7.773e-05,0.00181849,0.00529233,9.602e-05,0.01246466,0.00025512,0.00020541,0.00597397,0.0,0.00039141,0.01968567,0.00037807,0.00100771,0.0018135,0.00284504,0.00111622,1.823e-05
7289,3206,4.791351,-74.044975,49,40,4,0.00211561,0.00017891,0.0032994,0.0004242,0.00070214,0.01718041,0.00040235,0.00913093,0.00829864,0.01109452,0.00017832,0.00042321,0.00724616,0.00328873,0.00201754,0.00036036,0.00710803,0.00031878,0.0001785,0.00157493,0.00424489,0.00026062,0.01079519,0.00047987,0.00677852,0.01621507,0.0,0.00239196,0.03709553,0.0010262,0.00087274,0.01108253,0.0142252,0.00158431,3.43e-05
7289,3206,4.791351,-74.044975,49,40,5,0.00366034,0.00033763,0.00570849,0.00087726,0.0010262,0.03552955,0.0006081,0.02846702,0.03378733,0.01621507,0.00026062,0.00087522,0.0136742,0.00753494,0.00415376,0.00062349,0.01229802,0.00062018,0.00033684,0.00272487,0.01725519,0.00048008,0.0186774,0.00109944,0.02280049,0.02986987,0.00027299,0.00465345,0.03834722,0.00189037,0.00150997,0.02156055,0.02394576,0.00239447,7.858e-05
7289,3206,4.791351,-74.044975,49,40,6,0.00851616,0.00050211,0.01328141,0.00118314,0.00059412,0.04791814,0.0002789,0.04243197,0.04821117,0.00938767,0.00015088,0.00118039,0.02033599,0.01219744,0.00272961,0.0014506,0.02861263,0.00081724,0.00050095,0.00633971,0.04021618,0.00039321,0.04345494,0.00177976,0.05073623,0.02446484,0.00041999,0.00613211,0.00523434,0.0015483,0.00351311,0.02841157,0.02394576,0.00109822,0.0001272
7289,3206,4.791351,-74.044975,49,40,7,0.0105742,0.00031166,0.01649103,0.00114274,0.00059412,0.04628191,0.00028805,0.03759794,0.03299699,0.00938767,0.00015088,0.00114008,0.01262234,0.00957478,0.00183952,0.00180116,0.03552724,0.00080565,0.00031093,0.00787178,0.0441303,0.00030634,0.05395639,0.00139708,0.08914786,0.01905982,0.00054599,0.00604513,0.00159306,0.00120624,0.0043621,0.02800857,0.02465702,0.00113422,9.985e-05
7289,3206,4.791351,-74.044975,49,40,8,0.01153846,0.00037514,0.01799484,0.00126683,0.00054011,0.05130747,0.00023318,0.03330104,0.0403077,0.00853425,0.00013717,0.00126388,0.01519356,0.00803449,0.00136481,0.00196541,0.03876696,0.00079985,0.00037427,0.0085896,0.03828668,0.00039321,0.05887665,0.00117233,0.09325606,0.02446484,0.00048299,0.00600164,0.00398265,0.0015483,0.00475988,0.02780707,0.02560537,0.00091818,8.379e-05
7289,3206,4.791351,-74.044975,49,40,9,0.01141565,0.000505,0.01780331,0.00127549,0.00055811,0.0516581,0.00028805,0.03437526,0.03299699,0.00881872,0.00014174,0.00127252,0.02045287,0.00678561,0.00160216,0.00194449,0.03835434,0.00077667,0.00050382,0.00849818,0.0313405,0.00030634,0.05824999,0.0009901,0.07682327,0.01905982,0.00054599,0.00582768,0.00773772,0.00120624,0.00470922,0.02700106,0.02181198,0.00113422,7.076e-05
7289,3206,4.791351,-74.044975,49,40,10,0.01275313,0.00045306,0.01988919,0.00116006,0.00030606,0.04698315,0.00032463,0.03007836,0.02865008,0.00483607,7.773e-05,0.00115736,0.01834914,0.00620279,0.0016615,0.00217231,0.04284803,0.0007303,0.000452,0.00949385,0.0355027,0.00026062,0.0650747,0.00090506,0.05402278,0.01621507,0.00044099,0.00547976,0.03277151,0.0010262,0.00526096,0.02538906,0.02252324,0.00127825,6.469e-05
7289,3206,4.791351,-74.044975,49,40,11,0.01247201,0.00042997,0.01945077,0.00123797,0.0004861,0.05013874,0.00030177,0.02846702,0.03121871,0.00768082,0.00012345,0.00123509,0.01741415,0.00753494,0.0022549,0.00212443,0.04190351,0.00056801,0.00042897,0.00928457,0.03555783,0.00027433,0.06364024,0.00109944,0.0480659,0.0170685,0.00041999,0.00426204,0.0283337,0.00108021,0.005145,0.01974705,0.03911931,0.00118823,7.858e-05
7289,3206,4.791351,-74.044975,49,40,12,0.01102898,0.00031166,0.01720029,0.00095229,0.00037807,0.03856826,0.00034749,0.02900413,0.03082353,0.00597397,9.602e-05,0.00095007,0.01262234,0.00657746,0.00213622,0.00187863,0.03705523,0.00069552,0.00031093,0.00821033,0.04553607,0.00024233,0.05627699,0.00095973,0.05381737,0.01507717,0.00056699,0.00521882,0.02321315,0.00095419,0.00454971,0.02418006,0.03176962,0.00136827,6.859e-05
