FID_LINK,FID_Grilla,LAT,LON,ROW,COL,hora,C5_GNV,INT_GAS,C2G_GNV,ESP_GNV,CC_DSEL,CC_GNV,C2P_GAS,>C5_GAS,C2P_DSEL,C3-C4_DSEL,C2G_GAS,AUT_GNV,C5_GAS,M_GAS,AL_DSEL,B_DSEL,TX_GAS,AUT_GAS,>C5_GNV,C2P_GNV,C2G_DSEL,INT_GNV,C3-C4_GAS,INT_DSEL,ESP_GAS,BT_DSEL,TX_GNV,AT_DSEL,>C5_DSEL,CC_GAS,MB_DSEL,C5_DSEL,C3-C4_GNV,BA_DSEL,ESP_DSEL
7289,3206,4.791351,-74.044975,49,40,0,2.585e-05,0.00015788,6.034e-05,3.89e-06,0.00491999,3.707e-05,0.00019932,0.0017339,0.00885497,0.01578554,0.00078042,8.979e-05,0.00131356,0.01158403,0.00408218,0.00759626,0.00280855,0.01433099,3.413e-05,1.541e-05,0.03467159,9.18e-05,0.00091074,0.00602069,0.00481929,0.03187797,0.00073127,0.00658065,0.03005323,0.00209074,0.00343898,0.0227676,1.792e-05,0.0,0.00077135
7289,3206,4.791351,-74.044975,49,40,1,1.965e-05,8.458e-05,4.232e-05,3.24e-06,0.00261451,1.97e-05,0.00017686,0.00178644,0.00785723,0.01669624,0.00054742,4.771e-05,0.00099831,0.00608698,6.48e-05,0.00274309,0.00149248,0.00761557,3.516e-05,1.367e-05,0.02432,4.918e-05,0.00096328,0.00322537,0.00400932,0.01593898,0.0003886,0.00043871,0.03096394,0.00111103,0.00171949,0.01730338,1.896e-05,0.0,0.00064171
7289,3206,4.791351,-74.044975,49,40,2,1.999e-05,0.00018607,4.059e-05,2.95e-06,0.00213706,1.61e-05,0.00033687,0.00189153,0.01496615,0.02094619,0.00052496,3.9e-05,0.00101582,0.00461216,0.0,0.00147705,0.00121993,0.00622486,3.723e-05,2.605e-05,0.02332226,0.0001082,0.00120848,0.00709582,0.00364484,0.01163799,0.00031764,0.00065806,0.03278535,0.00090814,0.0,0.01760695,2.378e-05,0.0,0.00058338
7289,3206,4.791351,-74.044975,49,40,3,3.068e-05,0.00020862,5.708e-05,2.75e-06,0.00277802,2.093e-05,0.00031161,0.00302995,0.01384369,0.03096394,0.00073832,5.07e-05,0.00155876,0.00536298,0.00233267,0.00633021,0.00158582,0.00809184,5.963e-05,2.409e-05,0.03280082,0.00012131,0.00178644,0.00795592,0.00340185,0.01467399,0.0004129,0.00087742,0.05251727,0.00118052,0.00343898,0.02701755,3.516e-05,0.0,0.00054448
7289,3206,4.791351,-74.044975,49,40,4,5.688e-05,0.00090216,0.0001261,2.455e-05,0.00621498,4.683e-05,0.00065129,0.00570962,0.02893457,0.06465999,0.00163103,0.00011342,0.00288984,0.0129784,0.00887711,0.05190775,0.00354779,0.01810306,0.00011237,5.036e-05,0.07246113,0.0005246,0.00373052,0.03440397,0.03037366,0.05490095,0.00092375,0.0287355,0.09896318,0.00264105,0.0378288,0.05008872,7.342e-05,0.00026525,0.00486146
7289,3206,4.791351,-74.044975,49,40,5,7.928e-05,0.00210316,0.00031016,0.00010948,0.03176164,0.00023934,0.00119029,0.00590227,0.05288041,0.11535585,0.00401161,0.00057963,0.00402826,0.06757351,0.01444961,0.12365016,0.01813096,0.09251564,0.00011616,9.203e-05,0.17822196,0.00122296,0.00665538,0.08020424,0.13546653,0.09386291,0.0047208,0.09936779,0.10230243,0.01349708,0.10030363,0.06982065,0.00013099,0.00221844,0.02168213
7289,3206,4.791351,-74.044975,49,40,6,1.517e-05,0.00211444,0.00022356,0.00017903,0.05661175,0.00042659,0.00128293,0.00080565,0.0569961,0.05039229,0.0028915,0.00103313,0.00077062,0.18982257,0.0127649,0.14601692,0.03231651,0.1648993,1.586e-05,9.919e-05,0.12845949,0.00122952,0.00290735,0.08063429,0.22152523,0.09032091,0.00841432,0.2127743,0.01396413,0.02405711,0.1117669,0.01335699,5.722e-05,0.00424398,0.03545628
7289,3206,4.791351,-74.044975,49,40,7,2.76e-06,0.00258243,0.00018775,9.292e-05,0.04189921,0.00031573,0.00100781,0.0002452,0.04477375,0.02307117,0.0024283,0.00076463,0.00014011,0.19682126,0.01127458,0.15361317,0.02391793,0.12204444,4.83e-06,7.792e-05,0.10788103,0.00150166,0.00133108,0.09848135,0.11497443,0.09411591,0.00622757,0.31345822,0.00424995,0.01780503,0.12323017,0.00242854,2.62e-05,0.00566668,0.01840226
7289,3206,4.791351,-74.044975,49,40,8,1.172e-05,0.00299968,0.00025221,6.068e-05,0.04702358,0.00035434,0.00164788,0.000613,0.07320944,0.08135623,0.00326206,0.00085815,0.00059548,0.15206722,0.00978426,0.16099842,0.02684315,0.13697077,1.206e-05,0.00012741,0.14492226,0.00174428,0.00469379,0.11439318,0.07508369,0.10828389,0.00698921,0.30621951,0.01062488,0.01998262,0.10775475,0.01032131,9.238e-05,0.00549788,0.01201754
7289,3206,4.791351,-74.044975,49,40,9,1.689e-05,0.00216518,0.0002674,2.271e-05,0.04986864,0.00037578,0.00151874,0.00119096,0.06747241,0.05191013,0.00345857,0.00091007,0.00085819,0.11822683,0.00764598,0.14580591,0.02846724,0.14525788,2.344e-05,0.00011742,0.15365252,0.00125903,0.00299492,0.08256952,0.02810576,0.11966888,0.00741208,0.25554852,0.02064263,0.02119163,0.0991573,0.01487483,5.894e-05,0.00443689,0.00449847
