FID_LINK,FID_Grilla,LAT,LON,ROW,COL,hora,NHTX_GAS,NHC2P_GAS,NHCC_DSEL,NHC2G_GAS,NHC5_GAS,NHC2G_DSEL,NH>C5_GNV,NHMB_DSEL,NHB_DSEL,NHC5_DSEL,NHC5_GNV,NHC2G_GNV,NHC2P_DSEL,NHESP_GAS,NHAL_DSEL,NHCC_GNV,NHTX_GNV,NHINT_GAS,NHC2P_GNV,NHCC_GAS,NHM_GAS,NHC3-C4_GNV,NHAUT_GAS,NHESP_DSEL,NHAT_DSEL,NHC3-C4_DSEL,NHBA_DSEL,NHINT_GNV,NH>C5_DSEL,NHC3-C4_GAS,NHAUT_GNV,NHINT_DSEL,NHBT_DSEL,NH>C5_GAS,NHESP_GNV
7289,3206,4.791351,-74.044975,49,40,0,0.04151214,0.00056146,0.0727207,0.00333365,0.00350283,0.14810267,0.00024129,0.00716454,0.0184631,0.06071363,6.894e-05,0.00025774,0.02494361,0.03290471,0.03320813,0.00054798,0.01080862,0.00077529,4.341e-05,0.03090237,0.08077991,7.325e-05,0.21182208,0.00526658,0.03564514,0.06450823,0.0,0.00045082,0.15026624,0.00372175,0.0013271,0.0295659,0.14231224,0.0122599,2.659e-05
7289,3206,4.791351,-74.044975,49,40,1,0.03126828,0.00056146,0.05477557,0.00357928,0.0032839,0.1590155,0.00018528,0.00716454,0.01582552,0.05691903,6.463e-05,0.00027674,0.02494361,0.02480509,0.0,0.00041275,0.0081414,0.00070481,4.341e-05,0.02327666,0.07139469,5.17e-05,0.1595512,0.00397019,0.0,0.04553522,0.0,0.00040984,0.15481976,0.00262712,0.00099962,0.02687809,0.03794993,0.00941385,2.005e-05
7289,3206,4.791351,-74.044975,49,40,2,0.02985654,0.00105273,0.0523025,0.00298274,0.00240819,0.13251291,0.00016804,0.02149363,0.00263759,0.04174062,4.74e-05,0.00023061,0.04676926,0.02328641,0.0,0.00039412,0.00777382,0.00077529,8.139e-05,0.02222574,0.05295944,0.00010341,0.15234758,0.00372712,0.00274193,0.09107045,0.0,0.00045082,0.16392681,0.00525424,0.00095449,0.0295659,0.03478744,0.00853814,1.882e-05
7289,3206,4.791351,-74.044975,49,40,3,0.02970486,0.00094746,0.05203679,0.00326346,0.00525424,0.14498472,0.00026714,0.01432909,0.01582552,0.09107045,0.00010341,0.00025232,0.04209234,0.02126151,0.0,0.00039212,0.00773433,0.00063433,7.325e-05,0.02211283,0.06435578,9.048e-05,0.15157364,0.00340302,0.00274193,0.07968664,0.0,0.00036886,0.26258646,0.00459746,0.00094964,0.02419028,0.03794993,0.01357346,1.718e-05
7289,3206,4.791351,-74.044975,49,40,4,0.02572633,0.00217564,0.04506722,0.00515838,0.00853814,0.22916939,0.00037917,0.12179723,0.11077863,0.14798948,0.00016804,0.00039883,0.09665648,0.03999188,0.02753845,0.0003396,0.00669843,0.00387645,0.00016821,0.01915113,0.0516187,0.0002456,0.13127254,0.00640092,0.09048382,0.21629231,0.0,0.00225412,0.4948161,0.01247882,0.00082245,0.1478295,0.18974965,0.01926555,3.232e-05
7289,3206,4.791351,-74.044975,49,40,5,0.04451063,0.00410565,0.07797344,0.01066766,0.01247882,0.47392854,0.00057306,0.37972078,0.45102727,0.21629231,0.0002456,0.00082478,0.18240013,0.09162697,0.05669681,0.00058756,0.01158935,0.00754147,0.00031743,0.0331345,0.20982665,0.00045242,0.22712233,0.0146654,0.30435466,0.39843321,0.00391845,0.00438529,0.51151235,0.02298731,0.00142296,0.28759557,0.31941191,0.02911726,7.405e-05
7289,3206,4.791351,-74.044975,49,40,6,0.10355867,0.00610583,0.18141343,0.01438731,0.00722458,0.63917994,0.00026283,0.56599889,0.64357107,0.12522187,0.00014219,0.00111237,0.27126173,0.14832432,0.0372579,0.00136701,0.02696384,0.00993782,0.00047208,0.07709091,0.48903687,0.00037055,0.52842405,0.02374013,0.67725766,0.32633577,0.00602839,0.00577875,0.06982068,0.0188277,0.00331067,0.37898108,0.31941191,0.01335453,0.00011987
7289,3206,4.791351,-74.044975,49,40,7,0.12858496,0.00378983,0.22525432,0.01389604,0.00722458,0.61735428,0.00027145,0.50151801,0.44047692,0.12522187,0.00014219,0.00107439,0.16836935,0.11643206,0.02510859,0.00169737,0.03348,0.00979686,0.00029301,0.09572092,0.53663333,0.00028869,0.65612455,0.0186356,1.1899993,0.25423833,0.00783691,0.00569678,0.02124977,0.01466809,0.00411074,0.37360546,0.32889939,0.01379238,9.41e-05
7289,3206,4.791351,-74.044975,49,40,8,0.14031057,0.00456183,0.24579516,0.01540495,0.0065678,0.68439023,0.00021975,0.44420166,0.53806762,0.11383806,0.00012926,0.00119105,0.20266681,0.09770169,0.01862895,0.00185215,0.03653303,0.00972638,0.0003527,0.10444967,0.46557383,0.00037055,0.71595625,0.0156377,1.24483797,0.32633577,0.00693265,0.0056558,0.05312443,0.0188277,0.0044856,0.37091765,0.34154937,0.01116526,7.896e-05
7289,3206,4.791351,-74.044975,49,40,9,0.13881716,0.00614093,0.24317902,0.01551022,0.00678673,0.68906715,0.00027145,0.45853075,0.44047692,0.11763266,0.00013357,0.00119919,0.27282071,0.0825149,0.02186877,0.00183244,0.03614418,0.00944445,0.00047479,0.10333795,0.38110687,0.00028869,0.70833589,0.01320697,1.02548326,0.25423833,0.00783691,0.00549186,0.10321317,0.01466809,0.00443785,0.36016642,0.29094946,0.01379238,6.669e-05
