FID_LINK,FID_Grilla,LAT,LON,ROW,COL,hora,NHTX_GAS,NHC2P_GAS,NHCC_DSEL,NHC2G_GAS,NHC5_GAS,NHC2G_DSEL,NH>C5_GNV,NHMB_DSEL,NHB_DSEL,NHC5_DSEL,NHC5_GNV,NHC2G_GNV,NHC2P_DSEL,NHESP_GAS,NHAL_DSEL,NHCC_GNV,NHTX_GNV,NHINT_GAS,NHC2P_GNV,NHCC_GAS,NHM_GAS,NHC3-C4_GNV,NHAUT_GAS,NHESP_DSEL,NHAT_DSEL,NHC3-C4_DSEL,NHBA_DSEL,NHINT_GNV,NH>C5_DSEL,NHC3-C4_GAS,NHAUT_GNV,NHINT_DSEL,NHBT_DSEL,NH>C5_GAS,NHESP_GNV
7289,3206,4.791351,-74.044975,49,40,0,2.539e-05,3.4e-07,4.386e-05,2.04e-06,2.14e-06,8.845e-05,0.0,4.28e-06,1.103e-05,3.626e-05,0.0,0.0,1.49e-05,2.012e-05,2.002e-05,0.0,0.0,4.7e-07,0.0,1.895e-05,4.936e-05,0.0,0.00012963,3.15e-06,2.13e-05,3.853e-05,0.0,0.0,8.975e-05,2.28e-06,0.0,1.766e-05,8.5e-05,7.5e-06,0.0
7289,3206,4.791351,-74.044975,49,40,1,1.913e-05,3.4e-07,3.303e-05,2.19e-06,2.01e-06,9.497e-05,0.0,4.28e-06,9.46e-06,3.4e-05,0.0,0.0,1.49e-05,1.517e-05,0.0,0.0,0.0,4.3e-07,0.0,1.427e-05,4.363e-05,0.0,9.764e-05,2.37e-06,0.0,2.72e-05,0.0,0.0,9.247e-05,1.61e-06,0.0,1.605e-05,2.267e-05,5.76e-06,0.0
7289,3206,4.791351,-74.044975,49,40,2,1.826e-05,6.4e-07,3.154e-05,1.83e-06,1.47e-06,7.914e-05,0.0,1.284e-05,1.58e-06,2.493e-05,0.0,0.0,2.793e-05,1.424e-05,0.0,0.0,0.0,4.7e-07,0.0,1.363e-05,3.236e-05,0.0,9.323e-05,2.23e-06,1.64e-06,5.439e-05,0.0,0.0,9.791e-05,3.21e-06,0.0,1.766e-05,2.078e-05,5.22e-06,0.0
7289,3206,4.791351,-74.044975,49,40,3,1.817e-05,5.8e-07,3.138e-05,2e-06,3.21e-06,8.659e-05,0.0,8.56e-06,9.46e-06,5.439e-05,0.0,0.0,2.514e-05,1.3e-05,0.0,0.0,0.0,3.9e-07,0.0,1.356e-05,3.933e-05,0.0,9.276e-05,2.03e-06,1.64e-06,4.76e-05,0.0,0.0,0.00015684,2.81e-06,0.0,1.445e-05,2.267e-05,8.3e-06,0.0
7289,3206,4.791351,-74.044975,49,40,4,1.574e-05,1.33e-06,2.718e-05,3.16e-06,5.22e-06,0.00013687,0.0,7.275e-05,6.619e-05,8.839e-05,0.0,0.0,5.773e-05,2.445e-05,1.66e-05,0.0,0.0,2.37e-06,0.0,1.174e-05,3.154e-05,0.0,8.034e-05,3.82e-06,5.406e-05,0.00012919,0.0,0.0,0.00029554,7.63e-06,0.0,8.83e-05,0.00011334,1.178e-05,0.0
7289,3206,4.791351,-74.044975,49,40,5,2.723e-05,2.51e-06,4.702e-05,6.53e-06,7.63e-06,0.00028304,0.0,0.00022681,0.0002695,0.00012919,0.0,0.0,0.00010893,5.603e-05,3.419e-05,0.0,0.0,4.61e-06,0.0,2.032e-05,0.00012822,0.0,0.00013899,8.76e-06,0.00018183,0.00023798,2.41e-06,0.0,0.00030552,1.406e-05,0.0,0.00017178,0.00019079,1.781e-05,0.0
7289,3206,4.791351,-74.044975,49,40,6,6.335e-05,3.74e-06,0.00010941,8.8e-06,4.42e-06,0.00038174,0.0,0.00033807,0.00038454,7.479e-05,0.0,0.0,0.00016201,9.069e-05,2.247e-05,0.0,0.0,6.08e-06,0.0,4.727e-05,0.00029885,0.0,0.00032338,1.418e-05,0.00040461,0.00019491,3.71e-06,0.0,4.17e-05,1.151e-05,0.0,0.00022637,0.00019079,8.17e-06,0.0
7289,3206,4.791351,-74.044975,49,40,7,7.865e-05,2.32e-06,0.00013584,8.5e-06,4.42e-06,0.0003687,0.0,0.00029956,0.00026319,7.479e-05,0.0,0.0,0.00010055,7.119e-05,1.514e-05,0.0,0.0,5.99e-06,0.0,5.869e-05,0.00032793,0.0,0.00040153,1.113e-05,0.00071094,0.00015185,4.82e-06,0.0,1.269e-05,8.97e-06,0.0,0.00022316,0.00019645,8.43e-06,0.0
7289,3206,4.791351,-74.044975,49,40,8,8.583e-05,2.79e-06,0.00014823,9.43e-06,4.02e-06,0.00040874,0.0,0.00026532,0.0003215,6.799e-05,0.0,0.0,0.00012104,5.974e-05,1.123e-05,0.0,0.0,5.95e-06,0.0,6.404e-05,0.00028451,0.0,0.00043815,9.34e-06,0.0007437,0.00019491,4.27e-06,0.0,3.173e-05,1.151e-05,0.0,0.00022155,0.00020401,6.83e-06,0.0
7289,3206,4.791351,-74.044975,49,40,9,8.491e-05,3.76e-06,0.00014665,9.49e-06,4.15e-06,0.00041153,0.0,0.00027388,0.00026319,7.026e-05,0.0,0.0,0.00016294,5.045e-05,1.319e-05,0.0,0.0,5.78e-06,0.0,6.336e-05,0.00023289,0.0,0.00043349,7.89e-06,0.00061265,0.00015185,4.82e-06,0.0,6.165e-05,8.97e-06,0.0,0.00021513,0.00017378,8.43e-06,0.0
