FID_LINK,FID_Grilla,LAT,LON,ROW,COL,hora,C5_GNV,INT_GAS,C2G_GNV,ESP_GNV,CC_DSEL,CC_GNV,C2P_GAS,>C5_GAS,C2P_DSEL,C3-C4_DSEL,C2G_GAS,AUT_GNV,C5_GAS,M_GAS,AL_DSEL,B_DSEL,TX_GAS,AUT_GAS,>C5_GNV,C2P_GNV,C2G_DSEL,INT_GNV,C3-C4_GAS,INT_DSEL,ESP_GAS,BT_DSEL,TX_GNV,AT_DSEL,>C5_DSEL,CC_GAS,MB_DSEL,C5_DSEL,C3-C4_GNV,BA_DSEL,ESP_DSEL
7289,3206,4.791351,-74.044975,49,40,0,0.02186005,0.3782564,0.04027988,0.00044001,0.35623436,0.65997053,0.09417528,3.62012702,0.67215401,0.39961792,0.36874263,1.99792005,2.74252047,7.90899224,0.32584136,0.5379272,0.63884575,4.0696523,0.02885527,0.01028731,2.63181431,0.01037124,1.90148086,0.22840267,7.70865042,2.11595537,16.27209879,0.45523346,0.76081105,3.54326251,0.11915753,0.57637201,0.0151563,0.0,0.05119984
7289,3206,4.791351,-74.044975,49,40,1,0.01661364,0.20263736,0.02825387,0.00036605,0.189305,0.35071216,0.08356398,3.72982783,0.59641835,0.4226728,0.25865041,1.06170627,2.08431555,4.1558825,0.00517209,0.19425149,0.33948633,2.16263677,0.02972967,0.00912817,1.8460568,0.00555602,2.01118168,0.12235857,6.41307892,1.05797769,8.64708739,0.0303489,0.78386593,1.88291019,0.05957876,0.43804272,0.01603071,0.0,0.04259483
7289,3206,4.791351,-74.044975,49,40,2,0.01690511,0.44580218,0.02709474,0.00033278,0.15473523,0.28666716,0.15916948,3.94922947,1.13603495,0.53026225,0.24803911,0.8678237,2.12088249,3.14895061,0.0,0.10459696,0.27749133,1.76770873,0.03147848,0.017387,1.77032114,0.01222324,2.52311883,0.26918886,5.83007174,0.77249164,7.06800702,0.04552335,0.82997569,1.53906417,0.0,0.44572768,0.02011125,0.0,0.03872257
7289,3206,4.791351,-74.044975,49,40,3,0.0259406,0.49983881,0.0381065,0.00031059,0.20114396,0.37264538,0.14723177,6.32608054,1.05083233,0.78386593,0.34884644,1.12810441,3.25445762,3.66157048,0.18619506,0.44827267,0.36071749,2.2978861,0.05042386,0.01608297,2.48980994,0.01370485,3.72982783,0.30181782,5.44140029,0.9740112,9.18786834,0.06069779,1.32949809,2.00066567,0.11915753,0.68396145,0.02972967,0.0,0.03614107
7289,3206,4.791351,-74.044975,49,40,4,0.04809212,2.16146513,0.08418205,0.00277314,0.44999894,0.83368162,0.30772766,11.92082229,2.19633425,1.6368965,0.77064557,2.52379332,6.03354503,8.86100057,0.70857565,3.67583589,0.80699658,5.14082699,0.09501836,0.03361486,5.50030257,0.0592642,7.78875812,1.30515812,48.5839312,3.64414536,20.55508391,1.98785278,2.50529698,4.47588594,1.31073281,1.26801841,0.06208255,0.03347828,0.32268809
7289,3206,4.791351,-74.044975,49,40,5,0.0670375,5.03891559,0.20705017,0.01236821,2.29971832,4.26052763,0.56239883,12.32305863,4.01399017,2.92028483,1.89544323,12.89783881,8.4103961,46.13578807,1.15337497,8.75625948,4.12415379,26.27218212,0.09822451,0.06143406,13.52828292,0.13815967,13.89543703,3.04264987,216.68433316,6.23031304,105.04669956,6.87402525,2.58983154,22.87400275,3.47542792,1.76754082,0.1107576,0.28000017,1.4391889
7289,3206,4.791351,-74.044975,49,40,6,0.01282456,5.0659339,0.1492384,0.02022544,4.09900373,7.59393812,0.60617044,1.68207922,4.32639979,1.27570337,1.36620471,22.98902823,1.60894534,129.6012872,1.01890076,10.34015624,7.35086624,46.8273751,0.0134075,0.06621548,9.7509667,0.13890047,6.07011197,3.05896434,354.33880489,5.99520688,187.23458835,14.71921522,0.35350816,40.77048119,3.87261968,0.33813824,0.04838358,0.5356525,2.35347183
7289,3206,4.791351,-74.044975,49,40,7,0.00233174,6.18719394,0.12533128,0.01049726,3.03373395,5.62038715,0.47618203,0.51193715,3.39863791,0.58405697,1.14734667,17.01452353,0.29253552,134.37963668,0.8999428,10.87808344,5.44048602,34.6576405,0.00408054,0.0520161,8.18891863,0.16964378,2.77908741,3.73601512,183.90637424,6.24710633,138.57511846,21.68428716,0.10758944,30.17484275,4.26981144,0.06147968,0.02215152,0.71521782,1.221482
7289,3206,4.791351,-74.044975,49,40,8,0.00990989,7.18687156,0.1683641,0.00685521,3.40476701,6.30777421,0.77860404,1.27984288,5.55710432,2.0595693,1.54129114,19.09544126,1.24327594,103.82383101,0.78098485,11.40106823,6.10587073,38.89635446,0.01020136,0.0850514,11.00060515,0.19705347,9.7999398,4.33965075,120.09947793,7.18753094,155.52319344,21.18353035,0.2689736,33.86529961,3.73360256,0.26128864,0.07811326,0.69391346,0.79768497
7289,3206,4.791351,-74.044975,49,40,9,0.0142819,5.18751632,0.17850651,0.00256608,3.61076494,6.6894122,0.71758907,2.48655189,5.12162426,1.31412817,1.63414,20.25076891,1.79178004,80.71932127,0.61030604,10.32521382,6.475293,41.24969278,0.01981978,0.07838638,11.6632922,0.14223409,6.25294666,3.13237949,44.956331,7.94322929,164.93278197,17.67823271,0.52257729,35.91424503,3.43570874,0.37656304,0.04984092,0.56000034,0.29859405
7289,3206,4.791351,-74.044975,49,40,10,0.04634331,6.14666647,0.27225141,0.00251801,3.73258786,6.91510502,0.78788893,10.53127859,5.62337303,3.64267107,2.49232878,20.93400577,5.81414339,82.93457141,0.5534131,9.8470563,6.69376169,42.64140838,0.0839426,0.08606564,17.788414,0.16853258,17.33272935,3.7115434,44.11420953,6.23031304,170.49741795,15.03787864,2.2132685,37.12594896,3.79318133,1.22190865,0.13815554,0.45347853,0.29300079
7289,3206,4.791351,-74.044975,49,40,11,0.03089554,5.49822693,0.25196658,0.00261415,3.65504266,6.77144244,0.70830419,9.10516795,5.05535555,2.64362627,2.30663105,20.49909795,3.87609559,82.84303215,0.60513395,8.93556854,6.55469756,41.75552527,0.07257538,0.07737214,16.46303989,0.15075331,12.57902721,3.31999597,45.79845248,5.22271524,166.95530272,14.58264518,1.91355506,36.35465054,3.53500668,0.81460577,0.10026478,0.42304373,0.30418731
7289,3206,4.791351,-74.044975,49,40,12,0.05013239,5.93051996,0.21791704,0.0038824,3.64332209,6.74972855,0.84492466,7.45965567,6.03045222,2.91259987,1.99492415,20.43336379,6.2895136,79.84054436,0.68271523,8.39764134,6.5336787,41.62162844,0.05945934,0.09229598,14.23830477,0.16260616,13.85887009,3.58102759,68.01750368,5.79368733,166.41992958,14.56747073,1.56773186,36.23807261,3.53500668,1.32181313,0.11046614,0.36826109,0.45176333
