FID_LINK,FID_Grilla,LAT,LON,ROW,COL,hora,NHTX_GAS,NHC2P_GAS,NHCC_DSEL,NHC2G_GAS,NHC5_GAS,NHC2G_DSEL,NH>C5_GNV,NHMB_DSEL,NHB_DSEL,NHC5_DSEL,NHC5_GNV,NHC2G_GNV,NHC2P_DSEL,NHESP_GAS,NHAL_DSEL,NHCC_GNV,NHTX_GNV,NHINT_GAS,NHC2P_GNV,NHCC_GAS,NHM_GAS,NHC3-C4_GNV,NHAUT_GAS,NHESP_DSEL,NHAT_DSEL,NHC3-C4_DSEL,NHBA_DSEL,NHINT_GNV,NH>C5_DSEL,NHC3-C4_GAS,NHAUT_GNV,NHINT_DSEL,NHBT_DSEL,NH>C5_GAS,NHESP_GNV
7289,3206,4.791351,-74.044975,49,40,0,0.0022305,6.253e-05,0.00019439,0.00037126,0.00169183,0.00035644,1.4e-07,7.87e-06,4.178e-05,4.872e-05,4e-08,1.1e-07,6.003e-05,0.01217564,0.00010241,6.47e-06,0.00015951,0.0004297,2e-08,0.00900664,0.01042919,4e-08,0.013845,1.108e-05,7.879e-05,5.176e-05,0.0,3e-08,0.00012058,0.00179756,1.958e-05,3.556e-05,0.00029943,0.00592139,0.0
7289,3206,4.791351,-74.044975,49,40,1,0.00168009,6.253e-05,0.00014642,0.00039862,0.00158609,0.0003827,1e-07,7.87e-06,3.581e-05,4.567e-05,4e-08,1.2e-07,6.003e-05,0.00917856,0.0,4.87e-06,0.00012015,0.00039064,2e-08,0.00678409,0.0092175,3e-08,0.0104285,8.35e-06,0.0,3.654e-05,0.0,3e-08,0.00012423,0.00126887,1.475e-05,3.233e-05,7.985e-05,0.00454678,0.0
7289,3206,4.791351,-74.044975,49,40,2,0.00160423,0.00011724,0.00013981,0.00033218,0.00116313,0.00031892,9e-08,2.361e-05,5.97e-06,3.349e-05,3e-08,1e-07,0.00011256,0.00861661,0.0,4.65e-06,0.00011472,0.0004297,4e-08,0.00647779,0.00683739,6e-08,0.00995766,7.84e-06,6.06e-06,7.308e-05,0.0,3e-08,0.00013154,0.00253774,1.409e-05,3.556e-05,7.319e-05,0.00412383,0.0
7289,3206,4.791351,-74.044975,49,40,3,0.00159608,0.00010552,0.0001391,0.00036344,0.00253774,0.00034893,1.5e-07,1.574e-05,3.581e-05,7.308e-05,6e-08,1.1e-07,0.0001013,0.00786734,0.0,4.63e-06,0.00011414,0.00035158,3e-08,0.00644489,0.00830873,5e-08,0.00990708,7.16e-06,6.06e-06,6.394e-05,0.0,3e-08,0.00021071,0.00222052,1.401e-05,2.91e-05,7.985e-05,0.00655583,0.0
7289,3206,4.791351,-74.044975,49,40,4,0.00138231,0.0002423,0.00012047,0.00057448,0.00412383,0.00055154,2.1e-07,0.00013379,0.0002507,0.00011875,9e-08,1.8e-07,0.00023262,0.01479809,8.492e-05,4.01e-06,9.885e-05,0.00214852,7e-08,0.00558169,0.00666429,1.4e-07,0.00858017,1.347e-05,0.00020001,0.00017356,0.0,1.7e-07,0.00039706,0.00602713,1.214e-05,0.00017781,0.00039924,0.00930504,0.0
7289,3206,4.791351,-74.044975,49,40,5,0.00239161,0.00045724,0.00020843,0.00118803,0.00602713,0.00114059,3.2e-07,0.00041712,0.00102069,0.00017356,1.4e-07,3.7e-07,0.00043898,0.03390449,0.00017484,6.93e-06,0.00017103,0.00417984,1.4e-07,0.0096572,0.02708992,2.5e-07,0.01484505,3.086e-05,0.00067274,0.00031972,2.242e-05,3.2e-07,0.00041045,0.01110261,2.1e-05,0.00034592,0.00067206,0.0140633,1e-08
7289,3206,4.791351,-74.044975,49,40,6,0.00556434,0.00067999,0.00048493,0.00160228,0.00348939,0.0015383,1.5e-07,0.00062175,0.00145643,0.00010048,8e-08,5e-07,0.00065284,0.05488406,0.0001149,1.613e-05,0.00039792,0.00550802,2.1e-07,0.0224685,0.0631377,2.1e-07,0.03453857,4.995e-05,0.00149701,0.00026186,3.449e-05,4.3e-07,5.603e-05,0.00909356,4.886e-05,0.00045583,0.00067206,0.00645009,1e-08
7289,3206,4.791351,-74.044975,49,40,7,0.00690904,0.00042206,0.00060212,0.00154757,0.00348939,0.00148577,1.5e-07,0.00055091,0.00099682,0.00010048,8e-08,4.8e-07,0.00040521,0.04308305,7.743e-05,2.003e-05,0.00049408,0.00542989,1.3e-07,0.0278983,0.06928269,1.6e-07,0.04288526,3.921e-05,0.00263037,0.00020401,4.484e-05,4.2e-07,1.705e-05,0.00708452,6.066e-05,0.00044937,0.00069202,0.00666156,1e-08
7289,3206,4.791351,-74.044975,49,40,8,0.00753907,0.00050804,0.00065703,0.00171561,0.00317217,0.00164711,1.2e-07,0.00048795,0.00121767,9.135e-05,7e-08,5.3e-07,0.00048775,0.0361523,5.745e-05,2.186e-05,0.00053913,0.00539082,1.6e-07,0.03044234,0.06010847,2.1e-07,0.04679595,3.29e-05,0.00275159,0.00026186,3.966e-05,4.2e-07,4.263e-05,0.00909356,6.62e-05,0.00044613,0.00071863,0.00539269,1e-08
7289,3206,4.791351,-74.044975,49,40,9,0.00745883,0.0006839,0.00065004,0.00172734,0.00327791,0.00165836,1.5e-07,0.00050369,0.00099682,9.439e-05,7e-08,5.3e-07,0.00065659,0.03053277,6.744e-05,2.163e-05,0.0005334,0.00523457,2.1e-07,0.03011832,0.04920326,1.6e-07,0.04629787,2.779e-05,0.00226673,0.00020401,4.484e-05,4.1e-07,8.282e-05,0.00708452,6.549e-05,0.0004332,0.00061217,0.00666156,0.0
