FID_LINK,FID_Grilla,LAT,LON,ROW,COL,hora,NHTX_GAS,NHC2P_GAS,NHCC_DSEL,NHC2G_GAS,NHC5_GAS,NHC2G_DSEL,NH>C5_GNV,NHMB_DSEL,NHB_DSEL,NHC5_DSEL,NHC5_GNV,NHC2G_GNV,NHC2P_DSEL,NHESP_GAS,NHAL_DSEL,NHCC_GNV,NHTX_GNV,NHINT_GAS,NHC2P_GNV,NHCC_GAS,NHM_GAS,NHC3-C4_GNV,NHAUT_GAS,NHESP_DSEL,NHAT_DSEL,NHC3-C4_DSEL,NHBA_DSEL,NHINT_GNV,NH>C5_DSEL,NHC3-C4_GAS,NHAUT_GNV,NHINT_DSEL,NHBT_DSEL,NH>C5_GAS,NHESP_GNV
7289,3206,4.791351,-74.044975,49,40,0,0.00717134,0.00021032,0.00397951,0.00124878,0.00535274,0.00936741,0.00018236,0.00020683,0.00108423,0.00128033,5.21e-05,0.00015379,0.00157767,0.03852232,0.0019367,0.00871884,0.21496992,0.00135953,2.59e-05,0.02854218,0.04966309,5.536e-05,0.04455953,0.00029121,0.00204497,0.00136035,0.0,4.552e-05,0.00316882,0.00568729,0.02639443,0.00093458,0.00786913,0.0187346,2.69e-06
7289,3206,4.791351,-74.044975,49,40,1,0.00540168,0.00021032,0.00299749,0.0013408,0.0050182,0.01005765,0.00014003,0.00020683,0.00092934,0.00120031,4.885e-05,0.00016512,0.00157767,0.0290399,0.0,0.00656731,0.16192225,0.00123594,2.59e-05,0.02149889,0.0438931,3.908e-05,0.03356367,0.00021953,0.0,0.00096025,0.0,4.138e-05,0.00326485,0.00401456,0.01988113,0.00084962,0.00209843,0.0143855,2.02e-06
7289,3206,4.791351,-74.044975,49,40,2,0.0051578,0.00039435,0.00286216,0.00111733,0.00368001,0.00838137,0.000127,0.00062049,0.00015489,0.00088023,3.582e-05,0.0001376,0.00295813,0.02726195,0.0,0.0062708,0.15461159,0.00135953,4.856e-05,0.02052823,0.0325592,7.815e-05,0.0320483,0.00020609,0.00015731,0.0019205,0.0,4.552e-05,0.0034569,0.00802912,0.01898351,0.00093458,0.00192357,0.01304731,1.9e-06
7289,3206,4.791351,-74.044975,49,40,3,0.0051316,0.00035492,0.00284762,0.00122249,0.00802912,0.00917021,0.0002019,0.00041366,0.00092934,0.0019205,7.815e-05,0.00015055,0.00266232,0.02489135,0.0,0.00623894,0.15382614,0.00111234,4.371e-05,0.02042394,0.03956561,6.838e-05,0.03188549,0.00018817,0.00015731,0.00168044,0.0,3.724e-05,0.00553744,0.00702548,0.01888707,0.00076466,0.00209843,0.02074188,1.74e-06
7289,3206,4.791351,-74.044975,49,40,4,0.00444429,0.00081499,0.00246622,0.00193232,0.01304731,0.01449484,0.00028656,0.00351613,0.00650538,0.00312081,0.000127,0.00023796,0.00611347,0.04681944,0.00160605,0.00540333,0.13322335,0.00679765,0.00010037,0.01768845,0.03173492,0.00018562,0.02761489,0.00035394,0.00519108,0.00456119,0.0,0.00022761,0.01043471,0.01906915,0.01635742,0.0046729,0.01049217,0.02944009,3.26e-06
7289,3206,4.791351,-74.044975,49,40,5,0.00768933,0.00153797,0.00426695,0.0039961,0.01906915,0.02997573,0.0004331,0.01096206,0.02648621,0.00456119,0.00018562,0.00049212,0.01153671,0.10726985,0.00330657,0.00934861,0.23049754,0.01322451,0.0001894,0.03060382,0.12900038,0.00034192,0.04777814,0.00081092,0.01746089,0.00840218,0.0003125,0.0004428,0.0107868,0.03512738,0.02830094,0.00909092,0.01766183,0.04449468,7.48e-06
7289,3206,4.791351,-74.044975,49,40,6,0.01789005,0.00228724,0.00992752,0.00538947,0.01104003,0.04042779,0.00019864,0.01633968,0.03779319,0.00264069,0.00010746,0.00066371,0.01715716,0.17364677,0.00217289,0.02175054,0.53627684,0.01742669,0.00028167,0.07120302,0.30065744,0.00028005,0.11116088,0.00131271,0.03885441,0.00688179,0.00048078,0.0005835,0.00147238,0.028771,0.06584512,0.01197963,0.01766183,0.02040734,1.21e-05
7289,3206,4.791351,-74.044975,49,40,7,0.02221341,0.00141967,0.01232663,0.00520544,0.01104003,0.03904733,0.00020515,0.0144782,0.02586665,0.00264069,0.00010746,0.00064105,0.01064927,0.13630975,0.00146434,0.02700684,0.66587506,0.0171795,0.00017483,0.08841015,0.3299195,0.00021818,0.13802434,0.00103045,0.06827051,0.00536139,0.00062501,0.00057522,0.00044812,0.02241461,0.08175744,0.0118097,0.01818644,0.02107643,9.5e-06
7289,3206,4.791351,-74.044975,49,40,8,0.02423904,0.00170886,0.01345069,0.00577068,0.01003639,0.04328732,0.00016608,0.01282355,0.03159758,0.00240062,9.769e-05,0.00071065,0.01281857,0.11438166,0.00108644,0.02946958,0.72659591,0.01705591,0.00021044,0.09647224,0.28623247,0.00028005,0.15061072,0.00086468,0.07141661,0.00688179,0.00055289,0.00057109,0.00112029,0.028771,0.08921286,0.01172474,0.01888591,0.01706187,7.97e-06
7289,3206,4.791351,-74.044975,49,40,9,0.02398105,0.00230038,0.01330752,0.00581011,0.01037094,0.04358313,0.00020515,0.01323721,0.02586665,0.00248064,0.00010095,0.00071551,0.01725576,0.09660213,0.00127539,0.02915592,0.71886231,0.01656154,0.00028329,0.09544542,0.23430261,0.00021818,0.14900768,0.00073028,0.05883219,0.00536139,0.00062501,0.00055453,0.00217657,0.02241461,0.08826332,0.01138489,0.016088,0.02107643,6.73e-06
7289,3206,4.791351,-74.044975,49,40,10,0.02679073,0.00206377,0.01486667,0.00528431,0.00568729,0.03963895,0.00023121,0.01158256,0.02245907,0.00136035,5.536e-05,0.00065076,0.01548089,0.08830501,0.00132263,0.0325719,0.80308605,0.01557279,0.00025415,0.10662805,0.26541931,0.00018562,0.1664658,0.00066755,0.0413713,0.00456119,0.00050481,0.00052143,0.0092184,0.01906915,0.09860447,0.0107052,0.01661261,0.0237528,6.16e-06
7289,3206,4.791351,-74.044975,49,40,11,0.02620017,0.00195861,0.01453896,0.00563923,0.00903276,0.04230127,0.00021492,0.01096206,0.02447264,0.00216056,8.792e-05,0.00069447,0.01469205,0.10726985,0.00179499,0.0318539,0.78538335,0.01211217,0.0002412,0.10427761,0.26583145,0.00019539,0.16279633,0.00081092,0.03680944,0.00480125,0.00048078,0.00040555,0.00797007,0.02007279,0.0964309,0.00832627,0.02885348,0.02208007,7.48e-06
7289,3206,4.791351,-74.044975,49,40,12,0.02316878,0.00141967,0.01285678,0.00433787,0.00702548,0.03253944,0.00024749,0.01116889,0.02416286,0.00168044,6.838e-05,0.0005342,0.01064927,0.09363887,0.00170052,0.02816837,0.69451355,0.01483123,0.00017483,0.09221257,0.34042912,0.00017259,0.1439606,0.00070788,0.04121399,0.0042411,0.00064905,0.0004966,0.0065297,0.01773096,0.08527373,0.01019543,0.02343252,0.02542553,6.53e-06
7289,3206,4.791351,-74.044975,49,40,13,0.02588776,0.00128821,0.01436559,0.00483738,0.01271277,0.03628641,0.00026051,0.01137573,0.0235433,0.00304079,0.00012374,0.00059572,0.00966323,0.12327143,0.00132263,0.03147408,0.77601845,0.01668513,0.00015864,0.10303421,0.35815121,0.00021492,0.16085515,0.00093189,0.04373088,0.00528137,0.00057693,0.00055867,0.00918639,0.02208007,0.09528106,0.01146986,0.01801157,0.02676372,8.59e-06
7289,3206,4.791351,-74.044975,49,40,14,0.02498681,0.0013408,0.01386564,0.00316796,0.00970185,0.02376365,0.00021818,0.00992791,0.02106505,0.0023206,9.444e-05,0.00039013,0.01005765,0.08652706,0.00155881,0.03037871,0.74901126,0.01841544,0.00016512,0.09944839,0.32888915,0.00020841,0.15525703,0.00065411,0.04577585,0.00512133,0.00062501,0.00061661,0.0080661,0.02141098,0.09196507,0.01265932,0.01661261,0.02241461,6.03e-06
7289,3206,4.791351,-74.044975,49,40,15,0.03027763,0.00218208,0.01680161,0.00360174,0.02341825,0.0270176,0.00029633,0.01096206,0.02369819,0.00560146,0.00022795,0.00044355,0.01636832,0.1090478,0.00160605,0.03681124,0.90761049,0.01928059,0.00026872,0.12050606,0.33568949,0.0001791,0.1881319,0.00082436,0.04829273,0.00440114,0.00060097,0.00064558,0.00809811,0.01840006,0.11143819,0.01325406,0.02028487,0.03044373,7.6e-06
