FID_LINK,FID_Grilla,LAT,LON,ROW,COL,hora,C5_GNV,INT_GAS,C2G_GNV,ESP_GNV,CC_DSEL,CC_GNV,C2P_GAS,>C5_GAS,C2P_DSEL,C3-C4_DSEL,C2G_GAS,AUT_GNV,C5_GAS,M_GAS,AL_DSEL,B_DSEL,TX_GAS,AUT_GAS,>C5_GNV,C2P_GNV,C2G_DSEL,INT_GNV,C3-C4_GAS,INT_DSEL,ESP_GAS,BT_DSEL,TX_GNV,AT_DSEL,>C5_DSEL,CC_GAS,MB_DSEL,C5_DSEL,C3-C4_GNV,BA_DSEL,ESP_DSEL
7289,3206,4.791351,-74.044975,49,40,0,0.02186005,0.35198976,0.04027988,0.00044001,0.32268851,0.65997053,0.08675494,3.36874137,0.65832168,0.39128275,0.33968837,1.99792005,2.5520768,6.7203577,0.28738909,0.52479947,0.60067789,3.77100814,0.02885527,0.01028731,2.57765389,0.01037124,1.76943991,0.22369985,7.17335707,2.07189502,16.27209879,0.44414569,0.74494216,3.34173783,0.11669484,0.56435012,0.0151563,0.0,0.05013371
7289,3206,4.791351,-74.044975,49,40,1,0.01661364,0.18856594,0.02825387,0.00036605,0.17147854,0.35071216,0.07697974,3.47082444,0.58414459,0.41385676,0.23827062,1.06170627,1.93957837,3.53129907,0.00456173,0.18951092,0.31920371,2.00393553,0.02972967,0.00912817,1.80806658,0.00555602,1.87152298,0.11983921,5.96775084,1.03594751,8.64708739,0.02960971,0.76751616,1.77581881,0.05834742,0.42890609,0.01603071,0.0,0.04170788
7289,3206,4.791351,-74.044975,49,40,2,0.01690511,0.41484507,0.02709474,0.00033278,0.14016414,0.28666716,0.14662807,3.67499059,1.11265636,0.51920211,0.22849541,0.8678237,1.97360606,2.67569797,0.0,0.10204434,0.2609126,1.63798858,0.03147848,0.017387,1.73388949,0.01222324,2.34791065,0.26364625,5.42522803,0.75640612,7.06800702,0.04441457,0.81266417,1.4515292,0.0,0.43643076,0.02011125,0.0,0.03791625
7289,3206,4.791351,-74.044975,49,40,3,0.0259406,0.46512932,0.0381065,0.00031059,0.18220265,0.37264538,0.13563097,5.88679048,1.02920713,0.76751616,0.32135986,1.12810441,3.02846446,3.11127671,0.16422234,0.43733289,0.33916641,2.12925983,0.05042386,0.01608297,2.43857185,0.01370485,3.47082444,0.29560337,5.06354616,0.95372945,9.18786834,0.05921943,1.30176761,1.8868769,0.11669484,0.66969548,0.02972967,0.0,0.0353885
7289,3206,4.791351,-74.044975,49,40,4,0.04809212,2.01137005,0.08418205,0.00277314,0.40762348,0.83368162,0.28348094,11.09302714,2.15113562,1.60275434,0.70992425,2.52379332,5.61456895,7.52928964,0.62495723,3.58612969,0.75878254,4.76357658,0.09501836,0.03361486,5.38711119,0.0592642,7.2478981,1.27828486,45.21023362,3.56826365,20.55508391,1.9394362,2.45304186,4.22131788,1.2836432,1.24157027,0.06208255,0.02639007,0.31596879
7289,3206,4.791351,-74.044975,49,40,5,0.0670375,4.68900644,0.20705017,0.01236821,2.08315864,4.26052763,0.51808585,11.46733174,3.93138579,2.85937395,1.74609596,12.89783881,7.82636884,39.20208656,1.01726614,8.5425691,3.8777561,24.34424497,0.09822451,0.06143406,13.24988277,0.13815967,12.93052243,2.98000158,201.63764192,6.10057978,105.04669956,6.70659999,2.53581321,21.57303338,3.4035994,1.7306737,0.1107576,0.22071691,1.40922079
7289,3206,4.791351,-74.044975,49,40,6,0.01282456,4.71414856,0.1492384,0.02022544,3.7130091,7.59393812,0.55840857,1.56527377,4.23736629,1.24909493,1.25855762,22.98902823,1.49721839,110.12363919,0.89866112,10.08781197,6.91168851,43.39103184,0.0134075,0.06621548,9.55030039,0.13890047,5.64859664,2.99598014,329.73330383,5.87036922,187.23458835,14.3607108,0.34613474,38.45164142,3.79258219,0.3310854,0.04838358,0.42224105,2.30446569
7289,3206,4.791351,-74.044975,49,40,7,0.00233174,5.75754678,0.12533128,0.01049726,2.74805355,5.62038715,0.43866232,0.47638767,3.32869693,0.57187479,1.05694402,17.01452353,0.27222152,114.1838553,0.79374129,10.61261144,5.11544401,32.11435147,0.00408054,0.0520161,8.0203979,0.16964378,2.58610449,3.65909042,171.13580431,6.11702339,138.57511846,21.15613994,0.10534536,28.45863476,4.18156498,0.06019735,0.02215152,0.56378776,1.19604719
7289,3206,4.791351,-74.044975,49,40,8,0.00990989,6.68780543,0.1683641,0.00685521,3.08414721,6.30777421,0.71725565,1.19096917,5.44274401,2.0166111,1.4198485,19.09544126,1.15694148,88.22025114,0.68882147,11.12283314,5.74107529,36.04201498,0.01020136,0.0850514,10.77422238,0.19705347,9.11942109,4.25029716,111.7596975,7.03786562,155.52319344,20.66757967,0.26336339,31.9391952,3.65643821,0.25583872,0.07811326,0.54699408,0.78107484
7289,3206,4.791351,-74.044975,49,40,9,0.0142819,4.82728813,0.17850651,0.00256608,3.27074674,6.6894122,0.66104822,2.31388296,5.01622574,1.28671828,1.50538154,20.25076891,1.66735684,68.5880951,0.53828433,10.07323421,6.08842642,38.22265778,0.01981978,0.07838638,11.42327192,0.14223409,5.8187351,3.06788367,41.83453617,7.77782813,164.93278197,17.24765782,0.51167744,33.87160592,3.36470112,0.36870875,0.04984092,0.44143382,0.29237645
7289,3206,4.791351,-74.044975,49,40,10,0.04634331,5.71983359,0.27225141,0.00251801,3.38109785,6.91510502,0.72580896,9.7999749,5.50764896,3.56669277,2.29595123,20.93400577,5.41040281,70.47041751,0.48810528,9.6067458,6.29384269,39.51224481,0.0839426,0.08606564,17.42234411,0.16853258,16.12912535,3.63512257,41.05089212,6.10057978,170.49741795,14.67161279,2.16710447,35.01439363,3.71478563,1.19642226,0.13815554,0.35746543,0.28689966
