FID_LINK,FID_Grilla,LAT,LON,ROW,COL,hora,C5_GNV,INT_GAS,C2G_GNV,ESP_GNV,CC_DSEL,CC_GNV,C2P_GAS,>C5_GAS,C2P_DSEL,C3-C4_DSEL,C2G_GAS,AUT_GNV,C5_GAS,M_GAS,AL_DSEL,B_DSEL,TX_GAS,AUT_GAS,>C5_GNV,C2P_GNV,C2G_DSEL,INT_GNV,C3-C4_GAS,INT_DSEL,ESP_GAS,BT_DSEL,TX_GNV,AT_DSEL,>C5_DSEL,CC_GAS,MB_DSEL,C5_DSEL,C3-C4_GNV,BA_DSEL,ESP_DSEL
360,3428,4.827202,-74.07196,53,37,0,7e-08,1.269e-05,1.4e-07,0.0,8.247e-05,2.26e-06,2.85e-06,0.00012146,0.00017424,0.00010357,1.115e-05,6.86e-06,9.201e-05,0.00026755,7.25e-05,0.00013868,2.072e-05,0.0001302,1e-07,4e-08,0.00068225,4e-08,6.38e-05,5.921e-05,0.00025863,0.00054839,5.584e-05,0.00011737,0.00019717,8.837e-05,3.089e-05,0.00014937,5e-08,0.0,1.327e-05
360,3428,4.827202,-74.07196,53,37,1,6e-08,6.8e-06,1e-07,0.0,4.383e-05,1.2e-06,2.53e-06,0.00012514,0.00015461,0.00010954,7.82e-06,3.64e-06,6.993e-05,0.00014059,1.15e-06,5.008e-05,1.101e-05,6.919e-05,1e-07,3e-08,0.00047856,2e-08,6.748e-05,3.172e-05,0.00021516,0.0002742,2.967e-05,7.82e-06,0.00020315,4.696e-05,1.544e-05,0.00011352,5e-08,0.0,1.104e-05
360,3428,4.827202,-74.07196,53,37,2,6e-08,1.496e-05,9e-08,0.0,3.582e-05,9.8e-07,4.81e-06,0.0001325,0.0002945,0.00013742,7.5e-06,2.98e-06,7.116e-05,0.00010653,0.0,2.697e-05,9e-06,5.655e-05,1.1e-07,6e-08,0.00045892,4e-08,8.465e-05,6.978e-05,0.0001956,0.00020021,2.425e-05,1.174e-05,0.0002151,3.839e-05,0.0,0.00011552,7e-08,0.0,1.004e-05
360,3428,4.827202,-74.07196,53,37,3,9e-08,1.677e-05,1.3e-07,0.0,4.657e-05,1.28e-06,4.45e-06,0.00021224,0.00027241,0.00020315,1.055e-05,3.87e-06,0.00010919,0.00012387,4.143e-05,0.00011557,1.17e-05,7.352e-05,1.7e-07,6e-08,0.00064544,5e-08,0.00012514,7.824e-05,0.00018256,0.00025243,3.153e-05,1.565e-05,0.00034455,4.99e-05,3.089e-05,0.00017726,1e-07,0.0,9.37e-06
360,3428,4.827202,-74.07196,53,37,4,1.6e-07,7.252e-05,2.9e-07,1e-08,0.00010418,2.86e-06,9.3e-06,0.00039995,0.00056936,0.00042422,2.33e-05,8.66e-06,0.00020243,0.00029976,0.00015766,0.00094768,2.618e-05,0.00016447,3.3e-07,1.2e-07,0.00142586,2e-07,0.00026132,0.00033834,0.00163002,0.00094445,7.054e-05,0.00051253,0.00064928,0.00011163,0.00033976,0.00032862,2.1e-07,6.26e-06,8.363e-05
360,3428,4.827202,-74.07196,53,37,5,2.3e-07,0.00016906,7.1e-07,4e-08,0.00053241,1.462e-05,1.7e-05,0.00041345,0.00104056,0.00075682,5.73e-05,4.426e-05,0.00028217,0.00156073,0.00025663,0.00225748,0.00013378,0.00084051,3.4e-07,2.1e-07,0.00350697,4.7e-07,0.0004662,0.00078875,0.00726987,0.00161471,0.00036047,0.00177235,0.00067118,0.00057049,0.00090087,0.00045808,3.8e-07,5.239e-05,0.00037299
360,3428,4.827202,-74.07196,53,37,6,4e-08,0.00016997,5.1e-07,7e-08,0.00094896,2.606e-05,1.833e-05,5.643e-05,0.00112154,0.00033061,4.13e-05,7.889e-05,5.398e-05,0.00438429,0.0002267,0.00266583,0.00023845,0.00149813,5e-08,2.3e-07,0.00252777,4.8e-07,0.00020366,0.00079298,0.01188825,0.00155378,0.0006425,0.0037951,9.162e-05,0.00101684,0.00100383,8.763e-05,1.7e-07,0.00010023,0.00060995
360,3428,4.827202,-74.07196,53,37,7,1e-08,0.00020759,4.3e-07,4e-08,0.00070234,1.929e-05,1.44e-05,1.718e-05,0.00088104,0.00015136,3.469e-05,5.839e-05,9.81e-06,0.00454594,0.00020024,0.00280451,0.00017648,0.00110879,1e-08,1.8e-07,0.00212283,5.8e-07,9.324e-05,0.00096849,0.00617015,0.00161906,0.00047552,0.00559093,2.788e-05,0.00075258,0.00110678,1.593e-05,8e-08,0.00013383,0.00031657
360,3428,4.827202,-74.07196,53,37,8,3e-08,0.00024113,5.8e-07,2e-08,0.00078824,2.165e-05,2.354e-05,4.294e-05,0.00144058,0.00053376,4.659e-05,6.553e-05,4.171e-05,0.00351227,0.00017377,0.00293935,0.00019807,0.00124439,3e-08,2.9e-07,0.00285171,6.7e-07,0.00032879,0.00112497,0.0040294,0.00186279,0.00053368,0.00546182,6.971e-05,0.00084462,0.00096779,6.772e-05,2.7e-07,0.00012985,0.00020674
360,3428,4.827202,-74.07196,53,37,9,5e-08,0.00017405,6.1e-07,1e-08,0.00083593,2.296e-05,2.169e-05,8.343e-05,0.00132769,0.00034057,4.94e-05,6.949e-05,6.012e-05,0.00273066,0.00013579,0.00266198,0.00021005,0.00131968,7e-08,2.7e-07,0.0030235,4.9e-07,0.00020979,0.00081201,0.00150831,0.00205865,0.00056597,0.00455804,0.00013543,0.00089572,0.00089057,9.759e-05,1.7e-07,0.00010479,7.739e-05
360,3428,4.827202,-74.07196,53,37,10,1.6e-07,0.00020623,9.3e-07,1e-08,0.00086413,2.373e-05,2.382e-05,0.00035333,0.00145776,0.00094404,7.535e-05,7.184e-05,0.00019507,0.0028056,0.00012313,0.0025387,0.00021714,0.00136421,2.9e-07,3e-07,0.00461134,5.8e-07,0.00058152,0.00096215,0.00148005,0.00161471,0.00058506,0.00387727,0.00057359,0.00092594,0.00098323,0.00031667,4.7e-07,8.486e-05,7.594e-05
360,3428,4.827202,-74.07196,53,37,11,1.1e-07,0.00018447,8.6e-07,1e-08,0.00084618,2.324e-05,2.141e-05,0.00030548,0.00131051,0.00068512,6.973e-05,7.034e-05,0.00013005,0.0028025,0.00013464,0.00230371,0.00021263,0.00133587,2.5e-07,2.7e-07,0.00426776,5.2e-07,0.00042203,0.00086065,0.00153656,0.00135357,0.00057291,0.00375989,0.00049592,0.0009067,0.00091631,0.00021111,3.4e-07,7.916e-05,7.884e-05
360,3428,4.827202,-74.07196,53,37,12,1.7e-07,0.00019897,7.5e-07,1e-08,0.00084347,2.316e-05,2.554e-05,0.00025028,0.00156329,0.00075483,6.031e-05,7.012e-05,0.00021102,0.00270093,0.0001519,0.00216502,0.00021194,0.00133158,2e-07,3.2e-07,0.00369103,5.6e-07,0.00046497,0.00092832,0.00228202,0.00150155,0.00057107,0.00375598,0.00040629,0.0009038,0.00091631,0.00034256,3.8e-07,6.891e-05,0.00011708
360,3428,4.827202,-74.07196,53,37,13,8e-08,0.00019943,8e-07,2e-08,0.00089716,2.464e-05,1.808e-05,0.0003521,0.00110682,0.00074288,6.48e-05,7.458e-05,0.00010183,0.00263776,0.00013349,0.00225363,0.00022544,0.00141635,2.9e-07,2.2e-07,0.0039659,5.6e-07,0.00045761,0.00093043,0.00358169,0.00154507,0.00060743,0.0037012,0.0005716,0.00096133,0.00088543,0.00016531,3.7e-07,6.378e-05,0.00018377
360,3428,4.827202,-74.07196,53,37,14,1e-07,0.00015728,7.9e-07,3e-08,0.00094288,2.589e-05,2.45e-05,0.00030916,0.00149948,0.00070106,6.408e-05,7.838e-05,0.00012391,0.0026582,0.00012889,0.00215347,0.00023692,0.00148852,2.5e-07,3e-07,0.00392172,4.4e-07,0.00043185,0.00073377,0.0052117,0.00144932,0.00063838,0.00401029,0.00050189,0.00101032,0.00096264,0.00020116,3.5e-07,6.891e-05,0.0002674
360,3428,4.827202,-74.07196,53,37,15,8e-08,0.00016226,8.5e-07,6e-08,0.00083475,2.292e-05,2.406e-05,0.00031039,0.00147249,0.00073292,6.829e-05,6.939e-05,0.00010428,0.00304838,0.00013694,0.00232682,0.00020975,0.00131782,2.5e-07,3e-07,0.00417941,4.5e-07,0.00045148,0.00075703,0.01071898,0.00149284,0.00056517,0.00413158,0.00050389,0.00089446,0.00092146,0.00016929,3.7e-07,7.802e-05,0.00054996
