FID_LINK,FID_Grilla,LAT,LON,ROW,COL,hora,NHTX_GAS,NHC2P_GAS,NHCC_DSEL,NHC2G_GAS,NHC5_GAS,NHC2G_DSEL,NH>C5_GNV,NHMB_DSEL,NHB_DSEL,NHC5_DSEL,NHC5_GNV,NHC2G_GNV,NHC2P_DSEL,NHESP_GAS,NHAL_DSEL,NHCC_GNV,NHTX_GNV,NHINT_GAS,NHC2P_GNV,NHCC_GAS,NHM_GAS,NHC3-C4_GNV,NHAUT_GAS,NHESP_DSEL,NHAT_DSEL,NHC3-C4_DSEL,NHBA_DSEL,NHINT_GNV,NH>C5_DSEL,NHC3-C4_GAS,NHAUT_GNV,NHINT_DSEL,NHBT_DSEL,NH>C5_GAS,NHESP_GNV
360,3428,4.827202,-74.07196,53,37,0,813.34762115,13.54422138,943.17596442,80.41881447,93.53407028,532.33246261,40.96744751,9.22229287,78.17518968,85.21035892,11.704985,38.39650868,89.6559937,695.23419927,456.70632079,95.12036918,1066.03109446,23.68962774,6.46678041,3906.04706927,800.73760004,12.43654656,8466.74833015,18.60391419,145.18256622,90.53600636,0.0,11.19791391,298.23625623,99.37994967,126.17736096,44.94381691,502.71027901,327.36924597,0.66053536
360,3428,4.827202,-74.07196,53,37,1,612.63957973,13.54422138,710.43046224,86.34441133,87.68819088,571.55695986,31.45714719,9.22229287,67.00730544,79.88471149,10.97342344,41.22572511,89.6559937,524.09962714,0.0,71.64772046,802.96889633,21.53602522,6.46678041,2942.16024329,707.70584568,8.77873875,6377.42707273,14.02448916,0.0,63.90776919,0.0,10.17992174,229.00283961,70.15055271,95.04084524,40.85801538,134.0560744,251.37281387,0.49794204
360,3428,4.827202,-74.07196,53,37,2,584.9793599,25.3954151,678.35505704,71.95367611,64.30467332,476.29746655,28.53090094,27.6668786,11.16788424,58.58212176,8.04717719,34.35477092,168.10498819,492.01189487,0.0,68.41287935,766.71544989,23.68962774,12.12521327,2809.32390395,524.96489961,17.5574775,6089.49099966,13.16584697,11.16788971,127.81553838,0.0,11.19791391,207.70024988,140.30110541,90.74982201,44.94381691,122.88473487,227.9892963,0.46745579
360,3428,4.827202,-74.07196,53,37,3,582.00760074,22.85587359,674.90893913,78.7257868,140.30110541,521.1254634,45.35681688,18.44458573,67.00730544,127.81553838,17.5574775,37.58816113,151.29448937,449.22825183,0.0,68.06533444,762.82045151,19.3824227,10.91269194,2795.05223112,637.93202991,15.36279282,6058.5557191,12.02099071,11.16788971,111.83859609,0.0,9.16192956,330.19014083,122.76346724,90.28880298,36.77221384,134.0560744,362.44452232,0.42680746
360,3428,4.827202,-74.07196,53,37,4,504.05607213,52.48385787,584.51461539,124.43753397,227.9892963,823.71444215,64.37741751,156.77897871,469.05113807,207.70024988,28.53090094,59.41354501,347.4169756,844.97694988,378.7320709,58.94896403,660.65164791,118.44813873,25.05877408,2420.6952748,511.67464899,41.69900907,5247.0995132,22.6109111,368.5403604,303.56190366,0.0,55.98956955,468.65697408,333.21512536,78.19591931,224.71908457,670.28037201,514.43738652,0.80280452
360,3428,4.827202,-74.07196,53,37,5,872.09701368,99.04211888,1011.30306472,257.34020631,333.21512536,1703.46388037,97.29768783,488.78152187,1909.708205,303.56190366,41.69900907,122.86882777,655.60945395,1935.95984719,779.74249891,101.99106476,1143.03221623,230.43546988,47.28833174,4188.18706274,2079.92422252,76.81396408,9078.31503077,51.80474568,1239.63575772,559.19298043,144.74393899,108.92516258,708.31110855,613.81733619,135.29135246,437.18076452,1128.30529288,777.50195917,1.83933693
360,3428,4.827202,-74.07196,53,37,6,2029.02571256,147.29340756,2352.90327719,347.07067299,192.91401994,2297.43483866,44.62525532,728.56113638,2724.96375451,175.74636528,24.14153157,165.71124798,975.00893152,3133.90185209,512.40221357,237.29297268,2659.38504621,303.65795564,70.32623695,9744.2590744,4847.61891479,62.91429439,21121.657723,83.8607209,2758.46875816,458.00567921,222.68298305,143.53689649,324.86449339,502.74562773,314.76960536,576.0980168,1128.30529288,356.59864293,2.97749017
360,3428,4.827202,-74.07196,53,37,7,2519.36597321,91.42349435,2921.51273296,335.21947928,192.91401994,2218.98584415,46.08837845,645.56050059,1865.03666804,175.74636528,24.14153157,160.05281512,605.1779575,2460.05947433,345.31453523,294.63788327,3302.05977853,299.3507506,43.65076776,12099.08509,5319.42281191,49.0146247,26225.9790181,65.82923484,4846.86413377,356.81837799,289.48787797,141.50091214,335.51578826,391.67391928,390.83774456,567.92641373,1161.81931148,368.29040171,2.33727897
360,3428,4.827202,-74.07196,53,37,8,2749.10581561,110.04679875,3187.9241563,371.61957425,175.37638177,2459.93632724,37.30963969,571.78215766,2278.24838492,159.76942298,21.94684688,177.43228747,728.45494884,2064.31077629,256.20110678,321.50577844,3603.17311465,297.19714807,52.54259082,13202.3951813,4615.03952889,62.91429439,28617.5141704,55.23931445,5070.22192797,458.00567921,256.08543051,140.48291997,271.60801907,502.74562773,426.47806152,563.84061219,1206.50466961,298.13984901,1.96128192
360,3428,4.827202,-74.07196,53,37,9,2719.84541777,148.1399214,3153.99314916,374.15911576,181.22226116,2476.74682605,46.08837845,590.22674339,1865.03666804,165.09507041,22.67840844,178.6448088,980.61243113,1743.43345354,300.75782101,318.08379776,3564.8223614,288.58273799,70.73041072,13061.874095,3777.75373963,49.0146247,28312.9206386,46.65289251,4176.79075122,356.81837799,289.48787797,136.41095127,335.51578826,391.67391928,421.93879727,547.49740604,1027.76323708,368.29040171,1.65641944
360,3428,4.827202,-74.07196,53,37,10,3038.50943797,132.90267234,3523.5230239,340.2985623,99.37994967,2252.60684179,51.94087095,516.44840047,1619.34321477,90.53600636,12.43654656,162.47785778,879.74943822,1593.69070293,311.89699957,355.35130609,3982.48603359,271.35391781,63.45528276,14592.23655,4279.46070065,41.69900907,31630.1345712,42.64589561,2937.15499351,303.56190366,233.81713221,128.26701388,378.12096772,333.21512536,471.374222,514.81099374,1061.27725568,415.05743685,1.51415029
360,3428,4.827202,-74.07196,53,37,11,2971.53055855,126.13056165,3445.85282785,363.15443588,157.83874359,2403.90133118,48.28306313,488.78152187,1764.52570989,143.79248068,19.75216219,173.39054972,834.92144136,1935.95984719,423.28878512,347.51817844,3894.69876246,211.05304718,60.22189256,14270.575001,4286.10582596,43.89369376,30932.9009396,51.80474568,2613.28619194,319.53884596,222.68298305,99.76323302,351.49273056,350.75276354,460.98356243,400.40855068,1843.27102302,385.82803989,1.83933693
360,3428,4.827202,-74.07196,53,37,12,2627.72088396,91.42349435,3047.16349382,279.34956606,122.76346724,1849.15487013,55.59867876,498.00381474,1742.18994141,111.83859609,15.36279282,133.37734594,605.1779575,1689.95389976,401.01042801,307.30990547,3444.0774117,258.43230267,43.65076776,12619.4522376,5488.87350735,38.77276282,27353.9269408,45.22182219,2925.9871038,282.25931393,300.62202712,122.15906084,404.74920488,309.83160779,407.64720749,490.29618451,1496.95949748,444.28683381,1.60560903
360,3428,4.827202,-74.07196,53,37,13,2936.09804554,82.95835598,3404.76449887,311.51709185,222.14341691,2062.08785518,58.52492501,507.22610761,1697.51840445,202.37460244,27.79933938,148.73594941,549.14296143,2224.74943765,311.89699957,343.37437372,3848.25839719,290.73634051,39.60903001,14100.4127481,5774.61389576,48.28306313,30564.0572097,59.53252542,3104.67333914,351.49273056,267.21957966,137.42894345,426.05179462,385.82803989,455.48679712,551.58320758,1150.64797195,467.67035138,2.11371316
360,3428,4.827202,-74.07196,53,37,14,2833.91524998,86.34441133,3286.27105985,204.00983461,169.53050238,1350.44340516,49.0146247,442.67005755,1518.83225661,154.44377555,21.21528532,97.40587991,571.55695986,1561.60297066,367.59289234,331.42417557,3714.33037606,320.88677582,41.22572511,13609.6867672,5302.80999863,46.81994001,29500.3594852,41.78725342,3249.85590537,340.84143569,289.48787797,151.68083388,356.81837799,374.13628111,439.63483525,608.78442911,1061.27725568,391.67391928,1.48366404
360,3428,4.827202,-74.07196,53,37,15,3433.98200251,140.52129687,3982.12179244,231.94479122,409.21155746,1535.35889217,66.5721022,488.78152187,1708.68628869,372.79532029,51.20930938,110.7436145,930.18093467,1968.04757947,378.7320709,401.6015137,4500.82043308,335.96199348,67.09284674,16491.4668562,5412.45456627,40.23588594,35746.9065249,52.66338787,3428.54214072,292.9106088,278.35372882,158.80677909,484.63391638,321.52336657,532.72521538,637.38503987,1295.87538588,531.9750247,1.86982318
360,3428,4.827202,-74.07196,53,37,16,3527.93531119,101.58166039,4091.07213573,165.91671196,204.60577873,1098.28592287,41.69900907,433.44776468,1485.32860389,186.39766014,25.60465469,79.21806001,672.41995278,1497.42750611,345.31453523,412.58927979,4623.96230487,329.50118591,48.50085307,16942.6712816,5259.61668411,29.26246251,36724.9373185,40.06996903,2702.62930962,213.02589731,278.35372882,155.75280257,303.56190366,233.83517569,547.30050919,625.12763525,1027.76323708,333.21512536,1.42269155
360,3428,4.827202,-74.07196,53,37,17,3446.78342656,103.27468806,3996.96660807,148.1399214,192.91401994,980.61243113,32.92027032,451.89235041,1340.14610878,175.74636528,24.14153157,70.73041072,683.62695199,1230.02973716,345.31453523,403.09863025,4517.59888764,305.81155816,49.30920062,16552.9448314,5203.13311896,21.94684688,35880.166195,32.91461742,3071.16967001,159.76942298,278.35372882,144.55488866,239.65413447,175.37638177,534.71114349,580.18381834,837.85046501,263.06457265,1.16863949
360,3428,4.827202,-74.07196,53,37,18,3465.75696578,71.10716227,4018.96874553,113.4328541,128.60934663,750.86894727,30.72558563,479.55922901,1451.82495117,117.16424352,16.09435438,54.15928593,470.69396694,1272.8133802,423.28878512,405.31757085,4542.4669542,297.19714807,33.95059715,16644.0639733,4100.04231724,7.31561563,36077.6760634,34.05947368,3182.84856711,53.25647433,189.2805356,140.48291997,223.67719217,58.45879392,537.65457265,563.84061219,1050.10591615,245.52693448,1.20928782
360,3428,4.827202,-74.07196,53,37,19,3364.25996078,84.65138366,3901.27056446,124.43753397,157.83874359,823.71444215,27.06777782,488.78152187,1206.1314979,143.79248068,19.75216219,59.41354501,560.34996065,1358.38066626,367.59289234,393.44757537,4409.43777884,279.9683279,40.41737756,16156.6314554,3731.23786245,13.89966969,35021.1172496,36.34918619,2970.65866264,101.18730122,256.08543051,132.33898258,197.04895501,111.07170845,521.90899979,531.15419989,1061.27725568,216.29753751,1.29058448
360,3428,4.827202,-74.07196,53,37,20,2997.59060039,62.64202391,3476.07263109,69.4141346,128.60934663,459.48696773,32.92027032,451.89235041,926.9343919,117.16424352,16.09435438,33.1422496,414.65897088,1262.11746944,401.01042801,350.56587999,3928.85490209,232.58907241,29.90885939,14395.7265934,3485.36822592,13.16810813,31204.1795541,33.77325961,2713.79719933,95.86165379,256.08543051,109.94315476,239.65413447,105.22582906,465.02634465,441.26656606,1072.44859521,263.06457265,1.19912573
360,3428,4.827202,-74.07196,53,37,21,2400.26701013,30.47449812,2783.40293042,49.94431636,52.61291453,330.60647678,21.94684688,350.44712889,770.58401255,47.93082689,6.58405406,23.84625276,201.72598583,984.02378973,434.42796368,280.70935254,3145.96022816,133.52335638,14.55025592,11527.1203562,2957.08076365,12.43654656,24986.1881581,26.33169393,2401.09628747,90.53600636,267.21957966,63.11551477,159.76942298,99.37994967,372.36152054,253.31969533,1083.61993475,175.37638177,0.93491159
360,3428,4.827202,-74.07196,53,37,22,1801.8004356,27.08844277,2089.40779977,119.35845095,181.22226116,790.09344451,36.57807813,285.89107883,580.72998047,165.09507041,22.67840844,56.98850235,179.31198741,1187.24609413,824.29921313,210.71915397,2361.56747794,103.37292107,12.93356082,8653.02501402,2481.95430387,24.87309313,18756.2985774,31.76976116,2032.55592707,181.07201271,523.30501018,48.86362434,266.28237164,198.75989934,279.51938142,196.11847381,1228.84734868,292.29396961,1.12799116
360,3428,4.827202,-74.07196,53,37,23,1191.44682446,22.85587359,1381.62819746,100.73514655,128.60934663,666.81645317,46.81994001,92.22292866,223.3576848,117.16424352,16.09435438,48.09667929,151.29448937,823.58512836,668.35071335,139.33877576,1561.59473421,45.22565297,10.91269194,5721.8429806,1451.95988058,10.97342344,12402.6678743,22.03848297,926.93484586,79.88471149,111.34149153,21.37783565,340.84143569,87.68819088,184.8331662,85.80183229,1362.90342308,374.13628111,0.78248035
