FID_LINK,FID_Grilla,LAT,LON,ROW,COL,hora,NHTX_GAS,NHC2P_GAS,NHCC_DSEL,NHC2G_GAS,NHC5_GAS,NHC2G_DSEL,NH>C5_GNV,NHMB_DSEL,NHB_DSEL,NHC5_DSEL,NHC5_GNV,NHC2G_GNV,NHC2P_DSEL,NHESP_GAS,NHAL_DSEL,NHCC_GNV,NHTX_GNV,NHINT_GAS,NHC2P_GNV,NHCC_GAS,NHM_GAS,NHC3-C4_GNV,NHAUT_GAS,NHESP_DSEL,NHAT_DSEL,NHC3-C4_DSEL,NHBA_DSEL,NHINT_GNV,NH>C5_DSEL,NHC3-C4_GAS,NHAUT_GNV,NHINT_DSEL,NHBT_DSEL,NH>C5_GAS,NHESP_GNV
360,3428,4.827202,-74.07196,53,37,0,0.00214045,6.928e-05,0.00324361,0.00041133,0.00147856,0.00792992,1.828e-05,0.00017509,0.00091631,0.00108386,5.22e-06,1.542e-05,0.00133557,0.01064078,0.00155582,0.000874,0.02154905,0.00037553,2.6e-06,0.00787013,0.01228274,5.55e-06,0.0133189,0.00024653,0.00172831,0.0011516,0.0,4.56e-06,0.0037935,0.00157097,0.00264583,0.00079116,0.00666156,0.00517495,2.7e-07
360,3428,4.827202,-74.07196,53,37,1,0.00161226,6.928e-05,0.0024432,0.00044164,0.00138615,0.00851423,1.404e-05,0.00017509,0.00078541,0.00101612,4.9e-06,1.655e-05,0.00133557,0.00802151,0.0,0.00065832,0.01623144,0.00034139,2.6e-06,0.00592803,0.0108557,3.92e-06,0.01003222,0.00018584,0.0,0.00081289,0.0,4.15e-06,0.00291287,0.00110892,0.00199293,0.00071924,0.00177642,0.00397362,2e-07
360,3428,4.827202,-74.07196,53,37,2,0.00153946,0.00012989,0.00233289,0.00036803,0.00101651,0.00709519,1.273e-05,0.00052528,0.0001309,0.00074515,3.59e-06,1.379e-05,0.00250419,0.0075304,0.0,0.0006286,0.0154986,0.00037553,4.87e-06,0.00566039,0.00805258,7.83e-06,0.00957927,0.00017446,0.00013295,0.00162579,0.0,4.56e-06,0.0026419,0.00221784,0.00190295,0.00079116,0.00162838,0.00360398,1.9e-07
360,3428,4.827202,-74.07196,53,37,3,0.00153164,0.0001169,0.00232104,0.00040267,0.00221784,0.00776298,2.024e-05,0.00035018,0.00078541,0.00162579,7.83e-06,1.509e-05,0.00225377,0.00687558,0.0,0.00062541,0.01541987,0.00030726,4.38e-06,0.00563163,0.00978542,6.86e-06,0.00953061,0.00015929,0.00013295,0.00142256,0.0,3.73e-06,0.00419995,0.00194061,0.00189328,0.00064732,0.00177642,0.00572941,1.7e-07
360,3428,4.827202,-74.07196,53,37,4,0.0013265,0.00026845,0.00201017,0.00063648,0.00360398,0.01227051,2.873e-05,0.00297656,0.00549788,0.0026419,1.273e-05,2.385e-05,0.00517532,0.01293264,0.00129019,0.00054164,0.0133546,0.00187767,1.006e-05,0.00487736,0.00784872,1.861e-05,0.00825412,0.00029962,0.00438725,0.00386124,0.0,2.282e-05,0.00596122,0.00526736,0.0016397,0.00395582,0.00888208,0.00813206,3.3e-07
360,3428,4.827202,-74.07196,53,37,5,0.00229506,0.00050659,0.00347791,0.00131626,0.00526736,0.02537575,4.342e-05,0.00927987,0.02238422,0.00386124,1.861e-05,4.933e-05,0.00976632,0.02963048,0.00265627,0.00093713,0.02310557,0.00365292,1.899e-05,0.0084386,0.03190455,3.428e-05,0.01428094,0.00068648,0.0147571,0.00711281,0.00023386,4.439e-05,0.00900956,0.00970303,0.00283695,0.00769586,0.01495149,0.0122905,7.5e-07
360,3428,4.827202,-74.07196,53,37,6,0.00533969,0.00075339,0.00809172,0.00177522,0.00304952,0.03422387,1.991e-05,0.01383226,0.03194006,0.00223546,1.077e-05,6.653e-05,0.01452428,0.04796536,0.00174555,0.00218032,0.05375755,0.00481367,2.824e-05,0.0196333,0.074359,2.807e-05,0.03322612,0.00111126,0.03283788,0.00582573,0.00035979,5.849e-05,0.00413221,0.00794724,0.00660046,0.01014127,0.01495149,0.005637,1.21e-06
360,3428,4.827202,-74.07196,53,37,7,0.0066301,0.00046762,0.01004718,0.0017146,0.00304952,0.03305525,2.057e-05,0.01225644,0.02186061,0.00223546,1.077e-05,6.426e-05,0.00901507,0.03765199,0.00117635,0.00270723,0.06674876,0.00474539,1.753e-05,0.02437794,0.08159613,2.187e-05,0.04125564,0.00087232,0.05769895,0.00453865,0.00046772,5.766e-05,0.00426769,0.00619146,0.00819554,0.00999743,0.0153956,0.00582182,9.5e-07
360,3428,4.827202,-74.07196,53,37,8,0.0072347,0.00056288,0.01096338,0.00190079,0.00277229,0.03664458,1.665e-05,0.0108557,0.02670398,0.00203223,9.79e-06,7.124e-05,0.01085147,0.03159493,0.00087277,0.0029541,0.07283555,0.00471125,2.11e-05,0.02660095,0.0707914,2.807e-05,0.04501772,0.00073199,0.06035789,0.00582573,0.00041376,5.725e-05,0.0034548,0.00794724,0.00894289,0.0099255,0.01598774,0.0047129,8e-07
360,3428,4.827202,-74.07196,53,37,9,0.00715769,0.00075772,0.01084669,0.00191378,0.0028647,0.036895,2.057e-05,0.01120588,0.02186061,0.00209997,1.012e-05,7.173e-05,0.01460775,0.0266838,0.00102456,0.00292266,0.07206032,0.00457469,2.84e-05,0.02631782,0.05794803,2.187e-05,0.04453857,0.00061821,0.04972214,0.00453865,0.00046772,5.559e-05,0.00426769,0.00619146,0.00884771,0.00963781,0.01361918,0.00582182,6.8e-07
