FID_LINK,FID_Grilla,LAT,LON,ROW,COL,hora,C5_GNV,INT_GAS,C2G_GNV,ESP_GNV,CC_DSEL,CC_GNV,C2P_GAS,>C5_GAS,C2P_DSEL,C3-C4_DSEL,C2G_GAS,AUT_GNV,C5_GAS,M_GAS,AL_DSEL,B_DSEL,TX_GAS,AUT_GAS,>C5_GNV,C2P_GNV,C2G_DSEL,INT_GNV,C3-C4_GAS,INT_DSEL,ESP_GAS,BT_DSEL,TX_GNV,AT_DSEL,>C5_DSEL,CC_GAS,MB_DSEL,C5_DSEL,C3-C4_GNV,BA_DSEL,ESP_DSEL
360,3428,4.827202,-74.07196,53,37,0,2.83e-06,7.56e-05,5.21e-06,6e-08,4.839e-05,8.532e-05,1.702e-05,0.00072351,0.00010586,6.292e-05,6.662e-05,0.00025828,0.00054811,0.00124237,4.196e-05,8.413e-05,0.00012571,0.00079239,3.73e-06,1.33e-06,0.00041449,1.34e-06,0.00038002,3.597e-05,0.00154062,0.00033316,0.00210359,7.12e-05,0.00011979,0.00052653,1.876e-05,9.075e-05,1.96e-06,0.0,8.06e-06
360,3428,4.827202,-74.07196,53,37,1,2.15e-06,4.05e-05,3.65e-06,5e-08,2.571e-05,4.534e-05,1.51e-05,0.00074543,9.393e-05,6.655e-05,4.673e-05,0.00013725,0.00041656,0.00065282,6.7e-07,3.038e-05,6.68e-05,0.00042108,3.84e-06,1.18e-06,0.00029074,7.2e-07,0.00040195,1.927e-05,0.00128169,0.00016658,0.00111786,4.75e-06,0.00012342,0.0002798,9.38e-06,6.897e-05,2.07e-06,0.0,6.71e-06
360,3428,4.827202,-74.07196,53,37,2,2.19e-06,8.91e-05,3.5e-06,4e-08,2.102e-05,3.706e-05,2.876e-05,0.00078928,0.00017892,8.349e-05,4.482e-05,0.00011219,0.00042387,0.00049465,0.0,1.636e-05,5.46e-05,0.00034419,4.07e-06,2.25e-06,0.00027881,1.58e-06,0.00050426,4.239e-05,0.00116518,0.00012163,0.00091372,7.12e-06,0.00013068,0.00022871,0.0,7.018e-05,2.6e-06,0.0,6.1e-06
360,3428,4.827202,-74.07196,53,37,3,3.35e-06,9.99e-05,4.93e-06,4e-08,2.732e-05,4.817e-05,2.66e-05,0.00126431,0.0001655,0.00012342,6.303e-05,0.00014584,0.00065042,0.00057517,2.398e-05,7.01e-05,7.098e-05,0.00044742,6.52e-06,2.08e-06,0.00039212,1.77e-06,0.00074543,4.753e-05,0.0010875,0.00015336,0.00118777,9.49e-06,0.00020932,0.0002973,1.876e-05,0.00010769,3.84e-06,0.0,5.69e-06
360,3428,4.827202,-74.07196,53,37,4,6.22e-06,0.00043198,1.088e-05,3.6e-07,6.112e-05,0.00010778,5.56e-05,0.00238245,0.0003459,0.00025772,0.00013924,0.00032627,0.00120584,0.00139191,9.125e-05,0.00057486,0.0001588,0.00100096,1.228e-05,4.35e-06,0.00086625,7.66e-06,0.00155663,0.00020555,0.00970981,0.00057377,0.00265728,0.00031091,0.00039445,0.00066512,0.00020641,0.00019964,8.03e-06,3.38e-06,5.081e-05
360,3428,4.827202,-74.07196,53,37,5,8.67e-06,0.00100706,2.677e-05,1.6e-06,0.00031236,0.00055079,0.00010161,0.00246284,0.00063217,0.00045979,0.00034247,0.00166738,0.00168087,0.00724715,0.00014853,0.00136938,0.00081155,0.00511541,1.27e-05,7.94e-06,0.00213058,1.786e-05,0.00277709,0.00047918,0.04330573,0.00098096,0.01358003,0.00107514,0.00040776,0.00339908,0.0005473,0.00027829,1.432e-05,2.831e-05,0.0002266
360,3428,4.827202,-74.07196,53,37,6,1.66e-06,0.00101246,1.929e-05,2.61e-06,0.00055675,0.00098172,0.00010952,0.00033617,0.00068137,0.00020085,0.00024685,0.00297193,0.00032156,0.02035817,0.00013121,0.00161708,0.0014465,0.00911768,1.73e-06,8.56e-06,0.00153569,1.795e-05,0.00121315,0.00048175,0.07081685,0.00094394,0.02420496,0.00230218,5.566e-05,0.0060585,0.00060984,5.324e-05,6.26e-06,5.416e-05,0.00037055
360,3428,4.827202,-74.07196,53,37,7,3e-07,0.00123655,1.62e-05,1.36e-06,0.00041206,0.00072659,8.604e-05,0.00010231,0.00053526,9.196e-05,0.0002073,0.00219957,5.847e-05,0.02110876,0.00011589,0.00170121,0.00107057,0.00674813,5.3e-07,6.72e-06,0.00128968,2.193e-05,0.00055542,0.00058838,0.03675485,0.00098361,0.01791445,0.00339156,1.694e-05,0.00448399,0.00067239,9.68e-06,2.86e-06,7.231e-05,0.00019232
360,3428,4.827202,-74.07196,53,37,8,1.28e-06,0.00143634,2.177e-05,8.9e-07,0.00046245,0.00081545,0.00014068,0.00025578,0.00087519,0.00032427,0.00027848,0.00246858,0.00024848,0.01630896,0.00010057,0.001783,0.00120151,0.00757344,1.32e-06,1.1e-05,0.0017325,2.547e-05,0.00195858,0.00068344,0.02400264,0.00113168,0.02010544,0.00331324,4.235e-05,0.00503239,0.00058795,4.114e-05,1.01e-05,7.016e-05,0.0001256
360,3428,4.827202,-74.07196,53,37,9,1.85e-06,0.00103676,2.308e-05,3.3e-07,0.00049043,0.00086479,0.00012965,0.00049695,0.00080661,0.0002069,0.00029526,0.00261794,0.0003581,0.01267964,7.859e-05,0.00161475,0.0012742,0.00803166,2.56e-06,1.013e-05,0.00183686,1.839e-05,0.00124969,0.00049331,0.00898481,0.00125066,0.02132187,0.00276499,8.228e-05,0.00533686,0.00054104,5.929e-05,6.44e-06,5.662e-05,4.701e-05
360,3428,4.827202,-74.07196,53,37,10,5.99e-06,0.00122845,3.52e-05,3.3e-07,0.00050698,0.00089396,0.00014236,0.00210474,0.00088563,0.00057352,0.00045031,0.00270627,0.00116199,0.01302762,7.127e-05,0.00153997,0.00131719,0.00830263,1.085e-05,1.113e-05,0.00280152,2.179e-05,0.00346406,0.00058452,0.0088165,0.00098096,0.02204125,0.00235202,0.00034847,0.00551692,0.00059733,0.00019238,1.786e-05,4.585e-05,4.613e-05
360,3428,4.827202,-74.07196,53,37,11,3.99e-06,0.00109886,3.257e-05,3.4e-07,0.00049644,0.00087539,0.00012798,0.00181973,0.00079617,0.00041623,0.00041676,0.00265004,0.00077466,0.01301324,7.793e-05,0.00139742,0.00128983,0.00813015,9.38e-06,1e-05,0.00259278,1.949e-05,0.002514,0.00052286,0.00915311,0.00082232,0.02158334,0.00228082,0.00030128,0.00540231,0.00055668,0.00012826,1.296e-05,4.277e-05,4.789e-05
360,3428,4.827202,-74.07196,53,37,12,6.48e-06,0.00118525,2.817e-05,5e-07,0.00049485,0.00087258,0.00015266,0.00149086,0.00094974,0.00045858,0.00036044,0.00264155,0.001257,0.0125416,8.792e-05,0.0013133,0.00128569,0.00810408,7.69e-06,1.193e-05,0.00224241,2.102e-05,0.00276978,0.00056397,0.01359373,0.00091222,0.02151412,0.00227845,0.00024683,0.00538498,0.00055668,0.00020811,1.428e-05,3.723e-05,7.113e-05
360,3428,4.827202,-74.07196,53,37,13,3.13e-06,0.00118795,3.027e-05,7.9e-07,0.00052635,0.00092813,0.00010808,0.00209743,0.00067242,0.00045132,0.00038728,0.0028097,0.00060658,0.01224826,7.726e-05,0.00136704,0.00136754,0.00861996,1.081e-05,8.45e-06,0.00240939,2.107e-05,0.00272593,0.00056525,0.02133568,0.00093866,0.02288366,0.00224522,0.00034726,0.00572778,0.00053791,0.00010043,1.406e-05,3.446e-05,0.00011164
360,3428,4.827202,-74.07196,53,37,14,3.81e-06,0.00093686,2.993e-05,1.15e-06,0.00055318,0.00097543,0.00014643,0.00184165,0.00091098,0.00042591,0.00038297,0.00295288,0.00073812,0.01234316,7.46e-05,0.00130628,0.00143722,0.00905922,9.5e-06,1.144e-05,0.00238256,1.661e-05,0.00257246,0.00044578,0.03104548,0.00088049,0.02404976,0.00243272,0.00030491,0.00601965,0.00058482,0.00012221,1.326e-05,3.723e-05,0.00016245
360,3428,4.827202,-74.07196,53,37,15,3.2e-06,0.00096656,3.19e-05,2.36e-06,0.00048974,0.00086357,0.00014379,0.00184896,0.00089458,0.00044527,0.00040813,0.00261425,0.00062119,0.01415495,7.926e-05,0.00141144,0.00127241,0.00802033,9.53e-06,1.124e-05,0.00253911,1.714e-05,0.00268939,0.00045991,0.06385168,0.00090693,0.02129181,0.00250629,0.00030612,0.00532934,0.00055981,0.00010285,1.387e-05,4.216e-05,0.00033411
