FID_LINK,FID_Grilla,LAT,LON,ROW,COL,hora,C5_GNV,INT_GAS,C2G_GNV,ESP_GNV,CC_DSEL,CC_GNV,C2P_GAS,>C5_GAS,C2P_DSEL,C3-C4_DSEL,C2G_GAS,AUT_GNV,C5_GAS,M_GAS,AL_DSEL,B_DSEL,TX_GAS,AUT_GAS,>C5_GNV,C2P_GNV,C2G_DSEL,INT_GNV,C3-C4_GAS,INT_DSEL,ESP_GAS,BT_DSEL,TX_GNV,AT_DSEL,>C5_DSEL,CC_GAS,MB_DSEL,C5_DSEL,C3-C4_GNV,BA_DSEL,ESP_DSEL
360,3428,4.827202,-74.07196,53,37,0,0.0,0.0,0.0,0.0,3.31e-06,0.0,2.1e-07,0.0,7.32e-06,4.35e-06,8.1e-07,0.0,0.0,0.0,2.86e-06,5.81e-06,5.6e-07,3.14e-06,0.0,0.0,2.865e-05,0.0,0.0,2.49e-06,0.0,2.302e-05,0.0,4.92e-06,8.28e-06,0.0,1.3e-06,6.27e-06,0.0,0.0,5.6e-07
360,3428,4.827202,-74.07196,53,37,1,0.0,0.0,0.0,0.0,1.76e-06,0.0,1.8e-07,0.0,6.49e-06,4.6e-06,5.7e-07,0.0,0.0,0.0,5e-08,2.1e-06,3e-07,1.67e-06,0.0,0.0,2.009e-05,0.0,0.0,1.33e-06,0.0,1.151e-05,0.0,3.3e-07,8.53e-06,0.0,6.5e-07,4.77e-06,0.0,0.0,4.6e-07
360,3428,4.827202,-74.07196,53,37,2,0.0,0.0,0.0,0.0,1.44e-06,0.0,3.5e-07,0.0,1.237e-05,5.77e-06,5.4e-07,0.0,0.0,0.0,0.0,1.13e-06,2.4e-07,1.36e-06,0.0,0.0,1.927e-05,0.0,0.0,2.93e-06,0.0,8.41e-06,0.0,4.9e-07,9.03e-06,0.0,0.0,4.85e-06,0.0,0.0,4.2e-07
360,3428,4.827202,-74.07196,53,37,3,0.0,0.0,0.0,0.0,1.87e-06,0.0,3.2e-07,0.0,1.144e-05,8.53e-06,7.6e-07,0.0,0.0,0.0,1.64e-06,4.84e-06,3.2e-07,1.77e-06,0.0,0.0,2.71e-05,0.0,0.0,3.28e-06,0.0,1.06e-05,0.0,6.6e-07,1.446e-05,0.0,1.3e-06,7.44e-06,0.0,0.0,3.9e-07
360,3428,4.827202,-74.07196,53,37,4,0.0,0.0,0.0,0.0,4.18e-06,0.0,6.7e-07,0.0,2.391e-05,1.781e-05,1.69e-06,0.0,0.0,0.0,6.23e-06,3.971e-05,7.1e-07,3.97e-06,0.0,0.0,5.987e-05,0.0,0.0,1.42e-05,0.0,3.965e-05,0.0,2.148e-05,2.725e-05,0.0,1.426e-05,1.379e-05,0.0,2.3e-07,3.51e-06
360,3428,4.827202,-74.07196,53,37,5,0.0,0.0,0.0,0.0,2.137e-05,0.0,1.23e-06,0.0,4.369e-05,3.177e-05,4.15e-06,0.0,0.0,0.0,1.013e-05,9.46e-05,3.61e-06,2.027e-05,0.0,0.0,0.00014725,0.0,0.0,3.311e-05,0.0,6.779e-05,0.0,7.427e-05,2.817e-05,0.0,3.782e-05,1.923e-05,0.0,1.89e-06,1.566e-05
360,3428,4.827202,-74.07196,53,37,6,0.0,0.0,0.0,0.0,3.809e-05,0.0,1.33e-06,0.0,4.709e-05,1.388e-05,2.99e-06,0.0,0.0,0.0,8.95e-06,0.00011172,6.44e-06,3.613e-05,0.0,0.0,0.00010614,0.0,0.0,3.329e-05,0.0,6.524e-05,0.0,0.00015903,3.85e-06,0.0,4.214e-05,3.68e-06,0.0,3.62e-06,2.561e-05
360,3428,4.827202,-74.07196,53,37,7,0.0,0.0,0.0,0.0,2.819e-05,0.0,1.04e-06,0.0,3.699e-05,6.35e-06,2.51e-06,0.0,0.0,0.0,7.91e-06,0.00011753,4.77e-06,2.674e-05,0.0,0.0,8.913e-05,0.0,0.0,4.065e-05,0.0,6.798e-05,0.0,0.00023428,1.17e-06,0.0,4.646e-05,6.7e-07,0.0,4.83e-06,1.329e-05
360,3428,4.827202,-74.07196,53,37,8,0.0,0.0,0.0,0.0,3.164e-05,0.0,1.71e-06,0.0,6.049e-05,2.241e-05,3.38e-06,0.0,0.0,0.0,6.86e-06,0.00012318,5.35e-06,3.001e-05,0.0,0.0,0.00011974,0.0,0.0,4.722e-05,0.0,7.821e-05,0.0,0.00022887,2.93e-06,0.0,4.063e-05,2.84e-06,0.0,4.69e-06,8.68e-06
360,3428,4.827202,-74.07196,53,37,9,0.0,0.0,0.0,0.0,3.356e-05,0.0,1.57e-06,0.0,5.575e-05,1.43e-05,3.58e-06,0.0,0.0,0.0,5.36e-06,0.00011155,5.67e-06,3.183e-05,0.0,0.0,0.00012695,0.0,0.0,3.409e-05,0.0,8.643e-05,0.0,0.000191,5.68e-06,0.0,3.739e-05,4.1e-06,0.0,3.79e-06,3.25e-06
360,3428,4.827202,-74.07196,53,37,10,0.0,0.0,0.0,0.0,3.469e-05,0.0,1.73e-06,0.0,6.121e-05,3.963e-05,5.46e-06,0.0,0.0,0.0,4.86e-06,0.00010639,5.86e-06,3.29e-05,0.0,0.0,0.00019362,0.0,0.0,4.039e-05,0.0,6.779e-05,0.0,0.00016247,2.408e-05,0.0,4.128e-05,1.329e-05,0.0,3.07e-06,3.19e-06
360,3428,4.827202,-74.07196,53,37,11,0.0,0.0,0.0,0.0,3.397e-05,0.0,1.55e-06,0.0,5.503e-05,2.876e-05,5.05e-06,0.0,0.0,0.0,5.32e-06,9.654e-05,5.74e-06,3.222e-05,0.0,0.0,0.0001792,0.0,0.0,3.613e-05,0.0,5.683e-05,0.0,0.00015756,2.082e-05,0.0,3.847e-05,8.86e-06,0.0,2.86e-06,3.31e-06
360,3428,4.827202,-74.07196,53,37,12,0.0,0.0,0.0,0.0,3.386e-05,0.0,1.85e-06,0.0,6.564e-05,3.169e-05,4.37e-06,0.0,0.0,0.0,6e-06,9.073e-05,5.72e-06,3.212e-05,0.0,0.0,0.00015498,0.0,0.0,3.897e-05,0.0,6.304e-05,0.0,0.00015739,1.705e-05,0.0,3.847e-05,1.438e-05,0.0,2.49e-06,4.92e-06
360,3428,4.827202,-74.07196,53,37,13,0.0,0.0,0.0,0.0,3.601e-05,0.0,1.31e-06,0.0,4.647e-05,3.118e-05,4.7e-06,0.0,0.0,0.0,5.27e-06,9.444e-05,6.09e-06,3.416e-05,0.0,0.0,0.00016652,0.0,0.0,3.906e-05,0.0,6.487e-05,0.0,0.0001551,2.399e-05,0.0,3.717e-05,6.94e-06,0.0,2.3e-06,7.72e-06
360,3428,4.827202,-74.07196,53,37,14,0.0,0.0,0.0,0.0,3.785e-05,0.0,1.78e-06,0.0,6.296e-05,2.943e-05,4.64e-06,0.0,0.0,0.0,5.09e-06,9.024e-05,6.4e-06,3.59e-05,0.0,0.0,0.00016467,0.0,0.0,3.08e-05,0.0,6.085e-05,0.0,0.00016805,2.107e-05,0.0,4.041e-05,8.44e-06,0.0,2.49e-06,1.123e-05
360,3428,4.827202,-74.07196,53,37,15,0.0,0.0,0.0,0.0,3.351e-05,0.0,1.74e-06,0.0,6.183e-05,3.077e-05,4.95e-06,0.0,0.0,0.0,5.41e-06,9.751e-05,5.66e-06,3.179e-05,0.0,0.0,0.00017549,0.0,0.0,3.178e-05,0.0,6.268e-05,0.0,0.00017313,2.115e-05,0.0,3.868e-05,7.11e-06,0.0,2.82e-06,2.309e-05
360,3428,4.827202,-74.07196,53,37,16,0.0,0.0,0.0,0.0,3.399e-05,0.0,1.58e-06,0.0,5.595e-05,2.859e-05,5.04e-06,0.0,0.0,0.0,8.23e-06,0.00010703,5.75e-06,3.224e-05,0.0,0.0,0.00017878,0.0,0.0,3.196e-05,0.0,6.907e-05,0.0,0.00019871,1.63e-05,0.0,3.911e-05,6.19e-06,0.0,3.5e-06,1.911e-05
360,3428,4.827202,-74.07196,53,37,17,0.0,0.0,0.0,0.0,3.74e-05,0.0,1.06e-06,0.0,3.761e-05,1.405e-05,3.77e-06,0.0,0.0,0.0,9.13e-06,9.089e-05,6.32e-06,3.548e-05,0.0,0.0,0.00013365,0.0,0.0,3.107e-05,0.0,7.986e-05,0.0,0.00021756,2.59e-06,0.0,3.89e-05,2.26e-06,0.0,3.95e-06,1.283e-05
360,3428,4.827202,-74.07196,53,37,18,0.0,0.0,0.0,0.0,3.731e-05,0.0,8.7e-07,0.0,3.102e-05,6.6e-06,2.76e-06,0.0,0.0,0.0,7.5e-06,7.781e-05,6.31e-06,3.539e-05,0.0,0.0,9.769e-05,0.0,0.0,3.4e-05,0.0,7.255e-05,0.0,0.00017625,9.2e-07,0.0,3.976e-05,5.9e-07,0.0,4.28e-06,7.28e-06
360,3428,4.827202,-74.07196,53,37,19,0.0,0.0,0.0,0.0,3.851e-05,0.0,4.9e-07,0.0,1.741e-05,9.2e-06,2.34e-06,0.0,0.0,0.0,8.54e-06,7.394e-05,6.51e-06,3.653e-05,0.0,0.0,8.285e-05,0.0,0.0,2.743e-05,0.0,7.912e-05,0.0,0.00015706,1.513e-05,0.0,3.566e-05,4.85e-06,0.0,4.55e-06,3.07e-06
360,3428,4.827202,-74.07196,53,37,20,0.0,0.0,0.0,0.0,3.561e-05,0.0,4e-07,0.0,1.401e-05,7.61e-06,1.88e-06,0.0,0.0,0.0,8.95e-06,6.974e-05,6.02e-06,3.377e-05,0.0,0.0,6.657e-05,0.0,0.0,2.175e-05,0.0,8.241e-05,0.0,0.00014247,1.856e-05,0.0,2.982e-05,4.35e-06,0.0,4.38e-06,1.66e-06
360,3428,4.827202,-74.07196,53,37,21,0.0,0.0,0.0,0.0,2.776e-05,0.0,2.9e-07,0.0,1.041e-05,5.02e-06,1.71e-06,0.0,0.0,0.0,5.95e-06,4.682e-05,4.69e-06,2.634e-05,0.0,0.0,6.08e-05,0.0,0.0,1.42e-05,0.0,7.382e-05,0.0,0.00013657,1.455e-05,0.0,3.025e-05,7.86e-06,0.0,4.34e-06,1.11e-06
360,3428,4.827202,-74.07196,53,37,22,0.0,0.0,0.0,0.0,1.487e-05,0.0,2.9e-07,0.0,1.03e-05,4.68e-06,1.16e-06,0.0,0.0,0.0,9.54e-06,2.535e-05,2.51e-06,1.41e-05,0.0,0.0,4.122e-05,0.0,0.0,1.012e-05,0.0,6.834e-05,0.0,7.87e-05,1.07e-05,0.0,1.945e-05,7.02e-06,0.0,3e-06,1.11e-06
360,3428,4.827202,-74.07196,53,37,23,0.0,0.0,0.0,0.0,6.63e-06,0.0,2.4e-07,0.0,8.55e-06,5.27e-06,8.9e-07,0.0,0.0,0.0,4.91e-06,8.23e-06,1.12e-06,6.29e-06,0.0,0.0,3.163e-05,0.0,0.0,4.79e-06,0.0,6.56e-05,0.0,4.017e-05,1.179e-05,0.0,5.62e-06,6.86e-06,0.0,3.5e-07,6e-07
1117,295,4.755493,-74.062965,45,38,0,0.0,0.0,0.0,0.0,2.49e-06,0.0,1.6e-07,0.0,5.5e-06,3.27e-06,6.1e-07,0.0,0.0,0.0,2.15e-06,4.37e-06,4.2e-07,2.36e-06,0.0,0.0,2.153e-05,0.0,0.0,1.87e-06,0.0,1.73e-05,0.0,3.7e-06,6.22e-06,0.0,9.7e-07,4.71e-06,0.0,0.0,4.2e-07
1117,295,4.755493,-74.062965,45,38,1,0.0,0.0,0.0,0.0,1.32e-06,0.0,1.4e-07,0.0,4.88e-06,3.46e-06,4.3e-07,0.0,0.0,0.0,3e-08,1.58e-06,2.2e-07,1.25e-06,0.0,0.0,1.51e-05,0.0,0.0,1e-06,0.0,8.65e-06,0.0,2.5e-07,6.41e-06,0.0,4.9e-07,3.58e-06,0.0,0.0,3.5e-07
1117,295,4.755493,-74.062965,45,38,2,0.0,0.0,0.0,0.0,1.08e-06,0.0,2.6e-07,0.0,9.29e-06,4.34e-06,4.1e-07,0.0,0.0,0.0,0.0,8.5e-07,1.8e-07,1.03e-06,0.0,0.0,1.448e-05,0.0,0.0,2.2e-06,0.0,6.32e-06,0.0,3.7e-07,6.79e-06,0.0,0.0,3.64e-06,0.0,0.0,3.2e-07
1117,295,4.755493,-74.062965,45,38,3,0.0,0.0,0.0,0.0,1.4e-06,0.0,2.4e-07,0.0,8.6e-06,6.41e-06,5.7e-07,0.0,0.0,0.0,1.23e-06,3.64e-06,2.4e-07,1.33e-06,0.0,0.0,2.037e-05,0.0,0.0,2.47e-06,0.0,7.97e-06,0.0,4.9e-07,1.087e-05,0.0,9.7e-07,5.59e-06,0.0,0.0,3e-07
1117,295,4.755493,-74.062965,45,38,4,0.0,0.0,0.0,0.0,3.14e-06,0.0,5.1e-07,0.0,1.797e-05,1.338e-05,1.27e-06,0.0,0.0,0.0,4.68e-06,2.985e-05,5.3e-07,2.98e-06,0.0,0.0,4.499e-05,0.0,0.0,1.067e-05,0.0,2.98e-05,0.0,1.614e-05,2.048e-05,0.0,1.072e-05,1.037e-05,0.0,1.7e-07,2.64e-06
1117,295,4.755493,-74.062965,45,38,5,0.0,0.0,0.0,0.0,1.606e-05,0.0,9.3e-07,0.0,3.284e-05,2.388e-05,3.12e-06,0.0,0.0,0.0,7.62e-06,7.11e-05,2.72e-06,1.524e-05,0.0,0.0,0.00011067,0.0,0.0,2.488e-05,0.0,5.095e-05,0.0,5.582e-05,2.117e-05,0.0,2.842e-05,1.445e-05,0.0,1.42e-06,1.177e-05
1117,295,4.755493,-74.062965,45,38,6,0.0,0.0,0.0,0.0,2.863e-05,0.0,1e-06,0.0,3.539e-05,1.043e-05,2.25e-06,0.0,0.0,0.0,6.73e-06,8.396e-05,4.84e-06,2.716e-05,0.0,0.0,7.977e-05,0.0,0.0,2.502e-05,0.0,4.903e-05,0.0,0.00011952,2.89e-06,0.0,3.167e-05,2.76e-06,0.0,2.72e-06,1.925e-05
1117,295,4.755493,-74.062965,45,38,7,0.0,0.0,0.0,0.0,2.119e-05,0.0,7.8e-07,0.0,2.78e-05,4.78e-06,1.89e-06,0.0,0.0,0.0,5.94e-06,8.833e-05,3.58e-06,2.01e-05,0.0,0.0,6.699e-05,0.0,0.0,3.055e-05,0.0,5.109e-05,0.0,0.00017608,8.8e-07,0.0,3.492e-05,5e-07,0.0,3.63e-06,9.99e-06
1117,295,4.755493,-74.062965,45,38,8,0.0,0.0,0.0,0.0,2.378e-05,0.0,1.28e-06,0.0,4.546e-05,1.684e-05,2.54e-06,0.0,0.0,0.0,5.16e-06,9.257e-05,4.02e-06,2.256e-05,0.0,0.0,8.999e-05,0.0,0.0,3.549e-05,0.0,5.878e-05,0.0,0.00017201,2.2e-06,0.0,3.053e-05,2.14e-06,0.0,3.53e-06,6.52e-06
1117,295,4.755493,-74.062965,45,38,9,0.0,0.0,0.0,0.0,2.522e-05,0.0,1.18e-06,0.0,4.19e-05,1.074e-05,2.69e-06,0.0,0.0,0.0,4.03e-06,8.384e-05,4.26e-06,2.392e-05,0.0,0.0,9.541e-05,0.0,0.0,2.562e-05,0.0,6.496e-05,0.0,0.00014355,4.27e-06,0.0,2.81e-05,3.08e-06,0.0,2.84e-06,2.44e-06
1117,295,4.755493,-74.062965,45,38,10,0.0,0.0,0.0,0.0,2.607e-05,0.0,1.3e-06,0.0,4.6e-05,2.978e-05,4.1e-06,0.0,0.0,0.0,3.65e-06,7.996e-05,4.41e-06,2.473e-05,0.0,0.0,0.00014552,0.0,0.0,3.035e-05,0.0,5.095e-05,0.0,0.00012211,1.81e-05,0.0,3.102e-05,9.99e-06,0.0,2.3e-06,2.4e-06
1117,295,4.755493,-74.062965,45,38,11,0.0,0.0,0.0,0.0,2.553e-05,0.0,1.17e-06,0.0,4.135e-05,2.161e-05,3.8e-06,0.0,0.0,0.0,4e-06,7.255e-05,4.32e-06,2.422e-05,0.0,0.0,0.00013467,0.0,0.0,2.715e-05,0.0,4.271e-05,0.0,0.00011841,1.564e-05,0.0,2.891e-05,6.66e-06,0.0,2.15e-06,2.49e-06
1117,295,4.755493,-74.062965,45,38,12,0.0,0.0,0.0,0.0,2.545e-05,0.0,1.39e-06,0.0,4.933e-05,2.381e-05,3.29e-06,0.0,0.0,0.0,4.51e-06,6.819e-05,4.3e-06,2.414e-05,0.0,0.0,0.00011647,0.0,0.0,2.929e-05,0.0,4.738e-05,0.0,0.00011829,1.282e-05,0.0,2.891e-05,1.081e-05,0.0,1.87e-06,3.69e-06
1117,295,4.755493,-74.062965,45,38,13,0.0,0.0,0.0,0.0,2.707e-05,0.0,9.9e-07,0.0,3.493e-05,2.344e-05,3.53e-06,0.0,0.0,0.0,3.96e-06,7.098e-05,4.58e-06,2.567e-05,0.0,0.0,0.00012515,0.0,0.0,2.935e-05,0.0,4.875e-05,0.0,0.00011656,1.803e-05,0.0,2.793e-05,5.21e-06,0.0,1.73e-06,5.8e-06
1117,295,4.755493,-74.062965,45,38,14,0.0,0.0,0.0,0.0,2.845e-05,0.0,1.33e-06,0.0,4.732e-05,2.212e-05,3.49e-06,0.0,0.0,0.0,3.83e-06,6.782e-05,4.81e-06,2.698e-05,0.0,0.0,0.00012375,0.0,0.0,2.315e-05,0.0,4.573e-05,0.0,0.0001263,1.583e-05,0.0,3.037e-05,6.35e-06,0.0,1.87e-06,8.44e-06
1117,295,4.755493,-74.062965,45,38,15,0.0,0.0,0.0,0.0,2.518e-05,0.0,1.31e-06,0.0,4.647e-05,2.312e-05,3.72e-06,0.0,0.0,0.0,4.06e-06,7.328e-05,4.26e-06,2.389e-05,0.0,0.0,0.00013189,0.0,0.0,2.388e-05,0.0,4.711e-05,0.0,0.00013012,1.59e-05,0.0,2.907e-05,5.34e-06,0.0,2.12e-06,1.735e-05
1117,295,4.755493,-74.062965,45,38,16,0.0,0.0,0.0,0.0,2.555e-05,0.0,1.19e-06,0.0,4.205e-05,2.149e-05,3.79e-06,0.0,0.0,0.0,6.18e-06,8.044e-05,4.32e-06,2.423e-05,0.0,0.0,0.00013436,0.0,0.0,2.402e-05,0.0,5.191e-05,0.0,0.00014934,1.225e-05,0.0,2.94e-05,4.65e-06,0.0,2.63e-06,1.436e-05
