FID_LINK,FID_Grilla,LAT,LON,ROW,COL,hora,C5_GNV,INT_GAS,C2G_GNV,ESP_GNV,CC_DSEL,CC_GNV,C2P_GAS,>C5_GAS,C2P_DSEL,C3-C4_DSEL,C2G_GAS,AUT_GNV,C5_GAS,M_GAS,AL_DSEL,B_DSEL,TX_GAS,AUT_GAS,>C5_GNV,C2P_GNV,C2G_DSEL,INT_GNV,C3-C4_GAS,INT_DSEL,ESP_GAS,BT_DSEL,TX_GNV,AT_DSEL,>C5_DSEL,CC_GAS,MB_DSEL,C5_DSEL,C3-C4_GNV,BA_DSEL,ESP_DSEL
360,3428,4.827202,-74.07196,53,37,0,0.1279982,0.11949499,0.23923543,0.00402461,0.73343116,0.21939076,0.06788524,1.41759281,1.11935651,2.0379576,0.26580418,0.6553033,1.07393395,1.16811654,1.93444933,2.86505166,0.6068352,2.80610511,0.16895763,0.06109969,4.38283255,0.09486286,0.7445942,0.74629122,2.91604426,12.254347,5.76987083,2.50844404,3.87995775,2.0158641,0.32260449,2.93936193,0.08874542,0.0,0.29651885
360,3428,4.827202,-74.07196,53,37,1,0.09727863,0.06401517,0.16780902,0.0033482,0.38974956,0.11658552,0.0602362,1.46055017,0.99323184,2.15553208,0.18644538,0.34823196,0.8161898,0.61380198,0.03070554,1.03460199,0.32247573,1.49118048,0.17407755,0.05421522,3.07428902,0.05081939,0.78755156,0.39979887,2.42595279,6.1271735,3.06614272,0.1672296,3.99753222,1.07124184,0.16130224,2.23391507,0.09386535,0.0,0.24668375
360,3428,4.827202,-74.07196,53,37,2,0.09898528,0.14083338,0.16092455,0.00304382,0.31857578,0.09529536,0.11473562,1.54646488,1.89187016,2.70421298,0.17879634,0.28463989,0.83050892,0.46508344,0.0,0.55709338,0.26358711,1.21886985,0.18431741,0.10326709,2.94816434,0.11180265,0.98801923,0.87955751,2.20541163,4.47380922,2.50622173,0.2508444,4.23268118,0.87561794,0.0,2.27310656,0.11775834,0.0,0.22425796
360,3428,4.827202,-74.07196,53,37,3,0.1518912,0.15790409,0.22632704,0.0028409,0.41412414,0.12387667,0.10613045,2.47720764,1.7499799,3.99753222,0.25146223,0.37001007,1.27440162,0.54079469,1.10539962,2.38754305,0.34264307,1.58443755,0.29524918,0.09552206,4.14634878,0.12535449,1.46055017,0.98617054,2.05838419,5.64088989,3.25789649,0.3344592,6.78012818,1.13823633,0.32260449,3.48804282,0.17407755,0.0,0.20930742
360,3428,4.827202,-74.07196,53,37,4,0.28159604,0.6828285,0.49998483,0.02536517,0.92647785,0.27713669,0.22182219,4.66803289,3.65761565,8.34778788,0.55551162,0.82778593,2.36265469,1.30872316,4.20665965,19.57785304,0.76656052,3.54470107,0.55636551,0.19964971,9.15980471,0.54207346,3.04997241,4.26452127,18.37843022,21.10470873,7.28856066,10.95353896,12.77642652,2.54646044,3.54864934,6.46659624,0.36351489,0.16346944,1.86881629
360,3428,4.827202,-74.07196,53,37,5,0.39252782,1.59184394,1.22973893,0.11312864,4.73476249,1.41630628,0.40539918,4.82554321,6.68460791,14.89276711,1.36630998,4.23039769,3.29339744,6.81401314,6.84733651,46.63667431,3.91750541,18.115185,0.57513858,0.36487705,22.52902053,1.26370876,5.44126534,9.94166522,81.9677988,36.08224395,37.2481691,37.87750495,13.20753294,13.01367902,9.40929751,9.01404325,0.64852422,1.36719899,8.33492066
360,3428,4.827202,-74.07196,53,37,6,0.07509228,1.6003793,0.88637586,0.18499661,8.43921141,2.52441556,0.43695148,0.65867949,7.20487221,6.50578774,0.98481405,7.54023471,0.63004125,19.14142819,6.04899234,55.07265977,6.98253743,32.28839384,0.07850556,0.3932755,16.23855224,1.27048468,2.3769738,9.99497173,134.04001776,34.72064984,66.3909065,81.10635717,1.80280865,23.19550109,10.48464579,1.72442567,0.28330268,2.61551111,13.62990016
360,3428,4.827202,-74.07196,53,37,7,0.01365314,1.95459658,0.74438361,0.09601561,6.24598655,1.8683577,0.34325072,0.20046767,5.65984491,2.97855342,0.82705258,5.58064045,0.11455295,19.84716526,5.34276481,57.93771143,5.16788036,23.89712307,0.023893,0.30894071,13.63723076,1.55168529,1.08825307,12.20719214,69.56848454,36.17950067,49.13690261,119.48555093,0.54868089,17.16733719,11.55999408,0.31353194,0.12970484,3.49230177,7.07409261
360,3428,4.827202,-74.07196,53,37,8,0.05802585,2.27040477,0.99996966,0.06270269,7.00988594,2.09686241,0.5612484,0.50116918,9.25439822,10.50331996,1.11102323,6.26316639,0.48685006,15.33423354,4.63653728,60.72317833,5.79992473,26.81979951,0.05973249,0.50514818,18.31960942,1.80239427,3.83752397,14.17953323,45.43147951,41.62587712,55.14646565,116.72626249,1.37170223,19.2669444,10.10827389,1.33251074,0.45738024,3.38827576,4.61971388
360,3428,4.827202,-74.07196,53,37,9,0.08362549,1.6387884,1.06020879,0.02347123,7.43400366,2.22372845,0.51726641,0.97370011,8.52918132,6.7017452,1.17795234,6.64210549,0.70163685,11.92181902,3.6232543,54.993075,6.15083641,28.44247245,0.1160517,0.46556246,19.42320035,1.30097631,2.4485694,10.23485105,17.0061741,46.00242962,58.48298118,97.41124341,2.66502148,20.43264847,9.30176268,1.92038313,0.2918359,2.73439798,1.72927801
