FID_LINK,FID_Grilla,LAT,LON,ROW,COL,hora,NHTX_GAS,NHC2P_GAS,NHCC_DSEL,NHC2G_GAS,NHC5_GAS,NHC2G_DSEL,NH>C5_GNV,NHMB_DSEL,NHB_DSEL,NHC5_DSEL,NHC5_GNV,NHC2G_GNV,NHC2P_DSEL,NHESP_GAS,NHAL_DSEL,NHCC_GNV,NHTX_GNV,NHINT_GAS,NHC2P_GNV,NHCC_GAS,NHM_GAS,NHC3-C4_GNV,NHAUT_GAS,NHESP_DSEL,NHAT_DSEL,NHC3-C4_DSEL,NHBA_DSEL,NHINT_GNV,NH>C5_DSEL,NHC3-C4_GAS,NHAUT_GNV,NHINT_DSEL,NHBT_DSEL,NH>C5_GAS,NHESP_GNV
360,3428,4.827202,-74.07196,53,37,0,0.00140933,4.164e-05,0.00129823,0.00024721,0.00104573,0.00315711,4.145e-05,6.971e-05,0.00036489,0.00043151,1.184e-05,3.495e-05,0.00053172,0.00752585,0.000624,0.00198168,0.04885974,0.0002656,5.89e-06,0.00556623,0.00868056,1.258e-05,0.00883653,9.815e-05,0.00068824,0.00045848,0.0,1.035e-05,0.00151029,0.00111109,0.00599909,0.00031498,0.00265214,0.00366005,6.1e-07
360,3428,4.827202,-74.07196,53,37,1,0.00106155,4.164e-05,0.00097787,0.00026543,0.00098037,0.00338974,3.183e-05,6.971e-05,0.00031276,0.00040454,1.11e-05,3.753e-05,0.00053172,0.00567333,0.0,0.00149266,0.03680273,0.00024146,5.89e-06,0.00419266,0.00767203,8.88e-06,0.00665596,7.399e-05,0.0,0.00032363,0.0,9.41e-06,0.00115969,0.0007843,0.00451871,0.00028635,0.00070724,0.0028104,4.6e-07
360,3428,4.827202,-74.07196,53,37,2,0.00101362,7.807e-05,0.00093372,0.00022119,0.00071894,0.00282478,2.887e-05,0.00020913,5.213e-05,0.00029666,8.14e-06,3.127e-05,0.00099698,0.00532599,0.0,0.00142527,0.03514111,0.0002656,1.104e-05,0.00400337,0.00569099,1.776e-05,0.00635545,6.946e-05,5.294e-05,0.00064727,0.0,1.035e-05,0.00105181,0.00156859,0.00431469,0.00031498,0.0006483,0.00254896,4.3e-07
360,3428,4.827202,-74.07196,53,37,3,0.00100847,7.026e-05,0.00092897,0.00024201,0.00156859,0.00309064,4.589e-05,0.00013942,0.00031276,0.00064727,1.776e-05,3.422e-05,0.00089728,0.00486286,0.0,0.00141803,0.03496259,0.00021731,9.93e-06,0.00398303,0.00691563,1.554e-05,0.00632316,6.342e-05,5.294e-05,0.00056636,0.0,8.47e-06,0.00167211,0.00137252,0.00429278,0.00025771,0.00070724,0.0040522,3.9e-07
360,3428,4.827202,-74.07196,53,37,4,0.0008734,0.00016134,0.00080455,0.00038253,0.00254896,0.00488521,6.513e-05,0.00118504,0.00218935,0.00105181,2.887e-05,5.409e-05,0.00206043,0.0091468,0.00051746,0.0012281,0.03027986,0.00132801,2.281e-05,0.00344956,0.00554691,4.219e-05,0.00547626,0.00011929,0.00174707,0.00153726,0.0,5.173e-05,0.00237332,0.00372541,0.00371782,0.00157491,0.00353619,0.00575151,7.4e-07
360,3428,4.827202,-74.07196,53,37,5,0.00151112,0.00030446,0.001392,0.00079109,0.00372541,0.01010274,9.844e-05,0.00369455,0.0089138,0.00153726,4.219e-05,0.00011185,0.00388823,0.02095659,0.00106536,0.00212481,0.05238896,0.00258358,4.305e-05,0.00596829,0.02254784,7.772e-05,0.0094748,0.00027331,0.00587651,0.0028318,9.479e-05,0.00010064,0.00358695,0.0068626,0.00643242,0.00306392,0.00595258,0.00869262,1.7e-06
360,3428,4.827202,-74.07196,53,37,6,0.00351579,0.00045279,0.00323864,0.00106693,0.00215682,0.01362541,4.515e-05,0.00550697,0.01271911,0.00088999,2.442e-05,0.00015085,0.00578249,0.03392421,0.00070009,0.00494361,0.12188845,0.00340454,6.402e-05,0.01388586,0.0525516,6.365e-05,0.02204413,0.00044242,0.01307657,0.00231938,0.00014583,0.00013262,0.00164514,0.00562079,0.0149657,0.0040375,0.00595258,0.00398684,2.75e-06
360,3428,4.827202,-74.07196,53,37,7,0.00436543,0.00028104,0.0040213,0.00103049,0.00215682,0.01316015,4.663e-05,0.00487959,0.00870529,0.00088999,2.442e-05,0.0001457,0.00358913,0.02662993,0.0004718,0.00613829,0.15134436,0.00335625,3.974e-05,0.01724155,0.05766628,4.959e-05,0.02737138,0.00034729,0.02297664,0.00180696,0.00018958,0.00013074,0.00169908,0.00437899,0.01858236,0.00398023,0.00612939,0.00411756,2.16e-06
360,3428,4.827202,-74.07196,53,37,8,0.00476351,0.00033829,0.004388,0.00114239,0.00196074,0.01458916,3.775e-05,0.00432193,0.01063401,0.00080909,2.22e-05,0.00016152,0.00432025,0.02234598,0.00035005,0.00669804,0.16514539,0.0033321,4.783e-05,0.0188138,0.05003027,6.365e-05,0.02986736,0.00029143,0.02403547,0.00231938,0.0001677,0.0001298,0.00137545,0.00562079,0.02027687,0.0039516,0.00636514,0.00333326,1.81e-06
360,3428,4.827202,-74.07196,53,37,9,0.00471281,0.0004554,0.0043413,0.0011502,0.0020261,0.01468886,4.663e-05,0.00446134,0.00870529,0.00083606,2.294e-05,0.00016263,0.00581572,0.01887251,0.00041092,0.00662675,0.16338764,0.00323552,6.439e-05,0.01861355,0.04095351,4.959e-05,0.02954947,0.00024613,0.01980015,0.00180696,0.00018958,0.00012604,0.00169908,0.00437899,0.02006105,0.00383706,0.00542216,0.00411756,1.53e-06
