FID_LINK,FID_Grilla,LAT,LON,ROW,COL,hora,C5_GNV,INT_GAS,C2G_GNV,ESP_GNV,CC_DSEL,CC_GNV,C2P_GAS,>C5_GAS,C2P_DSEL,C3-C4_DSEL,C2G_GAS,AUT_GNV,C5_GAS,M_GAS,AL_DSEL,B_DSEL,TX_GAS,AUT_GAS,>C5_GNV,C2P_GNV,C2G_DSEL,INT_GNV,C3-C4_GAS,INT_DSEL,ESP_GAS,BT_DSEL,TX_GNV,AT_DSEL,>C5_DSEL,CC_GAS,MB_DSEL,C5_DSEL,C3-C4_GNV,BA_DSEL,ESP_DSEL
360,3428,4.827202,-74.07196,53,37,0,1.36e-06,2.03e-06,3.18e-06,2.1e-07,4.432e-05,1.95e-06,2.57e-06,2.235e-05,7.919e-05,0.00014117,1.006e-05,4.73e-06,1.693e-05,0.00014931,3.677e-05,6.795e-05,3.62e-05,0.00018469,1.8e-06,8.1e-07,0.00031006,4.84e-06,1.174e-05,5.384e-05,6.212e-05,0.00028508,3.851e-05,5.886e-05,0.00026876,2.694e-05,3.075e-05,0.0002036,9.4e-07,0.0,6.9e-06
360,3428,4.827202,-74.07196,53,37,1,1.03e-06,1.09e-06,2.23e-06,1.7e-07,2.355e-05,1.04e-06,2.28e-06,2.303e-05,7.027e-05,0.00014931,7.06e-06,2.51e-06,1.287e-05,7.846e-05,5.8e-07,2.454e-05,1.924e-05,9.814e-05,1.85e-06,7.2e-07,0.00021749,2.59e-06,1.242e-05,2.884e-05,5.168e-05,0.00014254,2.047e-05,3.92e-06,0.0002769,1.432e-05,1.538e-05,0.00015474,1e-06,0.0,5.74e-06
360,3428,4.827202,-74.07196,53,37,2,1.05e-06,2.4e-06,2.14e-06,1.6e-07,1.925e-05,8.5e-07,4.34e-06,2.438e-05,0.00013384,0.00018732,6.77e-06,2.05e-06,1.309e-05,5.945e-05,0.0,1.321e-05,1.573e-05,8.022e-05,1.96e-06,1.37e-06,0.00020857,5.7e-06,1.558e-05,6.346e-05,4.698e-05,0.00010408,1.673e-05,5.89e-06,0.00029319,1.17e-05,0.0,0.00015745,1.25e-06,0.0,5.22e-06
360,3428,4.827202,-74.07196,53,37,3,1.62e-06,2.69e-06,3.01e-06,1.4e-07,2.503e-05,1.1e-06,4.02e-06,3.905e-05,0.0001238,0.0002769,9.52e-06,2.67e-06,2.009e-05,6.912e-05,2.101e-05,5.662e-05,2.044e-05,0.00010428,3.14e-06,1.27e-06,0.00029333,6.39e-06,2.303e-05,7.115e-05,4.385e-05,0.00013123,2.175e-05,7.85e-06,0.00046965,1.521e-05,3.075e-05,0.00024161,1.85e-06,0.0,4.87e-06
360,3428,4.827202,-74.07196,53,37,4,3e-06,1.163e-05,6.64e-06,1.29e-06,5.599e-05,2.47e-06,8.39e-06,7.359e-05,0.00025876,0.00057824,2.102e-05,5.97e-06,3.725e-05,0.00016728,7.996e-05,0.00046431,4.573e-05,0.0002333,5.92e-06,2.65e-06,0.00064801,2.763e-05,4.808e-05,0.00030766,0.00039151,0.00049096,4.865e-05,0.00025703,0.000885,3.403e-05,0.00033829,0.00044793,3.87e-06,2.43e-06,4.347e-05
360,3428,4.827202,-74.07196,53,37,5,4.18e-06,2.711e-05,1.634e-05,5.77e-06,0.00028613,1.261e-05,1.534e-05,7.608e-05,0.0004729,0.0010316,5.171e-05,3.053e-05,5.192e-05,0.00087097,0.00013015,0.00110603,0.00023372,0.00119228,6.12e-06,4.85e-06,0.00159381,6.441e-05,8.578e-05,0.00071724,0.00174612,0.00083939,0.00024863,0.00088882,0.00091486,0.00017393,0.00089699,0.00062439,6.9e-06,2.029e-05,0.0001939
360,3428,4.827202,-74.07196,53,37,6,8e-07,2.725e-05,1.177e-05,9.43e-06,0.00051,2.247e-05,1.654e-05,1.038e-05,0.00050971,0.00045064,3.727e-05,5.441e-05,9.93e-06,0.00244666,0.00011498,0.0013061,0.00041659,0.00212511,8.4e-07,5.22e-06,0.00114879,6.476e-05,3.747e-05,0.00072109,0.00285539,0.00080771,0.00044316,0.00190322,0.00012488,0.00031001,0.0009995,0.00011945,3.01e-06,3.881e-05,0.00031708
360,3428,4.827202,-74.07196,53,37,7,1.5e-07,3.328e-05,9.89e-06,4.89e-06,0.00037746,1.663e-05,1.299e-05,3.16e-06,0.0004004,0.00020632,3.13e-05,4.027e-05,1.81e-06,0.00253687,0.00010156,0.00137404,0.00030832,0.00157283,2.5e-07,4.1e-06,0.00096476,7.909e-05,1.716e-05,0.00088069,0.00148198,0.00084165,0.00032799,0.00280382,3.801e-05,0.00022944,0.00110202,2.172e-05,1.38e-06,5.182e-05,0.00016457
360,3428,4.827202,-74.07196,53,37,8,6.2e-07,3.866e-05,1.328e-05,3.2e-06,0.00042363,1.866e-05,2.124e-05,7.9e-06,0.0006547,0.00072755,4.205e-05,4.52e-05,7.68e-06,0.00196002,8.813e-05,0.0014401,0.00034603,0.00176519,6.4e-07,6.71e-06,0.00129602,9.187e-05,6.05e-05,0.00102298,0.0009678,0.00096835,0.0003681,0.00273907,9.502e-05,0.0002575,0.00096362,9.23e-05,4.87e-06,5.027e-05,0.00010747
360,3428,4.827202,-74.07196,53,37,9,8.9e-07,2.791e-05,1.408e-05,1.2e-06,0.00044926,1.979e-05,1.958e-05,1.535e-05,0.00060339,0.00046422,4.458e-05,4.793e-05,1.106e-05,0.00152385,6.887e-05,0.00130421,0.00036697,0.00187199,1.23e-06,6.18e-06,0.00137409,6.631e-05,3.86e-05,0.0007384,0.00036227,0.00107016,0.00039037,0.00228583,0.0001846,0.00027308,0.00088674,0.00013302,3.1e-06,4.057e-05,4.023e-05
