FID_LINK,FID_Grilla,LAT,LON,ROW,COL,hora,NHTX_GAS,NHC2P_GAS,NHCC_DSEL,NHC2G_GAS,NHC5_GAS,NHC2G_DSEL,NH>C5_GNV,NHMB_DSEL,NHB_DSEL,NHC5_DSEL,NHC5_GNV,NHC2G_GNV,NHC2P_DSEL,NHESP_GAS,NHAL_DSEL,NHCC_GNV,NHTX_GNV,NHINT_GAS,NHC2P_GNV,NHCC_GAS,NHM_GAS,NHC3-C4_GNV,NHAUT_GAS,NHESP_DSEL,NHAT_DSEL,NHC3-C4_DSEL,NHBA_DSEL,NHINT_GNV,NH>C5_DSEL,NHC3-C4_GAS,NHAUT_GNV,NHINT_DSEL,NHBT_DSEL,NH>C5_GAS,NHESP_GNV
360,3428,4.827202,-74.07196,53,37,0,0.00010703,1.45e-06,0.00013103,8.59e-06,9.03e-06,0.00026489,2.54e-06,1.281e-05,3.303e-05,0.00010859,7.3e-07,2.71e-06,4.461e-05,8.483e-05,5.982e-05,5.77e-06,0.00011385,2e-06,4.6e-07,7.964e-05,0.00020824,7.7e-07,0.00054596,9.42e-06,6.377e-05,0.00011538,0.0,4.75e-06,0.00038006,9.59e-06,1.398e-05,5.288e-05,0.00025453,3.16e-05,2.8e-07
360,3428,4.827202,-74.07196,53,37,1,8.062e-05,1.45e-06,9.869e-05,9.23e-06,8.47e-06,0.00028441,1.95e-06,1.281e-05,2.831e-05,0.0001018,6.8e-07,2.91e-06,4.461e-05,6.395e-05,0.0,4.35e-06,8.576e-05,1.82e-06,4.6e-07,5.999e-05,0.00018404,5.4e-07,0.00041124,7.1e-06,0.0,8.144e-05,0.0,4.32e-06,0.00029183,6.77e-06,1.053e-05,4.807e-05,6.788e-05,2.427e-05,2.1e-07
360,3428,4.827202,-74.07196,53,37,2,7.698e-05,2.71e-06,9.424e-05,7.69e-06,6.21e-06,0.00023701,1.77e-06,3.844e-05,4.72e-06,7.466e-05,5e-07,2.43e-06,8.365e-05,6.003e-05,0.0,4.15e-06,8.189e-05,2e-06,8.6e-07,5.728e-05,0.00013652,1.09e-06,0.00039267,6.67e-06,4.91e-06,0.00016288,0.0,4.75e-06,0.00026469,1.354e-05,1.005e-05,5.288e-05,6.222e-05,2.201e-05,2e-07
360,3428,4.827202,-74.07196,53,37,3,7.658e-05,2.44e-06,9.376e-05,8.41e-06,1.354e-05,0.00025931,2.81e-06,2.563e-05,2.831e-05,0.00016288,1.09e-06,2.66e-06,7.528e-05,5.481e-05,0.0,4.13e-06,8.147e-05,1.64e-06,7.7e-07,5.699e-05,0.0001659,9.5e-07,0.00039068,6.09e-06,4.91e-06,0.00014252,0.0,3.89e-06,0.00042078,1.185e-05,1e-05,4.327e-05,6.788e-05,3.499e-05,1.8e-07
360,3428,4.827202,-74.07196,53,37,4,6.633e-05,5.61e-06,8.12e-05,1.33e-05,2.201e-05,0.00040988,3.99e-06,0.00021784,0.00019818,0.00026469,1.77e-06,4.2e-06,0.00017288,0.0001031,4.961e-05,3.58e-06,7.056e-05,9.99e-06,1.77e-06,4.936e-05,0.00013306,2.59e-06,0.00033835,1.145e-05,0.00016187,0.00038685,0.0,2.374e-05,0.00059724,3.217e-05,8.66e-06,0.0002644,0.00033938,4.966e-05,3.4e-07
360,3428,4.827202,-74.07196,53,37,5,0.00011476,1.058e-05,0.00014049,2.75e-05,3.217e-05,0.00084765,6.04e-06,0.00067915,0.00080687,0.00038685,2.59e-06,8.69e-06,0.00032623,0.00023621,0.00010214,6.19e-06,0.00012208,1.944e-05,3.34e-06,8.54e-05,0.0005409,4.77e-06,0.0005854,2.623e-05,0.00054448,0.00071262,7.17e-06,4.619e-05,0.00090265,5.926e-05,1.499e-05,0.00051438,0.00057128,7.506e-05,7.8e-07
360,3428,4.827202,-74.07196,53,37,6,0.00026699,1.574e-05,0.00032686,3.709e-05,1.862e-05,0.00114322,2.77e-06,0.00101232,0.00115133,0.00022397,1.5e-06,1.172e-05,0.00048517,0.00038237,6.712e-05,1.44e-05,0.00028402,2.562e-05,4.97e-06,0.00019868,0.00126066,3.9e-06,0.00136199,4.246e-05,0.00121159,0.00058367,1.102e-05,6.087e-05,0.000414,4.854e-05,3.487e-05,0.00067782,0.00057128,3.443e-05,1.26e-06
360,3428,4.827202,-74.07196,53,37,7,0.00033152,9.77e-06,0.00040585,3.582e-05,1.862e-05,0.00110418,2.86e-06,0.00089699,0.000788,0.00022397,1.5e-06,1.132e-05,0.00030114,0.00030015,4.523e-05,1.788e-05,0.00035266,2.525e-05,3.09e-06,0.0002467,0.00138335,3.04e-06,0.00169114,3.333e-05,0.00212886,0.00045472,1.433e-05,6.001e-05,0.00042757,3.781e-05,4.33e-05,0.00066821,0.00058825,3.556e-05,9.9e-07
360,3428,4.827202,-74.07196,53,37,8,0.00036175,1.176e-05,0.00044286,3.971e-05,1.693e-05,0.00122408,2.31e-06,0.00079448,0.00096259,0.0002036,1.36e-06,1.255e-05,0.00036248,0.00025187,3.356e-05,1.951e-05,0.00038482,2.507e-05,3.72e-06,0.0002692,0.00120017,3.9e-06,0.00184535,2.797e-05,0.00222696,0.00058367,1.268e-05,5.958e-05,0.00034613,4.854e-05,4.725e-05,0.0006634,0.00061088,2.878e-05,8.3e-07
360,3428,4.827202,-74.07196,53,37,9,0.0003579,1.583e-05,0.00043815,3.998e-05,1.75e-05,0.00123244,2.86e-06,0.00082011,0.000788,0.00021039,1.41e-06,1.263e-05,0.00048796,0.00021272,3.94e-05,1.93e-05,0.00038072,2.435e-05,5e-06,0.00026633,0.00098243,3.04e-06,0.00182571,2.362e-05,0.00183455,0.00045472,1.433e-05,5.785e-05,0.00042757,3.781e-05,4.675e-05,0.00064417,0.00052038,3.556e-05,7e-07
