FID_LINK,FID_Grilla,LAT,LON,ROW,COL,hora,C5_GNV,INT_GAS,C2G_GNV,ESP_GNV,CC_DSEL,CC_GNV,C2P_GAS,>C5_GAS,C2P_DSEL,C3-C4_DSEL,C2G_GAS,AUT_GNV,C5_GAS,M_GAS,AL_DSEL,B_DSEL,TX_GAS,AUT_GAS,>C5_GNV,C2P_GNV,C2G_DSEL,INT_GNV,C3-C4_GAS,INT_DSEL,ESP_GAS,BT_DSEL,TX_GNV,AT_DSEL,>C5_DSEL,CC_GAS,MB_DSEL,C5_DSEL,C3-C4_GNV,BA_DSEL,ESP_DSEL
360,3428,4.827202,-74.07196,53,37,0,0.00042677,0.00029688,0.0002559,1.46e-05,0.00102664,0.00014786,0.00010822,0.00193938,0.00056359,0.00078697,0.00042374,0.00035809,0.00146923,0.00236,0.00291877,0.00166787,0.00159376,0.01716066,0.00056333,6.536e-05,0.00220674,0.00034424,0.00101866,0.00047272,0.00459794,0.00583753,0.00291648,0.00138989,0.00149827,0.0061761,0.00023868,0.00113505,0.00029589,0.0,0.00012128
360,3428,4.827202,-74.07196,53,37,1,0.00032434,0.00015904,0.0001795,1.215e-05,0.00054556,7.857e-05,9.603e-05,0.00199815,0.00050009,0.00083237,0.00029723,0.00019029,0.00111661,0.00124009,4.633e-05,0.00060229,0.00084693,0.00911928,0.0005804,5.799e-05,0.00154789,0.00018442,0.00107743,0.00025324,0.00382518,0.00291877,0.00154984,9.266e-05,0.00154367,0.00328201,0.00011934,0.00086264,0.00031296,0.0,0.0001009
360,3428,4.827202,-74.07196,53,37,2,0.00033003,0.0003499,0.00017213,1.105e-05,0.00044594,6.422e-05,0.00018291,0.00211569,0.00095255,0.00104425,0.00028504,0.00015554,0.0011362,0.00093963,0.0,0.00032431,0.00069227,0.00745397,0.00061454,0.00011046,0.00148439,0.00040572,0.00135169,0.00055713,0.00347744,0.00213116,0.00126681,0.00013899,0.00163447,0.00268267,0.0,0.00087777,0.00039263,0.0,9.173e-05
360,3428,4.827202,-74.07196,53,37,3,0.00050643,0.00039231,0.00024209,1.031e-05,0.00057968,8.349e-05,0.00016919,0.00338901,0.00088111,0.00154367,0.00040088,0.00020219,0.00174348,0.00109259,0.00166787,0.00138989,0.0008999,0.00968959,0.00098441,0.00010218,0.00208767,0.00045489,0.00199815,0.00062466,0.00324561,0.00268712,0.00164676,0.00018532,0.00261818,0.00348727,0.00023868,0.00134693,0.0005804,0.0,8.561e-05
360,3428,4.827202,-74.07196,53,37,4,0.00093889,0.00169647,0.00053481,9.205e-05,0.00129687,0.00018678,0.00035363,0.00638624,0.0018416,0.00322355,0.00088559,0.00045234,0.0032323,0.00264408,0.00634716,0.01139709,0.00201325,0.02167753,0.00185501,0.00021356,0.00461193,0.00196711,0.0041726,0.00270124,0.02897864,0.01005353,0.00368413,0.00606918,0.00493369,0.00780171,0.00262549,0.00249711,0.00121202,0.00050963,0.00076439
360,3428,4.827202,-74.07196,53,37,5,0.00130875,0.00395489,0.00131539,0.00041053,0.00662764,0.00095453,0.00064628,0.00660172,0.00336567,0.00575093,0.00217816,0.00231171,0.00450563,0.01376669,0.01033151,0.02714916,0.01028871,0.11078295,0.00191761,0.00039029,0.01134327,0.00458582,0.00744408,0.00629727,0.12924473,0.01718829,0.01882774,0.02098732,0.00510016,0.03987061,0.00696152,0.00348082,0.00216229,0.00426233,0.00340916
360,3428,4.827202,-74.07196,53,37,6,0.00025037,0.00397609,0.00094811,0.00067133,0.01181306,0.00170135,0.00069658,0.00090113,0.00362763,0.00251225,0.00156998,0.00412037,0.00086195,0.03867238,0.00912694,0.0320601,0.01833854,0.19745884,0.00026175,0.00042067,0.00817605,0.0046104,0.00325189,0.00633104,0.21135087,0.01653968,0.03355845,0.04493974,0.00069616,0.07106513,0.00775712,0.0006659,0.00094458,0.00815401,0.00557492
360,3428,4.827202,-74.07196,53,37,7,4.552e-05,0.00485613,0.00079623,0.00034843,0.00874303,0.00125919,0.00054721,0.00027426,0.00284971,0.00115019,0.00131848,0.00304955,0.00015672,0.04009822,0.00806135,0.03372797,0.01357263,0.14614224,7.966e-05,0.00033046,0.00686629,0.00563084,0.00148882,0.00773231,0.10969381,0.01723462,0.02483711,0.06620504,0.00021188,0.05259637,0.00855272,0.00012107,0.00043246,0.01088746,0.00289346
360,3428,4.827202,-74.07196,53,37,8,0.00019347,0.00564075,0.00106962,0.00022754,0.00981232,0.00141319,0.00089474,0.00068564,0.00465955,0.00405592,0.00177119,0.00342252,0.00066605,0.03098052,0.00699577,0.0353495,0.01523259,0.1640158,0.00019916,0.00054033,0.00922385,0.00654063,0.00525003,0.00898163,0.0716352,0.01982908,0.02787475,0.06467616,0.00052969,0.05902903,0.00747866,0.00051456,0.00152498,0.01056315,0.00188956
360,3428,4.827202,-74.07196,53,37,9,0.00027882,0.00407152,0.00113405,8.517e-05,0.01040599,0.0014987,0.00082462,0.0013321,0.00429441,0.00258792,0.00187788,0.00362959,0.00095989,0.02408624,0.0054669,0.03201377,0.01615421,0.17393921,0.00038694,0.00049799,0.00977951,0.00472105,0.00334984,0.00648298,0.0268149,0.02191391,0.02956125,0.05397401,0.00102911,0.06260045,0.00688196,0.00074157,0.00097303,0.00852465,0.00070731
