FID_LINK,FID_Grilla,LAT,LON,ROW,COL,hora,C5_GNV,INT_GAS,C2G_GNV,ESP_GNV,CC_DSEL,CC_GNV,C2P_GAS,>C5_GAS,C2P_DSEL,C3-C4_DSEL,C2G_GAS,AUT_GNV,C5_GAS,M_GAS,AL_DSEL,B_DSEL,TX_GAS,AUT_GAS,>C5_GNV,C2P_GNV,C2G_DSEL,INT_GNV,C3-C4_GAS,INT_DSEL,ESP_GAS,BT_DSEL,TX_GNV,AT_DSEL,>C5_DSEL,CC_GAS,MB_DSEL,C5_DSEL,C3-C4_GNV,BA_DSEL,ESP_DSEL
360,3428,4.827202,-74.07196,53,37,0,8.605e-05,6.082e-05,0.00011158,2.99e-06,0.00047603,6.856e-05,4.719e-05,0.00039106,0.00024575,0.00015869,0.00018477,0.00016604,0.00029626,0.00091271,0.00055143,0.0003151,0.00073899,0.00795705,0.00011359,2.85e-05,0.00096224,7.052e-05,0.00020541,9.684e-05,0.00094192,0.00110286,0.00135231,0.00026258,0.00030212,0.00286373,4.89e-05,0.00022888,5.966e-05,0.0,2.485e-05
360,3428,4.827202,-74.07196,53,37,1,6.54e-05,3.258e-05,7.827e-05,2.49e-06,0.00025297,3.643e-05,4.187e-05,0.00040291,0.00021806,0.00016784,0.00012961,8.823e-05,0.00022516,0.00047959,8.75e-06,0.00011379,0.00039271,0.00422842,0.00011703,2.529e-05,0.00067495,3.778e-05,0.00021726,5.188e-05,0.00078361,0.00055143,0.00071863,1.751e-05,0.00031127,0.0015218,2.445e-05,0.00017395,6.311e-05,0.0,2.067e-05
360,3428,4.827202,-74.07196,53,37,2,6.655e-05,7.168e-05,7.506e-05,2.26e-06,0.00020677,2.978e-05,7.976e-05,0.00042661,0.00041536,0.00021057,0.00012429,7.212e-05,0.00022911,0.00036339,0.0,6.127e-05,0.00032099,0.00345625,0.00012392,4.817e-05,0.00064726,8.311e-05,0.00027256,0.00011413,0.00071237,0.00040263,0.0005874,2.626e-05,0.00032958,0.0012439,0.0,0.000177,7.917e-05,0.0,1.879e-05
360,3428,4.827202,-74.07196,53,37,3,0.00010212,8.037e-05,0.00010556,2.11e-06,0.00026879,3.871e-05,7.378e-05,0.00068337,0.0003842,0.00031127,0.0001748,9.375e-05,0.00035156,0.00042255,0.0003151,0.00026258,0.00041726,0.00449286,0.0001985,4.455e-05,0.00091032,9.319e-05,0.00040291,0.00012797,0.00066488,0.00050766,0.00076357,3.501e-05,0.00052794,0.00161697,4.89e-05,0.0002716,0.00011703,0.0,1.754e-05
360,3428,4.827202,-74.07196,53,37,4,0.00018932,0.00034753,0.0002332,1.886e-05,0.00060133,8.661e-05,0.0001542,0.00128774,0.00080302,0.00065001,0.00038616,0.00020974,0.00065177,0.00102257,0.00119914,0.0021532,0.0009335,0.01005143,0.00037405,9.312e-05,0.00201101,0.00040297,0.00084138,0.00055337,0.00593644,0.00189936,0.00170826,0.00114662,0.00099484,0.00361749,0.00053785,0.00050353,0.00024439,9.628e-05,0.00015659
360,3428,4.827202,-74.07196,53,37,5,0.0002639,0.00081018,0.00057357,8.41e-05,0.0030731,0.0004426,0.00028181,0.00133119,0.00146759,0.00115963,0.00094978,0.00107189,0.00090853,0.00532413,0.00195188,0.00512916,0.00477067,0.0513678,0.00038667,0.00017019,0.0049462,0.00093943,0.00150105,0.00129003,0.02647654,0.0032473,0.00873004,0.00396503,0.00102841,0.01848719,0.00142611,0.00070188,0.00043601,0.00080526,0.00069839
360,3428,4.827202,-74.07196,53,37,6,5.049e-05,0.00081453,0.00041342,0.00013753,0.00547748,0.00078888,0.00030374,0.00018171,0.00158181,0.00050658,0.00068459,0.00191053,0.00017381,0.01495617,0.00172431,0.00605696,0.00850321,0.09155765,5.278e-05,0.00018343,0.00356514,0.00094447,0.00065572,0.00129695,0.04329646,0.00312476,0.01556037,0.00849024,0.00014038,0.03295146,0.00158909,0.00013427,0.00019047,0.0015405,0.00114206
360,3428,4.827202,-74.07196,53,37,7,9.18e-06,0.00099481,0.00034719,7.138e-05,0.00405396,0.00058386,0.00023861,5.53e-05,0.00124261,0.00023193,0.00057492,0.00141401,3.16e-05,0.0155076,0.00152299,0.00637206,0.00629335,0.06776319,1.606e-05,0.0001441,0.00299402,0.00115351,0.00030021,0.00158401,0.02247142,0.00325605,0.01151646,0.01250779,4.272e-05,0.02438786,0.00175207,2.441e-05,8.72e-05,0.00205691,0.00059274
360,3428,4.827202,-74.07196,53,37,8,3.901e-05,0.00115554,0.0004664,4.661e-05,0.00454977,0.00065527,0.00039015,0.00013825,0.00203178,0.00081785,0.00077232,0.00158695,0.0001343,0.01198141,0.00132168,0.00667841,0.00706304,0.07605079,4.016e-05,0.00023561,0.00402203,0.00133989,0.00105863,0.00183994,0.01467489,0.00374621,0.01292495,0.01221895,0.00010681,0.02737056,0.00153205,0.00010376,0.0003075,0.00199564,0.00038709
360,3428,4.827202,-74.07196,53,37,9,5.622e-05,0.00083407,0.0004945,1.745e-05,0.00482505,0.00069492,0.00035957,0.00026861,0.00187256,0.00052184,0.00081884,0.00168297,0.00019356,0.00931512,0.00103283,0.0060482,0.00749038,0.08065207,7.802e-05,0.00021715,0.00426432,0.00096714,0.00067547,0.00132808,0.00549319,0.00414009,0.01370695,0.01019705,0.00020751,0.02902656,0.00140981,0.00014953,0.0001962,0.00161052,0.0001449
