FID_LINK,FID_Grilla,LAT,LON,ROW,COL,hora,C5_GNV,INT_GAS,C2G_GNV,ESP_GNV,CC_DSEL,CC_GNV,C2P_GAS,>C5_GAS,C2P_DSEL,C3-C4_DSEL,C2G_GAS,AUT_GNV,C5_GAS,M_GAS,AL_DSEL,B_DSEL,TX_GAS,AUT_GAS,>C5_GNV,C2P_GNV,C2G_DSEL,INT_GNV,C3-C4_GAS,INT_DSEL,ESP_GAS,BT_DSEL,TX_GNV,AT_DSEL,>C5_DSEL,CC_GAS,MB_DSEL,C5_DSEL,C3-C4_GNV,BA_DSEL,ESP_DSEL
360,3428,4.827202,-74.07196,53,37,0,0.0,2.5e-07,0.0,0.0,4.602e-05,0.0,3.1e-07,2.7e-06,4.681e-05,8.345e-05,1.21e-06,0.0,2.05e-06,1.802e-05,3.769e-05,4.115e-05,4.37e-06,2.232e-05,0.0,0.0,0.0001833,0.0,1.42e-06,3.183e-05,7.5e-06,0.00016853,0.0,3.561e-05,0.00015888,3.27e-06,1.818e-05,0.00012037,0.0,0.0,4.08e-06
360,3428,4.827202,-74.07196,53,37,1,0.0,1.3e-07,0.0,0.0,2.445e-05,0.0,2.8e-07,2.78e-06,4.154e-05,8.827e-05,8.5e-07,0.0,1.55e-06,9.47e-06,6e-07,1.486e-05,2.32e-06,1.186e-05,0.0,0.0,0.00012858,0.0,1.5e-06,1.705e-05,6.24e-06,8.426e-05,0.0,2.37e-06,0.0001637,1.74e-06,9.09e-06,9.148e-05,0.0,0.0,3.39e-06
360,3428,4.827202,-74.07196,53,37,2,0.0,2.9e-07,0.0,0.0,1.999e-05,0.0,5.2e-07,2.95e-06,7.912e-05,0.00011074,8.2e-07,0.0,1.58e-06,7.18e-06,0.0,8e-06,1.9e-06,9.7e-06,0.0,0.0,0.0001233,0.0,1.88e-06,3.751e-05,5.67e-06,6.153e-05,0.0,3.56e-06,0.00017333,1.42e-06,0.0,9.308e-05,0.0,0.0,3.08e-06
360,3428,4.827202,-74.07196,53,37,3,0.0,3.2e-07,0.0,0.0,2.598e-05,0.0,4.8e-07,4.72e-06,7.319e-05,0.0001637,1.15e-06,0.0,2.43e-06,8.34e-06,2.154e-05,3.429e-05,2.47e-06,1.26e-05,0.0,0.0,0.00017341,0.0,2.78e-06,4.206e-05,5.3e-06,7.758e-05,0.0,4.75e-06,0.00027764,1.85e-06,1.818e-05,0.00014283,0.0,0.0,2.88e-06
360,3428,4.827202,-74.07196,53,37,4,0.0,1.4e-06,0.0,0.0,5.813e-05,0.0,1.01e-06,8.89e-06,0.00015297,0.00034184,2.54e-06,0.0,4.5e-06,2.019e-05,8.196e-05,0.00028118,5.53e-06,2.82e-05,0.0,0.0,0.00038309,0.0,5.81e-06,0.00018188,4.728e-05,0.00029024,0.0,0.00015551,0.00052319,4.13e-06,0.00019999,0.00026481,0.0,4.65e-06,2.57e-05
360,3428,4.827202,-74.07196,53,37,5,0.0,3.27e-06,0.0,0.0,0.00029708,0.0,1.85e-06,9.19e-06,0.00027957,0.00060985,6.24e-06,0.0,6.27e-06,0.00010514,0.00013341,0.0006698,2.824e-05,0.0001441,0.0,0.0,0.00094223,0.0,1.036e-05,0.00042402,0.00021087,0.00049622,0.0,0.00053776,0.00054084,2.11e-05,0.00053028,0.00036912,0.0,3.893e-05,0.00011463
360,3428,4.827202,-74.07196,53,37,6,0.0,3.29e-06,0.0,0.0,0.00052952,0.0,2e-06,1.25e-06,0.00030133,0.00026641,4.5e-06,0.0,1.2e-06,0.00029536,0.00011785,0.00079096,5.034e-05,0.00025685,0.0,0.0,0.00067914,0.0,4.53e-06,0.00042629,0.00034483,0.0004775,0.0,0.00115149,7.382e-05,3.761e-05,0.00059088,7.061e-05,0.0,7.448e-05,0.00018745
360,3428,4.827202,-74.07196,53,37,7,0.0,4.02e-06,0.0,0.0,0.0003919,0.0,1.57e-06,3.8e-07,0.00023671,0.00012197,3.78e-06,0.0,2.2e-07,0.00030625,0.00010409,0.00083211,3.726e-05,0.0001901,0.0,0.0,0.00057035,0.0,2.07e-06,0.00052064,0.00017897,0.00049756,0.0,0.00169637,2.247e-05,2.783e-05,0.00065148,1.284e-05,0.0,9.945e-05,9.729e-05
360,3428,4.827202,-74.07196,53,37,8,0.0,4.67e-06,0.0,0.0,0.00043984,0.0,2.56e-06,9.5e-07,0.00038705,0.00043011,5.07e-06,0.0,9.3e-07,0.00023662,9.033e-05,0.00087212,4.181e-05,0.00021335,0.0,0.0,0.00076618,0.0,7.31e-06,0.00060477,0.00011688,0.00057246,0.0,0.00165719,5.617e-05,3.124e-05,0.00056967,5.457e-05,0.0,9.648e-05,6.353e-05
360,3428,4.827202,-74.07196,53,37,9,0.0,3.37e-06,0.0,0.0,0.00046645,0.0,2.36e-06,1.85e-06,0.00035672,0.00027443,5.38e-06,0.0,1.34e-06,0.00018396,7.059e-05,0.00078982,4.434e-05,0.00022626,0.0,0.0,0.00081234,0.0,4.66e-06,0.00043652,4.375e-05,0.00063265,0.0,0.00138297,0.00010913,3.313e-05,0.00052422,7.864e-05,0.0,7.786e-05,2.378e-05
360,3428,4.827202,-74.07196,53,37,10,0.0,3.99e-06,0.0,0.0,0.00048218,0.0,2.59e-06,7.85e-06,0.00039166,0.00076071,8.21e-06,0.0,4.34e-06,0.00018901,6.401e-05,0.00075324,4.584e-05,0.00023389,0.0,0.0,0.00123894,0.0,1.293e-05,0.00051723,4.293e-05,0.00049622,0.0,0.00117642,0.00046221,3.425e-05,0.00057876,0.00025518,0.0,6.305e-05,2.334e-05
360,3428,4.827202,-74.07196,53,37,11,0.0,3.57e-06,0.0,0.0,0.00047217,0.0,2.33e-06,6.79e-06,0.0003521,0.00055208,7.59e-06,0.0,2.89e-06,0.0001888,6.999e-05,0.00068352,4.489e-05,0.00022903,0.0,0.0,0.00114663,0.0,9.38e-06,0.00046267,4.457e-05,0.00041597,0.0,0.0011408,0.00039961,3.354e-05,0.00053937,0.00017012,0.0,5.882e-05,2.423e-05
360,3428,4.827202,-74.07196,53,37,12,0.0,3.85e-06,0.0,0.0,0.00047065,0.0,2.78e-06,5.56e-06,0.00042001,0.00060825,6.57e-06,0.0,4.69e-06,0.00018196,7.897e-05,0.00064237,4.474e-05,0.0002283,0.0,0.0,0.00099168,0.0,1.034e-05,0.00049904,6.619e-05,0.00046145,0.0,0.00113962,0.0003274,3.343e-05,0.00053937,0.00027604,0.0,5.12e-05,3.598e-05
360,3428,4.827202,-74.07196,53,37,13,0.0,3.86e-06,0.0,0.0,0.00050061,0.0,1.97e-06,7.83e-06,0.00029737,0.00059862,7.06e-06,0.0,2.26e-06,0.0001777,6.94e-05,0.00066866,4.759e-05,0.00024283,0.0,0.0,0.00106553,0.0,1.017e-05,0.00050018,0.00010389,0.00047482,0.0,0.001123,0.0004606,3.556e-05,0.00052118,0.0001332,0.0,4.74e-05,5.647e-05
360,3428,4.827202,-74.07196,53,37,14,0.0,3.05e-06,0.0,0.0,0.00052612,0.0,2.67e-06,6.87e-06,0.00040287,0.00056492,6.98e-06,0.0,2.75e-06,0.00017908,6.7e-05,0.00063894,5.002e-05,0.0002552,0.0,0.0,0.00105366,0.0,9.6e-06,0.00039446,0.00015117,0.0004454,0.0,0.00121678,0.00040443,3.737e-05,0.00056664,0.00016209,0.0,5.12e-05,8.217e-05
360,3428,4.827202,-74.07196,53,37,15,0.0,3.14e-06,0.0,0.0,0.00046579,0.0,2.62e-06,6.9e-06,0.00039562,0.0005906,7.44e-06,0.0,2.32e-06,0.00020536,7.119e-05,0.00069038,4.428e-05,0.00022594,0.0,0.0,0.0011229,0.0,1.004e-05,0.00040697,0.00031092,0.00045877,0.0,0.00125358,0.00040603,3.308e-05,0.0005424,0.00013641,0.0,5.798e-05,0.00016901
360,3428,4.827202,-74.07196,53,37,16,0.0,3.16e-06,0.0,0.0,0.00047247,0.0,2.37e-06,5.32e-06,0.00035803,0.00054887,7.58e-06,0.0,2.02e-06,0.00024671,0.00010828,0.00075782,4.492e-05,0.00022918,0.0,0.0,0.001144,0.0,9.33e-06,0.00040924,0.00025733,0.00050559,0.0,0.00143877,0.00031295,3.356e-05,0.00054846,0.00011876,0.0,7.194e-05,0.00013988
360,3428,4.827202,-74.07196,53,37,17,0.0,3.07e-06,0.0,0.0,0.0005199,0.0,1.59e-06,8.5e-07,0.00024067,0.00026962,5.66e-06,0.0,7.4e-07,0.00035131,0.00012025,0.00064352,4.942e-05,0.00025218,0.0,0.0,0.00085519,0.0,4.58e-06,0.00039787,0.00017273,0.0005845,0.0,0.00157528,4.975e-05,3.693e-05,0.00054543,4.333e-05,0.0,8.125e-05,9.389e-05
360,3428,4.827202,-74.07196,53,37,18,0.0,3.36e-06,0.0,0.0,0.00051866,0.0,1.31e-06,3e-07,0.00019847,0.00012679,4.14e-06,0.0,1.9e-07,0.0002614,9.871e-05,0.00055093,4.931e-05,0.00025158,0.0,0.0,0.00062508,0.0,2.15e-06,0.00043539,9.803e-05,0.000531,0.0,0.00127613,1.765e-05,3.684e-05,0.00055755,1.123e-05,0.0,8.802e-05,5.329e-05
360,3428,4.827202,-74.07196,53,37,19,0.0,2.71e-06,0.0,0.0,0.00053527,0.0,7.4e-07,4.94e-06,0.00011143,0.00017654,3.51e-06,0.0,1.58e-06,0.00015855,0.00011247,0.0005235,5.089e-05,0.00025964,0.0,0.0,0.00053013,0.0,3e-06,0.00035126,4.129e-05,0.00057915,0.0,0.00113724,0.00029048,3.802e-05,0.00049997,9.308e-05,0.0,9.352e-05,2.245e-05
360,3428,4.827202,-74.07196,53,37,20,0.0,2.15e-06,0.0,0.0,0.00049492,0.0,5.9e-07,6.05e-06,8.967e-05,0.00014604,2.82e-06,0.0,1.42e-06,0.00012363,0.00011785,0.00049378,4.705e-05,0.00024007,0.0,0.0,0.00042595,0.0,2.48e-06,0.00027851,2.232e-05,0.00060323,0.0,0.00103159,0.00035628,3.515e-05,0.00041816,8.345e-05,0.0,9.014e-05,1.213e-05
360,3428,4.827202,-74.07196,53,37,21,0.0,1.4e-06,0.0,0.0,0.00038592,0.0,4.4e-07,4.75e-06,6.66e-05,9.629e-05,2.58e-06,0.0,2.56e-06,0.00011862,7.837e-05,0.00033147,3.669e-05,0.0001872,0.0,0.0,0.00038902,0.0,1.64e-06,0.00018188,1.494e-05,0.00054036,0.0,0.00098885,0.00027925,2.741e-05,0.00042422,0.00015086,0.0,8.929e-05,8.12e-06
360,3428,4.827202,-74.07196,53,37,22,0.0,1e-06,0.0,0.0,0.00020664,0.0,4.4e-07,3.49e-06,6.594e-05,8.987e-05,1.75e-06,0.0,2.29e-06,8.649e-05,0.00012563,0.00017945,1.964e-05,0.00010023,0.0,0.0,0.00026375,0.0,1.53e-06,0.00012959,1.5e-05,0.00050024,0.0,0.00056981,0.00020542,1.468e-05,0.00027271,0.00013481,0.0,6.178e-05,8.16e-06
360,3428,4.827202,-74.07196,53,37,23,0.0,4.7e-07,0.0,0.0,9.218e-05,0.0,3.6e-07,3.85e-06,5.473e-05,0.00010111,1.34e-06,0.0,2.24e-06,3.125e-05,6.461e-05,5.829e-05,8.76e-06,4.471e-05,0.0,0.0,0.00020242,0.0,1.72e-06,6.139e-05,8.07e-06,0.00048017,0.0,0.00029084,0.00022629,6.55e-06,7.878e-05,0.0001316,0.0,7.19e-06,4.39e-06
1117,295,4.755493,-74.062965,45,38,0,0.0,1.8e-07,0.0,0.0,3.459e-05,0.0,2.3e-07,2.03e-06,3.518e-05,6.272e-05,9.1e-07,0.0,1.54e-06,1.355e-05,2.832e-05,3.092e-05,3.29e-06,1.678e-05,0.0,0.0,0.00013776,0.0,1.07e-06,2.392e-05,5.64e-06,0.00012666,0.0,2.676e-05,0.00011941,2.46e-06,1.366e-05,9.046e-05,0.0,0.0,3.06e-06
1117,295,4.755493,-74.062965,45,38,1,0.0,1e-07,0.0,0.0,1.838e-05,0.0,2.1e-07,2.09e-06,3.122e-05,6.634e-05,6.4e-07,0.0,1.17e-06,7.12e-06,4.5e-07,1.117e-05,1.75e-06,8.91e-06,0.0,0.0,9.663e-05,0.0,1.13e-06,1.282e-05,4.69e-06,6.333e-05,0.0,1.78e-06,0.00012303,1.31e-06,6.83e-06,6.875e-05,0.0,0.0,2.55e-06
1117,295,4.755493,-74.062965,45,38,2,0.0,2.2e-07,0.0,0.0,1.502e-05,0.0,3.9e-07,2.21e-06,5.947e-05,8.322e-05,6.1e-07,0.0,1.19e-06,5.39e-06,0.0,6.01e-06,1.43e-06,7.29e-06,0.0,0.0,9.267e-05,0.0,1.41e-06,2.819e-05,4.26e-06,4.624e-05,0.0,2.68e-06,0.00013026,1.07e-06,0.0,6.996e-05,0.0,0.0,2.32e-06
1117,295,4.755493,-74.062965,45,38,3,0.0,2.4e-07,0.0,0.0,1.953e-05,0.0,3.6e-07,3.55e-06,5.501e-05,0.00012303,8.6e-07,0.0,1.82e-06,6.27e-06,1.619e-05,2.577e-05,1.86e-06,9.47e-06,0.0,0.0,0.00013033,0.0,2.09e-06,3.161e-05,3.98e-06,5.83e-05,0.0,3.57e-06,0.00020866,1.39e-06,1.366e-05,0.00010735,0.0,0.0,2.16e-06
1117,295,4.755493,-74.062965,45,38,4,0.0,1.06e-06,0.0,0.0,4.369e-05,0.0,7.6e-07,6.68e-06,0.00011497,0.00025691,1.91e-06,0.0,3.38e-06,1.518e-05,6.16e-05,0.00021132,4.15e-06,2.119e-05,0.0,0.0,0.00028791,0.0,4.37e-06,0.00013669,3.553e-05,0.00021813,0.0,0.00011687,0.0003932,3.1e-06,0.0001503,0.00019901,0.0,3.5e-06,1.932e-05
1117,295,4.755493,-74.062965,45,38,5,0.0,2.46e-06,0.0,0.0,0.00022327,0.0,1.39e-06,6.91e-06,0.00021011,0.00045833,4.69e-06,0.0,4.71e-06,7.902e-05,0.00010026,0.00050339,2.123e-05,0.0001083,0.0,0.0,0.00070813,0.0,7.79e-06,0.00031867,0.00015848,0.00037293,0.0,0.00040415,0.00040647,1.586e-05,0.00039853,0.00027741,0.0,2.926e-05,8.615e-05
