FID_LINK,FID_Grilla,LAT,LON,ROW,COL,hora,C5_GNV,INT_GAS,C2G_GNV,ESP_GNV,CC_DSEL,CC_GNV,C2P_GAS,>C5_GAS,C2P_DSEL,C3-C4_DSEL,C2G_GAS,AUT_GNV,C5_GAS,M_GAS,AL_DSEL,B_DSEL,TX_GAS,AUT_GAS,>C5_GNV,C2P_GNV,C2G_DSEL,INT_GNV,C3-C4_GAS,INT_DSEL,ESP_GAS,BT_DSEL,TX_GNV,AT_DSEL,>C5_DSEL,CC_GAS,MB_DSEL,C5_DSEL,C3-C4_GNV,BA_DSEL,ESP_DSEL
360,3428,4.827202,-74.07196,53,37,0,0.0,1.746e-05,0.0,0.0,0.00025693,0.0,2.204e-05,0.00019172,0.00048366,0.00086221,8.629e-05,0.0,0.00014524,0.00128084,0.00021347,0.00041433,0.00031053,0.00158454,0.0,0.0,0.00189377,0.0,0.0001007,0.00032885,0.00053286,0.00174119,0.0,0.00035895,0.00164152,0.00023118,0.00018784,0.00124358,0.0,0.0,4.213e-05
360,3428,4.827202,-74.07196,53,37,1,0.0,9.35e-06,0.0,0.0,0.00013653,0.0,1.955e-05,0.00019753,0.00042916,0.00091196,6.053e-05,0.0,0.00011038,0.00067303,3.39e-06,0.00014962,0.00016502,0.00084203,0.0,0.0,0.00132837,0.0,0.00010651,0.00017617,0.00044331,0.00087059,0.0,2.393e-05,0.00169126,0.00012285,9.392e-05,0.00094512,0.0,0.0,3.505e-05
360,3428,4.827202,-74.07196,53,37,2,0.0,2.057e-05,0.0,0.0,0.0001116,0.0,3.725e-05,0.00020915,0.00081746,0.00114409,5.804e-05,0.0,0.00011232,0.00050996,0.0,8.056e-05,0.00013488,0.00068826,0.0,0.0,0.00127387,0.0,0.00013362,0.00038758,0.00040301,0.00063567,0.0,3.59e-05,0.00179075,0.00010041,0.0,0.0009617,0.0,0.0,3.186e-05
360,3428,4.827202,-74.07196,53,37,3,0.0,2.307e-05,0.0,0.0,0.00014507,0.0,3.445e-05,0.00033502,0.00075615,0.00169126,8.163e-05,0.0,0.00017235,0.00059298,0.00012198,0.00034527,0.00017534,0.00089469,0.0,0.0,0.00179159,0.0,0.00019753,0.00043456,0.00037614,0.0008015,0.0,4.786e-05,0.00286852,0.00013053,0.00018784,0.00147571,0.0,0.0,2.974e-05
360,3428,4.827202,-74.07196,53,37,4,0.0,9.975e-05,0.0,0.0,0.00032456,0.0,7.201e-05,0.00063131,0.00158041,0.00353176,0.00018034,0.0,0.00031953,0.00143501,0.00046421,0.00283123,0.00039227,0.0020016,0.0,0.0,0.00395785,0.0,0.00041248,0.00187916,0.00335839,0.00299871,0.0,0.00156743,0.00540541,0.00029202,0.00206623,0.00273587,0.0,1.257e-05,0.00026553
360,3428,4.827202,-74.07196,53,37,5,0.0,0.00023254,0.0,0.0,0.00165866,0.0,0.00013161,0.00065261,0.00288834,0.00630079,0.00044355,0.0,0.0004454,0.00747156,0.00075561,0.00674431,0.0020047,0.01022918,0.0,0.0,0.00973453,0.0,0.00073588,0.00438079,0.01497842,0.00512683,0.0,0.00542018,0.0055878,0.00149238,0.00547863,0.00381364,0.0,0.00010513,0.00118429
360,3428,4.827202,-74.07196,53,37,6,0.0,0.00023379,0.0,0.0,0.00295638,0.0,0.00014185,8.908e-05,0.00311314,0.00275245,0.00031971,0.0,8.521e-05,0.02098855,0.00066751,0.00796427,0.00357316,0.01823242,0.0,0.0,0.00701649,0.0,0.00032146,0.00440428,0.02449387,0.00493336,0.0,0.01160613,0.00076273,0.00266002,0.00610476,0.00072957,0.0,0.00020111,0.00193664
360,3428,4.827202,-74.07196,53,37,7,0.0,0.00028554,0.0,0.0,0.00218806,0.0,0.00011143,2.711e-05,0.00244555,0.00126016,0.00026849,0.0,1.549e-05,0.02176239,0.00058958,0.0083786,0.00264455,0.01349409,0.0,0.0,0.00589249,0.0,0.00014718,0.0053791,0.01271263,0.00514065,0.0,0.0170981,0.00023213,0.00196872,0.00673088,0.00013265,0.0,0.00026853,0.00100514
360,3428,4.827202,-74.07196,53,37,8,0.0,0.00033167,0.0,0.0,0.00245566,0.0,0.0001822,6.778e-05,0.00399872,0.00444371,0.00036068,0.0,6.584e-05,0.01681396,0.00051164,0.00878142,0.00296799,0.01514445,0.0,0.0,0.0079157,0.0,0.00051899,0.00624821,0.00830194,0.00591451,0.0,0.01670325,0.00058034,0.0022095,0.00588561,0.00056375,0.0,0.00026053,0.0006564
360,3428,4.827202,-74.07196,53,37,9,0.0,0.0002394,0.0,0.0,0.00260424,0.0,0.00016792,0.00013168,0.00368536,0.00283535,0.00038241,0.0,9.489e-05,0.01307226,0.00039983,0.00795276,0.00314756,0.01606073,0.0,0.0,0.00839254,0.0,0.00033115,0.00450998,0.00310763,0.00653636,0.0,0.01393932,0.00112751,0.00234318,0.00541601,0.00081247,0.0,0.00021025,0.00024571
